"its","яго"
"Cage","Клетка"
"Animal trap","Сіло"
"Pressure plate","Націскная пласціна"
"Stone-fall","Каменяпад"
"Weapon","Зброя"
"Upright weapon/spike","Высоўная зброя/шып"
"Archery target","Мішэнь"
"Weapon rack","Зброевая стойка"
"Armor stand","Стойка для брані"
"Ballista","Баліста"
"Catapult","Катапульта"
"Disconnected","Адключана"
"Need trigger type","Патрэбен тып трыгеру"
"Needs walkable perimeter","Патрэбен праходны перыметр"
"Hidden, cannot build at this location","Схавана, нельга будаваць у гэтым месцы"
"Needs to be anchored on edge","Неабходна замацаваць на краі"
"Blocked at this location","Заблакаваны ў гэтым месцы"
"Surrounded by empty space","Атачоны пустой прасторай"
"Needs adjacent wall","Патрэбна сумежная сцяна"
"Needs open space","Патрэбна адкрытая прастора"
"Off map","Па-за мапай"
"Water at this location","Вада ў гэтым месцы"
"Lava/Magma at this location","Лава/Магма ў гэтым месцы"
"Building present","Прысутнічае будынак"
"Must remove construction","Трэба знесці канструкцыю"
"Must be inside","Павінна быць унутры"
"Too close to edge","Занадта блізка да краю"
"Must be outside","Павінна быць звонку"
"Cannot build at highest level","Нельга будаваць на самым высокім узроўні"
"Need soil or mud at location","Патрэбна глеба або глей"
"Need soil at location","Патрэбна глеба"
"Needs ground or near machine","Патрэбна паверхня або машына побач"
"No mud/soil for farm","Няма глею/глебы для фермы"
"Mud is left by water","Вада пакінула пасля сябе глей"
"Placing creatures","Размяшчэнне істот"
"Right click when done","Правая пстрычка каб скончыць"
"Placing trees","Размяшчэнне дрэў"
"Adding water","Даданне вады"
"Adding magma","Даданне магмы"
"Adding snow","Даданне снегу"
"Adding mud","Даданне глею"
"Removing fluids and spatter","Выдаленне вадкасці і пырскаў"
"Automated vein and gem mining blueprint","План аўтаматызаванай здабычы жыл і каштоўных камянёў"
"Vein and gem mining blueprint","План здабычы жыл і каштоўных камянёў"
"Gem mining blueprint","План здабычы каштоўных камянёў"
"Regular mining blueprint","План звычайнай здабычы"
"Automated vein and gem mining","Аўтаматызаваная здабыча жыл і каштоўных камянёў"
"Vein and gem mining","Здабыча жыл і самацветаў"
"Gem mining","Здабыча самацветаў"
"Regular mining","Звычайная здабыча"
"Removing stairs/ramp/constructions","Выдаленне лесвіцы/пандуса/канструкцый"
"Stair mining blueprint","План капання лесвіцы"
"Stair mining","Капанне лесвіцы"
"Ramp mining blueprint","План капання пандусу"
"Ramp mining","Капанне пандусу"
"Channel mining blueprint","План капання каналу"
"Channel mining","Капанне каналу"
"Converting mining blueprint to regular","Пераўтварэнне плана капання ў звычайны"
"Converting mining to blueprint","Пераўтварэнне капання ў план"
"Must span multiple elevations","Павінна ахопліваць некалькі вышынь"
"Converting to chopping blueprint","Пераўтварэнне ў план павалу лесу"
"Converting chopping blueprint to regular","Пераўтварэнне плана павалу лесу ў звычайны"
"Chopping trees blueprint","План павалу лесу"
"Chopping trees","Павал лесу"
"Converting to gathering blueprint","Пераўтварэнне ў план збору"
"Converting gathering blueprint to regular","Пераўтварэнне плана збору ў звычайны"
"Gathering fruit and leaves blueprint","План збору пладоў і лісця"
"Gathering fruit and leaves","Збор пладоў і лісця"
"Smoothing blueprint","План згладжвання"
"Smoothing rough floors and walls","Згладжванне падлог і сцен"
"Engraving blueprint","План гравіроўкі"
"Engraving smoothed floors and walls","Гравіраванне згладжаных падлог і сцен"
"Track carving blueprint","План разьбы рэек"
"Carving tracks in floor","Разьба рэек у падлозе"
"Fortification carving blueprint","План фартыфікацыйнай разьбы"
"Carving fortifications through walls","Разьба фартыфікацый у сценах"
"Converting smoothing blueprint to regular","Пераўтварэнне плана згладжвання ў звычайны"
"Converting to smoothing blueprint","Пераўтварэнне ў план згладжвання"
"Claiming forbidden items and buildings","Зняцце забароны прадметаў і будынкаў"
"Forbidding items and buildings","Забарона прадметаў і будынкаў"
"Designating items for melting","Прызначэнне прадметаў для плаўлення"
"Removing melting designations","Выдаленне прызначэнняў плаўлення"
"Designating items for dumping","Прызначэнне прадметаў для выкіду"
"Removing dumping designations","Выдаленне прызначэння прадметаў для выкіду"
"Hiding items from view","Схаванне прадметаў"
"Revealing hidden items","Выяўленне схаваных прадметаў"
"Designating restricted traffic area","Прызначэнне зоны абмежаванага руху"
"Designating low traffic area","Прызначэнне зоны з нізкім рухам"
"Removing traffic designations","Выдаленне прызначэнняў руху"
"Designating high traffic area","Прызначэнне зоны інтэнсіўнага руху"
"Removing mining/chopping/gathering/smoothing orders","Скасаванне загадаў на здабычу/павал/збор/згладжванне"
"Horizontal axles can vary in length.","Гарызантальныя валы могуць адрознівацца па даўжыні."
"Set the orientation below.","Вызначыце кірунак."
"Water wheels are 1x3 or 3x1.","Вадзяныя колы бываюць 1х3 або 3х1."
"The long side should align","Доўгі бок павінен выраўнавацца"
"with the water's flow.","з плынню вады."
"Set the liquid flow direction below.","Вызначыце кірунак плыні вадкасці."
"Water flows from the adjacent input tile","Вада цячэ з суседняй уваходнай клеткі"
"and from the tile below the input tile.","і з клеткі пад уваходнай клеткай."
"Minecart rollers can vary in length.","Каткі ваганетак могуць адрознівацца па даўжыні."
"Set the orientation and speed below.","Вызначыце арыентацыю і хуткасць."
"Resets","Скід"
"One use only","Аднаразовае выкарыстанне"
"Water","Вада"
"Depth","Глыбіня"
"Water does not trigger","Вада не пераключае"
" overthrown"," зрынуты"
"Magma does not trigger","Магма не пераключае"
"Cart","Ваганетка"
"Weight","Вага"
"to","у"
"Any","Любы"
"Minecarts do not trigger","Ваганетка не пераключае"
"Creature trigger settings","Налады пераключэння істотай"
"Citizens trigger","Пераключэнне жыхарамі"
"Citizens do not trigger","Жыхары не пераключаюць"
"Creatures do not trigger","Істоты не пераключаюць"
"Set the friction and auto-dump direction.","Прызначце трэнне і кірунак аўтаскіду."
"Auto-dumping is not required.","Аўтаскід не патрабуецца."
"Set the draw direction below.","Задайце кірунак малявання ніжэй."
"Then select the corners of the bridge.","Пасля вылучыце куты моста."
"Click a tile to place the ","Націсніце на клетку, каб размясціць "
"Click a tile to be one end of the ","Пстрыкніце на клетку, якая будзе адна з канцоў "
"Click a tile to be a corner of the ","Пстрыкніце на клетку, якая будзе вуглом "
"(spans ","(пралёты "
" levels)"," ўзроўні)"
"Select material after placement","Выберыце матэрыял пасля размяшчэння"
"Use closest material","Выкарыстоўваць найбліжшы матэрыял"
"Keep building after placement","Працягваць будаваць пасля размяшчэння"
"Bars and","Зліткі і"
"Blocks","Блокі"
"Finished","Гатовыя"
"Goods","Тавары"
"Sheets","Аркушы"
"Custom","Наладзіць"
"Click an icon to set stockpile type.","Пстрычка па значку усталюе тып складу."
"Warning: stockpile has no type.","Увага: склад не мае тыпу."
"Click an existing stockpile to select it.","Націсніце на існуючы склад каб выбраць."
"Click in the play area","Націсніце ў гульнёвай зоне"
"to paint the stockpile.","каб абазначыць склад."
"Accept","Прыняць"
"Overlapping","Перакрыжаванне"
"Water Source","Крыніца вады"
"Gather Fruit","Збор садавіны"
"Garbage Dump","Звалка"
"Pen/Pasture","Загон/Выган"
"Pit/Pond","Яма/Сажалка"
"Meeting Area","Зона сустрэч"
"Animal Training","Дрэсіроўка жывёл"
"Dining Hall","Сталовая"
"Archery Range","Палігон лучнікаў"
"Click an existing zone to select it.","Націсніце на зону, каб выбраць яе."
"Select a type below to add a zone.","Выберыце тып зоны ніжэй."
"Click an icon to add a new zone.","Націсніце значок, каб дадаць зону."
"Select a rectangle","Выбраць прастакутнік"
"which contains ","які змяшчае "
"coffins","труны"
"chairs","крэслы"
"beds","ложкі"
"tables","сталы"
"in order to form","каб сфармаваць"
"tombs.","магільні."
"throne rooms/studies.","тронныя залы/кабінеты."
"bedrooms.","лажніцы."
"dining halls.","сталовыя."
"Rooms with multiple beds","Пакоі з некалькімі ложкамі"
"will be made into","будуць ператвораныя ў"
"dormitories.","інтэрнаты."
"Multi","Мульты"
"Paint","Пэндзаль"
"Select another rectangle","Выберыце іншы прастакутнік"
"to continue.","каб працягнуць."
"tomb","магільня"
"office","офіс"
"bedroom","лажніца"
"dining hall","сталовая"
" created."," створаны."
"dormitor","інтэрнат"
"ies","ы"
"coffin","труна"
"chair","крэсла"
"bed","ложак"
"table","стол"
" rejected (already in use.)"," адхілена (ужо выкарыстоўваецца.)"
" rejected (not enclosed.)"," адхілена (не прыкладаецца.)"
"to paint the zone.","каб змяніць колер зоны."
"Add new burrow","Ств. сховішча"
"Nobody assigned","Ніхто не прызначаны"
"to paint the burrow.","каб абазначыць сховішча."
"Click a tile to position the stop.","Націсніце на клетку, каб размясціць прыпынак."
"Building track stops is recommended!","Рэкамендуецца дадаваць прыпынкі!"
"Add new route","Дадаць маршрут"
"Stop ","Прыпынак "
"Indep","Незалеж"
"Create a creature to begin.","Для пачатку стварыце істоту."
"Pop","Нас"
"Drink","Пітво"
"Other","Іншае"
"Early ","Пачатак "
"Mid-","Сярэдзіна "
"Late ","Канец "
"Year ","Год "
"Elevation ","Вышыня "
"Conflict Level","Узровень канфлікту"
"Encounter","Сутыкненне"
"Horseplay","Мітусня"
"Training","Трэніроўка"
"Brawl","Бойка"
"Non-lethal","Несмяротна"
"Lethal","Смяротна"
"No Quarter","Няма пакоя"
"Morale/Fear ","Мараль/Страх "
"On","На"
"hunting.","палюе."
"sparring.","практыкуецца боем."
"fighting!","змагаецца!"
"Created Wealth:","Выраблена:"
"Weapons:","Зброя:"
"Armor and Garb:","Браня і адзежа:"
"Furniture:","Мэбля:"
"Other Objects:","Іншае:"
"Architecture:","Архітэктура:"
"Displayed:","Паказана:"
"Held/Worn:","Надзета:"
"Imported Wealth:","Імпартавана:"
"Exported Wealth:","Экспартавана:"
"You need a broker with","Вам патрэбен брокер з"
"the appraisal skill.","ацэначным майстэрствам."
"A bookkeeper helps","Рахаўнік дапамагае"
"with accuracy.","з дакладнасцю."
"Trade Information:","Гандлёвая інфармацыя:"
"Left click for recenter and expand options.  Right click to dismiss.","Пстрыкніце левай кнопкай мышы, каб адцэнтраваць і разгарнуць параметры. Пстрыкніце правай каб закрыць."
"Following ","Сочыць "
"Set digging orders.","Капаць"
"Finish setting dig orders.","Схаваць загады на капанне."
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.  The miner requires a pick.","Выкапаць звычайны калідор або пакой. Пры неабходнасці прызначце гарняка. Гарняк патрабуе кірку."
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","Пазначыць сцены, падлогу і іншае для зносу. Гэта тычыцца лесвіц і пандусаў у тым ліку."
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","Выкапаць лесвіцу на гэтым узроўні, вядучую ўверх ці ўніз. Ваш выбар павінен ахопліваць некалькі вышынь. Націсніце на клетку, змяніце вышыню і націсніце яшчэ раз."
"Dig a ramp on this level, going up.","Выкапць пандус на гэтым узроўні ўверх."
"Dig a channel, making a ramp on the level below.","Выкапць канал на гэтым узроўні ўніз."
"Hold left button to draw.","Зацісніце левую кнопку, каб маляваць."
"Left click to choose corners of a rectangle.","Пстрыкніце левай кнопкай мышы, каб выбраць куты прастакутніка."
"Dig every tile selected.","Капаць кожную выбраную клетку."
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","Капаць толькі выбраную руду і каштоўныя камяні, а таксама любыя знойдзеныя руды і каштоўныя камяні таго ж тыпу."
"Dig only ore and gems selected.","Капаць толькі выбраную руду і каштоўныя камяні."
"Dig only gems selected.","Капаць толькі выбраныя каштоўныя камяні."
"Selected tiles are very high priority.","Вельмі высокі прыярытэт для выбраных клетак."
"Selected tiles are high priority.","Высокі прыярытэт для выбраных клетак."
"Selected tiles are high-medium priority.","Высока - сярэдні прыярытэт для выбраных клетак."
"Selected tiles are medium priority. [DEFAULT]","Сярэдні прыярытэт для выбраных клетак. [па змоўчанні]"
"Selected tiles are medium-low priority.","Сярэдне - нізкі прыярытэт для выбраных клетак."
"Selected tiles are low priority.","Нізкі прыярытэт для выбраных клетак."
"Selected tiles are very low priority.","Вельмі нізкі прыярытэт для выбраных клетак."
"Change to standard dig mode.","Перайсці у стандартны рэжым капання."
"Change to blueprint-only mode.","Перайсці ў рэжым планавання."
"Change blueprints to standard selections.","Перайсці з планавання ў стандартны выбар."
"Change standard selections to blueprints.","Перайсці са стандартнага выбару ў планаванне."
"Show advanced options.","Паказаць дадатковыя параметры."
"Hide advanced options.","Схаваць дадатковыя параметры."
"Set tree chopping orders.","Секчы дрэва"
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","Даць загад павалу лесу. Выберыце падножжа дрэва так, каб дрывасек мог дацягнуцца да яго. Пры неабходнасці прызначце дрывасека. Дрывасек патрабуе сякеру."
"Change to standard chop mode.","Перайсці ў стандартны рэжым валкі."
"Set plant gathering orders.","Даць загад на збор раслін."
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Даць загад на збор раслін. Для збору некаторых раслін, трэба каб на йіх былі плады."
"Finish setting plant gathering orders.","Схаваць загады на збор раслін."
"Change to standard gather mode.","Перайсці ў стандартны рэжым збору."
"Set wall smoothing, engraving, track carving, and fortification orders.","Даць загад на згладжванне сценаў, гравіроўку, капанне рэяк, пабудову умацаванняў."
"Smooth a rough wall to make it more pleasing to your citizens.  This also prepares the wall for engraving or fortification.","Згладзіць шурпатую сцяну, каб зрабіць яе больш прыемнай для вашых жыхароў. Гэта таксама падрыхтуе сцяну для гравіроўкі або ўмацавання."
"Engrave artwork into a smooth wall.","Выгравіраваць выяву на гладкай сцяне."
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","Выразаць рэйкі ў каменнай падлозе. Рэйкі выкарыстоўваюцца ваганеткамі з маршрутамі, зададзенымі ў меню пераноскі."
"Carve a gap in a smooth wall to allow your archers to fire upon invaders.","Выразаць шчыліну ў гладкай сцяне, каб вашы лучнікі маглі весці агонь па захопнікам."
"Finish setting wall orders.","Схаваць загады працы са сцяной."
"Change to standard orders mode.","Перайсці ў стандартны рэжым загадаў."
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","Пазначыць рэчы для выкіду і плаўлення, дазволіць забароненыя прадметы і будынкі, усталяваць бачнасць прадметаў."
"Finish setting item/building designations.","Схаваць абазначэнне прадметаў/будынкаў."
"Claim a forbidden item or building so it will be used by your citizens.","Дазволіць карыстацца забароненым прадметам або будынкам."
"Forbid your citizens from using an item or building.","Забараніць карыстацца прадметам або будынкам."
"Designate an item for dumping in a dumping zone.","Пазначыць прадмет для выкіду на звалку."
"Remove dumping designations.","Выдаліць абазначэнні выкіду на звалку."
"Designate an item for melting at any smelter.","Пазначыць прадмет для плаўлення ў любой плавільні."
"Remove melting designations.","Выдаліць абазначэнні на плаўленне."
"Remove hidden designations.","Выдаліць хаванне прадмету."
"Hide an item or building from your view.  Citizens will still use it.","Схаваць прадмет або будынак ад вашага поля зроку. Жыхары ўсё роўна будуць ім карыстацца."
"Set high and low traffic areas.","Пазначыць зоны трафіку з высокім і нізкім прыярытэтам."
"Finish setting traffic areas.","Схаваць абазначэнне зон з трафікам."
"Set a high traffic area.  Use this in wide central passages.","Зона трафіку з высокім прыярытэтам. Выкарыстоўвайце ў шырокіх цэнтральных праходах."
"Set a normal traffic area, the default state.","Зона трафіку са звычайным прыярытэтам."
"Set a low traffic area.  Citizens will look for better routes.","Зона трафіку з нізкім прыярытэтам. Жыхары будуць шукаць іншыя маршруты."
"Set a restricted traffic area.  Citizens will look hard for better routes.  They will still use the area if other routes do not exist or are too long.","Зона абмежаванага трафіку. Жыхары будуць шукаць іншыя маршруты. Але выкарыстаюць гэты, у выпадку браку іншых шляхоў, або калі іншы маршрут занадта доўгі."
"Set the exact weight in steps of a traffic type.","Вызначыць дакладную вагу ў кроках для тыпу трафіку."
"Remove mining, woodcutting, plant gathering, and smoothing orders.","Скасаваць загады здабычы, высечкі, збору раслін і згладжвання."
"Finish removing mining etc. orders.","Скончыць скасаванне загадаў здабычы і гд."
"Place structures and work areas that require construction materials.","Размяшчэнне канструкцый і працоўных зон, якія патрабуюць будаўнічых матэрыялаў."
"Finish placing structures.","Скончыць размяшчэнне канструкцый."
"Place stockpiles for item storage.","Размяшчэнне складаў."
"Finish placing stockpiles.","Скончыць размяшчэнне складаў."
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","Пачніце маляваць новы склад. Пасля выбару клетак, вы зможаце ўсталяваць дэталі гэтага складу."
"Remove the stockpile being painted permanently.  Also removes existing zones!","Выдаліць склад назаўсёды. Таксама выдаляе існуючыя зоны!"
"Repaint this stockpile.","Змяніць межы складу."
"Erase a portion of this stockpile.","Сцерці частку складу."
"Remove this stockpile permanently.","Выдаліць склад назаўсёды."
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Выбраць ці можа склад прымаць рэчы адусюль ці толькі з пэўных майстэрняў і складаў."
"Set from which workshops and stockpiles this stockpile gives and takes items.","Выбраць майстэрні і склады з якімі Гэты склад абменьваецца рэчамі."
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","Усталяваць, колькі бочак, скрынак і тачак можа выкарыстоўваць гэты склад."
"Place zones to establish meeting areas, pastures, and more.","Месцы сустрэч, выгану і іншага."
"Finish placing zones.","Скончыць стварэнне зон."
"Start painting a new zone.  Once the tiles are chosen, you'll be able to set the details.","Пачніце маляваць новую зону. Пасля выбару клетак, вы зможаце ўсталяваць дэталі гэтай зоны."
"Go to the previous zone overlapping the tile you clicked.","Пераход да папярэдняй зоны ў гэтым месцы."
"Go to the next zone overlapping the tile you clicked.","Пераход да наступнай зоны ў гэтым месцы."
"Repaint this zone.","Змяніць межы зоны."
"Erase a portion of this zone.","Сцерці частку зоны."
"Suspend activities in this zone.  Does not remove the zone.","Скасаваць актыўнасць у гэтай зоне. Не выдаляе зону."
"Remove this zone permanently.","Выдаліць зону назаўсёды."
"Gather fruit in trees in and just above this zone.  Requires a stepladder.","Збіраць садавіну на дрэвах і ў гэтай зоне. Патрабуюцца драбінкі."
"Gather fruit and vegetables from shrubs in this zone.","Збіраць садавіну і гародніну з кустоў у гэтай зоне."
"Gather fallen fruit in this zone.","Збіраць апалую садавіну ў гэтай зоне."
"Select animals to be placed in this pasture zone.  They will stay after being led here.","Выберыце жывёлу для размяшчэння ў гэтай пашы. Яны застануцца пасля таго, як іх прывядуць сюды."
"Designate this zone as the top of a pit.  Citizens will not fill the pit below with water.","Пазначыць гэтую зону як верхнюю частку ямы. Жыхары не будуць запаўняць яму вадой."
"Designate this zone as the top of a pond.  Citizens will bring buckets of water if the pond below isn't filled.","Пазначыць гэтую зону як верхнюю частку сажалкі. Жыхары прынясуць вёдры з вадой, калі сажалка ўнізе не запоўненая."
"Select animals to be dropped into the pit or pond below this zone.  Animals will not feel obligated to stay if they can find a way out.","Выбраць жывёл, якіх трэба кінуць у яму або сажалку ніжэй гэтай зоны. Жывёлы не будуць адчуваць сябе абавязанымі заставацца, калі змогуць знайсці выхад."
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","Прызначыць новае або існуючае месца для гэтай зоны. Месцы - гэта групы зон і памяшканняў з больш шырокім прызначэннем, напрыклад, карчма, храм, бібліятэка або рамесная гільдзала."
"Set details for the assigned location.","Усталяваць дэталі для прызначанага месца."
"Select this option and any unassigned deceased citizens will be buried here automatically.","Выберыце гэтую опцыю, і ўсе непрызначаныя памерлыя жыхары будуць пахаваны тут аўтаматычна."
"Select this option and any unassigned deceased pets will be buried here automatically.","Выберыце гэтую опцыю, і ўсе непрызначаныя памерлыя гадаванцы будуць пахаваны тут аўтаматычна."
"Choose which squads will use this barracks.","Выберыце атрады якія будуць выкарыстоўваць гэтую казарму."
"Remove the zone being painted permanently.  Also removes existing zones!","Выдаліць зону назаўсёды. Таксама выдаляе існуючыя зоны!"
"Your citizens will drink at a water source zone or gather water using buckets for various tasks.  This is useful if you don't have a functioning well and you want to control exactly where the tasks take place.","Вашыя жыхары будуць піць у зоне крыніцы вады або набіраць ваду вёдрамі для розных задач. Гэта карысна, калі ў вас няма калодзежа, які працуе, і вы хочаце кантраляваць, дзе менавіта выконваюцца загады."
"Remove the current worker from the task.","Скасаваць бягучага працаўніка з загаду."
"Automated workshops","Аўтаматызаваныя майстэрні"
"plant fiber","расліннае валакно"
"I don't remember clearly.","Дакладна не памятаю."
"the criminals","злачынцы"
" threatens our people with its very presence."," пагражае нам сваёй прысутнасцю."
"  Seek your foe in the ","  Шукайце свайго ворага ў "
"a desire to kill the living and any others in opposition","жаданне забіваць жывых і ўсіх нязгодных"
"the adversary's inability to communicate and form treaties","няздольнасць праціўніка мець зносіны і дамаўляцца"
"a blacksmith's shop","майстэрня каваля"
"you","вы"
" is well-traveled and would probably have that information."," багата вандруе і, верагодна, мае інфармацыю."
"a village nearby","вёска паблізу"
"town","гарадок"
"Well, there must be something else to discuss.","Што ж, нам ёсць яшчэ аб чым пагутарыць."
"The dancers perform ","Танцоры выконваюць "
"Stockpile","Склад"
"Valid Pond Dump","Дзеячая звалка"
"Stockpile #","Склад #"
"covering","вокладка"
"my","мой"
"were ","былі "
"will be ","будзе "
"are "," "
"will ","будзе "
"appearing","з'яўляецца"
"appears","з'яўляецца"
"appear","з'явіцца"
"destroying","разбурае"
"destroyed","разбураны"
"destroys","разбурае"
"destroy","разбурыць"
"speaking","гаворыць"
"spoke","гаварыў"
"speaks","гаварыць"
"speak","гаварыць"
"burned","спаліў"
"burn","паліць"
"flooded","затоплены"
"in acceptance","у прыняцці"
"feeling affection","пачуццё прыхільнасці"
"in agony","у агоніі"
"feeling alienated","пачуццё адчужэння"
"feeling ambivalent","пачуццё супярэчлівасці"
"anguished","пакутуе"
"feeling apathetic","пачуццё апатыі"
"feeling aversion","пачуццё агіды"
"awed","абамлеўшы"
"feeling dislike","адчуванне асуджэння"
"empathetic","эмпатычны"
"feeling guilty","адчуванне віны"
"feeling hopeless","адчуванне безнадзейнасці"
" returned"," вярнуўся"
"Last I remember, I had it.","Апошняе, што я памятаю, у мяне гэта было."
"Last I heard, I had it.","Апошняе, што я чуў, у мяне гэта было."
"Last I heard, you held it.","Апошні раз я чуў, што вы трымалі гэта."
"Last I saw, it was held by ","Апошні раз я бачыў, што яго трымалі "
"Last I heard, it was held by ","Апошняе, што я чуў, яго трымалі "
"Last I saw, it was in ","Апошні раз я бачыў, што гэта было ў "
"a hospital","шпіталь"
"a library","бібліятэка"
"a tavern","карчма"
"a market","рынак"
"a dungeon","падзямелле"
"a tower","вежа"
" robbed "," абрабаваў "
"an infamous villain","сумна вядомы злыдзень"
"a skilled hunter","дасведчаны паляўнічы"
"People should be able to control themselves, but it's fine to follow impulses that aren't too harmful.","Людзі павінны кантраляваць сябе, але варта даваць волю  нешкадлівым імпульсам."
"It's great when we all get a chance to be merry together.","Як добра, калі мы ўсе маем магчымасць павесяліцца разам."
"I'm feeling randy today!","Я сёння ўзбуджаны!"
"Do your duty.","Рабі тое, што павінен рабіць."
"Such an offense!","Як абразліва!"
"I will master myself.","Усё будзе добра."
"This cannot horrify me.","Гэта не можа мяне напужаць."
"I'm a little angry.","Я крыху злы."
"It has come to pass.","Здзейснілася."
"This doesn't scare me.","Гэта мяне не пужае."
"I feel somewhat sad.","Мне неяк сумна."
"That was satisfying.","Гэта задавальняе."
"This is nice.","Гэта прыемна."
"This could be bliss.","Гэта можа быць асалодай."
"This might require an answer.","На гэта можа спатрэбіцца адказ."
"I can accept this.","Я магу гэта прыняць."
"I can adore this.","Я магу любіць гэта."
"That might be affection I feel.","Гэта можа быць прыхільнасць, якую я адчуваю."
"This is agitating.","Гэта дзіўна."
"I feel empathy.","Я адчуваю спачуванне."
"I feel empty.","Я адчуваю сябе спустошаным."
"I enjoyed that.","Мне гэта спадабалася."
"That was exasperating.","Гэта раздражняла."
"That's exhilarating.","Гэта хвалюе."
"I burn with ferocity.","Я палаю ад лютасцю."
"I feel fond.","Я адчуваю пяшчотнасць."
"I'm free.","Я вольны."
"It's frustrating.","Я расчараваны."
"There's some glee here!","Тут ёсць нейкая радасць!"
"I'm a little gloomy.","Я крыху змрочны."
"I'm glum.","Я маркотны."
"I'm grateful.","Я ўдзячны."
"I'm a little grouchy.","Я крыху бурклівы."
"Harumph.","Пф."
"I feel guilty.","Я адчуваю сябе вінаватым."
"I feel hate.","Адчуваю нянавісць."
"I have hope.","У мяне ёсць надзея."
"I feel isolated.","Я адчуваю сябе ізаляваным."
"It makes me jolly.","Гэта забаўляе."
"I feel loathing.","Я адчуваю агіду."
"I'm lonely.","Я самотны."
"I'm lustful.","Я юрлівы."
"I feel passion.","Я адчуваю запал."
"It pleases me.","Мяне гэта радуе."
"I feel rejected.","Я адчуваю сябе адрынутым."
"I feel regret.","Мне шкада."
"I feel remorse.","Я адчуваю згрызоты сумлення."
"I feel restless.","Я адчуваю сябе неспакойна."
"I've been wronged.","Мяне пакрыўдзілі."
"I will serve.","Я буду служыць."
"I am ashamed.","Мне сорамна."
"Thrilling.","Захапляльна."
"I'm unhappy.","Я няшчасны."
"It's wondrous.","Гэта цудоўна."
"I'm beat.","Я змардаваны."
"Let's do this.","Давайце зробім гэта."
"Things usually don't work out","Звычайна справы не ладзяцца"
"I feel pretty good.","Пачуваюся даволі добра."
"This is gaiety.","Гэта весела."
"I'm excited.","Я ў захапленні."
"Takes all kinds these days.","У гэтыя дні здараецца ўсялякае."
"What is it this time...","Што на гэты раз..."
"That did not shock me.","Гэта мяне не ўзрушыла."
"There is no need for celebration.","Няма чаго святкаваць."
"I suppose this would be a joyous occasion.","Мяркую, што гэта была б радасная падзея."
"There's not much to admire here.","Тут няма чым захапляцца."
"I suppose I should be feel adoration.","Мяркую я павінен адчуваць захапленне."
"I'm not feeling very affectionate.","Я не адчуваю ласкі."
"I don't feel agitated.","Я не ў захапленні."
"I can take this.","Я магу пра гэта паклапаціцца."
"That wasn't amazing.","Нічога надзвычайнага."
"I guess I should be feeling ambivalent right now.","Я мяркую, што павінен адчуваць сябе неадназначна."
"I'm not angry.","Я не злуюся."
"This is nothing.","Гэта нічога."
"No, that's not annoying.","Не, гэта не раздражняе."
"That is not in the least bit arousing.","Гэта ніколькі не ўзбуджае."
"Astonished?  No.","Здзіўленне?  Не."
"This isn't confusing.","Гэта не бянтэжыць."
"This won't make me lose faith.","Гэта не прымусіць мяне страціць веру."
"I'm not feeling nostalgic.","Я не настальгую."
"This doesn't outrage me.","Мяне гэта не абурае."
"I'm not feeling passionate.","Я не адчуваю запалу."
"I take no pleasure in this.","Я не атрымліваю ад гэтага задавальнення."
"I am not proud.","Я не ганаруся."
"This does not move me.","Гэта мяне не кранае."
"I don't feel restless.","Я не адчуваю неспакою."
"There will be no sympathy from me.","Ад мяне спагады не будзе."
"I'm not uneasy.","Мне нармальна."
"I've been out in the sunshine again after a long time away.","Пасля доўгай адсутнасці я зноў апынуўся на сонейку."
"I slept on the floor.","Я спаў на падлозе."
"a setting worthy of legends","абстаноўка, вартая легенд"
"This poetry is so funny!","Гэтая паэзія такая смешная!"
"The lyrics are so funny!","Тэкст такі смешны!"
"I love the raunchy lyrics!","Я люблю пажадныя тэксты!"
"not one day ago","меньш за содні таму"
"a few days ago","некалькі дзён таму"
"a week ago","тыдзень таму"
"a month ago","месяц таму"
"a few months ago","некалькі месяцаў таму"
"months ago","месяцаў таму"
"a year ago","год таму"
"a few years ago","некалькі гадоў таму"
"several years ago","некалькі гадоў таму"
"many years ago","шмат гадоў таму"
"long ago","даўно"
"a creature","істоту"
"I slew ","Я забіў "
"I do not have ","У мяне няма "
"We are besieged by a terrifying monster from the harshest wilderness.","Нас асаджае жахлівы монстр з суровай дзікай прыроды."
