"more presumptious","domìçlivØjç¡"
"upper bodies","vrchn¡ Ÿ sti tØl"
"lower body","doln¡ Ÿ st tØla"
"lower bodies","doln¡ Ÿ sti tØl"
"right upper arm","prav  horn¡ ruka"
"right upper arms","prav‚ horn¡ ruce"
"prav  horn¡ rukas","prav‚ horn¡ ruce"
"left upper arm","lev  horn¡ ruka"
"left upper arms","lev‚ horn¡ ruce"
"lev  horn¡ rukas","lev‚ horn¡ ruce"
"right lower arm","prav  doln¡ ruka"
"right lower arms","prav‚ doln¡ ruce"
"prav  doln¡ rukas","prav‚ doln¡ ruce"
"left lower arm","lev  doln¡ ruka"
"left lower arms","lev‚ doln¡ ruce"
"lev  doln¡ rukas","lev‚ doln¡ ruce"
"right hand","prav  dlaå"
"right hands","prav‚ dlanØ"
"prav  dlaås","prav‚ dlanØ"
"left hand","lev  dlaå"
"left hands","lev‚ dlanØ"
"lev  dlaås","lev‚ dlanØ"
"right upper leg","prav  horn¡ noha"
"right upper legs","prav‚ horn¡ nohy"
"prav  horn¡ nohas","prav‚ horn¡ nohy"
"left upper leg","lev  horn¡ noha"
"left upper legs","lev‚ horn¡ nohy"
"lev  horn¡ nohas","lev‚ horn¡ nohy"
"right lower leg","prav  doln¡ noha"
"right lower legs","prav‚ doln¡ nohy"
"prav  doln¡ nohas","prav‚ doln¡ nohy"
"left lower leg","lev  doln¡ noha"
"left lower legs","lev‚ doln¡ nohy"
"lev  doln¡ nohas","lev‚ doln¡ nohy"
"right foot","prav‚ chodidlo"
"right feet","prav  chodidla"
"left foot","lev‚ chodidlo"
"left feet","lev  chodidla"
"right front leg","prav  pýedn¡ noha"
"right front legs","prav‚ pýedn¡ nohy"
"prav  pýedn¡ nohas","prav‚ pýedn¡ nohy"
"left front leg","lev  pýedn¡ noha"
"left front legs","lev‚ pýedn¡ nohy"
"lev  pýedn¡ nohas","lev‚ pýedn¡ nohy"
"right front foot","prav‚ pýedn¡ chodidlo"
"right front feet","prav  pýedn¡ chodidla"
"left front foot","lev‚ pýedn¡ chodidlo"
"left front feet","lev  pýedn¡ chodidla"
"right rear leg","prav  zadn¡ noha"
"right rear legs","prav‚ zadn¡ nohy"
"prav  zadn¡ nohas","prav‚ zadn¡ nohy"
"left rear leg","lev  zadn¡ noha"
"left rear legs","lev‚ zadn¡ nohy"
"lev  zadn¡ nohas","lev‚ zadn¡ nohy"
"right rear foot","prav‚ zadn¡ chodidlo"
"right rear feet","prav  zadn¡ chodidla"
"left rear foot","lev‚ zadn¡ chodidlo"
"left rear feet","lev  zadn¡ chodidla"
"first neck","prvn¡ krk"
"first necks","prvn¡ krky"
"prvn¡ krks","prvn¡ krky"
"second neck","druhì krk"
"second necks","druh‚ krky"
"druhì krks","druh‚ krky"
"third neck","týet¡ krk"
"third necks","týet¡ krky"
"týet¡ krks","týet¡ krky"
"fourth neck","Ÿtvrtì krk"
"fourth necks","Ÿtvrt‚ krky"
"Ÿtvrtì krks","Ÿtvrt‚ krky"
"fifth neck","p tì krk"
"fifth necks","p t‚ krky"
"p tì krks","p t‚ krky"
"sixth neck","çestì krk"
"sixth necks","çest‚ krky"
"çestì krks","çest‚ krky"
"seventh neck","sedm¡ krk"
"seventh necks","sedm‚ krky"
"sedm¡ krks","sedm‚ krky"
"first head","prvn¡ hlava"
"first heads","prvn¡ hlavy"
"prvn¡ hlavas","prvn¡ hlavy"
"second head","druh  hlava"
"second heads","druh‚ hlavy"
"druh  hlavas","druh‚ hlavy"
"third head","týet¡ hlava"
"third heads","týet¡ hlavy"
"týet¡ hlavas","týet¡ hlavy"
"fourth head","Ÿtvrt  hlava"
"fourth heads","Ÿtvrt‚ hlavy"
"Ÿtvrt  hlavas","Ÿtvrt‚ hlavy"
"fifth head","p t  hlava"
"fifth heads","p t‚ hlavy"
"p t  hlavas","p t‚ hlavy"
"sixth head","çest  hlava"
"sixth heads","çest‚ hlavy"
"çest  hlavas","çest‚ hlavy"
"seventh head","sedm  hlava"
"seventh heads","sedm‚ hlavy"
"sedm  hlavas","sedm‚ hlavy"
"hlavas","hlavy"
"neck","krk"
"necks","krky"
"krks","krky"
"right hoof","prav‚ kopyto"
"right hooves","prav  kopyta"
"left hoof","lev‚ kopyto"
"left hooves","lev  kopyta"
"right wing","prav‚ ký¡dlo"
"right wings","prav‚ ký¡dla"
"prav‚ ký¡dlos","prav‚ ký¡dla"
"left wing","lev‚ ký¡dlo"
"left wings","lev‚ ký¡dla"
"lev‚ ký¡dlos","lev‚ ký¡dla"
"first right upper arm","prvn¡ prav  horn¡ ruka"
"first right upper arms","prvn¡ prav‚ horn¡ ruce"
"prvn¡ prav  horn¡ rukas","prvn¡ prav‚ horn¡ ruce"
"first left upper arm","prvn¡ lev  horn¡ ruka"
"first left upper arms","prvn¡ lev‚ horn¡ ruce"
"prvn¡ lev  horn¡ rukas","prvn¡ lev‚ horn¡ ruce"
"first right lower arm","prvn¡ prav  doln¡ ruka"
"first right lower arms","prvn¡ prav‚ doln¡ ruce"
"prvn¡ prav  doln¡ rukas","prvn¡ prav‚ doln¡ ruce"
"first left lower arm","prvn¡ lev  doln¡ ruka"
"first left lower arms","prvn¡ lev‚ doln¡ ruce"
"prvn¡ lev  doln¡ rukas","prvn¡ lev‚ doln¡ ruce"
"first right hand","prvn¡ prav  dlaå"
"first right hands","prvn¡ prav‚ dlanØ"
"prvn¡ prav  dlaås","prvn¡ prav‚ dlanØ"
"first left hand","prvn¡ lev  dlaå"
"first left hands","prvn¡ lev‚ dlanØ"
"prvn¡ lev  dlaås","prvn¡ lev‚ dlanØ"
"second right upper arm","druh  prav  horn¡ ruka"
"second right upper arms","hruh‚ prav‚ horn¡ ruce"
"druh  prav  horn¡ rukas","hruh‚ prav‚ horn¡ ruce"
"second left upper arm","druh  lev  horn¡ ruka"
"second left upper arms","druh‚ lev‚ horn¡ ruce"
"druh  lev  horn¡ rukas","druh‚ lev‚ horn¡ ruce"
"second right lower arm","druh  prav  doln¡ ruka"
"second right lower arms","druh‚ prav‚ doln¡ ruce"
"druh  prav  doln¡ rukas","druh‚ prav‚ doln¡ ruce"
"second left lower arm","druh  lev  doln¡ ruka"
"second left lower arms","druh‚ lev‚ doln¡ ruce"
"druh  lev  doln¡ rukas","druh‚ lev‚ doln¡ ruce"
"second right hand","druh  prav  dlaå"
"second right hands","druh‚ prav‚ dlanØ"
"druh  prav  dlaås","druh‚ prav‚ dlanØ"
"second left hand","druh  lev  dlaå"
"second left hands","druh‚ lev‚ dlanØ"
"druh  lev  dlaås","druh‚ lev‚ dlanØ"
"third right upper arm","týet¡ prav  horn¡ ruka"
"third right upper arms","týet¡ prav‚ horn¡ ruce"
"týet¡ prav  horn¡ rukas","týet¡ prav‚ horn¡ ruce"
"third left upper arm","týet¡ lev  horn¡ ruka"
"third left upper arms","týet¡ lev‚ horn¡ ruce"
"týet¡ lev  horn¡ rukas","týet¡ lev‚ horn¡ ruce"
"third right lower arm","týet¡ prav  doln¡ ruka"
"third right lower arms","týet¡ prav‚ doln¡ ruce"
"týet¡ prav  doln¡ rukas","týet¡ prav‚ doln¡ ruce"
"third left lower arm","týet¡ lev  doln¡ ruka"
"third left lower arms","týet¡ lev‚ doln¡ ruce"
"týet¡ lev  doln¡ rukas","týet¡ lev‚ doln¡ ruce"
"third right hand","týet¡ prav  dlaå"
"third right hands","týet¡ prav‚ dlanØ"
"týet¡ prav  dlaås","týet¡ prav‚ dlanØ"
"third left hand","týet¡ lev  dlaå"
"third left hands","týet¡ lev‚ dlanØ"
"týet¡ lev  dlaås","týet¡ lev‚ dlanØ"
"right head","prav  hlava"
"right heads","prav‚ hlavy"
"prav  hlavas","prav‚ hlavy"
"left head","lev  hlava"
"left heads","lev‚ hlavy"
"lev  hlavas","lev‚ hlavy"
"right neck","pravì krk"
"right necks","prav‚ krky"
"pravì krks","prav‚ krky"
"left neck","levì krk"
"left necks","lev‚ krky"
"levì krks","lev‚ krky"
"right arm","prav  ruka"
"right arms","prav‚ ruce"
"prav  rukas","prav‚ ruce"
"left arm","lev  ruka"
"left arms","lev‚ ruce"
"lev  rukas","lev‚ ruce"
"right leg","prav  noha"
"right legs","prav‚ nohy"
"prav  nohas","prav‚ nohy"
"left leg","lev  noha"
"left legs","lev‚ nohy"
"lev  nohas","lev‚ nohy"
"right front hoof","prav‚ pýedn¡ kopyto"
"right front hooves","prav  pýedn¡ kopyta"
"left front hoof","lev‚ pýedn¡ kopyto"
"left front hooves","lev  pýedn¡  kopyta"
"right rear hoof","prav‚ zadn¡ kopyto"
"right rear hooves","prav  zadn¡ kopyta"
"left rear hoof","lev‚ zadn¡ kopyto"
"left rear hooves","lev  zadn¡ kopyta"
"thorax","hrudn¡k"
"thoraxes","hrudn¡ky"
"abdomen","býicho"
"abdomens","býicha"
"býichos","býicha"
"right first leg","prvn¡ prav  noha"
"right first legs","prvn¡ prav‚ nohy"
"prvn¡ prav  nohas","prvn¡ prav‚ nohy"
"left first leg","prvn¡ lev  noha"
"left first legs","prvn¡ lev‚ nohy"
"prvn¡ lev  nohas","prvn¡ lev‚ nohy"
"right first foot","prvn¡ prav‚ chodidlo"
"right first feet","prvn¡ prav  chodidla"
"left first foot","prvn¡ lev‚ chodidlo"
"left first feet","prvn¡ lev  chodidla"
"right second leg","druh  prav  noha"
"right second legs","druh‚ prav‚ nohy"
"druh  prav  nohas","druh‚ prav‚ nohy"
"left second leg","druh  lev  noha"
"left second legs","druh‚ lev‚ nohy"
"druh  lev  nohas","druh‚ lev‚ nohy"
"right second foot","druh‚ prav‚ chodidlo"
"right second feet","druh  prav  chodidla"
"left second foot","druh‚ lev‚ chodidlo"
"left second feet","druh  lev  chodidla"
"right third leg","týet¡ prav  noha"
"right third legs","týet¡ prav‚ nohy"
"prav‚ týet¡ nohas","prav‚ týet¡ nohy"
"left third leg","týet¡ lev  noha"
"left third legs","týet¡ lev‚ nohy"
"lev  týet¡ nohas","lev‚ týet¡ nohy"
"right third foot","týet¡ prav‚ chodidlo"
"right third feet","týet¡ prav  chodidla"
"left third foot","týet¡ lev‚ chodidlo"
"left third feet","týet¡ lev  chodidla"
"right upper foreleg","prav  horn¡ pýedn¡ noha"
"right upper forelegs","prav‚ horn¡ pýedn¡ nohy"
"prav  horn¡ pýedn¡ nohas","prav‚ horn¡ pýedn¡ nohy"
"left upper foreleg","lev  horn¡ pýedn¡ noha"
"left upper forelegs","lev‚ horn¡ pýedn¡ nohy"
"lev  horn¡ pýedn¡ nohas","lev‚ horn¡ pýedn¡ nohy"
"right lower foreleg","prav  doln¡ pýedn¡ noha"
"right lower forelegs","prav‚ doln¡ pýedn¡ nohy"
"prav  doln¡ pýedn¡ nohas","prav‚ doln¡ pýedn¡ nohy"
"left lower foreleg","lev  doln¡ pýedn¡ noha"
"left lower forelegs","lev‚ doln¡ pýedn¡ nohy"
"lev  doln¡ pýedn¡ nohas","lev‚ doln¡ pýedn¡ nohy"
"right forefoot","pýedn¡ prav‚ chodidlo"
"right forefeet","pýedn¡ prav  chodidla"
"left forefoot","pýedn¡ lev‚ chodidlo"
"left forefeet","pýedn¡ lev  chodidla"
"týet¡ prav  nohas","týet¡ prav‚ nohy"
"týet¡ lev  nohas","týet¡ lev‚ nohy"
"cephalothorax","hlavohruÔ"
"cephalothoraxes","hlahodrudi"
"right fourth leg","Ÿtvrt  prav  noha"
"right fourth legs","Ÿtvrt‚ prav‚ nohy"
"Ÿtvrt  prav  nohas","Ÿtvrt‚ prav‚ nohy"
"left fourth leg","Ÿtvrt  lev  noha"
"left fourth legs","Ÿtvrt‚ lev‚ nohy"
"Ÿtvrt  lev  nohas","Ÿtvrt‚ lev‚ nohy"
"right fourth foot","Ÿtvrt‚ prav‚ chodidlo"
"right fourth feet","Ÿtvrt  prav  chodidla"
"left fourth foot","Ÿtvrt‚ lev‚ chodidlo"
"left fourth feet","Ÿtvrt  lev  chodidla"
"right tentacle","prav‚ chapadlo"
"right tentacles","prav‚ chapadla"
"prav‚ chapadlos","prav‚ chapadla"
"left tentacle","lev‚ chapadlo"
"left tentacles","lev‚ chapadla"
"lev‚ chapadlos","lev‚ chapadla"
"mouth","£sta"
"mouths","£sta"
"£stas","£sta"
"first arm","prvn¡ ruka"
"first arms","prvn¡ ruce"
"prvn¡ rukas","prvn¡ ruce"
"second arm","druh  ruka"
"second arms","druh‚ ruce"
"druh  rukas","druh‚ ruce"
"third arm","týet¡ ruka"
"third arms","týet¡ ruce"
"týet¡ rukas","týet¡ ruce"
"fourth arm","Ÿtvrt  ruka"
"fourth arms","Ÿtvrt‚ ruce"
"Ÿtvrt  rukas","Ÿtvrt‚ ruce"
"fifth arm","p t  ruka"
"fifth arms","p t‚ ruce"
"p t  rukas","p t‚ ruce"
"sixth arm","çest  ruka"
"sixth arms","çest‚ ruce"
"çest  rukas","çest‚ ruce"
"seventh arm","sedm  ruka"
"seventh arms","sedm‚ ruce"
"sedm  rukas","sedm‚ ruce"
"eighth arm","osm  ruka"
"eighth arms","osm‚ ruce"
"osm  rukas","osm‚ ruce"
"right tentacle club","klacek prav‚ho chapadla"
"left tentacle club","klacek lev‚ho chapadla"
"right upper tentacle","prav‚ horn¡ chapadlo"
"right upper tentacles","prav‚ horn¡ chapadla"
"prav‚ horn¡ chapadlos","prav‚ horn¡ chapadla"
"left upper tentacle","lev‚ horn¡ chapadlo"
"left upper tentacles","lev‚ horn¡ chapadla"
"lev‚ horn¡ chapadlos","lev‚ horn¡ chapadla"
"right upper claw","pravì horn¡ dr p"
"right upper claws","prav‚ horn¡ dr py"
"pravì horn¡ dr ps","prav‚ horn¡ dr py"
"left upper claw","levì horn¡ dr p"
"left upper claws","lev‚ horn¡ dr py"
"levì horn¡ dr ps","lev‚ horn¡ dr py"
"right lower tentacle","prav‚ doln¡ chapadlo"
"right lower tentacles","prav‚ doln¡ chapadla"
"prav‚ doln¡ chapadlos","prav‚ doln¡ chapadla"
"left lower tentacle","lev‚ doln¡ chapadlo"
"left lower tentacles","lev‚ doln¡ chapadla"
"lev‚ doln¡ chapadlos","lev‚ doln¡ chapadla"
"right lower claw","pravì doln¡ dr p"
"right lower claws","prav‚ doln¡ dr py"
"pravì doln¡ dr ps","prav‚ doln¡ dr py"
"left lower claw","levì doln¡ dr p"
"left lower claws","lev‚ doln¡ dr py"
"levì doln¡ dr ps","lev‚ doln¡ dr py"
"right middle tentacle","prav‚ stýedn¡ chapadlo"
"right middle tentacles","prav‚ stýedn¡ chapadla"
"prav‚ stýedn¡ chapadlos","prav‚ stýedn¡ chapadla"
"left middle tentacle","lev‚ stýedn¡ chapadlo"
"left middle tentacles","lev‚ stýedn¡ chapadla"
"lev‚ stýedn¡ chapadlos","lev‚ stýedn¡ chapadla"
"right middle claw","pravì stýedn¡ dr p"
"right middle claws","prav‚ stýedn¡ dr py"
"pravì stýedn¡ dr ps","prav‚ stýedn¡ dr py"
"left middle claw","levì stýedn¡ dr p"
"left middle claws","lev‚ stýedn¡ dr py"
"levì stýedn¡ dr ps","lev‚ stýedn¡ dr py"
"front","pýedek"
"fronts","pýedky"
"pýedeks","pýedky"
"backs","zadky"
"zadeks","zadky"
"right front wheel","prav‚ pýedn¡ kolo"
"right front wheels","prav‚ pýedn¡ kola"
"prav‚ pýedn¡ kolos","prav‚ pýedn¡ kola"
"left front wheel","lev‚ pýedn¡ kolo"
"left front wheels","lev‚ pýedn¡ kola"
"lev‚ pýedn¡ kolos","lev‚ pýedn¡ kola"
"right rear wheel","prav‚ zadn¡ kolo"
"right rear wheels","prav‚ zadn¡ kola"
"prav‚ zadn¡ kolos","prav‚ zadn¡ kola"
"left rear wheel","lev‚ zadn¡ kolo"
"left rear wheels","lev‚ zadn¡ kola"
"lev‚ zadn¡ kolos","lev‚ zadn¡ kola"
"tail","ocas"
"tails","ocasy"
"ocass","ocasy"
"ulitas","ulity"
"stinger","§ihadlo"
"stingers","§ihadla"
"§ihadlos","§ihadla"
"right pincer","prav‚ kusadlo"
"right pincers","prav‚ kusadla"
"prav‚ kusadlos","prav‚ kusadla"
"left pincer","lev‚ kusadlo"
"left pincers","lev‚ kusadla"
"lev‚ kusadlos","lev‚ kusadla"
"right eye","prav‚ oko"
"right eyes","prav‚ oŸi"
"prav‚ okos","prav‚ oŸi"
"left eye","lev‚ oko"
"left eyes","lev‚ oŸi"
"lev‚ okos","lev‚ oŸi"
"center eye","prostýedn¡ oko"
"center eyes","prostýedn¡ oŸi"
"prostýedn¡ okos","prostýedn¡ oŸi"
"first eye","prvn¡ oko"
"first eyes","prvn¡ oŸi"
"prvn¡ okos","prvn¡ oŸi"
"second eye","druh‚ oko"
"second eyes","druh‚ oŸi"
"druh‚ okos","druh‚ oŸi"
"third eye","týet¡ oko"
"third eyes","týet¡ oŸi"
"týet¡ okos","týet¡ oŸi"
"fourth eye","Ÿtvrt‚ oko"
"fourth eyes","Ÿtvrt‚ oŸi"
"Ÿtvrt‚ okos","Ÿtvrt‚ oŸi"
"right eyestalk","prav  oŸn¡ stopka"
"right eyestalks","prav‚ oŸn¡ stopky"
"prav  oŸn¡ stopkas","prav‚ oŸn¡ stopky"
"left eyestalk","lev  oŸn¡ stopka"
"left eyestalks","lev‚ oŸn¡ stopky"
"lev  oŸn¡ stopkas","lev‚ oŸn¡ stopky"
"right tusk","pravì kel"
"right tusks","prav‚ kly"
"pravì kels","prav‚ kly"
"left tusk","levì kel"
"left tusks","lev‚ kly"
"levì kels","lev‚ kly"
"nose","nos"
"noses","Ÿum ky"
"noss","nosy"
"snout","Ÿum k"
"snouts","Ÿenichy"
"Ÿenichs","Ÿenichy"
"trunk","trup"
"trunks","trupy"
"trups","trupy"
"right ear","prav‚ ucho"
"right ears","prav‚ uçi"
"prav‚ uchos","prav‚ uçi"
"left ear","lev‚ ucho"
"left ears","lev‚ uçi"
"lev‚ uchos","lev‚ uçi"
"right lung","prav  pl¡ce"
"right lungs","prav‚ pl¡ce"
"prav  pl¡ces","prav‚ pl¡ce"
"left lung","lev  pl¡ce"
"left lungs","lev‚ pl¡ce"
"lev  pl¡ces","lev‚ pl¡ce"
"proboscis","sos k"
"proboscises","sos ky"
"beak","zob k"
"beaks","zob ky"
"zob ks","zob ky"
"heart","srdce"
"hearts","srdce"
"srdces","srdce"
"guts","vnitýnosti"
"gizzard","§aludek"
"gizzards","pýed§aludky"
"pýed§aludeks","pýed§aludky"
"liver","j tra"
"livers","j tra"
"j tras","j tra"
"stomach","§aludek"
"stomachs","§aludky"
"§aludeks","§aludky"
"pancreas","slinivka býiçn¡"
"pancreases","slinivky býiçn¡"
"spleen","slezina"
"spleens","sleziny"
"slezinas","sleziny"
"right kidney","prav  ledvina"
"right kidneys","prav‚ ledviny"
"prav  ledvinas","prav‚ ledviny"
"left kidney","lev  ledvina"
"left kidneys","lev‚ ledviny"
"lev  ledvinas","lev‚ ledviny"
"right shoulder","prav‚ rameno"
"right shoulders","prav‚ ramena"
"prav‚ ramenos","prav‚ ramena"
"left shoulder","lev‚ rameno"
"left shoulders","lev‚ ramena"
"lev‚ ramenos","lev‚ ramena"
"right elbow","pravì loket"
"right elbows","prav‚ lokty"
"pravì lokets","prav‚ lokty"
"left elbow","levì loket"
"left elbows","lev‚ lokty"
"levì lokets","lev‚ lokty"
"right wrist","prav‚ z pØst¡"
"right wrists","prav‚ z pØst¡"
"prav‚ z pØst¡s","prav‚ z pØst¡"
"left wrist","lev‚ z pØst¡"
"left wrists","lev‚ z pØst¡"
"lev‚ z pØst¡s","lev‚ z pØst¡"
"right hip","pravì bok"
"right hips","prav‚ boky"
"pravì boks","prav‚ boky"
"left hip","levì bok"
"left hips","lev‚ boky"
"levì boks","lev‚ boky"
"right knee","prav‚ koleno"
"right knees","prav‚ kolena"
"prav‚ kolenos","prav‚ kolena"
"left knee","lev‚ koleno"
"left knees","lev‚ kolena"
"lev‚ kolenos","lev‚ kolena"
"right ankle","pravì kotn¡k"
"right ankles","prav‚ kotn¡ky"
"pravì kotn¡ks","prav‚ kotn¡ky"
"left ankle","levì kotn¡k"
"left ankles","lev‚ kotn¡ky"
"levì kotn¡ks","lev‚ kotn¡ky"
"throat","hrdlo"
"throats","hrdla"
"hrdlos","hrdla"
"upper spine","horn¡ p teý"
"upper spines","horn¡ p teýe"
"horn¡ p teýs","horn¡ p teýe"
"middle spine","stýedn¡ p teý"
"middle spines","stýedn¡ p teýe"
"stýedn¡ p teýs","stýedn¡ p teýe"
"lower spine","doln¡ p teý"
"lower spines","doln¡ p taýe"
"doln¡ p teýs","doln¡ p taýe"
"brain","mozek"
"brains","mozky"
"mozeks","mozky"
"skull","lebka"
"skulls","lebky"
"lebkas","lebky"
"casque","pýilba"
"horns","rohy"
"rohs","rohy"
"right horn","pravì roh"
"right horns","prav‚ rohy"
"pravì rohs","prav‚ rohy"
"left horn","levì roh"
"left horns","lev‚ rohy"
"levì rohs","lev‚ rohy"
"first horn","prvn¡ roh"
"first horns","prvn¡ rohy"
"prvn¡ rohs","prvn¡ rohy"
"second horn","druhì roh"
"second horns","druh‚ rohy"
"druhì rohs","druh‚ rohy"
"right antler","pravì paroh"
"right antlers","prav‚ parohy"
"pravì parohs","prav‚ parohy"
"left antler","levì paroh"
"left antlers","lev‚ parohy"
"levì parohs","lev‚ parohy"
"eye","oko"
"eyes","oŸi"
"okos","oŸi"
"eyelid","oŸn¡ v¡Ÿko"
"eyelids","oŸn¡ v¡Ÿka"
"oŸn¡ v¡Ÿkos","oŸn¡ v¡Ÿka"
"thumb","palec"
"thumbs","palce"
"palecs","palce"
"first finger","prvn¡ prst"
"first fingers","prvn¡ prsty"
"prvn¡ prsts","prvn¡ prsty"
"second finger","druhì prst"
"second fingers","druh‚ prsty"
"druhì prsts","druh‚ prsty"
"third finger","týet¡ prst"
"third fingers","týet¡ prsty"
"týet¡ prsts","týet¡ prsty"
"fourth finger","Ÿtvrtì prst"
"fourth fingers","Ÿtvrt‚ prsty"
"Ÿtvrtì prsts","Ÿtvrt‚ prsty"
"first toe","prvn¡ prst"
"first toes","prvn¡ prsty"
"second toe","druhì prst"
"second toes","druh‚ prsty"
"third toe","týet¡ prst"
"third toes","týet¡ prsty"
"fourth toe","Ÿtvrtì prst"
"fourth toes","Ÿtvrt‚ prsty"
"fifth toe","p tì prst"
"fifth toes","p t‚ prsty"
"p tì prsts","p t‚ prsty"
"first right front toe","prvn¡ pravì pýedn¡ prst"
"first right front toes","prvn¡ prav‚ pýedn¡ prsty"
"prvn¡ pravì pýedn¡ prsts","prvn¡ prav‚ pýedn¡ prsty"
"second right front toe","druhì pravì pýedn¡ prst"
"second right front toes","druh‚ prav‚ pýedn¡ prsty"
"druhì pravì pýedn¡ prsts","druh‚ prav‚ pýedn¡ prsty"
"third right front toe","týet¡ pravì pýedn¡ prst"
"third right front toes","týet¡ prav‚ pýedn¡ prsty"
"týet¡ pravì pýedn¡ prsts","týet¡ prav‚ pýedn¡ prsty"
"fourth right front toe","Ÿtvrtì pravì pýedn¡ prst"
"fourth right front toes","Ÿtvrt‚ prav‚ pýedn¡ prsty"
"Ÿtvrtì pravì pýedn¡ prsts","Ÿtvrt‚ prav‚ pýedn¡ prsty"
"fifth right front toe","p tì pravì pýedn¡ prst"
"fifth right front toes","p t‚ prav‚ pýedn¡ prsty"
"p tì pravì pýedn¡ prsts","p t‚ prav‚ pýedn¡ prsty"
"first left front toe","prvn¡ levì pýedn¡ prst"
"first left front toes","prvn¡ lev‚ pýedn¡ prsty"
"prvn¡ levì pýedn¡ prsts","prvn¡ lev‚ pýedn¡ prsty"
"second left front toe","druhì levì pýedn¡ prst"
"second left front toes","druh‚ lev‚ pýedn¡ prsty"
"druhì levì pýedn¡ prsts","druh‚ lev‚ pýedn¡ prsty"
"third left front toe","týet¡ levì pýedn¡ prst"
"third left front toes","týet¡ lev‚ pýedn¡ prsty"
"týet¡ levì pýedn¡ prsts","týet¡ lev‚ pýedn¡ prsty"
"fourth left front toe","Ÿtvrtì levì pýedn¡ prst"
"fourth left front toes","Ÿtvrt‚ lev‚ pýedn¡ prsty"
"Ÿtvrtì levì pýedn¡ prsts","Ÿtvrt‚ lev‚ pýedn¡ prsty"
"fifth left front toe","p tì levì pýedn¡ prst"
"fifth left front toes","p t‚ lev‚ pýedn¡ prsty"
"p tì levì pýedn¡ prsts","p t‚ lev‚ pýedn¡ prsty"
"first right rear toe","prvn¡ pravì zadn¡ prst"
"second right rear toe","druhì pravì zadn¡ prst"
"third right rear toe","týet¡ pravì zadn¡ prst"
"fourth right rear toe","Ÿtvrtì pravì zadn¡ prst"
"fifth right rear toe","p tì pravì zadn¡ prst"
"first left rear toe","prvn¡ levì zadn¡ prst"
"second left rear toe","druhì levì zadn¡ prst"
"third left rear toe","týet¡ levì zadn¡ prst"
"fourth left rear toe","Ÿtvrtì levì zadn¡ prst"
"fifth left rear toe","p tì levì zadn¡ prst"
"first right toe","pravì prvn¡ prst"
"second right toe","pravì druhì prst"
"third right toe","týet¡ pravì prst"
"fourth right toe","Ÿtvrtì pravì prst"
"fifth right toe","p tì pravì prst"
"first left toe","prvn¡ levì prst"
"second left toe","druhì levì prst"
"third left toe","týet¡ levì prst"
"fourth left toe","Ÿtvrtì levì prst"
"fifth left toe","p tì levì prst"
"first right finger","prvn¡ pravì prst"
"second right finger","druhì pravì prst"
"third right finger","týet¡ pravì prst"
"fourth right finger","Ÿtvrtì pravì prst"
"fifth right finger","p tì pravì prst"
"first left finger","prvn¡ levì prst"
"second left finger","druhì levì prst"
"third left finger","týet¡ levì prst"
"fourth left finger","Ÿtvrtì levì prst"
"fifth left finger","p tì levì prst"
"right fin","prav  ploutev"
"left fin","lev  ploutev"
"dorsal fin","hýbetn¡ ploutev"
"right flipper","prav  ploutev"
"left flipper","lev  ploutev"
"right front flipper","prav  pýedn¡ ploutev"
"left front flipper","lev  pýedn¡ ploutev"
"right rear flipper","prav  zadn¡ ploutev"
"left rear flipper","lev  zadn¡ ploutev"
"hump","hrb"
"front hump","pýedn¡ hrb"
"rear hump","zadn¡ hrb"
"left cheek","lev  l¡ce"
"right cheek","prav  l¡ce"
"left eyelid","lev‚ v¡Ÿko"
"right eyelid","prav‚ v¡Ÿko"
"tongue","jazyk"
"forked tongue","rozdvojenì jazyk"
"lower lip","doln¡ ret"
"upper lip","horn¡ ret"
"left true rib","skuteŸn‚ lev‚ §ebro"
"right true rib","skuteŸn‚ prav‚ §ebro"
"left false rib","faleçn‚ lev‚ §ebro"
"right false rib","faleçn‚ prav‚ §ebro"
"left floating rib","plovouc¡ lev‚ §ebro"
"right floating rib","plovouc¡ prav‚ §ebro"
"right eye tooth","pravì çpiŸ k"
"right eye teeth","prav‚ çpiŸ ky"
"left eye tooth","levì çpiŸ k"
"left eye teeth","lev‚ çpiŸ ky"
"right fang","pravì tes k"
"right fangs","prav‚ tes ky"
"left fang","levì tes k"
"left fangs","lev‚ tes ky"
"right upper incisor","pravì horn¡ ýez k"
"left upper incisor","levì horn¡ ýez k"
"right lower incisor","pravì doln¡ ýez k"
"left lower incisor","levì doln¡ ýez k"
"upper front tooth","horn¡ pýedn¡ zub"
"upper front teeth","horn¡ pýedn¡ zuby"
"first upper right incisor","prvn¡ horn¡ pravì ýez k"
"first upper left incisor","prvn¡ horn¡ levì ýez k"
"second upper right incisor","druhì horn¡ pravì ýez k"
"second upper left incisor","druhì horn¡ levì ýez k"
"lower front tooth","pýedn¡ doln¡ zub"
"lower front teeth","pýedn¡ doln¡ zuby"
"first lower right incisor","prvn¡ doln¡ pravì ýez k"
"first lower left incisor","prvn¡ doln¡ levì ýez k"
"second lower right incisor","druhì doln¡ pravì ýez k"
"second lower left incisor","druhì doln¡ levì ýez k"
"lower right canine","doln¡ pravì çpiŸ k"
"lower left canine","doln¡ levì çpiŸ k"
