"its","jego"
"Grand Bedroom","Wielka sypialnia "
"Great Bedroom","Wspaniaˆa sypialnia."
"Setting Bones","Nastawianie ko˜ci"
"Dressing Wounds","Opatrywanie ran"
"Feed Patients/Prisoners","Karmienie rannych/wi©«ni¢w"
"Recovering Wounded","Przenoszenie rannych"
"Small Animal Dissection","Wiwisekcja maˆych zwierz¥t"
"Clothesmaking","Szycie ubraä"
"Farming (Fields)","Hodowanie (pola uprawne)"
"Hunting","Polowanie"
"Furnace Operating","Operowanie piecem"
"Armoring","Kucie zbroi"
"Blacksmithing","Kowalstwo"
"Crossbow-making","wytwarzanie kuszy"
"Mechanics","Mechanika"
"Other Jobs","Inne Prace"
"insurrection","insurekcja"
"adventure","przygoda"
"flight","lot"
"conflict","konflikt"
"hungry","gˆodny"
"good food","dobre jedzenie "
"eating at crowded table","jedzenie przy zatˆoczonym stole"
"slept on grass","spaˆ na trawie"
"official meeting in bedroom","oficjalne spotkanie w sypialni. "
"for an insurrection","na powstanie"
"as a guide","jako przewodnik"
"after a violent disagreement","po agresywnej r¢¾nicy zdaä"
"after being unable to find an artifact","po byciu niezdolnym do znalezienia artefaktu"
"after ","po "
"burning out","wypala†"
"stabbing","d«ga†"
" escaped from "," uciekˆ z "
" made a journey to "," podr¢¾owa† do "
"the escape from ","uciekn¥† z "
"discourse on ethics as it regards the benefit of the state","rozmowa na temat etyki ze wzgl©du na dobro paästwa"
"discourse on the meaning of individual happiness","dyskusja na temat znaczenia indywidualnego szcz©˜cia"
"discourse on medical ethics","dyskusja na temat etyki medycznej"
"discourse on the nature of truth","dyskusja na temat natury prawdy"
"discourse on the nature of justification","dyskusja o naturze usprawiedliwienia"
"discourse on the nature of perception","dyskusja na temat natury postrzegania"
"discourse on the nature of belief","dyskusja na temat natury wiary"
"discourse on the relationship between wholes and parts","dyskusja na temat relacji mi©dzy caˆo˜ciami i cz©˜ciami"
"discourse on the relationship between objects and their properties","dyskusja na temat relacji mi©dzy przedmiotami i ich wˆa˜ciwo˜ciami"
"discourse on the nature of mind and body","dyskusja o naturze umysˆu i ciaˆa"
"discourse on the nature of time","dyskusja o naturze czasu"
"discourse on the nature of existence","dyskusja o naturze istnienia"
"discourse on the nature of events","dyskusja na temat natury wydarzeä"
"discourse on ethics as applied to war","dyskusja na temat etyki stosowanej podczas wojny"
"discourse on the nature of causation","dyskusja o naturze przyczynowo˜ci"
"discourse on the nature of processes","dysputa o naturze proces¢w"
"discourse on ethics as applied to interpersonal conduct","dysputa na temat etyki w zastosowaniu do zachowaä mi©dzyludzkich "
"discourse on education","dysputa na temat edukacji"
"discourse on law","dysputa na temat prawa"
"discourse on grammar","dysputa na temat gramatyki"
"discourse on social welfare","dysputa na temat pomocy spoˆecznej"
"discourse on economic policy","dysputa na temat polityki gospodarczej"
"discourse on government","dysputa na temat rz¥du"
"discourse on diplomacy","dysputa na temat dyplomacji"
"the notion of etymology","poj©cie etymologii"
"discourse on the value of art","dysputa na temat warto˜ci sztuki"
"discourse on the nature of beauty","dysputa na temat natury pi©kna"
"the idea of using symbolic notation for addition","pomysˆ u¾ycia symbolicznej notacji do dodawania"
"the notion of conflict between members of a community","poj©cie konfliktu mi©dzy czˆonkami spoˆeczno˜ci"
"the notion of bonds between members of a community","poj©cie wi©zi mi©dzy czˆonkami wsp¢lnoty"
"the notion of historical, governmental and social cycles","poj©cie cykli historycznych, rz¥dowych i spoˆecznych"
"discourse on the causes of historical events","dyskusja o przyczynach wydarzeä historycznych"
"the idea of source reliability","idea wiarygodno˜ci «r¢dˆa"
"died of old age","umarˆ/a ze staro˜ci"
" in ice"," w lodzie"
" in a "," w "
"the killing of ","zabicie "
"decided to become a mercenary, operating","postanowiˆ zosta† najemnikiem, dziaˆa"
"raising","wschodz¥cy"
"appearing not to age","sprawia wra¾enie jakby si© nie starzaˆ"
"the axe","top¢r"
"the sword","miecz"
"the crossbow","kusza"
"artifact","artefakt"
"Some","Troche"
" but did not reveal everything"," ale nie upajaˆ si© wszystkim"
"conspiracy to slow labor","spisek w celu spowolnienia porodu"
"from","od"
"an agreement","porozumienie"
"a guide agreement","umowa przewodnika"
"after an adoption","po adopcji"
" held by "," w posiadaniu "
" bandit gang from "," gang rzezimieszk¢w z "
" group from "," grupa z "
"goddess","bogini"
"god","b¢g "
"prisoner","wi©zieä"
" until "," dop¢ki "
"enemy","wr¢g"
"member","czˆonek"
"slave","niewolnik"
"legendary thief","legendarny zˆodziej "
"infamous thief","niesˆawny zˆodziej "
"known thief","znany zˆodziej "
"an unidentified creature","niezidentyfikowane stworzenie"
"Pillaging","Pl¥drowa†"
"Abduction","Uprowadzenie"
"Rampage","Szaˆ"
"Journey","Podr¢¾"
"Race","Rasa"
"Procession","Poch¢d"
"crushed","zmia¾d¾ony"
"corner","r¢g"
"confront","konfrontowa†"
"hunger","gˆ¢d"
"blood","krew"
"occupation","okupacja"
"swayable","koˆysze si©"
"This is","To jest"
"All ","Wszystko "
"It is ","To jest "
"encrusted with","inkrustowane z"
"finely-crafted ","misternie wykonany "
"This object ","Ten przedmiot "
"numbers","liczby"
" symbols"," symbole"
"The item smells like wet earth.","Ten przedmiot pachnie jak mokra ziemia."
"demons","demony"
"fighter","wojownik"
"Nobody","Nikt"
"the Words","Sˆowa"
"the Music","Muzyka"
"Biographies","Biografie"
"Cheese","Ser"
"Spice","Przyprawa"
"Mill","Mˆyn"
"Finished Goods","Ukoäczone dobra"
" Bag"," Worek"
" have embarked on their journey."," wyruszyli w swoj¥ podr¢¾."
" kill"," zabij"
" / Born "," / Urodzony "
" in the year "," w roku "
"Leapt from a great height","Skoczyˆ z du¾ej wysoko˜ci"
"Died ","Zmarˆ "
"The color ","Color "
"is depressing","jest przygn©biajace"
"is throughout ornate and refined","jest bogato zdobiona i wyrafinowana"
" chapters.  "," rozdziaˆy. "
" chapter"," rozdziaˆ"
"nothing.","nic."
" page "," strona "
"Milk ","Mleko "
"Sleep","Spa†"
"Toggle Fullscreen","Peˆny ekran"
"Sites","Strony"
"Regions","Regiony"
" disgust with the adversary's godlessness"," obrzydzenie bezbo¾no˜ci¥ przeciwnika"
"beast","Bestia"
"living gods and mighty beasts ","¾yj¥cy bogowie i pot©¾ne bestie "
"tavern","tawerna"
"mud","bˆoto"
"thick ","cienka "
"tree","drzewo"
"The music","Muzyka"
" as well as "," r¢wnie dobrze jak "
"North or South","P¢ˆnoc czy Poˆudnie"
"Mountain","G¢ra"
"Temperate Freshwater Swamp","Umiarkowane Bagno Sˆodkowodne"
"Temperate Saltwater Swamp","Umiarkowane bagna sˆonowodne"
"Temperate Freshwater Marsh","Umiarkowane Bagno Sˆodkowodne"
"Temperate Saltwater Marsh","Umiarkowane bagno sˆonowodne"
"Tropical Freshwater Swamp","Tropikalne bagno sˆodkowodne"
"Tropical Saltwater Swamp","Tropikalne Bagno Sˆonowodne"
"Mangrove Swamp","Bagno namorzynowe"
"Tropical Freshwater Marsh","Tropikalne bagno sˆodkowodne"
"Tropical Saltwater Marsh","Tropikalne bagno sˆonowodne"
"Temperate Broadleaf Forest","Umiarkowany las li˜ciasty"
"Tropical Coniferous Forest","Tropikalny Las Iglasty"
"Temperate Grassland","Umiarkowana ˆ¥ka "
"Temperate Savanna","Sawanna umiarkowana"
"Temperate Shrubland","Umiarkowane krzewy"
"Tropical Grassland","Tropikalna ¥ka"
"Tropical Savanna","Tropikalna sawanna "
"Tropical Shrubland","Tropikalne krzewy"
"Badlands","Badlandy"
"Rocky Wasteland","Kamienne pustkowia"
"Sand Desert","Piaszczysta pustynia"
"Tropical Ocean","Tropikalny ocean"
"Temperate Ocean","Umiarkowany ocean"
"Arctic Ocean","Ocean arktyczny"
"Temperate Freshwater Pool","Umiarkowany basen ze sˆodk¥ wod¥"
"Temperate Brackish Pool","Umiarkowany basen sˆonawy"
"Temperate Saltwater Pool","Umiarkowany basen ze sˆon¥ wod¥"
"Tropical Freshwater Pool","Tropikalny basen ze sˆodk¥ wod¥"
"Tropical Brackish Pool","Tropikalny basen sˆonawy"
"Tropical Saltwater Pool","Tropikalny basen ze sˆon¥ wod¥"
"Temperate Freshwater Lake","Umiarkowane jezioro sˆodkowodne"
"Temperate Brackish Lake","Umiarkowane jezioro sˆonawe"
"Temperate Saltwater Lake","Umiarkowane jezioro sˆonowodne"
"Tropical Freshwater Lake","Tropikalne jezioro sˆodkowodne"
"Tropical Brackish Lake","Tropikalne jezioro sˆonawe"
"Tropical Saltwater Lake","Tropikalne sˆone jezioro "
"Temperate Freshwater River","Umiarkowana rzeka sˆodkowodna"
"Temperate Brackish River","Umiarkowana sˆonawa rzeka"
"Temperate Saltwater River","Umiarkowana rzeka sˆonowodna"
"Tropical Freshwater River","Tropikalna rzeka sˆodkowodna"
"Tropical Brackish River","Tropikalna sˆonawa rzeka"
"Tropical Saltwater River","Tropikalna rzeka morska"
"Subterranean Water","Woda podziemna"
"Subterranean Chasm","Podziemna Przepa˜†"
"Subterranean Magma","Podziemna magma"
"Woodland","Lesisty teren"
"Little soil","Troch© gleby"
"Some soil","Troch© gleby"
"Deep soil","Gˆ©boka gleba"
"Very deep soil","Bardzo gˆ©boka gleba "
"Extremely deep soil","Niesamowicie gˆ©boka gleba"
"Low","Niskie"
"Are you sure you want to go on?","Jeste˜ pewien ¾e chcesz i˜†?"
"Like others in ","Jak pozostali w "
" culture, "," kultura, "
"personally ","osobi˜cie "
"respects the law","przestrzega† prawa"
"sees artful speech and eloquence as a wasteful form of deliberate deception and treats it as such","postrzega zr©czn¥ mow© oraz elokwencj© jako marnotrawn¥ form© celowego oszustwa i tak j¥ traktuje"
"believes that self-mastery and the denial of impulses are of the highest ideals","uwa¾a, ¾e opanowanie i odrzucenie impuls¢w, to najwy¾sze z ideaˆ¢w"
"values leisure time","ceni czas wolny"
"thinks that the world should be engaged in perpetual warfare","uwa¾a, ¾e ˜wiat powinien anga¾owa† si© w nieustaj¥c¥ wojn©"
"is rarely happy or enthusiastic","rzadko jest wesoˆy lub entuzjastyczny"
"is stubborn","jest uparty"
"is brave in the face of imminent danger","jest odwa¾ny wobec bezpo˜redniego zagro¾enia"
", even though ",", mimo tego, ¾e "
"performing","wyst©p"
" own"," posiada†"
"a wonderful dish","wspaniaˆe danie"
"a fine dish","dobre danie"
"a fine drink","dobry nap¢j"
"a wonderful drink","wspaniaˆy nap¢j"
"a very good dining room","Dobra jadalnia"
"felling a tree","˜cinanie drzewa"
"not having adequate protection","nie zapewnia odpowiedniej ochrony"
"a fantastic bedroom","fantastyczna sypialnia"
"a great bedroom","˜wietna sypialnia "
"a very good bedroom","bardzo dobra sypialnia "
"a good bedroom","dobra sypialnia "
"a horribly substandard bedroom","strasznie niespeˆniaj¥ca normy sypialnia"
"a horrible bedroom","okropna sypialnia"
"an awful bedroom","okropna sypialnia"
"a very poor bedroom","bardzo biedna sypialnia"
"a poor bedroom","biedna sypialnia"
"sleeping on the floor","spanie na podˆodze "
"sleeping on a rough cave floor","spanie na szorstkiej podˆodze w jaskini "
"a friend","przyjaciel"
"visiting with a pet","odwiedziny ze zwierzakiem"
"talking with mother","rozmawia† z matk¥"
"talking with father","rozmawia† z ojcem "
"talking with a child","rozmawia† z dzieckiem "
"talking with a friend","rozmawia† z przyjacielem "
"talking with somebody","rozmawia† z kim˜ "
"a legendary","legendarny "
"a fantastic","fantastyczny"
"a great","˜wietny"
"a very good","bardzo dobry"
"a good","dobry"
"a poor","biedny"
"a very poor","bardzo biedny"
"an awful","straszny "
"a horrible","okropny "
"Others refused to journey to this dangerous fortress.","Inni odm¢wili podr¢¾y do tej niebezpiecznej fortecy."
" diplomat from "," dyplomata z "
"?  How curious...","? Jak ciekawie..."
" has come!"," przybyˆ!"
"The merchants from ","Kupcy z "
" will be leaving soon."," wkr¢tce odejdzie."
" bids you farewell!"," ¾egnam si©!"
" has been elected "," zostaˆ wybrany "
" has been re-elected."," zostaˆ ponownie wybrany."
"the past","przeszˆo˜†"
"current events","obecne wydarzenia"
"an abstract concept","abstrakcyjny koncept"
"a historical figure","posta† historyczna"
"someone's character","czyja˜ posta†"
" a solemn"," uroczysty"
" a light"," ˜wiatˆo"
" a ribald"," rubaszny"
" a reflective"," odblaskowy"
" a dramatic"," dramatyczny"
" poetic "," poetycki "
"riddle","zagadki"
"narrative","narracja"
"form","forma"
" intended "," przeznaczony "
"to describe","by opisa†"
"to satirize","by satyrowa†"
"to amuse the audience","rozbawi† publiczno˜†"
"to complain about","narzeka† na"
"to renounce","wyrzec si©"
"to make an apology","przeprosi†"
"Grass","Trawa"
"Dry Grass","Sucha trawa"
"Dead Grass","Martwa trawa"
" Ice Floor"," Lodowa podˆoga "
" Floor"," Podˆoga "
"Glowing Floor","—wiec¥ca Podˆoga"
"Unknown","Nieznane"
" all"," wszystko"
"tears","ˆzy"
"wall","˜ciana"
" away from the "," z dala od "
" skip"," pomiä"
" across the "," przez "
" timbre.  "," barwa d«wi©ku. "
"Cannot generate random creatures -- missing tissue template ","Nie mo¾na wygenerowa† losowych stworzeä - brakuj¥cy szablon tkanek "
"dark metal","ciemny metal "
"bright metal","jasny metal "
"heavy cloth","ci©¾ka tkanina"
"fog","mgˆa"
"smoke","dym"
"zombies","zombie"
" keyboard"," klawiatura"
" keyboards"," klawiatury"
" pipes"," kobza"
" neck"," kark"
" necks"," karki"
" bow is drawn across the string"," ci©ciwa w ˆuku jest naci¥gni©ta "
"picks ","piki "
"closed","zamkni©te"
" heads"," gˆowy"
" head"," gˆowa"
" heads are"," gˆowy s¥"
" head is"," gˆowa jest"
"The musician ","Muzyk "
"[ODOR_STRING:mud]","[ODOR_STRING:bˆoto]"
"[ODOR_STRING:soil]","[ODOR_STRING:gleba]"
"it only looks comfortable when it is in the water","wygl¥da wygodnie tylko kiedy jest w wodzie"
"it seems unerringly honest if one does not concentrate","wydaje si© bezbˆ©dnie szczery, je˜li si© nie koncentruje"
"leathery","sk¢rzany"
"warty","kurzajkowaty"
"rough and cracked","twarda i pop©kana"
" skin is "," sk¢ra jest "
"waxy","woskowy"
"wraith","upi¢r"
"champion","czempion"
"Messenger","Posˆaniec"
"slayer","pogromca"
"Doom","Zˆo"
"bane","zakaˆa"
"Ruination","Ruina"
"square","zdecydowanie"
"[ATTACK:BLUNT:1:10:lash:lashes:NO_SUB:5000]","[ATTACK:BLUNT:1:10:bicz:bicze:NO_SUB:5000]"
"[ATTACK:BLUNT:20:600:strike:strikes:pommel:1000]","[ATTACK:BLUNT:15:400:uderzenie:uderzenia:uchwyt:1000]"
"[ATTACK:BLUNT:20:200:bash:bashes:NO_SUB:2000]","[ATTACK:BLUNT:20:200:grzmotn¥†:grzmotni©cie:NO_SUB:2000]"
"the nature of beauty","natura pi©kna"
"the use of specialized wards in hospitals","wykorzystanie specjalistycznych oddziaˆ¢w w szpitalach"
"Events","Wydarzenia "
"the War","Wojna"
"Grains of Sand","Ziarenka pisaku "
"the Infinite","Nieskoäczono˜†"
"the Sum","Suma"
"Metals","Metale "
"the Camera Obscura","Kamera Obscura"
"Loss","Utrata"
"the Revolt","Bunt"
"Deceit","Oszustwo"
"the Mystery","Tajemnica"
"Ruin","Ruina"
"force","siˆ¥"
"prime numbers","liczby pierwsze"
"chords","chwyty"
"the harmonic series","szeregi harmoniczne"
"cycles","cykle"
"embriological development","rozw¢j embriologiczny"
"mud bags as surgical models","worki z bˆotem jako modele chirurgiczne"
"plants as surgical models","ro˜liny jako modele chirurgiczne"
"animals as surgical models","zwierz©ta jako modele chirurgiczne"
"specialized surgical instruments","specjalistyczne instrumenty chirurgiczne"
"forceps","kleszcze"
"the scalpel","skalpel"
"surgical scissors","no¾yczki chirurgiczne"
"bodily fluids","pˆyny ustrojowe"
"anatomical studies","studia anatomiczne"
"eye anatomy","anatomia oka"
"reaction time","czas reakcji"
"the nervous system","ukˆad nerwowy"
"nerves","nerwowo˜†"
"blood vessels","naczynia krwiono˜ne"
"the voice","gˆos"
"muscles","mi©˜nie"
"hospitals","szpitale"
"mental illnesses","choroba psychiczna"
"hospital staff","personel szpitala"
"medical schools","szkoˆy medyczne"
"hospital laboratories","laboratoria szpitalne"
"hospital wards","oddziaˆy szpitalne"
"water clocks","zegary wodne"
"water clock reservoirs","zbiorniki zegara wodnego"
"the astrarium","planetarium"
"the hourglass","klepsydra"
"mechanical clocks","zegary mechaniczne"
"the pulley","bloczek linowy"
" from paternal grandmother"," od babki ze strony ojca"
"Embark","L¥dowanie"
"Soil","Gleba"
"Embark preparations were not completed.","Rozpocz©te przygotowania nie zostaˆy ukoäczone."
"fortress (129,129,129)","forteca (129,129,129)"
"house (100,70,10)","dom (100,70,10)"
"library (255,192,255)","biblioteka (255,192,255)"
"site","strona"
"tends to interrupts others during conversations when ","ma tendencj© do przerywania innym podczas rozm¢w, gdy "
"rarely speaks","rzadko si© odzywa"
"rarely speaks when ","rzadko si© odzywa, gdy "
"'s nervous, ","jest nerwowy "
" rarely talks"," rzadko rozmawia"
"rarely starts conversations","rzadko zaczyna rozmow©"
"repeatedly snaps ","wielokrotnie pstryka "
" drums "," b©ben "
"'s bored, ","jest znudzony "
" a lot"," du¾o"
"laughs at ","˜mieje si© z "
" goes"," idzie"
"'s thinking, ","my˜li "
"chews ","¾uje "
" is speaking, "," m¢wi "
"often has ","cz©sto ma "
"commonly winks as a form of greeting","cz©sto mruga jako forma powitania"
"'s thinking hard, ","intensywnie my˜li, "
"Kill ","Zabi† "
"Kill","Zabij"
"Defend ","Obroäca "
" etc."," itp."
" cancels "," Anuluj "
"Inappropriate dig square","Pole do wykopania jest nieprawidˆowe"
"Need valid, active sand collection zone","Potrzebujesz wa¾nej, aktywnej strefy zbierania piasku"
"Patient inaccessible","Pacjent jest niedost©pny"
"Need office","Potrzeba urz©du"
"Path blocked","—cie¾ka zablokowana"
"Seeking artifact","Szukanie artefakt¢w"
"Going to bed","I˜cie spa†"
"Seeking Infant","Szukanie niemowl©cia"
"Dangerous terrain","Niebezpieczny teren"
"Forbidden area","Zakazana przestrzeä"
"Getting food","Pozyskiwanie jedzenia"
"Getting water","Pozyskiwanie wody"
"Target inaccessible","Cel niedost©pny"
"Target too injured","Cel zbyt zraniony"
"Lost axe","Zgubiony top¢r "
"crossbowman","kusznik"
"Elite Crossbowman","Elitarny Kusznik "
"axeman","siekiernik"
"Axe Lord","Pan Toporu "
"swordsman","szermierz"
"Swordmaster","Mistrz miecza"
"Master Thief","Mistrzowski zˆodziej "
"sage","szaˆwia"
"Peasant","Wie˜niak"
" slave"," niewolnik"
"Corpse","Ciaˆo"
"Woodworker","Stolarz"
" has stopped responding to the world..."," Przestaˆ kontaktowa† ze ˜wiatem..."
" has gone berserk!"," wpadˆ w szaˆ!"
" has gone stark raving mad!"," odszedˆ ostro bredz¥c!"
" is stricken by melancholy!"," przejawia syndromy melancholii!"
" has forgotten a demand."," zapomniaˆ ¾¥dania"
" has imposed a ban on certain exports."," wystosowaˆ embargo na eksport niekt¢rych produkt¢w."
" has altered the prices of goods."," zmieniˆ ceny towar¢w."
"tough","twardy"
"very slow to tire","bardzo wolno si© m©czy"
"a great musical sense","˜wietny muzyczny zmysˆ"
"been scared to death","zostaˆ przestraszony na ˜mier†"
"frozen to death.","zamro¾ony na ˜mier†"
"been shot and killed.","Zostaˆ postrzelony i zgin¥ˆ"
"on the floor ","na podˆodze "
"eat","je˜† "
"You feed on ","½ywisz si© "
" flounder"," fl¥dra"
" flounders"," fl¥dry"
" in the water"," w wodzie"
" in the lava"," w lawie"
" in the magma"," w magmie"
" push "," pcha "
" pushes "," popycha "
" lose hold of the "," straci† kontrol© nad "
" loses hold of the "," traci kontrol© nad "
"You cannot mount ","Nie mo¾esz zamontowa† "
" due to the presence of an existing rider."," ze wzgl©du na obecno˜† istniej¥cego je«d«ca."
" mount "," wierzchowiec "
" mounts "," wierzchowce "
"You fail to mount ","Nie udaje ci si© zdemontowa†. "
" in time."," w sam¥ por©"
" dismount"," zdemontowa†"
" dismounts"," zsiada"
"You fail to dismount in time.","Nie zd¥¾ysz zej˜† na czas. "
"You stand up.","Wstaˆe˜."
" stands up."," wstaˆ."
"You lie on the ground.","Le¾ysz na ziemi."
" lies on the ground."," le¾y na ziemi."
