"more presumptious","mais presunáoso"
"groundhog pup","groundhog cachorro"
"groundhog pups","filhotes de cachorro groundhog"
"groundhog man","homem marmota"
"groundhog men","homens marmota"
"groundhog woman"," mulher marmota"
"groundhog women","mulheres marmota"
"A person with the head and fur of a groundhog."," Uma pessoa com a cabeáa e pelos de uma marmota."
"giant groundhog","marmota gigante"
"giant groundhogs","marmotas gigantes"
"A large creature the shape of a groundhog.","Uma grande criatura a forma de uma marmota."
"A huge reptile, found in rivers and marshlands.  It is an ambush predator, solitary and territorial.","Uma enorme rÇptil, encontrado em rios e pÉntanos. ê um predador emboscada, solit†rio e territorial."
"alligator","jacarÇ"
"alligators","jacarÇs"
"alligator hatchling","jacarÇ hatchling"
"alligator hatchlings","filhotes de jacarÇ"
"alligator man","homem jacarÇ"
"alligator men","homens jacarÇ"
"alligator woman","mulher jacarÇ"
"alligator women","mulheres jacarÇ"
"A person with the head and tail of an alligator."," Uma pessoa com a cabeáa e rabo de um jacarÇ."
"giant alligator"," jacarÇ gigante"
"giant alligators"," jacarÇs gigante"
"giant alligator hatchling","filhotes de jacarÇ gigante"
"giant alligator hatchlings","filhotes de jacarÇ gigante"
"A huge monster in the shape of an alligator.","Um enorme monstro em forma de jacarÇ."
"A medium-sized, red-faced black bird that searches the temperate lands for carrion.","Um p†ssaro de tamanho mÇdio, com o rosto vermelho preto que busca as terras temperadas para carniáa."
"buzzard","urubu"
"buzzards","urubus"
"buzzard hatchling","urubu hatchling"
"buzzard hatchlings","filhotes buzzard"
"striking red face","rosto marcante red"
"buzzard man","homem urubu"
"buzzard men","homens urubu"
"buzzard woman","mulher urubu"
"buzzard women","mulheres urubus"
"A person with the head and wings of a buzzard.","Uma pessoa com a cabeáa e assas de um urubu."
"giant buzzard","urubu gigante"
"giant buzzards","urubus gigantes"
"giant buzzard hatchling","filhote de urubu gigante"
"giant buzzard hatchlings","filhotes de urubus gigantes"
"A huge monster in the form of a buzzard."," Um monstro grand∆o em forma de um urubu."
"A large bear-like creature with a striking coat of black and white hair.  It feeds on bamboo forests.","A criatura grande urso-like com um casaco impressionante de cabelo preto e branco. Alimenta-se de florestas de bambu."
"pandas","pandas"
"panda cub","panda cub"
"panda cubs","filhotes da panda"
"big fluffy heads and bellies","cabeáas grandes macios e barrigas"
"lazy nature","natureza preguiáa"
"hair around the eyes","cabelo ao redor dos olhos"
"legs","pernas"
"other hair","outro cabelo"
"gigantic panda","panda gigante"
"gigantic pandas","pandas gigantes"
"gigantic panda cub","filhote de panda gigante"
"gigantic panda cubs","filhotes da panda gigante"
"A giant bear-like creature found in the wildest parts of the world.  It has striking black and white fur.","Uma criatura de urso gigante encontrado nas partes mais selvagens do mundo. Tem impressionante pele preto e branco."
"gigantic fluffy heads and bellies","cabeáas macias gigantescas e barrigas"
"arms and legs","braáos e pernas"
"panda man","panda homem"
"panda men","homens panda"
"panda woman","panda mulher"
"panda women","panda mulheres"
"A humanoid creature with the head and belly of a panda.","A criatura human¢ide com a cabeáa e barriga de um panda."
"A medium-sized semi-aquatic rodent.  It lives in large herds and barks when alarmed.","Um roedor semi-aqu†tico de tamanho mÇdio. Ele vive em grandes manadas e cascas quando alarmado."
"capybaras","capivaras"
"capybara pup","capivara cachorro"
"capybara pups","filhotes de capivara"
"enormous rodentness","enorme rodentness"
"graceful swimming","gracioso nataá∆o"
"resonant barking","ressonante latidos"
"giant capybara","capivara gigante"
"giant capybaras","capivaras gigantes"
"giant capybara pup","filhote capivara gigante"
"giant capybara pups","filhotes de capivara gigantes"
"A huge rodent that walks on tall legs.  Its bark can be heard at large distances.  It is fond of swimming.","Um grande roedor que anda nos pÇs de altura. A sua casca pode ser ouvido a grandes distÉncias. Ele gosta de nadar."
"beyond enormous rodentness","alÇm enorme rodentness"
"capybara man","capivara homem"
"capybara men","homens capivara"
"capybara woman","capivara mulher"
"capybara women","capivara mulheres"
"A humanoid with the head of a capybara.  It is fond of swimming.","Um human¢ide com a cabeáa de uma capivara. Ele gosta de nadar."
"A small mammal with a striped face.  It lives in groups and is ferocious in combat.","Um pequeno mam°fero com uma cara listrada. Vive em grupos e Ç feroz em combate."
"badgers","texugos"
"badger cub","texugo filhote"
"badger cubs","filhotes de texugo"
"underground communities","comunidades clandestinas"
"striped faces","rostos listradas"
"badger sow","texugo porca"
"badger sows","porcas texugo"
"badger boar","texugo javali"
"badger boars","javalis texugo"
"badger man","texugo homem"
"badger men","homens texugo"
"badger woman","texugo mulher"
"badger women","texugo mulheres"
"A humanoid with the head and stripes of a badger.","Um human¢ide com a cabeáa e as listras de um texugo."
"giant badger","texugo gigante"
"giant badgers","texugos gigantes"
"giant badger cub","Filhote de texugo gigante"
"giant badger cubs","filhotes de texugo gigantes"
"A huge monster the shape of a badger.  It is ferocious in combat.","A enorme monstro a forma de um texugo. ê feroz em combate."
"giant badger boar","javali gigante texugo"
"giant badger boars","javalis texugo gigantes"
"giant badger sow","texugo porca gigante"
"giant badger sows","porcas texugo gigantes"
"A large mammal with great antlers and a large nose. It lives in temperate forests.","A grande mam°fero com grandes chifres e um nariz grande. Vive em florestas temperadas."
"moose calf","Vitela dos alces"
"moose calves","bezerros alces"
"broad antlers","chifres largos"
"cow moose","alces vaca"
"bull moose","alces do touro"
"moose man","Homem alces"
"moose men","homens alces"
"moose woman","Mulher alces"
"moose women","mulheres alces"
"A humanoid with the head and antlers of a moose.","Um human¢ide com a cabeáa e chifres de um alce."
"giant moose","alces gigantes"
"giant moose calf","bezerro alce gigante"
"giant moose calves","bezerros alces gigantes"
"A huge monster the shape of a moose.","A enorme monstro a forma de um alce."
"giant moose cow","vaca alce gigante"
"giant moose cows","vacas alces gigantes"
"giant moose bull","gigante touro alces"
"giant moose bulls","touros alces gigantes"
"A small tree-dwelling mammal with distinctive color.  It rears up on its hind legs when cornered.  It uses its front paws like hands.","Um pequeno mam°fero que vive nas †rvores com cor distinta. Ele se ergue sobre as patas traseiras, quando encurralado. Ele usa as patas dianteiras como as m∆os."
"red panda","panda vermelho"
"red pandas","pandas vermelhos"
"red panda cub","Filhote de panda vermelho"
"red panda cubs","filhotes da panda vermelho"
"large striped tails","grandes caudas listradas"
"red panda sow","vermelho panda porca"
"red panda sows","porcas panda vermelho"
"red panda boar","vermelho panda javali"
"red panda boars","javalis panda vermelho"
"head and tail","a cabeáa ea cauda"
"red panda man","vermelho homem panda"
"red panda men","homens vermelhos panda"
"red panda woman","Mulher panda vermelho"
"red panda women","mulheres panda vermelho"
"A medium-sized, walking red panda with arms and a tail.  It prefers the forest and its beloved trees.","A, andando panda vermelho de tamanho mÇdio, com armas e uma cauda. Ele prefere a floresta e seus amados †rvores."
"giant red panda","panda gigante vermelha"
"giant red pandas","pandas gigantes vermelhas"
"giant red panda cub","filhote de panda gigante vermelha"
"giant red panda cubs","gigantes filhotes da panda vermelho"
"A large monster with the shape of a red panda.","Um grande monstro com a forma de um panda vermelho."
"giant red panda boar","javali gigante panda vermelho"
"giant red panda boars","javalis gigantes panda vermelho"
"giant red panda sow","porca gigante panda vermelho"
"giant red panda sows","gigantes porcas panda vermelho"
"A huge, hairless mammal, found grazing in grasslands in groups.  It eats plants which it lifts up with its long trunk.  When angered, it will attack with its long tusks.","Um enorme, mam°fero calvo, encontrado pastejo em pastagens em grupos. Ele come plantas que levanta com sua longa tronco. Quando irritado, ele vai atacar com suas longas presas."
"elephants","elefantes"
"elephant calf","elefante bezerro"
"elephant calves","filhotes de elefante"
"amazing trunks"," troncos incr°veis"
"calves' spirited antics","bezerros "
"great weight","grande peso"
"flappy ears","tapa na orelha"
"uprooting of trees","estripar arvores"
"aggressive sparring","disputa agressiva"
"trumpeting","trombeta"
"tool use","uso da ferramenta"
"self-awareness","Autoconsciància"
"elephant man","homem elefante"
"elephant men","homens elefante"
"elephant woman","mulher elefante"
"elephant women","mulheres elefante"
"A large person with the trunk and ears of an elephant.","Uma pessoa grande com um tromba e orelhas de elefantes."
"giant elephant","elefante gigante"
"giant elephants","elefantes gigantes"
"giant elephant calf","filho de elefante gigante"
"giant elephant calves","filhote de elefante gigante"
"A gigantic monster in elephant form.","Um monstros gigante em forma de elefante."
"A medium-sized animal living in grass and woodland.  It has a large snout with four sharp tusks.  It will aggressively defend itself.","A mÇdio porte animal que vive na grama e bosques. Tem um grande focinho com quatro presas afiadas. Ele vai se defender de forma agressiva."
"warthogs","javalis"
"warthog piglet","leit∆o de javali de guerra"
"warthog piglets","leit‰es de javali de guerra"
"short tempers","temperamentos curto"
"warthog man","homem javali"
"warthog men","homem javali"
"warthog woman","mulher javali"
"warthog women","mulher javali"
"A person with the head of a warthog.","Uma pessoa com a cabeáa de um javali."
"giant warthog","javali grand∆o"
"giant warthogs","javali grand∆o"
"giant warthog piglet","javali grand∆o filhote"
"giant warthog piglets","javali grand∆o filhote"
"A huge monster warthog with jagged tusks.","Um porco mostro gigante com dent‰es tortos"
"A large ferocious predator found in grasslands.  It lives in groups of females and one male with a large mane.  They hunt together and are capable of felling extremely large prey.","A grande predador feroz encontrados em pastagem. Vive em grupos de fàmeas e um macho com uma grande juba. Eles caáam juntos e s∆o capazes de derrubar extremamente grande presa."
"lion","Le∆o"
"lions","le‰es"
"lion cub","filhote de le∆o"
"lion cubs","filhotes de le∆o"
"roars","rugidos"
"lion man","homem le∆o"
"lion men","homem le∆o"
"lion woman","mulher leoa"
"lion women","mulher leoa"
"A person with the head of a lion.","Uma pessoa como a cabeáa de le∆o."
"giant lion","Le∆o gigante"
"giant lions","gigantes le‰es"
"giant lion cub","filhote de le∆o gigante"
"giant lion cubs","filhotes de le∆o gigante"
"A gigantic version of the feline predator.  Its giant prides can be found in the wildest, most savage parts of the world.","Uma vers∆o gigantesca do predador felino. Seus orgulhos gigantes podem ser encontrados no mais selvagem, a maioria das partes selvagens do mundo."
"A large spotted feline found in grass and woodland.  It is known for great speed in hunting.","Um grande felino manchado encontrado na grama e bosques. Ele Ç conhecido por grande velocidade na caáa."
"leopard","Leopard"
"leopards","leopardos"
"leopard cub","filhote do leopardo"
"leopard cubs","filhotes de leopardo"
"spotted coats","casacos manchados"
"leopard man","homem leopardo"
"leopard men","homens leopardo"
"leopard woman","mulher leopardo"
"leopard women","mulheres leopardo"
"A spotted person with the head and tail of a leopard.","Avistou uma pessoa com cabeáa e rabo de leopardo."
"giant leopard","leopardo gigante"
"giant leopards","leopardos gigantes"
"giant leopard cub","Filhote de leopardo gigante"
"giant leopard cubs","filhotes de leopardo gigantes"
"A gigantic spotted predator, dwarfing its small cousins.  It is found in the wild lands.","Um gigantesco predador manchado, superando seus primos pequenos. Pode ser encontrada nas terras selvagens."
"A large, muscular, spotted feline found in tropical jungles.  It is solitary and stalks and ambushes its prey.","A muscular felino grande,, manchado encontrado em selvas tropicais. ê solit†rio e talos e emboscadas sua presa."
"jaguar","jaguar"
"jaguars","jaguares"
"jaguar cub","jaguar cub"
"jaguar cubs","filhotes de jaguar"
"jaguar man","homem jaguar"
"jaguar men","homens jaguar"
"jaguar woman","mulher jaguar"
"jaguar women","mulheres jaguar"
"A spotted person with the head and tail of a jaguar.","Avistou uma pessoa com cabeáa e rabo de jaguar."
"giant jaguar","jaguar gigante"
"giant jaguars","onáas gigantes"
"giant jaguar cub","filhote de jaguar gigante"
"giant jaguar cubs","filhotes de jaguar gigantes"
"A gigantic feline predator, similar to its cousins in all but size.  It can be found in the savage wilderness.","Um predador felino gigantesco, semelhante Ö de seus primos em todos, mas o tamanho. Ele pode ser encontrado no deserto selvagem."
"A huge, striped predator.  It is found in almost any climate on a lone hunt for its prey.","Um enorme, listrado predador. Pode ser encontrada em quase qualquer clima em uma caáa solit†ria para sua presa."
"tiger","Tigre"
"tigers","tigres"
"tiger cub","filhote de tigre"
"tiger cubs","filhotes de tigre"
"stripes, of course","listras, claro"
"tiger man","Tiger Man"
"tiger men","homens tigre"
"tiger woman","Tigre mulher"
"tiger women","Tigre mulheres"
"An orange striped person with the head of a tiger.","Uma pessoa laranja e nua com cabeáa de leopardo."
"giant tiger","tigre gigante"
"giant tigers","tigres gigantes"
"giant tiger cub","filhote de tigre gigante"
"giant tiger cubs","filhotes de tigre gigantes"
"The largest of the giant cats.  It can be found hunting alone in the most savage countryside.","O maior dos gatos gigantes. Ele pode ser encontrado caáar sozinho no campo mais selvagem."
"large stripes, of course","grandes listras Ç claro"
"A large spotted feline predator.  It is capable of incredible speed when ambushing its prey.","Um grande manchado felino predador. Ele Ç capaz de uma velocidade incr°vel quando emboscar sua presa."
"cheetah","chita"
"cheetahs","chitas"
"cheetah cub","Filhote da chita"
"cheetah cubs","filhotes de guepardo"
"cheetah man","homem guepardo"
"cheetah men","homens guepardo"
"cheetah woman","mulher guepardo"
"cheetah women","mulheres guepardo"
"A spotted person with the head and tail of a cheetah.","Viu uma pessoa com a cabeáa e o rabo de um guepardo."
"giant cheetah","chita gigante"
"giant cheetahs","chitas gigantes"
"giant cheetah cub","filhote de guepardo gigante"
"giant cheetah cubs","filhotes de guepardo gigantes"
"A gigantic spotted cat.  It is possibly the fastest animal on land and is found in the savage wilds.","Um gato manchado gigantesca. ê possivelmente o animal o mais r†pido na terra e Ç encontrada nas florestas selvagens."
"A small hooved creature found in large groups in the grasslands.  It has short horns and moves by leaps and bounds.","A pequena criatura hooved encontrados em grandes grupos nas pastagens. Ele tem chifres curtos e se move aos trancos e barrancos."
"gazelle","gazela"
"gazelles","gazela"
"gazelle fawn","Jovem coráa gazela"
"gazelle fawns","gazela filhotes"
"gazelle man","homem gazela"
"gazelle men","homens gazela"
"gazelle woman","mulher gazela"
"gazelle women","mulheres gazela"
"A horned person with the head of a gazelle.","Uma pessoa com chifres e cabeáa de gazela."
"giant gazelle","gazela gigante"
"giant gazelles","gazelas gigantes"
"giant gazelle fawn","filhote de gazela gigante"
"giant gazelle fawns","filhotes de gazela gigante"
"A huge monster in the form of a gazelle.","Um grande monstro na forma de uma gazela."
"A large monkey with blue face and rump.  It lives in large groups and often survives by destroying crops and stealing garbage.  The males are larger, with powerful jaws.","Um grande macaco com o rosto azul e garupa. Ela vive em grandes grupos e, muitas vezes sobrevive por destruir plantaá‰es e roubar lixo. Os machos s∆o maiores, com mand°bulas poderosas."
"colorful faces","rostos coloridos"
"mandrill man","homem mandril"
"mandrill men","homens mandril"
"mandrill woman","mulher mandril"
"mandrill women","mulheres mandril"
"A blue-rumped person with the head and tail of a mandrill.","Uma pessoa de bunda azul com a cabeáa e o rabo de um mandril."
"giant mandrill","mandril gigante"
"giant mandrills","mandris gigantes"
"A large monster in the form of a mandrill.","Um grande monstro na forma de um mandril."
"A large ape which lives in the tropical forests.  It lives in complex social groups of many members.  Though it is quite intelligent, it has been known for ferocious attacks.","Um grande macaco que vive nas florestas tropicais. Vive em grupos sociais complexos de muitos membros. Embora seja muito inteligente, tem sido conhecido por ataques feroz."
"chimpanzee","chimpanzÇ"
"chimpanzees","chimpanzÇs"
"antics","palhaáadas"
"A large ape which lives in the tropical forests.  It is quite intelligent and lives in large and complex social groups.","Um grande macaco que vive nas florestas tropicais. ê muito inteligente e vive em grupos sociais grandes e complexos."
"A huge ape found in the forest.  It lives in small groups eating plants.  The groups are lead by a large dominant male with a silver back.","Uma enorme macaco encontrado na floresta. Vive em pequenos grupos que comem plantas. Os grupos s∆o liderados por um grande macho dominante com uma parte traseira de prata."
"gorilla","gorila"
"gorillas","gorilas"
"A huge intelligent ape found in the tropical forests.  It is bright red and found living in the trees.","Um macaco inteligente enorme encontrada nas florestas tropicais. ê vermelho brilhante e encontrados vivendo nas †rvores."
"orangutan","orangotango"
"orangutans","orangotango"
"colorful hair","cabelo colorido"
"long arms","braáos longos"
"A medium-sized ape found in the trees.  It is known for its loud calls.","Um macaco de tamanho mÇdio encontrado nas †rvores. Ele Ç conhecido por seus gritos e sons."
"loud calls","gritos e sons"
"ability to swing through the trees","capacidade de balanáar por entre as †rvores"
"A small, long-armed ape.  It lives in trees and eats fruit.","Um pequeno macaco, de braáos longos. Vive em †rvores e come frutas."
"white-handed gibbon","white-handed gibbon"
"white-handed gibbons","white-handed gib‰es"
"A small fruit-eating ape, found in the trees.","Um pequeno macaco-comer frutas, encontrado nas †rvores."
"black-handed gibbon","preto-handed gibbon"
"black-handed gibbons","preto-handed gib‰es"
"A small ape found in the trees of the tropical forest.  It is known for its calls.","Um pequeno macaco encontrado nas †rvores da floresta tropical. Ele Ç conhecido por suas ligaá‰es."
"gray gibbon","cinza gib∆o"
"gray gibbons","gib‰es cinza"
"A small ape found in the trees eating fruit.","Um pequeno macaco encontrado nas †rvores comendo frutas."
"silvery gibbon","Gibbon prateado"
"silvery gibbons","gib‰es prateadas"
"A small ape found in pairs, swinging from the trees.","Um pequeno macaco encontrado em pares, balanáando as †rvores."
"pileated gibbon","pileated gibbon"
"pileated gibbons","gib‰es pileated"
"white head rings","AnÇis de cabeáa branca"
"A small ape that swings from the trees, eating fruit.","Um pequeno macaco que balanáa das †rvores, comer frutas."
"bilou","bilou"
"bilous","Bilous"
"beautiful songs","belas caná‰es"
"white-browed gibbon","white-browed gib∆o"
"white-browed gibbons","gib‰es Branco-sobrancelhudo"
"mask-like facial coloration","m†scara-como a coloraá∆o facial"
"A small ape from the tropical forest.  It can be found in the trees eating fruit.","Um pequeno macaco da floresta tropical. Ela pode ser encontrada nas †rvores que comem frutos."
"black-crested gibbon","preto-com crista gib∆o"
"black-crested gibbons","gib‰es de crista negra"
"A large long-necked creature with a large hump on its sturdy body.  It has been domesticated to carry passengers and cargo but is nonetheless bad-tempered and will spit.","Uma criatura grande de pescoáo longo com uma grande corcova em seu corpo robusto. Ele foi domesticado para transportar passageiros e carga, mas n∆o deixa de ser mal-humorado e vai cuspir."
"one-humped camel","dromed†rio"
"one-humped camels","camelos one-humped"
"one-humped camel calf","one-humped bezerro camelo"
"one-humped camel calves","apenas uma corcova de camelo bezerros"
"frozen one-humped camel's milk","leite de camelo congelado one-humped"
"one-humped camel's milk","o leite de camelo one-humped"
"boiling one-humped camel's milk","leite fervendo uma corcova de camelo"
"one-humped camel cheese","queijo de camelo one-humped"
"one-humped camel cheese powder","one-humped p¢ queijo de camelo"
"melted one-humped camel cheese","derretido apenas uma corcova de camelo queijo"
"boiling one-humped camel cheese","ferver uma corcova de camelo queijo"
"one-humped camel man","homem camelo de uma corcunda"
"one-humped camel men","homens camelos de uma corcunda"
"one-humped camel woman","mulher camelo de uma corcunda"
"one-humped camel women","mulheres camelos de uma corcunda"
"A person with the head and hump of a one-humped camel.","Uma pessoa coma cabeáa e a corcunda de um camelo de uma corcunda."
"giant one-humped camel","camelo gigante de uma corcunda"
"giant one-humped camels","camelos gigantes de uma corcunda"
"giant one-humped camel calf","filhote de camelo gigante de uma corcunda"
"giant one-humped camel calves","filhotes de camelo gigante de uma corcunda"
"A huge monster the shape of a one-humped camel.","um monstro enorme na forma de um camelo de uma corcunda."
"A large, long-necked creature with two fleshy humps on its back.  It is domesticated to carry passengers and cargo.","Uma criatura grande, de pescoáo longo e com duas corcundas carnudas em suas costas. Ele Ç domesticado para transportar passageiros e carga."
"two-humped camel","camelo"
"two-humped camels","camelos de duas corcundas"
"two-humped camel calf","two-humped bezerro camelo"
"two-humped camel calves","duas corcovas do camelo bezerros"
"frozen two-humped camel's milk","leite de camelo congelado dois humped"
"two-humped camel's milk","o leite de camelo de dois humped"
"boiling two-humped camel's milk","leite fervendo duas corcovas de camelo"
"two-humped camel cheese","queijo de camelo de dois humped"
"two-humped camel cheese powder","two-humped p¢ queijo de camelo"
"melted two-humped camel cheese","queijo derretido camelo de dois humped"
"boiling two-humped camel cheese","vapor de queijo de camelo"
"two-humped camel man","homem camelo de duas corcundas"
"two-humped camel men","homens camelos de duas corcundas"
"two-humped camel woman","mulher camelo de duas corcundas"
"two-humped camel women","mulheres camelos de duas corcundas"
"A person with the head and humps of a two-humped camel.","Uma pessoa com cabeáa e corcundas de um camelo de duas corcundas."
"giant two-humped camel","camelo gigante de duas corcundas"
"giant two-humped camels","camelos gigantes de duas corcundas"
"giant two-humped camel calf","filhote de camelo gigante de duas corcundas"
"giant two-humped camel calves","filhotes de camelo gigante de duas corcundas"
"A huge monster the shape of a two-humped camel.","Um grande monstro na forma de um camelo de duas corcundas."
"A huge, predatory reptile found in coastal marshes and river deltas.  It ambushes its prey at the shore and uses its great size to drag the victim under and drown them.","Uma enorme rÇptil, predador encontrado em pÉntanos costeiros e deltas de rios. Ele embosca sua presa na costa e usa seu grande tamanho para arrastar a v°tima sob e afog†-los."
"saltwater crocodile","†gua salgada crocodilo"
"saltwater crocodiles","crocodilos de †gua salgada"
"saltwater crocodile hatchling","†gua salgada crocodilo filhote"
"saltwater crocodile hatchlings","filhotes de crocodilo de †gua salgada"
"saltwater crocodile man","homem crocodilo de †gua salgada"
"saltwater crocodile men","homens crocodilos de †gua salgada"
"saltwater crocodile woman","mulher crocodilo de †gua salgada"
"saltwater crocodile women","mulheres crocodilos de †gua salgada"
"A person with the head and tail of a saltwater crocodile.","Uma pessoa com a cabeáa e a calda de um crocodilo de †gua salgada."
"giant saltwater crocodile","crocodilo de †gua salgada gigante"
"giant saltwater crocodiles","crocodilos de †gua salgada gigantes"
"giant saltwater crocodile hatchling","filhote de crocodilo de †gua salgada gigante"
"giant saltwater crocodile hatchlings","filhote de crocodilo de †gua salgada gigante"
"A huge monster in the shape of a saltwater crocodile.","Um enorme monstro no formato de um crocodilo de †gua salgada."
"A large bird with a featherless red head found in the sky of tropical deserts, scanning the ground for dead carcasses.","Um grande p†ssaro de cabeáa vermelha featherless encontrado no cÇu de desertos tropicais, examinando o terreno para cad†veres."
"vulture","Abutre"
"vultures","abutres"
"vulture hatchling","Abutre hatchling"
"vulture hatchlings","filhotes abutre"
"vulture man","homem abutre"
"vulture men","homens abutres"
"vulture woman","mulher abutre"
"vulture women","mulheres abutres"
"A person with the head and wings of a vulture.","Uma pessoa com cabeáa e asas de um abutre."
"giant vulture","abutre gigante"
"giant vultures","abutres gigantes"
"giant vulture hatchling","filhote de abutre gigante"
"giant vulture hatchlings","filhotes de abutres gigantes"
"A huge monster in the form of a vulture.","Um enorme monstro na forma de um abutre."
"A huge herbivore with thick plated skin and powerful build.  It is known for the thick horns on the end of its nose.","Uma enorme herb°voro com a pele grossa banhado e construir poderosos. Sabe-se para os chifres grossos no final do seu nariz."
"rhinoceroses","rinocerontes"
"rhinoceros calf","rinoceronte bezerro"
"rhinoceros calves","rinoceronte bezerros"
"rhinoceros man","homem rinoceronte"
"rhinoceros men","homens rinocerontes"
"rhinoceros woman","mulher rinoceronte"
"rhinoceros women","mulheres rinocerontes"
"A person with the head and horns of a rhinoceros.","Uma pessoa com a cabeáa e os chifres de um rinoceronte."
"giant rhinoceros","rinoceronte gigante"
"giant rhinoceroses","rinocerontes gigantes"
"giant rhinoceros calf","filhote de rinoceronte gigante"
"giant rhinoceros calves","filhotes de rinoceronte gigante"
"A huge monster the shape of a rhinoceros.","Um enorme monstro no formato de um rinoceronte."
"A huge leaf-eating mammal.  It has an extremely long neck.  Its skin has a distinctive brown and white pattern.","Um enorme mam°fero que se alimenta de folhas. Ele tem um pescoáo extremamente longo. Sua pele tem um padr∆o marrom e branco distintivo."
"giraffes","girafas"
"giraffe calf","girafa bezerro"
"giraffe calves","bezerros girafa"
"giraffe man","homem girafa"
"giraffe men","homens girafa"
"giraffe woman","mulher girafa"
"giraffe women","mulheres girafas"
"A person with the head and neck of a giraffe.","Uma pessoa com a cabeáa e pescoáo de uma girafa."
"giant giraffe","girafa gigante"
"giant giraffes","girafas gigantes"
"giant giraffe calf","filhote de girafa gigante"
"giant giraffe calves","filhotes de girafa gigante"
"A huge monster the shape of a giraffe.","Um enorme monstro no formato de uma girafa."
"A small mammal known to defend itself ferociously in combat, often fighting off multiple animals many times its size.","Um pequeno mam°fero conhecido por defender ferozmente em combate, muitas vezes lutando contra v†rios animais muitas vezes o seu tamanho."
"honey badger","Honey Badger"
"honey badgers","texugos de mel"
"honey badger cub","o texugo de mel filhote"
"honey badger cubs","filhotes de texugo de mel"
"honey badger man","homem ratel"
"honey badger men","homens ratel"
"honey badger woman","mulher ratel"
"honey badger women","mulheres ratel"
"A humanoid with the head and stripes of a honey badger.","Um humanoide com a cabeáa e listras de um texugo-do-mel."
"giant honey badger","ratel gigante"
"giant honey badgers","rateis gigantes"
"giant honey badger cub","filhote de ratel"
"giant honey badger cubs","filhotes de ratel"
"A huge monster the shape of a honey badger.  It is ferocious in combat.","Um enorme monstro Ö forma de um texugo-do-mel.  Ele Ç feroz em combate."
"A medium-sized reptile with a large shell.  It can retreat into its shell to escape predators.","Um rÇptil de tamanho mÇdio com uma grande concha. Ele pode recuar em sua concha para escapar de predadores."
"giant tortoise","tartaruga gigante"
"giant tortoises","tartarugas gigantes"
"giant tortoise hatchling","filhote tartaruga gigante"
"giant tortoise hatchlings","filhotes de tartaruga gigante"
"retract into <pro_pos> shell","retrair <pro_pos> shell"
"retracts into <pro_pos> shell","retrai em <pro_pos> shell"
"come out of <pro_pos> shell","sair do <pro_pos> shell"
"comes out of <pro_pos> shell","sai <pro_pos> shell"
"giant tortoise man","Homem tartaruga gigante"
"giant tortoise men","homens Tartaruga gigante"
"giant tortoise woman","Mulher tartaruga gigante"
"giant tortoise women","mulheres tartaruga gigante"
"A person with a large shell and the head of a giant tortoise.","Uma pessoa com um grande escudo ea cabeáa de uma tartaruga gigante."
"gigantic tortoise","gigantesca tartaruga"
"gigantic tortoises","tartarugas gigantes"
"gigantic tortoise hatchling","gigantesco filhote de tartaruga"
"gigantic tortoise hatchlings","filhotes de tartaruga gigante"
"A huge monster with an enormous shell.","A enorme monstro com uma enorme concha."
"A small mammal with a leathery hide.  It can roll into a ball to escape predators.","Um pequeno mam°fero com uma pele de couro. Pode rolar em uma bola para escapar de predadores."
"armadillos","tatus"
"armadillo pup","filhote de tatu"
"armadillo pups","filhotes de tatu"
"thick, bony armor plates","compacto, placas de armadura ¢ssea"
"roll into a ball","Rolo em uma bola"
"rolls into a ball","rolos em uma bola"
"unroll","desenrole"
"unrolls","desenrola"
"armadillo sow","porca tatu"
"armadillo sows","porcas tatu"
"armadillo boar","tatu javali"
"armadillo boars","tatu javalis"
"armadillo man","Homem tatu"
"armadillo men","homens tatu"
"armadillo woman","Mulher tatu"
"armadillo women","mulheres tatu"
"A person with the hide and head of an armadillo.","Uma pessoa com a pele ea cabeáa de um tatu."
"giant armadillo","tatu gigante"
"giant armadillos","tatus gigantes"
"giant armadillo pup","filhote de tatu gigante"
"giant armadillo pups","filhotes de tatu gigantes"
"A large monster the shape of an armadillo.  It has thick armor for skin.","Um grande monstro a forma de um tatu. Tem armadura espessa para a pele."
"giant armadillo boar","Varr∆o tatu-canastra"
"giant armadillo boars","javalis tatu-canastra"
"giant armadillo sow","porca tatu-canastra"
"giant armadillo sows","porcas tatu gigantes"
"A large hooved animal with curved horns and a thick brown coat.  It is known for its strong odor.","Um grande animal ungulado com chifres curvados e um casaco castanho espesso. ê conhecido pelo seu forte odor."
"muskox calf","muskox bezerro"
"muskox calves","bezerros muskox"
"muskox man","homem muskox"
"muskox men","homens muskox"
"muskox woman","mulher muskox"
"muskox women","mulheres muskox"
"A horned person with the head of a muskox.","Uma pessoa com chifres com a cabeáa de um boi-almiscarado."
"giant muskox","muskox gigante"
"giant muskoxen","muskoxes gigantes"
"giant muskox calf","bezerro almiscarado gigante"
"giant muskox calves","bezerros almiscarado gigantes"
"A huge monster in the form of a muskox.","Um enorme monstro na forma de um boi-almiscarado."
"A large hooved animal found roaming wild in temperate forests.  The males have long antlers.","Um grande animal selvagem hooved encontrado vagando nas florestas temperadas. Os machos tàm chifres longos."
"elk fawn","alce coráa"
"elk fawns","alces filhotes"
"elk man","homem alce"
"elk men","homem alce"
"elk woman","mulher-alce"
