"its","それの"
"bitter melon seed","ゴーヤの種"
"bitter melon seeds","ゴーヤの種"
"taste","茎"
"bitter melon leaf","ゴーヤの葉"
"bitter melon leaves","ゴーヤの葉"
"bitter melon flower","ゴーヤの花"
"bitter melon","ゴーヤ"
"cabbage","キャベツ"
"cabbages","キャベツ"
"cabbage seed","キャベツの種"
"cabbage seeds","キャベツの種"
"cabbage leaf","キャベツの葉"
"cabbage leaves","キャベツの葉"
"cabbage flower spike","キャベツの花"
"caper bush","ケッパー bush"
"caper bushes","ケッパーの茂み"
"caper seed","ケッパーの種"
"caper seeds","ケッパーの種"
"buds and berries","実"
"caper leaf","ケッパーの葉"
"caper leaves","ケッパーの葉"
"caper","ケッパー"
"caper flower","ケッパーの花"
"caper berry","ケッパーの実"
"caper berries","ケッパーの実"
"wild carrot plant","wild 人参"
"wild carrot plants","wild 人参"
"frozen carrot wine","凍った人参のワイン"
"carrot wine","人参のワイン"
"boiling carrot wine","蒸気化した人参のワイン"
"carrot seed","人参の種"
"carrot seeds","人参の種"
"carrot leaf","人参の葉"
"carrot leaves","人参の葉"
"carrot umbel","人参の花"
"cassava","キャッサバ"
"cassavas","キャッサバ"
"frozen cassava beer","凍ったキャッサバのビール"
"cassava beer","キャッサバのビール"
"boiling cassava beer","蒸気化したキャッサバのビール"
"cassava seed","キャッサバの種"
"cassava seeds","キャッサバの種"
"roots","根"
"cassava leaf","キャッサバの葉"
"cassava leaves","キャッサバの葉"
"cassava flower","キャッサバの花"
"celery","セロリ"
"celery seed","celeryの種"
"celery seeds","セロリの種"
"celery leaf","セロリの葉"
"celery leaves","セロリの葉"
"celery umbel","セロリの花"
"chickpea plant","ひよこ豆"
"chickpea plants","ひよこ豆"
"chickpea","ひよこ豆"
"chickpeas","ひよこ豆"
"chickpea leaf","ひよこ豆の葉"
"chickpea leaves","ひよこ豆の葉"
"chickpea flower","ひよこ豆の花"
"chickpea pod","ひよこ豆 pod"
"chicory","チコリー"
"chicory seed","チコリーの種"
"chicory seeds","チコリーの種"
"chicory leaf","チコリーの葉"
"chicory leaves","チコリーの葉"
"chicory flower","チコリーの花"
"cowpea plant","ササゲ"
"cowpea plants","ササゲ"
"cowpea","ササゲ"
"cowpeas","ササゲ"
"cowpea leaf","ササゲの葉"
"cowpea leaves","ササゲの葉"
"cowpea flower","ササゲの花"
"cowpea pod","ササゲの粒"
"cucumber vine","きゅうりのつる"
"cucumber vines","きゅうりのつる"
"cucumber seed","きゅうりの種"
"cucumber seeds","きゅうりの種"
"cucumber leaf","きゅうりの葉"
"cucumber leaves","きゅうりの葉"
"cucumber flower","きゅうりの花"
"cucumber","きゅうり"
"eggplants","ナス"
"eggplant seed","ナスの種"
"eggplant seeds","ナスの種"
"eggplant leaf","ナスの葉"
"eggplant leaves","ナスの葉"
"eggplant flower","ナスの花"
"garden cress","胡椒草"
"garden cress seed","胡椒草の種"
"garden cress seeds","胡椒草の種"
"garden cress leaf","胡椒草の葉"
"garden cress leaves","胡椒草の葉"
"garden cress raceme","胡椒草の花"
"garlic plant","ニンニク"
"garlic plants","ニンニク"
"garlic seed","ニンニクの種"
"garlic seeds","ニンニクの種"
"cloves","房"
"garlic leaf","ニンニクの葉"
"garlic leaves","ニンニクの葉"
"garlic flower","ニンニクの花"
"garlic bulb","ニンニクの球根"
"horned melon vine","ツノニガウリのつる"
"horned melon vines","ツノニガウリのつる"
"horned melon seed","ツノニガウリの種"
"horned melon seeds","ツノニガウリの種"
"horned melon leaf","ツノニガウリの葉"
"horned melon leaves","ツノニガウリの葉"
"horned melon flower","ツノニガウリの花"
"horned melon","ツノニガウリ"
"leek","ポロねぎ"
"leeks","ポロねぎ"
"leek seed","ポロねぎの種"
"leek seeds","ポロねぎの種"
"leek leaf","ポロねぎの葉"
"leek leaves","ポロねぎの葉"
"leek flower","ポロねぎの花"
"lentil plant","レンズ豆"
"lentil plants","レンズ豆"
"lentil","レンズ豆"
"lentils","レンズ豆"
"lentil leaf","レンズ豆の葉"
"lentil leaves","レンズ豆の葉"
"lentil flower","レンズ豆の花"
"lentil pod","レンズ豆の粒"
"lettuce","レタス"
"lettuces","レタス"
"lettuce seed","レタスの種"
"lettuce seeds","レタスの種"
"lettuce leaf","レタスの葉"
"lettuce leaves","レタスの葉"
"lettuce flower stalk","レタスの花"
"mung bean plant","青小豆"
"mung bean plants","青小豆"
"mung bean","青小豆"
"mung beans","青小豆"
"mung bean leaf","青小豆の葉"
"mung bean leaves","青小豆の葉"
"mung bean flower","青小豆の花"
"mung bean pod","青小豆 pod"
"muskmelon vine","マスクメロンのつる"
"muskmelon vines","マスクメロンのつるs"
"muskmelon seed","マスクメロンの種"
"muskmelon seeds","マスクメロンの種"
"muskmelon leaf","マスクメロンの葉"
"muskmelon leaves","マスクメロンの葉"
"muskmelon flower","マスクメロンの花"
"muskmelon","マスクメロン"
"onion plant","玉ねぎ"
"onion plants","玉ねぎ"
"onion seed","玉ねぎの種"
"onion seeds","玉ねぎの種"
"bulbs","球根"
"onion leaf","玉ねぎの葉"
"onion leaves","玉ねぎの葉"
"onion umbel","玉ねぎの花"
"onion","玉ねぎ"
"parsnip plant","白人参"
"parsnip plants","白人参"
"frozen parsnip wine","凍った白人参のワイン"
"parsnip wine","白人参のワイン"
"boiling parsnip wine","蒸気化した白人参のワイン"
"parsnip seed","白人参の種"
"parsnip seeds","白人参の種"
"parsnip leaf","白人参の葉"
"parsnip leaves","白人参の葉"
"parsnip umbel","白人参の花"
"pea plant","エンドウ豆"
"pea plants","エンドウ豆"
"pea","pea"
"peas","エンドウ豆"
"pea leaf","エンドウ豆の葉"
"pea leaves","エンドウ豆の葉"
"pea flower","エンドウ豆の花"
"pea pod","エンドウ豆 pod"
"peanut plant","ピーナッツ"
"peanut plants","ピーナッツ"
"peanut","ピーナッツ"
"peanuts","ピーナッツ"
"peanut leaf","ピーナッツの葉"
"peanut leaves","ピーナッツの葉"
"peanut flower","ピーナッツの花"
"peanut pod","ピーナッツ豆"
"pepper plant","胡椒"
"pepper plants","胡椒"
"pepper seed","胡椒の種"
"pepper seeds","胡椒の種"
"pepper leaf","胡椒の葉"
"pepper leaves","胡椒の葉"
"pepper flower","胡椒の花"
"pepper","胡椒"
"potato plant","ジャガイモ"
"potato plants","ジャガイモ"
"frozen potato wine","凍ったジャガイモのワイン"
"potato wine","ジャガイモのワイン"
"boiling potato wine","蒸気化したジャガイモのワイン"
"potato seed","ジャガイモの種"
"potato seeds","ジャガイモの種"
"edible tubers","芋"
"potato leaf","ジャガイモの葉"
"potato leaves","ジャガイモの葉"
"potato flower","ジャガイモの花"
"radish plant","ラディッシュ"
"radish plants","ラディッシュ"
"frozen radish wine","凍ったラディッシュのワイン"
"radish wine","ラディッシュのワイン"
"boiling radish wine","蒸気化したラディッシュのワイン"
"radish seed","ラディッシュの種"
"radish seeds","ラディッシュの種"
"radish leaf","ラディッシュの葉"
"radish leaves","ラディッシュの葉"
"radish raceme","ラディッシュの花"
"red bean vine","小豆のつる"
"red bean vines","小豆のつる"
"red bean","小豆"
"red beans","小豆"
"red bean leaf","小豆の葉"
"red bean leaves","小豆の葉"
"red bean flower","小豆の花"
"red bean pod","小豆の粒"
"rhubarb","ルバーブ"
"rhubarbs","ルバーブ"
"rhubarb seed","ルバーブの種"
"rhubarb seeds","ルバーブの種"
"rhubarb leaf","ルバーブの葉"
"rhubarb leaves","ルバーブの葉"
"rhubarb inflorescence","ルバーブの花"
"soybean plant","大豆"
"soybean plants","大豆"
"soybean","大豆"
"soybeans","大豆"
"soybean leaf","大豆の葉"
"soybean leaves","大豆の葉"
"soybean flower","大豆の花"
"soybean pod","大豆 pod"
"spinach","ほうれん草"
"spinach seed","ほうれん草の種"
"spinach seeds","ほうれん草の種"
"spinach leaf","ほうれん草の葉"
"spinach leaves","ほうれん草の葉"
"spinach flower","ほうれん草の花"
"squash vine","カボチャのつる"
"squash vines","カボチャのつるs"
"squash seed","カボチャの種"
"squash seeds","カボチャの種"
"squash leaf","カボチャの葉"
"squash leaves","カボチャの葉"
"squash flower","カボチャの花"
"squash","カボチャ"
"squashes","カボチャ"
"sweet potato plant","サツマイモ"
"sweet potato plants","サツマイモ"
"frozen sweet potato wine","凍ったサツマイモのワイン"
"sweet potato wine","サツマイモのワイン"
"boiling sweet potato wine","蒸気化したサツマイモのワイン"
"sweet potato seed","サツマイモの種"
"sweet potato seeds","サツマイモの種"
"sweet potato leaf","サツマイモの葉"
"sweet potato leaves","サツマイモの葉"
"sweet potato flower","サツマイモの花"
"taro","タロイモ"
"taro seed","タロイモの種"
"taro seeds","タロイモの種"
"taro leaf","タロイモの葉"
"taro leaves","タロイモの葉"
"taro flower","タロイモの花"
"tomato plant","トマト"
"tomato plants","トマト"
"frozen tomato wine","凍ったトマトのワイン"
"tomato wine","トマトのワイン"
"boiling tomato wine","蒸気化したトマトのワイン"
"tomato seed","トマトの種"
"tomato seeds","トマトの種"
"tomato leaf","トマトの葉"
"tomato leaves","トマトの葉"
"tomato flower","トマトの花"
"tomato","トマト"
"tomatoes","トマト"
"tomatillo plant","トマティーヨ"
"tomatillo plants","トマティーヨ"
"frozen tomatillo wine","凍ったトマティーヨのワイン"
"tomatillo wine","トマティーヨのワイン"
"boiling tomatillo wine","蒸気化したトマティーヨのワイン"
"tomatillo seed","トマティーヨの種"
"tomatillo seeds","トマティーヨの種"
"tomatillo leaf","トマティーヨの葉"
"tomatillo leaves","トマティーヨの葉"
"tomatillo flower","トマティーヨの花"
"tomatillo","トマティーヨ"
"turnip plant","カブ"
"turnip plants","カブ"
"frozen turnip wine","凍ったカブのワイン"
"turnip wine","カブのワイン"
"boiling turnip wine","蒸気化したカブのワイン"
"turnip seed","カブの種"
"turnip seeds","カブの種"
"turnip leaf","カブの葉"
"turnip leaves","カブの葉"
"turnip flower","カブの花"
"urad bean plant","ブラックマッペもやし豆"
"urad bean plants","ブラックマッペもやし豆"
"urad bean","ブラックマッペもやし豆"
"urad beans","ブラックマッペもやし豆"
"urad bean leaf","ブラックマッペもやし豆の葉"
"urad bean leaves","ブラックマッペもやし豆の葉"
"urad bean flower","ブラックマッペもやし豆の花"
"urad bean pod","ブラックマッペもやし豆 pod"
"watermelon vine","スイカのつる"
"watermelon vines","スイカのつる"
"watermelon seed","スイカの種"
"watermelon seeds","スイカの種"
"watermelon leaf","スイカの葉"
"watermelon leaves","スイカの葉"
"watermelon flower","スイカの花"
"watermelon","スイカ"
"winter melon vine","冬瓜のつる"
"winter melon vines","冬瓜のつる"
"winter melon seed","冬瓜の種"
"winter melon seeds","冬瓜の種"
"winter melon leaf","冬瓜の葉"
"winter melon leaves","冬瓜の葉"
"winter melon flower","冬瓜の花"
"winter melon","冬瓜"
"lesser yam plant","針芋"
"lesser yam plants","針芋"
"lesser yam seed","針芋の種"
"lesser yam seeds","針芋の種"
"tubers","芋"
"lesser yam leaf","針芋の葉"
"lesser yam leaves","針芋の葉"
"lesser yam flower","針芋の花"
"long yam plant","長芋"
"long yam plants","長芋"
"long yam seed","長芋の種"
"long yam seeds","長芋の種"
"long yam leaf","長芋の葉"
"long yam leaves","長芋の葉"
"long yam flower","長芋の花"
"purple yam plant","紫ヤムイモ"
"purple yam plants","紫ヤムイモ"
"purple yam seed","紫ヤムイモの種"
"purple yam seeds","紫ヤムイモの種"
"purple yam leaf","紫ヤムイモの葉"
"purple yam leaves","紫ヤムイモの葉"
"purple yam flower","紫ヤムイモの花"
"white yam plant","山芋"
"white yam plants","山芋"
"white yam seed","山芋の種"
"white yam seeds","山芋の種"
"white yam leaf","山芋の葉"
"white yam leaves","山芋の葉"
"white yam flower","山芋の花"
"passion fruit vine","パッションフルーツのつる"
"passion fruit vines","パッションフルーツのつるs"
"frozen passion fruit wine","凍ったパッションフルーツのワイン"
"passion fruit wine","パッションフルーツのワイン"
"boiling passion fruit wine","蒸気化したパッションフルーツのワイン"
"passion fruit seed","パッションフルーツの種"
"passion fruit seeds","パッションフルーツの種"
"passion fruit leaf","パッションフルーツの葉"
"passion fruit leaves","パッションフルーツの葉"
"passion fruit flower","パッションフルーツの花"
"passion fruit","パッションフルーツ"
"grape vine","葡萄のつる"
"grape vines","葡萄のつるs"
"frozen wine","凍った葡萄ワイン"
"boiling wine","蒸気化した葡萄ワイン"
"grape seed","葡萄の種"
"grape seeds","葡萄の種"
"grape leaf","葡萄の葉"
"grape leaves","葡萄の葉"
"grape inflorescence","葡萄の花"
"grape","葡萄"
"cranberry vine","クランベリーのつる"
"cranberry vines","クランベリーのつるs"
"frozen cranberry wine","凍ったクランベリーのワイン"
"cranberry wine","クランベリーのワイン"
"boiling cranberry wine","蒸気化したクランベリーのワイン"
"cranberry seed","クランベリーの種"
"cranberry seeds","クランベリーの種"
"cranberry leaf","クランベリーの葉"
"cranberry leaves","クランベリーの葉"
"cranberry flower","クランベリーの花"
"cranberry","クランベリー"
"cranberries","クランベリー"
"bilberry bush","ビルベリーの茂み"
"bilberry bushes","ビルベリーの茂み"
"frozen bilberry wine","凍ったビルベリーのワイン"
"bilberry wine","ビルベリーのワイン"
"boiling bilberry wine","蒸気化したビルベリーのワイン"
"bilberry seed","ビルベリーの種"
"bilberry seeds","ビルベリーの種"
"bilberry leaf","ビルベリーの葉"
"bilberry leaves","ビルベリーの葉"
"bilberry flower","ビルベリーの花"
"bilberry","ビルベリー"
"bilberries","ビルベリー"
"blueberry bush","ブルーベリー bush"
"blueberry bushes","ブルーベリーの茂み"
"frozen blueberry wine","凍ったブルーベリーのワイン"
"blueberry wine","ブルーベリーのワイン"
"boiling blueberry wine","蒸気化したブルーベリーのワイン"
"blueberry seed","ブルーベリーの種"
"blueberry seeds","ブルーベリーの種"
"blueberry leaf","ブルーベリーの葉"
"blueberry leaves","ブルーベリーの葉"
"blueberry flower","ブルーベリーの花"
"blueberry","ブルーベリー"
"blueberries","ブルーベリー"
"blackberry bush","ブラックベリーの茂み"
"blackberry bushes","ブラックベリーの茂み"
"frozen blackberry wine","凍ったブラックベリーのワイン"
"blackberry wine","ブラックベリーのワイン"
"boiling blackberry wine","蒸気化したブラックベリーのワイン"
"blackberry seed","ブラックベリーの種"
"blackberry seeds","ブラックベリーの種"
"blackberry leaf","ブラックベリーの葉"
"blackberry leaves","ブラックベリーの葉"
"blackberry flower","ブラックベリーの花"
"blackberry","ブラックベリー"
"blackberries","ブラックベリー"
"raspberry bush","ラズベリーの茂み"
"raspberry bushes","ラズベリーの茂み"
"frozen raspberry wine","凍ったラズベリーのワイン"
"raspberry wine","ラズベリーのワイン"
"boiling raspberry wine","蒸気化したラズベリーのワイン"
"raspberry seed","ラズベリーの種"
"raspberry seeds","ラズベリーの種"
"raspberry leaf","ラズベリーの葉"
"raspberry leaves","ラズベリーの葉"
"raspberry flower","ラズベリーの花"
"raspberry","ラズベリー"
"raspberries","ラズベリー"
"pineapple plant","パイナップル"
"pineapple plants","パイナップル"
"frozen pineapple wine","凍ったパイナップルのワイン"
"pineapple wine","パイナップルのワイン"
"boiling pineapple wine","蒸気化したパイナップルのワイン"
"pineapple seed","パイナップルの種"
"pineapple seeds","パイナップルの種"
"pineapple leaf","パイナップルの葉"
"pineapple leaves","パイナップルの葉"
"pineapple flower","パイナップルの花"
"pineapple","パイナップル"
"meadow-grass","ナガハクサ"
"hair grass","ヒロハノコメススキ"
"bentgrass","ベントグラス"
"ryegrass","ネズミムギ"
"fescue grass","オニウシノケグサ"
"reedgrass","ノガリヤス"
"knotgrass","ニワヤナギ"
"zoysia","芝"
"dog's tooth grass","ギョウギシバ"
"dallisgrass","シマスズメノヒエ"
"carpetgrass","カーペットグラス"
"satintail","チガヤ"
"grama","グラマ芝"
"dropseed grass","ドロップシードグラス"
"needle grass","ニードルグラス"
"baby toes succulent","フェネストラリア"
"baby toes succulents","フェネストラリア"
"baby toes succulent bud","フェネストラリアのつぼみ"
"baby toes succulent flower","フェネストラリアの花"
"pebble plant","リトープス"
"pebble plants","リトープス"
"pebble plant bud","リトープスのつぼみ"
"pebble plant flower","リトープスの花"
"blue sedge","アオスゲ"
"field sedge","フィールドセッジ"
"purple moor grass","ヨウシュヌマガヤ"
"velvet grass","シラゲガヤ"
"meadowsweet","セイヨウナツユキソウ"
"meadowsweet bud","セイヨウナツユキソウのつぼみ"
"meadowsweet flower","セイヨウナツユキソウの花"
"rush","トウシンソウ"
"rushes","トウシンソウ"
"rush bud","トウシンソウのつぼみ"
"rush flower","トウシンソウの花"
"marsh thistle","アザミ"
"marsh thistles","アザミ"
"marsh thistle bud","アザミのつぼみ"
"marsh thistle flower","アザミの花"
"common reed","葦"
"common reeds","葦"
"cattail","ガマ"
"cattails","ガマ"
"sawgrass","ヒトモトススキ"
"cottongrass","ワタスゲ"
"cottongrass bud","ワタスゲのつぼみ"
"cottongrass tuft","ワタスゲの房"
"white mountain heather","カシオペメルテンシアナ"
"mountain avens","チョウノスケソウ"
"mountain avens flower","チョウノスケソウの花"
"cloudberry","ホロムイイチゴ"
"cloudberries","ホロムイイチゴ"
"cloudberry bud","ホロムイイチゴのつぼみ"
"cloudberry flower","ホロムイイチゴの花"
"wormy tendril","イモムシマキヒゲツタ"
"wormy tendrils","イモムシマキヒゲツタ"
"staring eyeball","ニラミツケソウ"
"staring eyeballs","ニラミツケソウ"
"bubble bulbs","アワダチユリネの球根"
"bubble bulb","アワダチユリネの球根"
"downy grass","ミサヤマチャヒキ"
"cave moss","ヒカリゴケ"
"floor fungus","フロアファンガス"
"floor fungi","フロアファンガス"
"arrow bamboo","矢竹"
"golden bamboo","布袋竹"
"hedge bamboo","蓬莱竹"
"abaca tree","マニラ麻の木"
"abaca trees","マニラ麻の木"
"abaca seed","マニラ麻の種"
"abaca seeds","マニラ麻の種"
"abaca leaf","マニラ麻の葉"
"abaca leaves","マニラ麻の葉"
"abaca flower","マニラ麻の花"
"banana tree","バナナの木"
"banana trees","バナナの木"
"frozen banana beer","凍ったバナナのビール"
"banana beer","バナナのビール"
"boiling banana beer","蒸気化したバナナのビール"
"banana seed","バナナの種"
"banana seeds","バナナの種"
"banana leaf","バナナの葉"
"banana leaves","バナナの葉"
"banana flower","バナナの花"
"banana","バナナ"
"carambola tree","スターフルーツの木"
"carambola trees","スターフルーツの木"
"carambola wood","スターフルーツの木"
"frozen carambola wine","凍ったスターフルーツのワイン"
"carambola wine","スターフルーツのワイン"
"boiling carambola wine","蒸気化したスターフルーツのワイン"
"carambola seed","carambolaの種"
"carambola seeds","スターフルーツの種"
"carambola leaf","スターフルーツの葉"
"carambola leaves","スターフルーツの葉"
"carambola flower","スターフルーツの花"
"carambola","スターフルーツ"
"cashew tree","カシューの木"
"cashew trees","カシューの木"
"cashew wood","カシューの木"
"cashew","カシュー"
"cashews","カシュー"
"fruit and nuts","ナッツ"
"cashew leaf","カシューの葉"
"cashew leaves","カシューの葉"
"cashew flower","カシューの花"
"cashew apple","カシューアップル"
"coffee tree","コーヒーの木"
"coffee trees","コーヒーの木"
"coffee wood","コーヒーの木"
"coffee bean","コーヒー bean"
"coffee beans","コーヒー豆"
"yummy cherries","コーヒーチェリー"
"coffee leaf","コーヒーの葉"
"coffee leaves","コーヒーの葉"
"coffee flower cluster","コーヒーの花"
"coffee cherry","コーヒーチェリー"
"coffee cherries","コーヒーチェリー"
"durian tree","ドリアンの木"
"durian trees","ドリアンの木"
"durian wood","ドリアンの木"
"frozen durian wine","凍ったドリアンのワイン"
"durian wine","ドリアンのワイン"
"boiling durian wine","蒸気化したドリアンのワイン"
"durian seed","ドリアンの種"
"durian seeds","ドリアンの種"
"fragrant fruit","匂いの強い果実"
"durian leaf","ドリアンの葉"
"durian leaves","ドリアンの葉"
"durian flower","ドリアンの花"
"durian","ドリアン"
"guava tree","グァバの木"
"guava trees","グァバの木"
"guava wood","グァバの木"
"frozen guava wine","凍ったグァバのワイン"
"guava wine","グァバのワイン"
"boiling guava wine","蒸気化したグァバのワイン"
"guava seed","グァバの種"
"guava seeds","グァバの種"
"guava leaf","グァバの葉"
"guava leaves","グァバの葉"
"guava flower","グァバの花"
"guava","グァバ"
"papaya tree","パパイヤの木"
"papaya trees","パパイヤの木"
"papaya wood","パパイヤの木"
"frozen papaya wine","凍ったパパイヤのワイン"
"papaya wine","パパイヤのワイン"
"boiling papaya wine","蒸気化したパパイヤのワイン"
"papaya seed","パパイヤの種"
"papaya seeds","パパイヤの種"
"papaya leaf","パパイヤの葉"
"papaya leaves","パパイヤの葉"
"papaya flower","パパイヤの花"
"papaya","パパイヤ"
"paradise nut tree","パラダイスナッツの木"
"paradise nut trees","パラダイスナッツの木"
"paradise nut wood","パラダイスナッツの木"
"paradise nut","パラダイスナッツ"
"paradise nuts","パラダイスナッツs"
"nut-filled pots","ナッツの入った豆"
"paradise nut leaf","パラダイスナッツの葉"
"paradise nut leaves","パラダイスナッツの葉"
"paradise nut raceme","パラダイスナッツの花"
"paradise nut fruit","パラダイスナッツの実"
"rambutan tree","ランブータンの木"
"rambutan trees","ランブータンの木"
"rambutan wood","ランブータンの木"
"frozen rambutan wine","凍ったランブータンのワイン"
"rambutan wine","ランブータンのワイン"
"boiling rambutan wine","蒸気化したランブータンのワイン"
"rambutan seed","ランブータンの種"
"rambutan seeds","ランブータンの種"
"rambutan leaf","ランブータンの葉"
"rambutan leaves","ランブータンの葉"
"rambutan flower","ランブータンの花"
"rambutan","ランブータン"
"tea tree","茶の木"
"tea trees","茶の木"
"tea wood","茶の木"
"tea seed","茶の種"
"tea seeds","茶の種"
"tea leaf","茶の葉"
"tea leaves","茶の葉"
"tea flower","茶の花"
"tea tree capsule","茶の木 capsule"
"avocado tree","アボカドの木"
"avocado trees","アボカドの木"
"avocado wood","アボカドの木"
"avocado pit","アボカドの実"
"avocado pits","アボカドの実"
"avocado leaf","アボカドの葉"
"avocado leaves","アボカドの葉"
"avocado flower","アボカドの花"
"avocado","アボカド"
"lime tree","ライムの木"
"lime trees","ライムの木"
"lime wood","ライムの木"
"lime seed","ライムの種"
"lime seeds","ライムの種"
"lime leaf","ライムの葉"
"lime leaves","ライムの葉"
"lime flower","ライムの花"
"pomelo tree","文旦の木"
"pomelo trees","文旦の木"
"pomelo wood","文旦の木"
"pomelo seed","文旦の種"
"pomelo seeds","文旦の種"
"pomelo leaf","文旦の葉"
"pomelo leaves","文旦の葉"
"pomelo flower","文旦の花"
"pomelo","文旦"
"citron tree","丸仏手柑の木"
"citron trees","丸仏手柑の木"
"citron wood","丸仏手柑の木"
"citron seed","丸仏手柑の種"
"citron seeds","丸仏手柑の種"
"citron leaf","丸仏手柑の葉"
"citron leaves","丸仏手柑の葉"
"citron flower","丸仏手柑の花"
"citron","丸仏手柑"
"orange tree","オレンジの木"
"orange trees","オレンジの木"
"orange wood","オレンジの木"
"orange seed","オレンジの種"
"orange seeds","オレンジの種"
"orange leaf","オレンジの葉"
"orange leaves","オレンジの葉"
"orange flower","オレンジの花"
"bitter orange tree","マーマレードの木"
"bitter orange trees","マーマレードの木"
"bitter orange wood","マーマレードの木"
"bitter orange seed","マーマレードの種"
"bitter orange seeds","マーマレードの種"
"bitter orange leaf","マーマレードの葉"
"bitter orange leaves","マーマレードの葉"
"bitter orange flower","マーマレードの花"
"bitter orange","マーマレード"
"finger lime tree","フィンガーライムの木"
"finger lime trees","フィンガーライムの木"
"finger lime wood","フィンガーライムの木"
"finger lime seed","フィンガーライムの種"
"finger lime seeds","フィンガーライムの種"
"finger lime leaf","フィンガーライムの葉"
"finger lime leaves","フィンガーライムの葉"
"finger lime flower","フィンガーライムの花"
"finger lime","フィンガーライム"
"round lime tree","ラウンドライムの木"
"round lime trees","ラウンドライムの木"
"round lime wood","ラウンドライムの木"
"round lime seed","ラウンドライムの種"
"round lime seeds","ラウンドライムの種"
"round lime leaf","オーストラリアライムの葉"
"round lime leaves","ラウンドライムの葉"
"round lime flower","ラウンドライムの花"
"round lime","ラウンドライム"
"desert lime tree","デザートライムの木"
"desert lime trees","デザートライムの木"
"desert lime wood","デザートライムの木"
"desert lime seed","デザートライムの種"
"desert lime seeds","デザートライムの種"
"desert lime leaf","デザートライムの葉"
"desert lime leaves","デザートライムの葉"
"desert lime flower","デザートライムの花"
"desert lime","デザートライム"
"kumquat tree","金柑の木"
"kumquat trees","金柑の木"
"kumquat wood","金柑の木"
"kumquat seed","金柑の種"
"kumquat seeds","金柑の種"
"kumquat leaf","金柑の葉"
"kumquat leaves","金柑の葉"
"kumquat flower","金柑の花"
"kumquat","金柑"
"custard-apple tree","カスタードアップルの木"
"custard-apple trees","カスタードアップルの木"
"custard-apple wood","カスタードアップルの木"
"frozen custard-apple cider","凍ったカスタードアップルのシャンパン"
"custard-apple cider","カスタードアップルのシャンパン"
"boiling custard-apple cider","蒸気化したカスタードアップルのシャンパン"
"custard-apple seed","カスタードアップルの種"
"custard-apple seeds","カスタードアップルの種"
"custard-apple leaf","カスタードアップルの葉"
"custard-apple leaves","カスタードアップルの葉"
"custard-apple flower","カスタードアップルの花"
"custard-apple","カスタードアップル"
"date palm","ナツメヤシ"
"date palms","ナツメヤシ"
"date palm wood","ナツメヤシの木"
"frozen date wine","凍ったデーツのワイン"
"date wine","デーツのワイン"
"boiling date wine","蒸気化したデーツのワイン"
"date palm seed","ナツメヤシの種"
"date palm seeds","ナツメヤシの種"
"date palm frond blade","ナツメヤシのデーツ"
"date palm frond blades","ナツメヤシのデーツ"
"date palm flower stalk","ナツメヤシの花"
"lychee tree","ライチの木"
"lychee trees","ライチの木"
"lychee wood","ライチの木"
"frozen lychee wine","凍ったライチのワイン"
"lychee wine","ライチのワイン"
"boiling lychee wine","蒸気化したライチのワイン"
"lychee seed","ライチの種"
"lychee seeds","ライチの種"
"lychee leaf","ライチの葉"
"lychee leaves","ライチの葉"
"lychee flower","ライチの花"
"lychee","ライチ"
"macadamia tree","マカダミアナッツの木"
"macadamia trees","マカダミアナッツの木"
"macadamia wood","マカダミアナッツの木"
"macadamia nut","マカダミアナッツ nut"
"macadamia nuts","マカダミアナッツ nuts"
"nuts","実"
"macadamia leaf","マカダミアナッツの葉"
"macadamia leaves","マカダミアナッツの葉"
"macadamia raceme","マカダミアナッツの花"
"olive tree","オリーブの木"
"olive trees","オリーブの木"
"frozen olive oil","凍ったオリーブオイル"
"olive oil","オリーブオイル"
"boiling olive oil","蒸気化したオリーブオイル"
"olive oil soap","オリーブオイル石鹸"
"melted olive oil soap","溶けたオリーブオイル石鹸"
"olive wood","オリーブの木"
"olive fruit","オリーブの果実"
"olive pomace","オリーブの絞り粕"
"olive pit","オリーブの実"
"olive pits","オリーブの実"
"oil-giving fruit","オイルを絞れる果実"
"olive leaf","オリーブの葉"
"olive leaves","オリーブの葉"
"olive raceme","オリーブの花"
"pomegranate tree","ザクロの木"
"pomegranate trees","ザクロの木"
"pomegranate wood","ザクロの木"
"frozen pomegranate wine","凍ったザクロのワイン"
"pomegranate wine","ザクロのワイン"
"boiling pomegranate wine","蒸気化したザクロのワイン"
"pomegranate seed","ザクロの種"
"pomegranate seeds","ザクロの種"
"pomegranate leaf","ザクロの葉"
"pomegranate leaves","ザクロの葉"
"pomegranate flower","ザクロの花"
"pomegranate","ザクロ"
"almond tree","アーモンドの木"
"almond trees","アーモンドの木"
"almond wood","アーモンドの木"
"almond","アーモンド"
"almonds","アーモンド"
"almond leaf","アーモンドの葉"
"almond leaves","アーモンドの葉"
"almond flower","アーモンドの花"
"apple tree","リンゴの木"
"apple trees","リンゴの木"
"apple wood","リンゴの木"
"frozen apple cider","凍ったリンゴのシャンパン"
"apple cider","リンゴのシャンパン"
"boiling apple cider","蒸気化したリンゴのシャンパン"
"apple seed","リンゴの種"
"apple seeds","リンゴの種"
"apple leaf","リンゴの葉"
"apple leaves","リンゴの葉"
"apple flower","リンゴの花"
"apple","リンゴ"
