"engineering:horology:mechanical clock","inæynieria:horologia:zegar mechaniczny"
"overflows with sadness","przepeàniony smutkiem"
"is depressing","jest przygn©biajace"
"has a touch of melancholy","ma nutk© melancholii"
"is thoroughly organized","jest dokàadnie zorganizowany"
"is clearly organized","jest przejrzyòcie zorganizowany"
"is organized","jest zorganizowany"
"is thoroughly mechanical","jest caàkowicie mechaniczny"
"is very rigid","jest bardzo sztywny"
"is a bit stiff","jest nieco sztywny"
"is completely serious","jest caàkowicie powaæny"
"has a very serious tone","ma bardzo powaæny ton"
"is reasonably serious","jest doòÜ powaæny"
"artfully flashes through seemingly disjoint topics","zr©cznie przemyka przez pozornie rozà•czne tematy"
"breaks sharply between topics with regularity","regularne przerwy mi©dzy tematami"
"has some particularly crisp changes in topic","ma kilka szczeg¢lnie wyra´nych zmian w temacie"
"is utterly disjointed","jest caàkowicie chaotyczny"
"skips around a lot","cz©sto przeskakuje"
"occasionally changes topic abruptly","czasami gwaàtownie zmienia temat"
"uses only artful words and phrases selected with care","uæywa tylko starannie dobranych sà¢w i zwrot¢w"
"is throughout ornate and refined","jest bogato zdobiona i wyrafinowana"
"has rare but particularly exquisite turns of phrase","ma rzadkie, ale szczeg¢lnie wykwintne zwroty akcji"
"is excessively ornate","jest nadmiernie ozdobny"
"is quite florid","jest doòÜ kwiecisty"
"is somewhat showy","jest nieco efektowny"
"drives forward relentlessly","Nieustannie pod•æa naprz¢d"
"is full of force","jest peàen siày"
"is forceful","jest silny"
"is a comedy treasure trove","to komediowy skarb"
"is quite humorous","jest doòÜ humorystyczny"
"has a touch of humor","ma odrobin© humoru"
"is littered with terrible jokes inartfully told","jest zaòmiecona okropnymi dowcipami opowiadanymi bez sensu"
"has poorly-executed humor","ma sàabo wykonany humor"
"tries and fails to be funny at times","czasami pr¢buje byÜ zabawny, ale mu si© to nie udaje"
"is artfully suffused with what would otherwise be childish and immature material","jest kunsztownie nasycony tym, co w innym przypadku byàoby dziecinnym i niedojrzaàym materiaàem"
"contains a deft use throughout of what might be considered immature material","zawiera zr©czne wykorzystanie tego, co moæna by uznaÜ za niedojrzaày materiaà"
"manages an artful inclusion here and there of childish material","udaje mu si© zr©cznie umieòciÜ tu i ¢wdzie dziecinny materiaà"
"is absolutely puerile","jest absolutnie gàupi"
"is very childish","jest bardzo dziecinny"
"is a bit immature","jest nieco niedojrzaày"
"indulges the author's every whim","pobàaæa kaædej zachciance autora"
"artfully indulges the author's fancies","artystycznie oddaje si© fantazjom autora"
"contains some asides related to the author's preferences","zawiera kilka dodatk¢w zwi•zanych z preferencjami autora"
"is stunningly self-indulgent","jest oszaàamiaj•co pobàaæliwy"
"is quite self-indulgent","jest doòÜ pobàaæliwy"
"is somewhat self-indulgent","jest nieco pobàaæliwy"
"could only have been produced by a merciful spirit","mogào byÜ stworzone tylko przez miàosiernego ducha"
"is quite touching","jest doòÜ wzruszaj•cy"
"shows a hint of tenderness","wykazuje nut© czuàoòci"
"is clear evidence of a compassionate being","jest wyra´nym dowodem wsp¢àczuj•cej istoty"
"is very compassionate","jest bardzo wsp¢àczuj•cy"
"gives a feeling of compassion here and there","daje uczucie wsp¢àczucia tu i tam"
"is as vicious as can be","jest tak zàoòliwy, jak to tylko moæliwe"
"is quite cruel","jest doòÜ okrutny"
"has a hint of viciousness to it","ma w sobie nut© zaciekàoòci"
"is a monument to concision","jest pomnikiem zwi©zàoòci"
"is very concise","jest bardzo zwi©zày"
"is fairly crisp","jest doòÜ wyra´ny"
"is a pit of bitter scorn","jest otchàani• gorzkiej pogardy"
"is quite mocking in tone","ma doòÜ przeòmiewczy ton"
"contains the occasional biting remark","zawiera okazjonalne k•òliwe uwagi"
"is a reservoir of amusingly clever quips","jest rezerwuarem zabawnie sprytnych æart¢w"
"is refreshingly witty","jest odòwieæaj•co dowcipny"
"has its moments of cleverness","ma swoje momenty sprytu"
"is an awe-inspiring wild rant","to inspiruj•cy dziki rant"
"careens forward as a rant","p©dzi do przodu jak rant"
"tumbles out almost as a rant at times","czasami wypàywa prawie jak rant"
"is a completely unhinged rant","to kompletnie odjechana tyrada"
"is a rant more or less","to mniej wi©cej rant"
"descends to a rant in places","miejscami popada w rant"
"It asks the question, ""What if ","Zadaje pytanie: ""Co by byào, gdyby "
" had unfolded differently?""  "," potoczyàoby si© inaczej?"" "
"It concerns the lineage of ","Dotyczy to linii "
"It concerns ","Dotyczy "
"The work has no particular subject.  ","Praca nie ma konkretnego tematu. "
"The overall text emphasizes ","Og¢lny tekst podkreòla "
"For lyrics, the composer has selected ","Do tekst¢w kompozytor wybraà "
"For musical accompaniment, the choreographer has selected ","Jako akompaniament muzyczny choreograf wybraà "
" and it "," i to "
" yet it "," a jednak "
"Overall, the information is compiled masterfully","Og¢lnie rzecz bior•c, informacje s• skompilowane po mistrzowsku"
"Overall, the splendid source of information","Og¢lnie rzecz bior•c, wspaniaàe ´r¢dào informacji"
"Overall, this is a great source of information","Og¢lnie rzecz bior•c, jest to òwietne ´r¢dào informacji"
"Overall, the information is not compiled very well","Og¢lnie rzecz bior•c, informacje nie s• zbyt dobrze opracowane"
"Overall, this is a terrible compilation of information","Og¢lnie rzecz bior•c, jest to okropna kompilacja informacji"
"Overall, the poetry is masterful","Og¢lnie rzecz bior•c, poezja jest mistrzowska"
"Overall, the poetry is inspired","Og¢lnie rzecz bior•c, poezja jest inspirowana"
"Overall, the poetry is great","Og¢lnie rzecz bior•c, poezja jest òwietna"
"Overall, the poetry is passable","Og¢lnie rzecz bior•c, poezja jest zadowalaj•ca"
"Overall, the poetry is not awful, but not very good either","Og¢lnie rzecz bior•c, poezja nie jest okropna, ale nie jest teæ zbyt dobra"
"Overall, the poetry is very, very bad","Og¢lnie rzecz bior•c, poezja jest bardzo, bardzo zàa"
"Overall, the composition is masterful","Og¢lnie rzecz bior•c, kompozycja jest mistrzowska"
"Overall, the composition is inspired","Og¢lnie rzecz bior•c, kompozycja jest inspirowana"
"Overall, the composition is great","Og¢lnie rzecz bior•c, kompozycja jest òwietna"
"Overall, the composition is passable","Og¢lnie rzecz bior•c, kompozycja jest zadowalaj•ca"
"Overall, the composition is not awful, but not very good either","Og¢lnie rzecz bior•c, kompozycja nie jest okropna, ale nie jest teæ zbyt dobra"
"Overall, the composition is atrocious","Og¢lnie rzecz bior•c, kompozycja jest okropna"
"Overall, the choreography is masterful","Og¢lnie rzecz bior•c, choreografia jest mistrzowska"
"Overall, the choreography is inspired","Og¢lnie rzecz bior•c, choreografia jest inspiruj•ca"
"Overall, the choreography is passable","Og¢lnie rzecz bior•c, choreografia jest zadowalaj•ca"
"Overall, the choreography is not awful, but not very good either","Og¢lnie rzecz bior•c, choreografia nie jest okropna, ale nie jest teæ zbyt dobra"
"Overall, the choreography is just terrible","Og¢lnie rzecz bior•c, choreografia jest po prostu okropna"
"Overall, the prose is masterful","Og¢lnie rzecz bior•c, proza jest mistrzowska"
"Overall, the prose is splendid","Og¢lnie rzecz bior•c, proza jest òwietna"
"Overall, the prose is great","Og¢lnie rzecz bior•c, proza jest òwietna"
"Overall, the prose is passable","Og¢lnie rzecz bior•c, proza jest zadowalaj•ca"
"Overall, the prose is not awful, but not very good either","Og¢lnie rzecz bior•c, proza nie jest okropna, ale nie jest teæ zbyt dobra"
"Overall, the prose is amateurish at best","Og¢lnie rzecz bior•c, proza jest co najwyæej amatorska "
"The work has a single chapter.  ","Praca ma jeden rozdziaà. "
"The work has ","Praca ma "
" chapters.  "," rozdziaày. "
" chapter"," rozdziaà"
" covers "," osàony "
"There used to be writing on the item.  ","Na przedmiocie znajdowaà si© kiedyò napis. "
"Written on the item is ","Napis na przedmiocie to "
"an untitled","bez tytuàu"
" entitled "," zatytuàowany "
"The written portion consists of ","Cz©òÜ pisemna obejmuje "
" page "," strona "
"untitled ","bez tytuàu "
"miner","g¢rnik"
"did not find instrument piece ","nie znalazàem instrumentu "
", setting index to zero",", ustawiaj•c indeks na zero"
"did not find tool with index ","nie znaleziono narz©dzia z indeksem "
" for instrument piece "," dla instrumentu "
"Repair Compound Fracture","Naprawa zàoæonego zàamania"
"Stop Bleeding","Zatrzymaj krwawienie"
"Construct building","Budowa budynku"
"Destroy building","ZniszczyÜ budynek"
"Butcher an animal","Rze´nik zwierz•t"
"Catch live fish","Poà¢w æywych ryb"
"Catch live land animal","ùapanie æywych zwierz•t l•dowych"
"Prepare a raw fish","Przygotuj surow• ryb©."
"Mill plants","Zmiel roòliny"
"Process plants","Zakàady przetw¢rcze"
"Milk ","Mleko "
"animal","zwierz©cy"
"Shear ","ócinanie "
"Spin thread","NiÜ obrotowa"
"Make cheese","ZrobiÜ ser"
"Process plants (vial)","Instalacje procesowe (fiolka)"
"Process plants (barrel)","Zakàady przetw¢rcze (beczka)"
"Make lye","Przygotowanie àugu"
"Make potash from lye","Wytwarzanie potaæu z àugu"
"Make potash from ash","Wytwarzanie potaæu z popioàu"
"Prepare lavish meal","Przygotuj wystawny posiàek"
"Prepare fine meal","Przygotuj smaczny posiàek"
"Prepare easy meal","Przygotuj àatwy posiàek"
"Extract from plants","Ekstrakt z roòlin"
"Extract from raw fish","Ekstrakt z surowej ryby"
"Handle ","Uchwyt "
"a large animal","duæe zwierz©"
"Unchain pet","Odczep zwierzaka"
"Interrogate ","Przesàuchanie "
"Release ","Zwolnienie "
"Release pet","Zwolnij zwierzaka"
"Release small creature","Uwolnij maàe stworzenie"
"Handle small creature","Obsàuga maàych stworze‰"
"Cage ","Klatka "
"Recover wounded","Odzyskiwanie rannych"
"Diagnose patient","Diagnoza pacjenta"
"Immobilize break","Unieruchomienie zàamania"
"Apply cast","Zastosuj obsad©"
"Bring crutch","PrzynieòÜ kul©"
"Dress wound","Rana na ubraniu"
"Clean patient","Czysty pacjent"
"Suture","Szew"
"Set bone","Zestaw koòci"
"Place in traction","Miejsce w trakcji"
"Put item on display","UmieòÜ przedmiot na wystawie"
"Cage small animal","Klatka dla maàych zwierz•t"
"Pit/pond ","Wykop/staw "
"Pit/pond small animal","Maàe zwierz© w sadzawce/stawie"
"Pen/pasture ","Zagroda/pastwisko "
"Pen/pasture small animal","Maàe zwierz©ta w zagrodzie/pastwisku"
"Drain aquarium","Opr¢ænianie akwarium"
"Fill aquarium","NapeàniÜ akwarium"
"Fill pond","Napeànianie stawu"
"Give water","PodawaÜ wod©"
"Give food","DaÜ jedzenie"
"Manage work orders","Zarz•dzaj zleceniami pracy"
"Update stockpile records","Aktualizacja ewidencji zapas¢w"
"Trade at depot","Handluj w skàadzie"
"Chain ","ùa‰cuch "
"Put in chains","Zakuty w àa‰cuchy"
"Slaughter ","Rze´ "
"Geld ","Pieni•dze "
"Unchain","Bez àa‰cucha"
"Tame ","Oswojony "
" figurine"," figurka"
" amulet"," amulet"
" scepter"," berào"
" crown"," korona"
" ring"," pieròcie‰"
" earring"," kolczyk"
" bracelet"," bransoletka"
"Make large ","Tworzenie duæych "
"Mint ","Mi©ta "
" coins"," monety"
"Cut ","Ci©cie "
"Cut gems","Ci©te klejnoty"
"Cut raw glass into gems","Ci©cie surowego szkàa na klejnoty"
"Polish stones","Polerowanie kamieni"
" (engrave memorial)"," (wygraweruj pomnik)"
"Decorate with ","Udekoruj "
"Stud with ","óruba z "
"Encrust ","OblepiaÜ "
"finished goods","wyroby gotowe"
"furniture","meble"
"cut glass","ci©te szkào"
"polished stones","polerowane kamienie"
"Collect sand","Zbierz piasek"
"Install colony in hive","Zaàoæenie kolonii w ulu"
"Collect hive products","Zbieranie produkt¢w z ula"
" blocks"," bloki"
"Make raw ","Surowe "
" Portal"," Portal"
" floodgate"," wrota przeciwpowodziowe"
" hatch cover"," pokrywa wàazu"
" grate"," kratownica"
" table"," st¢à"
"Make traction bench","Wykonaj àawk© trakcyjn•"
" splint"," szyna"
" crutch"," kula"
" cabinet"," szafka"
" weapon rack"," stojak na bro‰"
" armor stand"," stojak na zbroj©"
" bin"," kosz"
" box"," box"
" coffer"," kufer"
" chest"," skrzynia"
" bag"," torba"
" sarcophagus"," sarkofag"
" coffin"," trumna"
" casket"," szkatuàa"
" throne"," tron"
" chair"," krzesào"
"Forge ","Ku´nia "
"Make totem","Stw¢rz totem"
" terrarium"," terrarium"
" cage"," klatka"
" chain"," àa‰cuch"
" rope"," lina"
" toy"," zabawka"
" animal trap"," puàapka na zwierz©ta"
" barrel"," beczka"
" tube"," tuba"
" pipe section"," odcinek rury"
" window"," okno"
" backpack"," plecak"
" quiver"," koàczan"
"Bait trap with ","Puàapka z przyn©t• "
" ballista arrow head"," gàowica strzaày balisty"
"Assemble ","Montaæ "
"Make","Zr¢b"
" catapult parts"," cz©òci katapulty"
" mechanisms"," mechanizmy"
" ballista parts"," cz©òci balisty"
" anvil"," kowadào"
" bed"," à¢æko"
" statue"," statua"
" slab"," pàyta"
" quern"," æarna"
" millstone"," kamie‰ mày‰ski"
"Train ","Poci•g "
" to hunt"," polowaÜ"
"hunting animal","zwierz© àowne"
" for war"," dla wojny"
"war animal","zwierz© wojenne"
"Make charcoal","W©giel drzewny"
"Make ash","Popi¢à"
"Reaction","Reakcja"
"Smelt ","Wytop "
" ore"," ruda"
"Melt a metal object","Roztopienie metalowego przedmiotu"
"Extract metal strands","Wyci•ganie metalowych pasm"
"Dye thread","Barwiona niÜ"
"Dye cloth","óciereczka do farbowania"
"Sew ","SzyÜ "
" image"," obraz"
"Collect webs","Zbieranie paj©czyn"
"Weave metal cloth","Splot metalowej tkaniny"
"Weave thread into silk","Wplatanie nici w jedwab"
"Weave yarn into cloth","Tkanie prz©dzy w materiaà"
"Weave thread into cloth","Wplatanie nici w materiaà"
" (dyed only)"," (tylko barwione)"
"Harvest plants","Zbi¢r roòlin"
"Plant seeds","SadziÜ nasiona"
"Fertilize field","Nawoæenie pola"
"Pull the lever","Poci•gn•Ü d´wigni©"
"Link a building to trigger","Powi•zanie budynku z wyzwalaczem"
"Carve fortification","Wytnij fortyfikacj©"
"Smooth wall","Gàadka òciana"
"Smooth floor","Gàadka podàoga"
"Detail wall","Szczeg¢àowa òciana"
"Detail floor","Szczeg¢à podàogi"
"Carve track","WycinaÜ tor"
"Remove stairs/ramps","Usu‰ schody/rampy"
"Remove construction","Usu‰ konstrukcj©"
"Carve upward staircase","Wycinanie schod¢w w g¢r©"
"Carve downward staircase","Wycinanie schod¢w w d¢à"
"Carve up/down staircase","Wycinanie schod¢w w g¢r©/d¢à"
"Carve ramp","Rampa rze´biarska"
"Dig channel","Wykop kanaà"
"Fell tree","óci©te drzewo"
"Gather plants","Zbieranie roòlin"
"Bring item to shop","Przynieò przedmiot do warsztatu"
"Bring item to depot","Przynieò przedmiot do magazynu"
"Get provisions","Uzyskaj postanowienia"
"Clean self","OczyòÜ siebie"
"Fill waterskin","NapeàniÜ bukàak"
"Sleep","SpaÜ"
"Kidnap","Porwanie"
"No job","Brak pracy"
"No activity","Brak aktywnoòci"
"Report crime","Zgàoò przest©pstwo"
"Hunt","Polowanie"
"Starting fist fight","Zaczynaj•c walk© na pi©òci"
"Beat criminal","PokonaÜ przest©pc©"
"Place track vehicle","UmieòÜ pojazd g•sienicowy"
"Push track vehicle","Pchany pojazd g•sienicowy"
"Execute criminal","Egzekucja przest©pcy"
"Hunt for small creature","Polowanie na maàe stworzenia"
"Collect taxes","Pobieranie podatk¢w"
"Guard tax collector","Poborca podatkowy"
"Return kill","Zwr¢Ü zabij"
"Seek artifact","Poszukiwanie artefaktu"
"Seek infant","Poszukiwanie niemowl©cia"
"Store owned item","Towar naleæ•cy do sklepu"
"Place item in tomb","UmieòÜ przedmiot w grobowcu"
"Store item in stockpile","Przechowuj przedmiot w magazynie"
"Store item in bag","Przechowuj przedmiot w torbie"
"Store item in barrel","Przechowuj przedmiot w beczce"
"Store item in bin","Przechowuj przedmiot w koszu"
"Store item in vehicle","PrzechowywaÜ przedmiot w poje´dzie"
"Store weapon","Bro‰ sklepowa"
"Store armor","Pancerz sklepowy"
"Store item in location","Przechowuj przedmiot w lokalizacji"
"Pickup equipment","Sprz©t do odbioru"
"Dump item","Zrzut"
"Clean trap","WyczyòÜ puàapk©"
"Load catapult","ùadowanie katapulty"
"Load ballista","Zaàaduj balist©"
"Fire catapult","Katapulta ogniowa"
"Fire ballista","Ognista balista"
"Operate pump","Obsàuga pompy"
"Load cage trap","Puàapka àaduj•ca klatk©"
"Load stone trap","Puàapka na kamienie"
"Load weapon trap","ùadowanie puàapki na bro‰"
"an awful dining room","paskudna jadalnia"
"Snow-covered ","Pokryte òniegiem "
"and a pedalboard ","i pedaày "
"Large","Duæy"
"Select","Wybierz"
"Select all","Wybierz wszystko"
"Leave screen","Ekran wyjòcia"
"Close mega announcement","Zamkni©cie mega zapowiedzi"
"Toggle Fullscreen","Peàny ekran"
"Main menu","Menu gà¢wne"
"Change tab or highlight selection","Zmiana zakàadki lub zaznaczenia"
"Change tab or highlight selection, secondary","Zmiana zakàadki lub zaznaczenie podòwietlenia, drugorz©dne"
"Move selector up","Przesuni©cie selektora w g¢r©"
"Move selector down","Przesuni©cie selektora w d¢à"
"Move selector left","Przesuni©cie selektora w lewo"
"Move selector right","Przesuni©cie selektora w prawo"
"Page selector up","Przeà•cznik wyboru strony w g¢r©"
"Page selector down","Przeà•cznik stron w d¢à"
"Mouse-context scrollbar up","Pasek przewijania kontekstu myszy w g¢r©"
"Mouse-context scrollbar down","Pasek przewijania kontekstu myszy w d¢à"
"Mouse-context scrollbar page up","Pasek przewijania kontekstu myszy w g¢r©"
"Mouse-context scrollbar page down","Pasek przewijania z mysz• w d¢à"
"Move keyboard cursor up","Przesuni©cie kursora klawiatury w g¢r©"
"Move keyboard cursor down","Przesuni©cie kursora klawiatury w d¢à"
"Move keyboard cursor left","Przesuni©cie kursora klawiatury w lewo"
"Move keyboard cursor right","Przesuni©cie kursora klawiatury w prawo"
"Move keyboard cursor up and left","Przesuwanie kursora klawiatury w g¢r© i w lewo"
"Move keyboard cursor up and right","Przesuwanie kursora klawiatury w g¢r© i w prawo"
"Move keyboard cursor down and left","Przesuni©cie kursora klawiatury w d¢à i w lewo"
"Move keyboard cursor down and right","Przesuwanie kursora klawiatury w d¢à i w prawo"
"Move keyboard cursor up, fast","Szybkie przesuwanie kursora klawiatury w g¢r©"
"Move keyboard cursor down, fast","Szybkie przesuwanie kursora klawiatury w d¢à"
"Move keyboard cursor left, fast","Szybkie przesuwanie kursora klawiatury w lewo"
"Move keyboard cursor right, fast","Szybkie przesuwanie kursora klawiatury w prawo"
"Move keyboard cursor up and left, fast","Szybkie przesuwanie kursora klawiatury w g¢r© i w lewo"
"Move keyboard cursor up and right, fast","Szybkie przesuwanie kursora klawiatury w g¢r© i w prawo"
"Move keyboard cursor down and left, fast","Szybko przemieòÜ kursor klawiatury w lewo w d¢à."
"Move keyboard cursor down and right, fast","Szybkie przesuwanie kursora klawiatury w d¢à i w prawo"
"Move keyboard cursor up (z)","Przesuni©cie kursora klawiatury w g¢r© (z)"
"Move keyboard cursor down (z)","Przesuni©cie kursora klawiatury w d¢à (z)"
"Move keyboard cursor up (z), aux","Przesuni©cie kursora klawiatury w g¢r© (z), aux"
"Move keyboard cursor down (z), aux","Przesu‰ kursor klawiatury w d¢à (z), aux"
"Arena: Create creature","Arena: Stw¢rz istot©"
"Arena: Creature, reset","Arena: Stworzenie, reset"
"Arena: Fluids","Arena: Pàyny"
"Arena: Fluids, water","Arena: Pàyny, woda"
"Arena: Fluids, magma","Arena: Pàyny, magma"
"Arena: Fluids, snow","Arena: Pàyny, ònieg"
"Arena: Fluids, mud","Arena: Pàyny, bàoto"
"Arena: Fluids, remove","Arena: Pàyny, usu‰"
"Arena: Create tree","Arena: Utw¢rz drzewo"
"Arena: Weather","Arena: Pogoda"
"Arena: Conflict state down","Obszar: Stan konfliktu w d¢à"
"Arena: Conflict state up","Obszar: Stan konfliktu w g¢r©"
"Unit lists: Open job details","Listy jednostek: Otw¢rz szczeg¢ày zadania"
"Unit lists: Sort by name","Listy jednostek: Sortuj wedàug nazwy"
"Unit lists: Sort by category","Listy jednostek: Sortuj wedàug kategorii"
"Unit lists: Sort by profession","Listy jednostek: Sortuj wedàug zawodu"
"Unit lists: Sort by job","Listy jednostek: Sortuj wedàug zadania"
"Unit lists: Sort by happiness","Listy jednostek: Sortuj wedàug szcz©òcia"
"Unit list: Sort by skills","Lista jednostek: Sortuj wedàug umiej©tnoòci"
"Unit list: Toggle specialization","Lista jednostek: Przeà•cz specjalizacj©"
"Complete Binding","Peàna oprawa"
"Zoom In","Przybliæ"
"Zoom Out","Oddal"
"Macro, Break","Makro, przerwa"
"Macro, Record","Makro, nagrywanie"
"Macro, Play","Makro, Play"
"Macro, Save","Makro, Zapisz"
"Macro, Load","Makro, obci•æenie"
"Animals, Slaughter","Zwierz©ta, Ub¢j"
"Animals, Geld","Zwierz©ta, Geld"
"Animals, Toggle Available","Zwierz©ta, Dost©pny przeà•cznik"
"Animals, Trainer","Zwierz©ta, Treser"
"Animals, War Training","Zwierz©ta, szkolenie wojenne"
"Animals, Hunting Training","Zwierz©ta, Szkolenie myòliwskie"
"Animals, Assign Work Animal","Zwierz©ta, Przypisz zwierz© robocze"
"Kitchen, Cook","Kuchnia, kucharz"
"Kitchen, Brew","Kuchnia, parzenie"
"Justice, Interrogate","SprawiedliwoòÜ, przesàuchanie"
"Justice, Convict","SprawiedliwoòÜ, skazany"
"methods of adjusting maps to account for the shape of the world","metody dostosowywania map w celu uwzgl©dnienia ksztaàtu òwiata"
"Increase FPS limit","Zwi©kszenie limitu FPS"
"Decrease FPS limit","Zmniejszenie limitu FPS"
"Command repeat prefix-key","Powt¢rzenie polecenia prefix-key"
"Help","Pomoc"
"No macros!","Ωadnych makr!"
"The event featured ","W wydarzeniu wzi©li udziaà "
"a telling of the story of ","opowieòÜ o historii "
"storytelling","opowiadanie historii"
"a moving performance stage","ruchoma scena wyst©pu"
"criers in front","krzykacze z przodu"
"an order of precedence","kolejnoòÜ pierwsze‰stwa"
"banners","sztandary"
"the carrying of ","przenoszenie "
"flowers","kwiaty"
"the scattering of ","rozproszenie "
"acrobats","akrobaci"
"incense burning","palenie kadzidàa"
"costumes","kostiumy"
"candles","òwiece"
"the giving of ","dawanie "
"the sacrifice of ","poòwi©cenie "
"Sorting","Sortowanie"
"Initialization complete...","Inicjalizacja zako‰czona..."
"Historical events ","Wydarzenia historyczne "
" completed"," uko‰czony"
"Check for culled historical figures ","Sprawdzanie wybranych danych historycznych "
"Historical figures ","Postacie historyczne "
"Artifacts completed","Uko‰czone artefakty"
"Structures completed","Uko‰czone struktury"
" event sort "," sortowanie zdarze‰ "
"Explore the history of ","Poznaj histori© "
"Exporting!","Eksport!"
"Export XML","Eksport XML"
"Select a category below to begin.","Wybierz kategori© poniæej, aby rozpocz•Ü."
"Historical figures","Postacie historyczne"
"Codices, scrolls, etc.","Kody, zwoje itp."
"Civilizations and other entities","Cywilizacje i inne podmioty"
"Structures","Struktury"
"Chronicles by age","Kroniki wedàug wieku"
"Historical maps","Mapy historyczne"
"Underground regions","Podziemne regiony"
"Unnamed","Nienazwany"
", force","siàa"
"Counting house","Kantor"
"Mead hall","Hala miodosytna"
"Keep","Zachowaj"
"Dark tower","Mroczna wieæa"
"Underworld spire","Iglica podziemna"
"Market","Rynek"
"Catacombs","Katakumby"
"Sewers","Kanalizacja"
"Unnamed Underworld area","Nienazwany obszar podziemi"
"Unnamed magma sea area","Nienazwany obszar morza magmy"
"Unnamed underground area","Nienazwany obszar podziemny"
"Legends","Legendy"
"Part of ","Cz©òÜ "
"ended.","zako‰czyà."
"occurred.","miaào miejsce."
"began.","rozpocz•à si©."
" was waged by "," byàa prowadzona przez "
"The most significant cause of the conflict was ","Najwaæniejsz• przyczyn• konfliktu byào "
"One of the most significant causes of the conflict was ","Jedn• z najwaæniejszych przyczyn konfliktu byào "
" a family matter"," sprawa rodzinna"
" disgust with the adversary's godlessness"," obrzydzenie bezboænoòci• przeciwnika"
" religious opposition to the adversary's worship of "," religijny sprzeciw wobec kultu przeciwnika "
" religious opposition to the adversary's inherent association with "," religijny sprzeciw wobec nieodà•cznego zwi•zku przeciwnika z "
" natural aversion to the adversary's worship of "," naturalna niech©Ü do czczenia przez przeciwnika "
" natural aversion to the adversary's inherent association with "," naturalna niech©Ü do nieodà•cznego powi•zania przeciwnika z "
"The causes of the conflict are debated by scholars and very little is truly known.","Przyczyny konfliktu s• przedmiotem dyskusji naukowc¢w i tak naprawd© niewiele wiadomo."
" unknown"," nieznany"
" creature"," stw¢r"
", all lost",", wszystko stracone"
", lost","utracony"
" losses"," straty"
", one loss",", jedna strata"
", no losses",", bez strat"
"Defender was victorious.","Obro‰ca odni¢sà zwyci©stwo."
"Attacker was uncontested.","Atakuj•cy byà bezkonkurencyjny."
"Attacker was victorious.","Atakuj•cy odni¢sà zwyci©stwo."
"A holy period dedicated to ","ówi©ty okres poòwi©cony "
" centered around "," skupiony wok¢à "
" divine aspect of "," boski aspekt "
" occurred in "," wyst•pià w "
"A fair occurred in ","Targi odbyày si© w "
"A festival commemorating ","Festiwal upami©tniaj•cy "
"A performance","WydajnoòÜ"
"The story of ","OpowieòÜ o "
"A story recital","Recital opowieòci"
"A recital of ","Recital "
"A poetry recital","Recital poetycki"
"A performance of ","Wyst©p "
"A concert","Koncert"
"A dance","Taniec"
"A competition involving ","Konkurs z udziaàem "
"A dance competition","Konkurs taneczny"
"A music competition","Konkurs muzyczny"
"A poetry competition","Konkurs poetycki"
"A foot race","Wyòcig pieszy"
"A flying race","Wyòcig w locie"
"A wrestling competition","Zawody zapaònicze"
"A gladiatory competition","Zawody gladiator¢w"
"A competition","Konkurs"
"A procession occurred in ","Procesja odbyàa si© w "
"A ceremony occurred in ","Ceremonia odbyàa si© w "
"A fearsome","Przeraæaj•cy"
" attack"," atak"
" was a time when the "," byà czas, kiedy "
" was a time when "," byà czas, gdy "
"yet ","jeszcze "
"again ","ponownie "
" were the only great powers in the world."," byày jedynymi wielkimi mocarstwami na òwiecie."
" was the only great power in the world."," byàa jedyn• wielk• pot©g• na òwiecie."
"living gods and mighty beasts ","æyj•cy bogowie i pot©æne bestie "
"still ","wci•æ "
"held sway.","trzymaà si© mocno."
"great powers had returned to the world","wielkie mocarstwa powr¢ciày na òwiat"
"the powers of the world were fading","moce tego òwiata zanikaày"
"there were still great powers in the world","na òwiecie wci•æ istniaày wielkie mocarstwa"
"fantastic creatures no longer lived in great numbers.","fantastyczne stworzenia nie æyày juæ w duæych iloòciach."
"fantastic creatures were few and far between, and some even doubted their existence.","Fantastycznych stworze‰ byào niewiele, a niekt¢rzy nawet w•tpili w ich istnienie."
" ruled the world."," rz•dzià òwiatem."
"the last of the ","ostatni z "
"ancient ","staroæytny "
"powers fought their final battles.","mocarstwa stoczyày swoje ostatnie bitwy."
"various civilized races peopled the world.","r¢æne cywilizowane rasy zaludniày òwiat."
" was a time after civilization had"," byà to czas po tym, jak cywilizacja"
" yet"," jeszcze"
" again"," ponownie"
" crumbled completely."," caàkowicie si© rozpadà."
"fantastic creatures were but mere stories told by travelers.","fantastyczne stworzenia byày tylko opowieòciami podr¢ænik¢w."
"only simple creatures inhabited","zamieszkiwaày tylko proste stworzenia"
"no civilized peoples existed in","æadni cywilizowani ludzie nie æyli w "
" the world."," òwiat."
"Unknown artwork","Nieznana grafika"
"Unknown site","Nieznana strona"
"Unknown artifact","Nieznany artefakt"
"Unknown book","Nieznana ksi•æka"
"Unknown region","Nieznany region"
"Unknown underground area","Nieznany obszar podziemny"
"Unknown group","Nieznana grupa"
"counting house","liczarnia"
"hospital","szpital"
"mead hall","hala miodowa"
"keep","zachowaÜ"
"library","biblioteka"
"dark tower","mroczna wieæa"
"underworld spire","podziemna iglica"
"market","rynek"
"catacombs","katakumby"
"sewers","kanalizacja"
