"more presumptious","более уверенный в себе"
"плюмажный агатs","плюмажные агаты"
"brown jasper","коричневая яшма"
"brown jaspers","коричневая яшма"
"коричневая яшмаs","коричневая яшма"
"picture jasper","узорчатая яшма"
"picture jaspers","узорчатая яшма"
"узорчатая яшмаs","узорчатая яшма"
"smoky quartz","дымчатый кварц"
"smoky quartzes","дымчатые кварцы"
"wax opal","восковой опал"
"wax opals","восковые опалы"
"восковой опалs","восковые опалы"
"wood opal","деревянистый опал"
"wood opals","деревянистые опалы"
"деревянистый опалs","деревянистые опалы"
"amber opal","янтарный опал"
"amber opals","янтарные опалы"
"янтарный опалs","янтарные опалы"
"gold opal","золотистый опал"
"gold opals","золотистые опалы"
"золотистый опалs","золотистые опалы"
"citrine","цитрин"
"citrines","цитрины"
"цитринs","цитрины"
"yellow jasper","жёлтая яшма"
"yellow jaspers","жёлтая яшма"
"жёлтая яшмаs","жёлтая яшма"
"tigereye","тигровый глаз"
"tigereyes","тигровый глаз"
"тигровый глазs","тигровый глаз"
"tiger iron","тигровая яшма"
"tiger irons","тигровая яшма"
"тигровая яшмаs","тигровая яшма"
"sunstone","солнечный камень"
"sunstones","солнечные камни"
"солнечный каменьs","солнечные камни"
"resin opal","смолистый опал"
"resin opals","смолистые опалы"
"смолистый опалs","смолистые опалы"
"pyrite","пирит"
"pyrites","пириты"
"пиритs","пириты"
"clear tourmaline","чистый турмалин"
"clear tourmalines","чистые турмалины"
"чистый турмалинs","чистые турмалины"
"gray chalcedony","серый халцедон"
"gray chalcedonies","серые халцедоны"
"dendritic agate","дендритовый агат"
"dendritic agates","дендритовые агаты"
"дендритовый агатs","дендритовые агаты"
"shell opal","ракушечный опал"
"shell opals","ракушечные опалы"
"ракушечный опалs","ракушечные опалы"
"bone opal","костяной опал"
"bone opals","костяные опалы"
"костяной опалs","костяные опалы"
"white chalcedony","белый халцедон"
"white chalcedonies","белые халцедоны"
"fortification agate","бастионный агат"
"fortification agates","бастионные агаты"
"бастионный агатs","бастионные агаты"
"milk quartz","молочный кварц"
"milk quartzes","молочные кварцы"
"moonstone","лунный камень"
"moonstones","лунные камни"
"лунный каменьs","лунные камни"
"white jade","белый нефрит"
"white jades","белые нефриты"
"белый нефритs","белые нефриты"
"jasper opal","яшмовый опал"
"jasper opals","яшмовые опалы"
"яшмовый опалs","яшмовые опалы"
"pineapple opal","ананасовый опал"
"pineapple opals","ананасовые опалы"
"ананасовый опалs","ананасовые опалы"
"onyx opal","ониксовый опал"
"onyx opals","ониксовые опалы"
"ониксовый опалs","ониксовые опалы"
"milk opal","молочный опал"
"milk opals","молочные опалы"
"молочный опалs","молочные опалы"
"pipe opal","трубчатый опал"
"pipe opals","трубчатые опалы"
"трубчатый опалs","трубчатые опалы"
"aventurine","авантюрин"
"aventurines","авантюрины"
"авантюринs","авантюрины"
"turquoises","бирюза"
"бирюзаs","бирюза"
"rose quartz","розовый кварц"
"rose quartzes","розовые кварцы"
"rock crystal","горный хрусталь"
"rock crystals","горный хрусталь"
"горный хрустальs","горный хрусталь"
"black zircon","чёрный циркон"
"black zircons","чёрные цирконы"
"чёрный цирконs","чёрные цирконы"
"black pyrope","чёрный пироп"
"black pyropes","чёрные пиропы"
"чёрный пиропs","чёрные пиропы"
"melanite","меланит"
"melanites","меланиты"
"меланитs","меланиты"
"indigo tourmaline","индиговый турмалин"
"indigo tourmalines","индиговые турмалины"
"индиговый турмалинs","индиговые турмалины"
"blue garnet","синий гранат"
"blue garnets","синие гранаты"
"синий гранатs","синие гранаты"
"tsavorite","цаворит"
"tsavorites","цавориты"
"цаворитs","цавориты"
"green tourmaline","зелёный турмалин"
"green tourmalines","зелёные турмалины"
"зелёный турмалинs","зелёные турмалины"
"demantoid","демантоид"
"demantoids","демантоиды"
"демантоидs","демантоиды"
"green zircon","зелёный циркон"
"green zircons","зелёные цирконы"
"зелёный цирконs","зелёные цирконы"
"green jade","зелёный нефрит"
"green jades","зелёные нефриты"
"зелёный нефритs","зелёные нефриты"
"heliodor","гелиодор"
"heliodors","гелиодоры"
"гелиодорs","гелиодоры"
"peridot","хризолит"
"peridots","хризолиты"
"хризолитs","хризолиты"
"red zircon","красный циркон"
"red zircons","красный цирконы"
"красный цирконs","красный цирконы"
"red tourmaline","красный турмалин"
"red tourmalines","красные турмалины"
"красный турмалинs","красные турмалины"
"red pyrope","красный пироп"
"red pyropes","красные пиропы"
"красный пиропs","красные пиропы"
"almandine","альмандин"
"almandines","альмандины"
"альмандинs","альмандины"
"red grossular","красный гроссуляр"
"red grossulars","красные гроссуляры"
"красный гроссулярs","красные гроссуляры"
"pink tourmaline","розовый турмалин"
"pink tourmalines","розовые турмалины"
"розовый турмалинs","розовые турмалины"
"red beryl","биксбит"
"red beryls","биксбиты"
"биксбитs","биксбиты"
"fire opal","огненный опал"
"fire opals","огненные опалы"
"огненный опалs","огненные опалы"
"rhodolite","родолит"
"rhodolites","родолиты"
"родолитs","родолиты"
"purple spinel","пурпурная шпинель"
"purple spinels","пурпурные шпинели"
"пурпурная шпинельs","пурпурные шпинели"
"alexandrite","александрит"
"alexandrites","александриты"
"александритs","александриты"
"tanzanite","танзанит"
"tanzanites","танзаниты"
"танзанитs","танзаниты"
"morganite","морганит"
"morganites","морганиты"
"морганитs","морганиты"
"violet spessartine","фиолетовый спессартин"
"violet spessartines","фиолетовые спессартины"
"фиолетовый спессартинs","фиолетовые спессартины"
"pink garnet","розовый гранат"
"pink garnets","розовые гранаты"
"розовый гранатs","розовые гранаты"
"kunzite","кунцит"
"kunzites","кунциты"
"кунцитs","кунциты"
"cinnamon grossular","гессонит"
"cinnamon grossulars","гессониты"
"гессонитs","гессониты"
"honey yellow beryl","гелиодор"
"honey yellow beryls","гелиодоры"
"jelly opal","желейный опал"
"jelly opals","желейные опалы"
"желейный опалs","желейные опалы"
"brown zircon","коричневый циркон"
"brown zircons","коричневые цирконы"
"коричневый цирконs","коричневые цирконы"
"yellow zircon","жёлтый циркон"
"yellow zircons","жёлтые цирконы"
"жёлтый цирконs","жёлтые цирконы"
"golden beryl","золотистый берилл"
"golden beryls","золотистые бериллы"
"золотистый бериллs","золотистые бериллы"
"yellow spessartine","жёлтый спессартин"
"yellow spessartines","жёлтые спессартины"
"жёлтый спессартинs","жёлтые спессартины"
"topaz","топаз"
"topazes","топазы"
"topazolite","топазолит"
"topazolites","топазолиты"
"топазолитs","топазолиты"
"yellow grossular","жёлтый гроссуляр"
"yellow grossulars","жёлтые гроссуляры"
"жёлтый гроссулярs","жёлтые гроссуляры"
"rubicelle","рубицелл"
"rubicelles","рубицеллы"
"рубицеллs","рубицеллы"
"clear garnet","чистый гранат"
"clear garnets","чистые гранаты"
"чистый гранатs","чистые гранаты"
"goshenite","гошенит"
"goshenites","гошениты"
"гошенитs","гошениты"
"cat's eye","кошачий глаз"
"cat's eyes","кошачьи глаза"
"кошачий глазs","кошачьи глаза"
"clear zircon","чистый циркон"
"clear zircons","чистые цирконы"
"чистый цирконs","чистые цирконы"
"amethysts","аметисты"
"аметистs","аметисты"
"aquamarines","аквамарины"
"аквамаринs","аквамарины"
"red spinel","красная шпинель"
"red spinels","красная шпинель"
"красная шпинельs","красная шпинель"
"chrysoberyl","хризоберилл"
"chrysoberyls","хризобериллы"
"хризобериллs","хризобериллы"
"precious fire opal","изысканный огненный опал"
"precious fire opals","изысканные огненные опалы"
"изысканный огненный опалs","изысканные огненные опалы"
"red flash opal","красновспышковый опал"
"red flash opals","красновспышковые опалы"
"красновспышковый опалs","красновспышковые опалы"
"black opal","чёрный опал"
"black opals","чёрные опалы"
"чёрный опалs","чёрные опалы"
"white opal","белый опал"
"white opals","белые опалы"
"белый опалs","белые опалы"
"crystal opal","кристаллический опал"
"crystal opals","кристаллические опалы"
"кристаллический опалs","кристаллические опалы"
"claro opal","чистый опал"
"claro opals","чистые опалы"
"чистый опалs","чистые опалы"
"levin opal","молниевый опал"
"levin opals","молниевые опалы"
"молниевый опалs","молниевые опалы"
"harlequin opal","опал арлекин"
"harlequin opals","опалы арлекины"
"опал арлекинs","опалы арлекины"
"pinfire opal","искрящийся опал"
"pinfire opals","искрящиеся опалы"
"искрящийся опалs","искрящиеся опалы"
"bandfire opal","слоистый огненный опал"
"bandfire opals","слоистые огненные опалы"
"слоистый огненный опалs","слоистые огненные опалы"
"light yellow diamond","светло-жёлтый алмаз"
"light yellow diamonds","светло-жёлтые алмазы"
"светло-жёлтый алмазs","светло-жёлтые алмазы"
"faint yellow diamond","бледно-жёлтый алмаз"
"faint yellow diamonds","бледно-жёлтые алмазы"
"бледно-жёлтый алмазs","бледно-жёлтые алмазы"
"emeralds","изумруды"
"изумрудs","изумруды"
"ruby","рубин"
"rubies","рубины"
"sapphire","сапфир"
"sapphires","сапфиры"
"сапфирs","сапфиры"
"clear diamond","чистый алмаз"
"clear diamonds","чистые алмазы"
"чистый алмазs","чистые алмазы"
"red diamond","красный алмаз"
"red diamonds","красные алмазы"
"красный алмазs","красные алмазы"
"green diamond","зелёный алмаз"
"green diamonds","зелёные алмазы"
"зелёный алмазs","зелёные алмазы"
"blue diamond","синий алмаз"
"blue diamonds","синие алмазы"
"синий алмазs","синие алмазы"
"yellow diamond","жёлтый алмаз"
"yellow diamonds","жёлтые алмазы"
"жёлтый алмазs","жёлтые алмазы"
"black diamond","чёрный алмаз"
"black diamonds","чёрные алмазы"
"чёрный алмазs","чёрные алмазы"
"star sapphire","звёздчатый сапфир"
"star sapphires","звёздчатые сапфиры"
"звёздчатый сапфирs","звёздчатые сапфиры"
"star ruby","звёздчатый рубин"
"star rubies","звёздчатые рубины"
"sandstone","песчаник"
"siltstone","алевролит"
"mudstone","аргиллит"
"shale","сланец"
"claystone","каменная глина"
"rock salt","каменная соль"
"limestone","известняк"
"conglomerate","конгломерат"
"dolomite","доломит"
"chert","кремень"
"chalk","мел"
"granite","гранит"
"diorite","диорит"
"rhyolite","риолит"
"basalt","базальт"
"andesite","андезит"
"dacite","дацит"
"obsidian","обсидиан"
"quartzite","кварцит"
"slate","грифельный сланец"
"phyllite","филит"
"schist","аспидный сланец"
"gneiss","гнейс"
"marble","мрамор"
"hematite","красный железняк"
"limonite","бурый железняк"
"garnierite","гарниерит"
"gold nuggets","золотой самородок"
"native gold","самородное золото"
"native gold dust","золотая самородная пыль"
"molten native gold","расплавленное самородное золото"
"boiling native gold","кипящее самородное золото"
"silver nuggets","серебряный самородок"
"native silver","самородное серебро"
"molten native silver","расплавленное самородное серебро"
"boiling native silver","кипящее самородное серебро"
"copper nuggets","медный самородок"
"native copper","самородная медь"
"molten native copper","расплавленная самородная медь"
"boiling native copper","кипящая самородная медь"
"malachite","малахит"
"galena","галенит"
"sphalerite","сфалерит"
"cassiterite","касситерит"
"bituminous coal","каменный уголь"
"lignite","бурый уголь"
"platinum nuggets","платиновый самородок"
"native platinum","самородная платина"
"molten native platinum","расплавленная самородная платина"
"boiling native platinum","кипящая самородная платина"
"cinnabar","киноварь"
"cobaltite","кобальтит"
"tetrahedrite","тетраэдрит"
"horn silver","роговое серебро"
"gypsum","гипс"
"talc","тальк"
"jet","гагат"
"puddingstone","пудинговый конгломерат"
"petrified wood","окаменелая древесина"
"graphite","графит"
"brimstone","сера"
"kimberlite","кимберлит"
"bismuthinite","висмутин"
"realgar","реальгар"
"orpiment","аурипигмент"
"stibnite","стибнит"
"marcasite","марказит"
"sylvite","сильвин"
"cryolite","криолит"
"periclase","периклаз"
"ilmenite","ильменит"
"rutile","рутил"
"magnetite","магнетит"
"chromite","хромит"
"pyrolusite","пиролюзит"
"pitchblende","уранинит"
"bauxite","боксит"
"native aluminum","самородный алюминий"
"molten native aluminum","расплавленный самородный алюминий"
"boiling native aluminum","кипящий самородный алюминий"
"borax","бура"
"olivine","оливин"
"hornblende","роговая обманка"
"kaolinite","каолинит"
"serpentine","серпентин"
"orthoclase","ортоклаз"
"microcline","микроклин"
"mica","слюда"
"calcite","кальцит"
"saltpeter","селитра"
"alabaster","алебастр"
"selenite","селенит"
"satinspar","шелковистый шпат"
"anhydrite","ангидрит"
"alunite","алунит"
"raw adamantine","необработанный адамантин"
"molten raw adamantine","расплавленный необработанный адамантин"
"boiling raw adamantine","кипящий необработанный адамантин"
"slade","слейд"
"clay","глина"
"silty clay","илистая глина"
"sandy clay","песчаная глина"
"clay loam","глинистый суглинок"
"sandy clay loam","песчаный глинистый суглинок"
"silty clay loam","илистый глинистый суглинок"
"loam","суглинок"
"sandy loam","песчаный суглинок"
"silt loam","илистый суглинок"
"loamy sand","глинистый песок"
"silt","ил"
"sand","песок"
"yellow sand","жёлтый песок"
"white sand","белый песок"
"black sand","чёрный песок"
"red sand","красный песок"
"peat","торф"
"pelagic clay","пелагическая глина"
"calcareous ooze","известковые отложения"
"siliceous ooze","кремнезёмные отложения"
"fire clay","огнеупорная глина"
"stone","камень"
"boiling magma","кипящая магма"
"metal","металл"
"molten metal","расплавленный металл"
"boiling metal","кипящий металл"
"fatty","жир"
"grease","смазка"
"greasy","сальный"
"meat","мясо"
"sinew","сухожилия"
"bone meal","костная мука"
"cartilaginous","хрящевой"
"prepared","разделанные"
"lung","лёгкие"
"chopped","рубленая"
"intestines","кишки"
"tripe","требуха"
"sweetbread","железа"
"kidney","почки"
"parchment","пергамент"
"silk","шёлк"
"frozen blood","замороженная кровь"
"boiling blood","кипящая кровь"
"frozen ichor","замороженный ихор"
"ichor","ихор"
"boiling ichor","кипящий ихор"
"frozen goo","замёрзшая слизь"
"goo","слизь"
"boiling goo","кипящая слизь"
"frozen slime","замороженная слизь"
"boiling slime","кипящая слизь"
"frozen pus","замороженный гной"
"pus","гнойный"
"boiling pus","кипящий гной"
"soap","мыло"
"melted soap","расплавленное мыло"
"tallow","смалец"
"melted tallow","расплавленный смалец"
"frozen milk","замороженное молоко"
"frozen milky","замороженное молоко"
"milk","молоко"
"milky","молочный"
"cheese","сыр"
"cheesy","сырный"
"melted cheese","расплавленный сыр"
"melted cheesy","расплавленный сыр"
"plant","растение"
"seed","зерновой"
"leaf","листья"
"fruit","плоды"
"bud","бутон"
"mushroom","грибной"
"flower","цветочный"
"fiber","волокна"
"frozen alcohol","замёрзший алкоголь"
"alcohol","алкоголь"
"boiling alcohol","кипящий алкоголь"
"inebriation","опьянение"
"plant powder","растительная мука"
"frozen extract","замороженный экстракт"
"extract","экстракта"
"boiling extract","кипящий экстракт"
"soil","почва"
"eggshell","яичная скорлупа"
"eggshell powder","молотая яичная скорлупа"
"frozen egg white","замороженный яичный белок"
"egg white","яичный белок"
"boiling egg white","кипящий яичный белок"
"frozen egg yolk","замороженный яичный желток"
"egg yolk","яичный желток"
"boiling egg yolk","кипящий яичный желток"
"frozen vegetable oil","замороженное растительное масло"
"vegetable oil","растительное масло"
"boiling vegetable oil","кипящее растительное масло"
"wax","воск"
"melted wax","расплавленный воск"
"frozen ink","замёрзшая краска"
"ink","краска"
"boiling ink","кипящая краска"
"spongy","пористый"
"frozen tears","замёрзшие слёзы"
"tears","слёзы"
"boiling tears","кипящие слёзы"
"frozen spit","замёрзшая слюна"
"boiling spit","кипящая слюна"
"frozen sweat","замёрзший пот"
"sweat","потовой"
"boiling sweat","кипящий пот"
"single-grain wheat","пшеница однозернянка"
"frozen single-grain wheat beer","замороженное пиво из пшеницы однозернянки"
"single-grain wheat beer","пиво из пшеницы однозернянки"
"boiling single-grain wheat beer","кипящее пиво из пшеницы однозернянки"
"single-grain wheat flour","мука из пшеницы однозернянки"
"single-grain wheat seed","семя пшеницы однозернянки"
"single-grain wheat seeds","семена пшеницы однозернянки"
"beer","пиво"
"single-grain wheat leaf","лист пшеницы однозернянки"
"single-grain wheat leaves","листья пшеницы однозернянки"
"two-grain wheat","пшеница двузернянка"
"frozen two-grain wheat beer","замороженное пиво из пшеницы двузернянки"
"two-grain wheat beer","пиво из пшеницы двузернянки"
"boiling two-grain wheat beer","кипящее пиво из пшеницы двузернянки"
"two-grain wheat flour","мука из пшеницы двузернянки"
"two-grain wheat seed","семя пшеницы двузернянки"
"two-grain wheat seeds","семена пшеницы двузернянки"
"two-grain wheat leaf","лист пшеницы двузернянки"
"two-grain wheat leaves","листья пшеницы двузернянки"
"soft wheat","мягкая пшеница"
"frozen soft wheat beer","замороженное пиво из мягкой пшеницы"
"soft wheat beer","пиво из мягкой пшеницы"
"boiling soft wheat beer","кипящее пиво из мягкой пшеницы"
"soft wheat flour","мука из мягкой пшеницы"
"soft wheat seed","семя мягкой пшеницы"
"soft wheat seeds","семена мягкой пшеницы"
"soft wheat leaf","лист мягкой пшеницы"
"soft wheat leaves","листья мягкой пшеницы"
"hard wheat","твердая пшеница"
"frozen hard wheat beer","замороженное пиво из твердой пшеницы"
"hard wheat beer","пиво из твердой пшеницы"
"boiling hard wheat beer","кипящее пиво из твердой пшеницы"
"hard wheat flour","мука из твердой пшеницы"
"hard wheat seed","семя твердой пшеницы"
"hard wheat seeds","семена твердой пшеницы"
"hard wheat leaf","лист твердой пшеницы"
"hard wheat leaves","листья твердой пшеницы"
"spelt","полба"
"frozen spelt beer","замороженное полбенное пиво"
"spelt beer","полбенное пиво"
"boiling spelt beer","кипящее полбенное пиво"
"spelt flour","полбенная мука"
"spelt seed","семя полбы"
"spelt seeds","семена полбы"
"spelt leaf","лист полбы"
"spelt leaves","листья полбы"
"barley","ячмень"
"frozen barley wine","замороженное ячменное вино"
"barley wine","ячменное вино"
"boiling barley wine","кипящее ячменное вино"
"barley flour","ячменная мука"
"barley seed","семя ячменя"
"barley seeds","семена ячменя"
"wine","вино"
"barley leaf","лист ячменя"
"barley leaves","листья ячменя"
"buckwheat","гречиха"
"frozen buckwheat beer","замороженное гречневое пиво"
"buckwheat beer","гречневое пиво"
"boiling buckwheat beer","кипящее гречневое пиво"
"buckwheat flour","гречневая мука"
"buckwheat seed","семя гречихи"
"buckwheat seeds","семена гречихи"
"buckwheat leaf","лист гречихи"
"buckwheat leaves","листья гречихи"
"buckwheat flower","цветок гречихи"
"buckwheat flowers","цветы гречихи"
"цветок гречихиs","цветы гречихи"
"oat","овёс"
"oats","овес"
"oat flour","овсяная мука"
"oat seed","семя овса"
"oat seeds","семена овса"
"oat leaf","лист овса"
"oat leaves","листья овса"
"alfalfa","люцерна"
"alfalfa seed","семя люцерны"
"alfalfa seeds","семена люцерны"
"sprouts","ростки"
"alfalfa leaf","лист люцерны"
"alfalfa leaves","листья люцерны"
"alfalfa flower cluster","соцветие люцерны"
"alfalfa flower clusters","соцветия люцерны"
"соцветие люцерныs","соцветия люцерны"
"rye","рожь"
"frozen rye beer","замороженное ржаное пиво"
"rye beer","ржаное пиво"
"boiling rye beer","кипящее ржаное пиво"
"rye flour","ржаная мука"
"rye seed","семя ржи"
"rye seeds","семена ржи"
"rye leaf","лист ржи"
"rye leaves","листья ржи"
"sorghum","сорго"
"frozen sorghum beer","замороженное сорговое пиво"
"sorghum beer","сорговое пиво"
"boiling sorghum beer","кипящее сорговое пиво"
"sorghum flour","сорговая мука"
"sorghum seed","зерно сорго"
"sorghum seeds","зерна сорго"
"sorghum leaf","лист сорго"
"sorghum leaves","листья сорго"
"sorghum flower cluster","соцветие сорго"
"sorghum flower clusters","соцветия сорго"
"соцветие соргоs","соцветия сорго"
"rice plant","рис"
"rice plants","рис"
"frozen rice beer","замороженная рисовая водка"
"rice beer","рисовая водка"
"boiling rice beer","кипящая рисовая водка"
"rice flour","рисовая мука"
"rice","рис"
"grain","зерно"
"rice leaf","лист риса"
"rice leaves","листья риса"
"maize plant","кукуруза"
"maize plants","кукуруза"
"frozen maize beer","замороженное кукурузное пиво"
"maize beer","кукурузное пиво"
"boiling maize beer","кипящее кукурузное пиво"
"maize flour","кукурузная мука"
"maize","кукуруза"
"popped kernels","лопающиеся зерна"
"maize leaf","лист кукурузы"
"maize leaves","листья кукурузы"
"quinoa","лебеда"
"frozen quinoa beer","замороженное пиво из лебеды"
"quinoa beer","пиво из лебеды"
"boiling quinoa beer","кипящее пиво из лебеды"
"quinoa flour","мука из лебеды"
"quinoa seed","семя лебеды"
"quinoa seeds","семена лебеды"
"quinoa leaf","лист лебеды"
"quinoa leaves","листья лебеды"
"quinoa flower","цветок лебеды"
"quinoa flowers","цветы лебеды"
"цветок лебедыs","цветы лебеды"
"kaniwa","канигуа"
"frozen kaniwa beer","замороженное канигуанское пиво"
"kaniwa beer","канигуанское пиво"
"boiling kaniwa beer","кипящее канигуанское пиво"
"kaniwa flour","канигуанская мука"
"kaniwa seed","семя канигуа"
"kaniwa seeds","семена канигуа"
"kaniwa leaf","лист канигуа"
"kaniwa leaves","листья канигуа"
"kaniwa flower","цветок канигуа"
"kaniwa flowers","цветы канигуа"
"цветок канигуаs","цветы канигуа"
"bitter vetch","горький горошек"
"bitter vetch seed","семя горького горошка"
"bitter vetch seeds","семена горького горошка"
"bitter vetch leaf","лист горького горошка"
"bitter vetch leaves","листья горького горошка"
"bitter vetch flower","цветок горького горошка"
"bitter vetch flowers","цветы горького горошка"
"цветок горького горошкаs","цветы горького горошка"
"bitter vetch pod","стручок горького горошка"
"bitter vetch pods","стручки горького горошка"
"стручок горького горошкаs","стручки горького горошка"
"pendant amaranth","хвостатый амарант"
"pendant amaranths","амарант хвостатый"
"frozen pendant amaranth beer","замороженное пиво из хвостатого амаранта"
"pendant amaranth beer","пиво из хвостатого амаранта"
"boiling pendant amaranth beer","кипящее пиво из амаранта хвостатого"
"pendant amaranth flour","мука из амаранта хвостатого"
"pendant amaranth seed","семя амаранта хвостатого"
"pendant amaranth seeds","семена амаранта хвостатого"
"striking color","яркий цвет"
"pendant amaranth leaf","лист амаранта хвостатого"
"pendant amaranth leaves","листья амаранта хвостатого"
"pendant amaranth inflorescence","соцветие амаранта хвостатого"
"pendant amaranth inflorescences","соцветия амаранта хвостатого"
"соцветие амаранта хвостатогоs","соцветия амаранта хвостатого"
"blood amaranth","темный амарант"
"blood amaranths","темный амарант"
"frozen blood amaranth beer","замороженное пиво из амаранта темного"
"blood amaranth beer","пиво из амаранта темного"
"boiling blood amaranth beer","кипящее пиво из амаранта темного"
"blood amaranth flour","мука из амаранта темного"
"blood amaranth seed","семя амаранта темного"
"blood amaranth seeds","семена амаранта темного"
"blood amaranth leaf","лист амаранта темного"
"blood amaranth leaves","листья амаранта темного"
"blood amaranth inflorescence","соцветие амаранта тёмного"
"blood amaranth inflorescences","соцветия амаранта тёмного"
"соцветие амаранта тёмногоs","соцветия амаранта тёмного"
"purple amaranth","пурпурный амарант"
"purple amaranths","пурпурный амарант"
"frozen purple amaranth beer","замороженное пиво из амаранта пурпурного"
"purple amaranth beer","пиво из амаранта пурпурного"
"boiling purple amaranth beer","кипящее пиво из амаранта пурпурного"
"purple amaranth flour","мука из амаранта пурпурного"
"purple amaranth seed","семя амаранта пурпурного"
"purple amaranth seeds","семена амаранта пурпурного"
"purple amaranth leaf","лист амаранта пурпурного"
"purple amaranth leaves","листья амаранта пурпурного"
"purple amaranth inflorescence","соцветие амаранта пурпурного"
"purple amaranth inflorescences","соцветия амаранта пурпурного"
"соцветие амаранта пурпурногоs","соцветия амаранта пурпурного"
"red spinach","красный шпинат"
"red spinach seed","семя красного шпината"
"red spinach seeds","семена красного шпината"
"leaves","листья"
"red spinach leaf","лист красного шпината"
"red spinach leaves","листья красного шпината"
"red spinach inflorescence","соцветие красного шпината"
"red spinach inflorescences","соцветия красного шпината"
"соцветие красного шпинатаs","соцветия красного шпината"
"elephant-head amaranth","амарант слоноголовый"
"elephant-head amaranths","амарант слоноголовый"
"elephant-head amaranth seed","семя амаранта слоноголового"
"elephant-head amaranth seeds","семена амаранта слоноголового"
"leaf coloration","окраска листа"
"elephant-head amaranth leaf","лист амаранта слоноголового"
"elephant-head amaranth leaves","листья амаранта слоноголового"
"elephant-head amaranth inflorescence","соцветие амаранта слоноголового"
"elephant-head amaranth inflorescences","соцветия амаранта слоноголового"
"соцветие амаранта слоноголовогоs","соцветия амаранта слоноголового"
"pearl millet plant","просо"
"pearl millet plants","просо"
"frozen pearl millet beer","замороженное просовое пиво"
"pearl millet beer","просовое пиво"
"boiling pearl millet beer","кипящее просовое пиво"
"pearl millet flour","просовая мука"
"pearl millet","просо"
"pearl millet leaf","лист проса"
"pearl millet leaves","листья проса"
"white millet plant","пшено"
"white millet plants","пшено"
"frozen white millet beer","замороженное пшённое пиво"
"white millet beer","пшённое пиво"
"boiling white millet beer","кипящее пшённое пиво"
"white millet flour","пшённая мука"
"white millet","пшено"
"white millet leaf","лист пшена"
"white millet leaves","листья  пшена"
"finger millet plant","дагусса"
"finger millet plants","дагусса"
"frozen finger millet beer","замороженное дагуссовое пиво"
"finger millet beer","дагуссовое пиво"
"boiling finger millet beer","кипящее дагуссовое пиво"
"finger millet flour","дагуссовая мука"
"finger millet","дагусса"
"finger millet leaf","лист дагуссы"
"finger millet leaves","листья дагуссы"
"foxtail millet plant","могар"
"foxtail millet plants","могар"
"frozen foxtail millet beer","замороженное могаровое пиво"
"foxtail millet beer","могаровое пиво"
"boiling foxtail millet beer","кипящее могаровое пиво"
"foxtail millet flour","могаровая мука"
"foxtail millet","семя могара"
"foxtail millet leaf","лист могара"
"foxtail millet leaves","листья могара"
"fonio plant","фонио"
"fonio plants","фонио"
"frozen fonio beer","замороженное пиво из фонио"
"fonio beer","пиво из фонио"
"boiling fonio beer","кипящее пиво из фонио"
"fonio flour","мука из фонио"
"fonio","фонио"
"fonio leaf","лист фонио"
"fonio leaves","листья фонио"
"teff plant","метличка"
"teff plants","метличка"
"frozen teff beer","замороженное метличное пиво"
"teff beer","метличное пиво"
"boiling teff beer","кипящее метличное пиво"
"teff flour","метличная мука"
"teff","семя метлички"
"teff leaf","лист метлички"
"teff leaves","листья метлички"
"flax plant","лён"
"flax plants","лён"
"frozen linseed oil","замороженное льняное масло"
"linseed oil","льняное масло"
"boiling linseed oil","кипящее льняное масло"
"linseed oil soap","мыло из льняного масла"
"melted linseed oil soap","жидкое мыло из льняного масла"
"flax flour","льняная мука"
"flax seed","семя льна"
"flax seed paste","льняная паста"
"flax seed press cake","льняной жмых"
"flax seeds","семена льна"
"flowers","цветы"
"linen","лён"
"linen slurry","льняная бумажная масса"
"linen paper","льняная бумага"
"flax leaf","листик льна"
"flax leaves","листики льна"
"flax flower","цветок льна"
"flax flowers","цветы льна"
"цветок льнаs","цветы льна"
"jute plant","джут"
"jute plants","джут"
"jute seed","джутовое семя"
"jute seeds","джутовые семена"
"fibrous stems","волокнистые стебли"
"jute","джут"
"jute slurry","джутовая бумажная масса"
"jute paper","джутовая бумага"
"jute leaf","джутовый лист"
"jute leaves","джутовые листья"
"jute flower","джутовый цветок"
"jute flowers","джутовые цветы"
"джутовый цветокs","джутовые цветы"
"hemp plant","конопля"
"hemp plants","конопля"
"frozen hempseed oil","замороженное конопляное масло"
"hempseed oil","конопляное масло"
"boiling hempseed oil","кипящее конопляное масло"
"hempseed oil soap","мыло из конопляного масла"
"melted hempseed oil soap","расплавленное мыло из конопляного масла"
"hemp flour","конопляная мука"
"hemp seed","семя конопли"
"hemp seed paste","конопляная паста"
"hemp seed press cake","конопляный жмых"
"hemp seeds","семена конопли"
"hemp","конопля"
"hemp slurry","конопляная бумажная масса"
"hemp paper","конопляная бумага"
"hemp leaf","лист конопли"
"hemp leaves","листья конопли"
"cotton plant","хлопчатник"
"cotton plants","хлопчатник"
"frozen cottonseed oil","замороженное хлопковое масло"
"cottonseed oil","хлопковое масло"
"boiling cottonseed oil","кипящее хлопковое масло"
"cottonseed oil soap","мыло из хлопкового масла"
"melted cottonseed oil soap","жидкое мыло из хлопкового масла"
"cotton seed","хлопковое семя"
"cotton seed paste","хлопковая паста"
"cotton seed press cake","хлопковый жмых"
"cotton seeds","хлопковые семена"
"cotton","хлопок"
"cotton slurry","хлопковая бумажная масса"
