"more presumptious","更加自以为是"
"crab","螃蟹"
"crabs","螃蟹"
"sideways walk","横向行走"
"crab man","螃蟹人"
"crab men","螃蟹人"
"crab woman","螃蟹女"
"crab women","螃蟹女"
"A person with the head and pincers of a crab.","一种长有蟹头和蟹钳的人型生物. "
"giant crab","巨蟹"
"giant crabs","巨蟹"
"A large monster in the shape of a crab.","一只体型巨大的螃蟹怪. "
"A large predatory amphibious mammal.  It is difficult to evade once in the water.","一种大型食肉两栖类哺乳动物. 一旦在水中就很难逃脱追捕. "
"leopard seal","豹形海豹"
"leopard seals","豹形海豹"
"fierce nature","凶猛的天性"
"leopard seal man","豹形海豹人"
"leopard seal men","豹形海豹人"
"leopard seal woman","豹形海豹女"
"leopard seal women","豹形海豹女"
"A legless person with the head and back flippers of a leopard seal.","一种有着豹型海豹的头部和背鳍的无腿人."
"giant leopard seal","巨豹形海豹"
"giant leopard seals","巨豹形海豹"
"A giant monster in the form of a leopard seal.","一只体型巨大的豹纹海豹怪"
"A tiny sea mollusk.  It can change color and skin patterns for communication.","一种渺小的海洋软体动物. 它可以通过改变自身颜色和皮肤样貌进行交流"
"cuttlefish","乌贼"
"ability to change color","可变色的"
"distinctive pupils","与众不同的瞳孔"
"frozen cuttlefish ink","冷冻的墨鱼墨汁"
"cuttlefish ink","墨鱼墨汁"
"boiling cuttlefish ink","沸腾的墨鱼墨汁"
"cuttlefish man","墨鱼人"
"cuttlefish men","墨鱼人"
"cuttlefish woman","墨鱼女"
"cuttlefish women","墨鱼女"
"A person with a cuttlefish in place of a head.","一个长着乌贼脑袋的人. "
"giant cuttlefish","巨墨鱼"
"A huge sea monster in the shape of a cuttlefish.","一只巨大的墨鱼海怪. "
"A huge ocean mammal.  It is a vicious predator and can hunt in groups.","一种巨大的海洋哺乳动物. 它是一种凶残的掠食者,能够成群地狩猎. "
"orca","虎鲸"
"orcas","虎鲸"
"orca calf","虎鲸幼崽"
"orca calves","虎鲸幼崽"
"great jumps","跳跃能力很强"
"orca man","虎鲸人"
"orca men","虎鲸人"
"orca woman","雌虎鲸"
"orca women","雌虎鲸"
"An aquatic person in the shape of an orca with arms.","虎鲸外型的水生人类,长有手臂. "
"giant orca","巨虎鲸"
"giant orcas","巨虎鲸"
"giant orca calf","巨虎鲸幼崽"
"giant orca calves","巨虎鲸幼崽"
"A gigantic monster in the shape of an orca.","虎鲸外形的巨大怪物. "
"A tiny sea creature which dwells on the ocean floor, devoid of senses or motion.","一种生活在海底的微小海洋生物,没有感知或活动能力. "
"sponges","海绵"
"squishy texture","黏糊湿润的质感"
"sponge man","海绵男"
"sponge men","海绵男"
"A person in the form of a sponge with arms and legs.","一种有着海绵块外形的有着胳膊和腿的人."
"giant sponge","巨海绵"
"giant sponges","巨海绵"
"A huge immobile sponge.","一块巨大的海绵. "
"A tiny sea animal that lives in the sand just offshore.  It has a flat body with legs underneath.","一种生活在岸边的沙滩上的小型海洋生物.它具有平坦的身躯并且两条腿藏在地底下."
"horseshoe crab","鲎"
"horseshoe crabs","鲎"
"ability to hide in sand","藏在沙中的能力"
"horseshoe crab man","鲎人"
"horseshoe crab men","鲎人"
"horseshoe crab woman","鲎女"
"horseshoe crab women","鲎女"
"A person with the head, shell, and tail of a horseshoe crab.","一个长着马蹄蟹脑袋, 壳, 尾巴的人. "
"giant horseshoe crab","巨鲎"
"giant horseshoe crabs","巨鲎"
"A huge monster in the form of a horseshoe crab.","一只巨大的马蹄蟹怪. "
"A giant marine mammal with a toothy jaw.","一种有多齿的下颌的巨大的海洋哺乳动物. "
"sperm whale","抹香鲸"
"sperm whales","抹香鲸"
"sperm whale calf","抹香鲸幼崽"
"sperm whale calves","抹香鲸幼崽"
"vengeful nature","报复的天性"
"sperm whale man","抹香鲸人"
"sperm whale men","抹香鲸人"
"sperm whale woman","抹香鲸女"
"sperm whale women","抹香鲸女"
"A huge person with the head and flippers of a sperm whale.","一个有着抹香鲸头和鳍状肢的人. "
"giant sperm whale","巨抹香鲸"
"giant sperm whales","巨抹香鲸"
"giant sperm whale calf","巨抹香鲸幼崽"
"giant sperm whale calves","巨抹香鲸幼崽"
"A gigantic monster in the shape of a sperm whale.","一种有着抹香鲸外形的巨型怪物. "
"A large, predatory marine mammal.","一种大型掠食性海洋哺乳动物. "
"elephant seal","海象"
"elephant seals","海象"
"elephant seal pup","海象幼崽"
"elephant seal pups","海象幼崽"
"large floppy noses","巨大的松软的鼻子"
"elephant seal man","海象人"
"elephant seal men","海象人"
"elephant seal woman","海象女"
"elephant seal women","海象女"
"A person with the head and flippers of an elephant seal.","一个有着海象头和鳍状肢的人. "
"giant elephant seal","巨海象"
"giant elephant seals","巨海象"
"giant elephant seal pup","巨海象幼崽"
"giant elephant seal pups","巨海象幼崽"
"A huge monster in the shape of an elephant seal.","一只巨大的海象怪. "
"A small marine mammal.  Its young are prized for their white fur.","一种小型海洋哺乳动物. 它的幼崽因其白色皮毛而备受推崇. "
"harp seal","竖琴海豹"
"harp seals","竖琴海豹"
"harp seal pup","竖琴海豹幼崽"
"harp seal pups","竖琴海豹幼崽"
"adorable pups","可爱的幼崽"
"harp seal man","竖琴海豹人"
"harp seal men","竖琴海豹人"
"harp seal woman","竖琴海豹女"
"harp seal women","竖琴海豹女"
"A person with the head and flippers of a harp seal.","一个有着竖琴海象头和鳍状肢的人. "
"giant harp seal","巨竖琴海象"
"giant harp seals","巨竖琴海象"
"giant harp seal pup","巨竖琴海象幼崽"
"giant harp seal pups","巨竖琴海象幼崽"
"A huge monster in the shape of a harp seal.","一只巨大的竖琴海豹怪. "
"A tiny, mollusk with a large shell and many tentacles.","一种体型微小的软体动物,有大壳和许多触手. "
"nautilus","鹦鹉螺"
"nautiluses","鹦鹉螺"
"many tentacles","许多触手"
"nautilus man","鹦鹉螺人"
"nautilus men","鹦鹉螺人"
"nautilus woman","鹦鹉螺女"
"nautilus women","鹦鹉螺女"
"A person with the shell and tentacles of a nautilus.","一个长着鹦鹉螺壳和触手的人. "
"giant nautilus","巨鹦鹉螺"
"giant nautiluses","巨鹦鹉螺"
"A huge monster in the shape of a nautilus.","一只巨大的鹦鹉螺怪. "
"A small mammal noted for its tenacity.  It has long ears and flashing eyes.","一种以坚韧着称的小型哺乳动物. 它有长长的耳朵和闪亮的眼睛. "
"fox squirrel","狐松鼠"
"fox squirrels","狐松鼠"
"A small mud-dwelling amphibian.","一种小型泥栖两栖动物. "
"moghopper","泥跳虫"
"moghoppers","泥跳虫"
"round tummies","圆肚子"
"frozen mog juice","冷冻的莫格汁的"
"mog juice","莫格汁的"
"boiling mog juice","沸腾的莫格汁的"
"An insidious form of vermin.  It lives only to steal food from others.","一种阴险的害虫. 它活着只是为了偷别人的食物. "
"demon rat","恶魔鼠"
"demon rats","恶魔鼠"
"gnawed","啃"
"insidious nature","阴险的天性"
"diabolical hunger for the food of others","对他人食物的恶魔般的渴望"
"A fluffy, pudge-filled being, known for its warm heart and stumble bumblings.","一种毛茸茸的圆滚滚生物,因其热心肠和蠢萌而出名. "
"fluffy wambler","蓬松毛球"
"fluffy wamblers","蓬松毛球"
"warm heart","热心肠"
"stumble bumbling","蠢萌"
"fluff","绒毛"
"pudge","矮胖"
"Stumble Bumble","跌跌撞撞"
"Wamble","摇摇晃晃"
"A tiny reptile, running on two legs.  It has a horn on the end of its nose.","一种用两条腿奔跑的小型爬行动物.在他的鼻子末端带附有一只角."
"two-legged rhino lizard","双足犀蜥蜴"
"two-legged rhino lizards","双足犀蜥蜴"
"A tiny creature made up of a series of crackling knobs set at strange angles.","一种由一系列龟裂关节以奇怪角度组成的小生物. "
"knuckle worm","关节蠕虫"
"knuckle worms","关节蠕虫"
"knobs and angles","斜角旋钮"
"crackles and pops","爆裂糖果"
"A tiny translucent creature, found in evil forests.","一种微小的半透明生物,发现于邪恶的森林中. "
"phantom spider","幻影蜘蛛"
"phantom spiders","幻影蜘蛛"
"translucence","半透明"
"creepiness","令人毛骨悚然"
"frozen phantom spider venom","冷冻的幻影蜘蛛毒液的"
"phantom spider venom","幻影蜘蛛毒液的"
"boiling phantom spider venom","幻影蜘蛛毒液"
"phantom spider bite","幻影蜘蛛咬"
"An insect many times the size of its peers.  It is known for its deafening buzz.","一种是其他同类许多倍的昆虫. 它因其喧闹的嗡嗡声而闻名. "
"acorn fly","橡子蝇"
"acorn flies","橡子蝇"
"deafening buzz","喧闹的嗡嗡声"
"A tiny insect with a pulsating, lumpy body.  It is an evil bug that seeks blood.","一种微小的有着脉动, 块状身体的小型昆虫. 它是一种寻求血液的邪恶虫子. "
"blood gnat","血飞虫"
"blood gnats","血飞虫"
"thirst for blood","嗜血的"
"pulsating lumpy bodies","脉动的块状身体"
"A small reptile.","一种小型的爬行动物. "
"lizard","蜥蜴"
"lizards","蜥蜴"
"lizard man","蜥蜴人"
"lizard men","蜥蜴人"
"lizard woman","蜥蜴女"
"lizard women","蜥蜴女"
"A person with the head and tail of a lizard.","一个长着蜥蜴头和尾巴的人. "
"giant lizard","巨蜥蜴"
"giant lizards","巨蜥蜴"
"giant lizard hatchling","巨蜥幼崽"
"giant lizard hatchlings","巨蜥幼崽"
"A huge monster in the shape of a lizard.","一只巨大的蜥蜴怪. "
"A relatively large lizard.  It can be found in most climates, foraging for bugs during daylight hours.","一种相对较大的蜥蜴. 能在大部分天气下找到,在白天寻找虫子. "
"skink","彩舌蜥"
"skinks","彩舌蜥"
"colorful tongues","彩色舌头"
"skink man","彩舌蜥男"
"skink men","彩舌蜥男"
"skink woman","彩舌蜥女"
"skink women","彩舌蜥女"
"A long-bodied person with the head and tail of a skink.","一个长着彩舌蜥头和尾巴的身体细长的人"
"giant skink","巨型彩舌蜥"
"giant skinks","巨型彩舌蜥"
"A large monster in the shape of a skink.","一只体型巨大的彩舌蜥怪"
"A colorful lizard that spends its life hunting insects with its long tongue.  It moves slowly through the trees, spying the surroundings with its independently roving eyes.","一种彩色蜥蜴,一生都在用它那长舌狩猎昆虫. 它们在林间缓慢移动,用它们那对独立眼珠紧盯周围的环境. "
"chameleon","变色龙"
"chameleons","变色龙"
"chameleon man","变色蜥人"
"chameleon men","变色蜥人"
"chameleon woman","变色龙女"
"chameleon women","变色龙女"
"A colorful person with the head and tail of a chameleon.","一个长着变色龙头和尾巴的色彩斑斓的人. "
"giant chameleon","巨变色蜥"
"giant chameleons","巨变色蜥"
"A large monster in the shape of a chameleon.","一只体型巨大的变色龙怪. "
"A small lizard with adhesive feet for climbing.  It can change color from brown to green to fit its surroundings.","一种小型蜥蜴,拥有带粘性的用于攀爬的脚. 可以将自身颜色从棕色变为绿色,以适应周围环境. "
"anole","安乐蜥"
"anoles","安乐蜥"
"dewlaps","垂皮"
"anole man","安乐蜥人"
"anole men"," 安乐蜥人"
"anole woman","母安乐蜥人"
"anole women","母安乐蜥人"
"A person with the head and tail of an anole.","一个长着安乐蜥头和尾巴的人. "
"giant anole","巨型安乐蜥"
"giant anoles","巨型安乐蜥"
"A large monster in the shape of an anole.","一只体型巨大的安乐蜥. "
"A relatively large arboreal lizard found in the tropical forests.  Though it is a vegetarian, and mainly docile, it may whip with its extremely long tail when angered.","一种生活在热带森林中,体型相对较大的树栖蜥蜴. 尽管它吃素食,而且通常很温顺,但当它被激怒时,可能会用它极长的尾巴抽打对方. "
"iguana","鬣蜥"
"iguanas","鬣蜥"
"iguana hatchling","鬣蜥幼崽"
"iguana hatchlings","鬣蜥幼崽"
"head bobs","癞子头"
"iguana man","鬣鳞蜥人"
"iguana men","鬣鳞蜥人"
"iguana woman","鬣蜥女"
"iguana women","鬣蜥女"
"A person with the head and tail of an iguana.","一个长着鬣蜥头和尾巴的人. "
"giant iguana","巨型鬣鳞蜥"
"giant iguanas","巨型鬣鳞蜥"
"giant iguana hatchling","巨型鬣鳞蜥幼崽"
"giant iguana hatchlings","巨型鬣鳞蜥幼崽"
"A huge monster in the shape of an iguana.","一只巨大的鬣蜥怪. "
"A small river mammal with a long body.  They enjoy eating shellfish and other small animals.","长着细长身体的小型河流哺乳动物,他们喜欢吃贝类和其他小动物. "
"river otter","河獭"
"river otters","河獭"
"river otter pup","河獭幼崽"
"river otter pups","河獭幼崽"
"playfulness","活泼"
"fluffy faces","蓬松的脸部"
"A small marine mammal with a long body.  They enjoy eating shellfish and other small animals.","一种体型较长的小型海洋哺乳动物. 它们喜欢吃贝类和其他小动物. "
"sea otter","海獭"
"sea otters","海獭"
"sea otter pup","海獭幼崽"
"sea otter pups","海獭幼崽"
"simple tool use","会用简单的工具"
"otter man","水獭人"
"otter men","水獭人"
"otter woman","水獭女"
"otter women","水獭女"
"A person with the long body and head of an otter.","长着水獭一样长的身体和头的人. "
"giant otter","巨水獭"
"giant otters","巨水獭"
"giant otter pup","巨型水獭幼崽"
"giant otter pups","巨型水獭幼崽"
"A large monster in the form of an otter.","一只体型巨大的水獭怪. "
"big fluffy faces","毛茸茸的大脸"
"A medium-sized reptile with a thick shell, which it can retreat into when threatened.  This creature can administer a painful bite.","一种中等大小的爬行动物,有一层厚壳,受到威胁时可以缩进壳里. 这种生物咬人会很疼. "
"common snapping turtle","拟鳄龟"
"common snapping turtles","拟鳄龟"
"powerful bites","强咬"
"A large reptile with a thick ridged shell.  It has been known to consume snakes and smaller turtles, and its bite can amputate fingers.","一种有厚脊壳的大型爬行动物. 众所周知,它会以蛇和较小的海龟为食,它的撕咬会切断手指. "
"alligator snapping turtle","鳄龟"
"alligator snapping turtles","鳄龟"
"vicious bites","狠咬"
"snapping turtle man","鳄龟人"
"snapping turtle men","鳄龟人"
"snapping turtle woman","鳄龟女"
"snapping turtle women","鳄龟女"
"A person with the shell and head of a snapping turtle.","一个长着拟鳄龟头和甲壳的人. "
"giant snapping turtle","巨型拟鳄龟"
"giant snapping turtles","巨型拟鳄龟"
"A large monster with an enormous shell and immensely powerful jaw.","一只有着巨大外壳和强力下巴的怪物"
"A small river mammal with a flat tail, known for building wooden dams.","一种小体型的,有着扁平尾巴的,生活在河边的哺乳动物,他们以会用树枝建造木制大坝而闻名. "
"beaver","海狸"
"beavers","海狸"
"beaver kit","海狸幼崽"
"beaver kits","海狸幼崽"
"dams","水坝"
"tree-felling habits","伐木习惯"
"beaver man","海狸人"
"beaver men","海狸人"
"beaver woman","海狸女"
"beaver women","海狸女"
"A person with the head and flat tail of a beaver.","一个长着海狸头和扁平尾巴的人"
"giant beaver","巨型海狸"
"giant beavers","巨型海狸"
"giant beaver kit","巨型海狸幼崽"
"giant beaver kits","巨型海狸幼崽"
"A large river monster, known for building huge wooden fortresses.","一只巨大的河怪,以建造巨大的木质堡垒闻名. "
"A tiny, aquatic, worm-like creature that feeds on blood.","一种体型微小的,形似蠕虫的,吸血的水生生物. "
"leech","水蛭"
"leeches"," 水蛭"
"feeding habits","取食特性"
"leech man","水蛭人"
"leech men","水蛭人"
"A large slug-like creature with the torso of a man.  Its face is a mockery of teeth and slime.","一种体型像鼻涕虫的大生物,躯干像人. 它的脸上布满了牙齿和黏液. "
"giant leech","巨水蛭"
"giant leeches","巨水蛭"
"A large monster in the shape of a leech.","一只体型巨大的水蛭怪"
"A small salamander found in remote lakes.  It has the mysterious ability to regrow limbs.","一种在偏远湖泊中发现的小型蝾螈.  它具有肢体再生的神秘能力. "
"axolotl","蝾螈"
"axolotls","蝾螈"
"gills","鳃"
"axolotl man","蝾螈人"
"axolotl men","蝾螈人"
"axolotl woman","母蝾螈人"
"axolotl women","母蝾螈人"
"A person with the head and tail of an axolotl.","一个长着蝾螈头和尾巴的人. "
"giant axolotl","巨型蝾螈"
"giant axolotls","巨型蝾螈"
"A large monster in the shape of an axolotl.","一只体型巨大的美西螈. "
"A small, predatory, weasel-like mammal.  It is also semi-aquatic.","一种小体型,形似鼬的,半水生的食肉哺乳动物. "
"mink","水貂"
"minks","水貂"
"mink kit","水貂幼崽"
"mink kits","水貂幼崽"
"mink man","水貂人"
"mink men","水貂人"
"mink woman","水貂女"
"mink women","水貂女"
"A person with the head and tail of a mink.","一个长着水貂头和尾巴的人. "
"giant mink","巨水貂"
"giant minks","巨水貂"
"giant mink kit","巨水貂幼崽"
"giant mink kits","巨水貂幼崽"
"A huge monster in the form of a mink.","一只巨大的水貂怪. "
"A tiny reptile with a shell on its back.  It can be found in rivers and ponds.","一种体型较小的,背上有甲壳的爬行动物,通常生活在河溪边或池塘边. "
"pond turtle","池龟"
"pond turtles","池龟"
"pond turtle man","池龟人"
"pond turtle men","池龟人"
"pond turtle woman","池龟女"
"pond turtle women","池龟女"
"A person with the head and shell of a pond turtle.","一个长着池龟头和甲壳的人. "
"giant pond turtle","巨池龟"
"giant pond turtles","巨池龟"
"A huge monster shaped like a pond turtle.","一只巨大的池龟怪. "
"A tiny rodent that burrows by day and scurries about at night.","一种白天挖洞, 晚上四处乱窜的小型啮齿动物. "
"hamster","仓鼠"
"hamsters","仓鼠"
"puffy cheeks","肿胀的脸颊"
"hamster man","仓鼠人"
"hamster men","仓鼠人"
"hamster woman","仓鼠女"
"hamster women","仓鼠女"
"A person with the head and fur of a hamster.","一个长着仓鼠头和毛皮的人. "
"giant hamster","巨型仓鼠"
"giant hamsters","巨型仓鼠"
"A large creature the shape of a hamster.","一只体型巨大的仓鼠生物. "
"A small round mammal whose back is covered in spines.  It is nocturnal and feeds on insects.  It curls into a ball when startled and is found in temperate regions.","一种小型圆形哺乳动物,背部长满尖刺. 它在夜间活动,以昆虫为食. 它受到惊吓时会卷曲成球状,常见于温带地区. "
"hedgehog","刺猬"
"hedgehogs","刺猬"
"many spines","许多尖刺"
"hedgehog man","刺猬人"
"hedgehog men","刺猬人"
"hedgehog woman","母刺猬人"
"hedgehog women","母刺猬人"
"A person with the head and spines of a hedgehog.","一个长着刺猬头和刺的人. "
"giant hedgehog","巨刺猬"
"giant hedgehogs","巨刺猬"
"A large monster with the shape of a hedgehog.","一只有着刺猬外形的大型怪物. "
"A tiny grey rodent that is only active at night.  It can sail between trees on wings stretching between its front and hind legs.","一种仅在夜晚活动的小型灰色啮齿动物.它能通过展开在前腿和后腿间的翅膀在树丛间快速移动."
"flying squirrel","鼯鼠"
"flying squirrels","鼯鼠"
"gliding","滑行"
"flying squirrel man","鼯鼠男"
"flying squirrel men","鼯鼠男"
"flying squirrel woman","鼯鼠女"
"flying squirrel women","鼯鼠女"
"A person with the head and wings of a flying squirrel.","一个长着飞鼠头和翅膀的人. "
"giant flying squirrel","巨鼯鼠"
"giant flying squirrels","巨鼯鼠"
"A large monster taking the shape of a flying squirrel.","一只体型巨大的飞鼠. "
"A small, intelligent vermin with a long naked tail.","一种拥有长长裸露尾巴的聪明小害虫."
"rat","鼠"
"rats","鼠"
"friendliness","友好"
"rat man","鼠男"
"rat men","鼠男"
"rat woman","鼠女"
"rat women","鼠女"
"A person with the head and tail of a rat.","一个长着老鼠头和尾巴的人. "
"A small grey rodent found chirping in the trees of temperate woodlands.","一种在温带林地的树上鸣叫的灰色小啮齿动物. "
"gray squirrel","灰松鼠"
"gray squirrels","灰松鼠"
"tails","尾巴"
"gray squirrel man","灰松鼠人"
"gray squirrel men","灰松鼠人"
"gray squirrel woman","灰松鼠女人"
"gray squirrel women","灰松鼠女人"
"A person with the head and tail of a gray squirrel.","一个长着灰松鼠头和尾巴的人. "
"giant gray squirrel","巨灰松鼠"
"giant gray squirrels","巨灰松鼠"
"giant gray squirrel pup","巨灰松鼠幼崽"
"giant gray squirrel pups","巨灰松鼠幼崽"
"A large creature the shape of a gray squirrel.","一只体型巨大的灰松鼠生物. "
"A small red rodent found in the trees of temperate woodlands.","一种在温带林地的树上发现的红色小啮齿动物. "
"red squirrel","红松鼠"
"red squirrels","红松鼠"
"red squirrel man","红松鼠人"
"red squirrel men","红松鼠人"
"red squirrel woman","红松鼠女"
"red squirrel women","红松鼠女"
"A person with the head and tail of a red squirrel.","一个长着红松鼠头和尾巴的人. "
"giant red squirrel","巨红松鼠"
"giant red squirrels","巨红松鼠"
"giant red squirrel pup","巨红松鼠幼崽"
"giant red squirrel pups","巨红松鼠幼崽"
"A large creature the shape of a red squirrel.","一只体型巨大的红松鼠生物. "
"A tiny striped rodent found scurrying through the bushes and trees of the temperate forest.","一只带条纹的小啮齿动物在温带森林的灌木丛和树木中奔跑. "
"chipmunk","花栗鼠"
"chipmunks","花栗鼠"
"chipmunk man","花栗鼠人"
"chipmunk men","花栗鼠人"
"chipmunk woman","花栗鼠女"
"chipmunk women","花栗鼠女"
"A striped person with the head and tail of a chipmunk.","一个有条纹的长着花栗鼠头和尾巴的人. "
"giant chipmunk","巨花栗鼠"
"giant chipmunks","巨花栗鼠"
"giant chipmunk pup","巨花栗鼠幼崽"
"giant chipmunk pups","巨花栗鼠幼崽"
"A large creature the shape of a chipmunk.","一只体型巨大的花栗鼠生物. "
"A small creature found in both salt and fresh water that lives in an asymmetrical shell rooted to the bottom.","一种在盐水和淡水中都能找到的小生物,生活在一个不对称的外壳中,外壳底部有根. "
"mussel","贻贝"
"mussels","贻贝"
"A small marine creature that lives in a shell rooted to the sea floor.","一种生活在海底贝壳中的小型海洋生物. "
"oyster","牡蛎"
"oysters","牡蛎"
"A medium-sized red fish that lives in the ocean and swims up a river to breed.","一种中等大小的红鱼,生活在海洋中,向上游游动繁殖. "
"salmon","鲑鱼"
"A tiny orange marine fish that lives inside the tentacles of a poisonous invertebrate.","一种微小的橙色海鱼,生活在有毒无脊椎动物的触手内. "
"clownfish","小丑鱼"
"A small, spineless, eel-like fish that lives on the bottom of the ocean.  It can turn the water around its body into a cloud of slime to escape predators.","一种生活在海底的, 小型, 无刺, 类似鳗鱼的鱼.  它可以把身体周围的水变成一团粘液,以逃离捕食者. "
"hagfish","盲鳗"
"slime","黏液的"
"ability to tie themselves in knots","能把自己打结"
"A small, jawless, filter-feeding fish found in brooks and streams.","小溪和溪流中发现的一种无颌滤食性小型鱼类. "
"brook lamprey","河七鳃鳗"
"brook lampreys","河七鳃鳗"
"A medium-sized, winged fish found in the muddy coasts of both temperate and tropical waters.","一种中等大小的有翼鱼,见于温带和热带水域的泥泞海岸. "
"bat ray","蝠鲼"
"bat rays","蝠鲼"
"shape","形状"
"A small winged fish found in shallow seas.","一种在浅海中发现的有翼的小型鱼类. "
"thornback ray","刺鳐"
"thornback rays","刺鳐"
"back spines","背棘"
"A small, shark-like creature that lives in the ocean's muddy shallows.  Its skin sparkles and it has a venomous spine on its back.","生活在海洋泥泞的浅滩上的一种类似鲨鱼的小生物. 它的皮肤闪闪发光,背部有一根有毒的脊椎. "
"spotted ratfish","科氏兔银鲛"
"A tiny marine fish found in vast schools.","一种在大量鱼群中发现的微小海鱼. "
"herring","鲱鱼"
"herrings","鲱鱼"
"massive schools","大型学校"
"A small marine fish that travels to rivers to breed.","一种前往河流繁殖的小型海鱼. "
"shad","河鲱"
"shads","河鲱"
"A tiny blue-green oceanic fish, found only in temperate waters.","一种微小的蓝绿色海洋鱼类,只在温带水域发现. "
"anchovy","凤尾鱼"
"anchovies","凤尾鱼"
"distinct snout","明显的鼻子"
"A medium-sized fish found in tributaries and oceans.","一种在支流和海洋中发现的中型鱼类. "
"steelhead trout","硬头鳟"
"An oceanic fish.","一种海洋鱼类. "
"hake","无须鳕"
"notched fins","锯齿状的鳍"
"A tiny, curved and colorful fish found in coral reefs.","一种在珊瑚礁中发现的微小的, 弯曲的, 五颜六色的鱼. "
"seahorse","海马"
"seahorses","海马"
"unusual shape","不寻常的形状"
"A small, nocturnal, marine fish.  It can be found hunting in coral reefs.","一种夜间活动的小型海鱼. 它可以在珊瑚礁中狩猎. "
"glasseye","斑鳍大眼鲷"
"A small, round, brightly-colored fish found in coral reefs.","一种小型的,圆圆的,有着明亮色彩的生活在珊瑚礁附近的鱼."
"white-spotted puffer","白斑河豚"
"white-spotted puffers","白斑河豚"
"ability to inflate","可充气"
"A small flat fish found on the muddy bottom of shallow seas.","在浅海泥泞的海底发现的一种小型扁平鱼. "
"sole","鳎鱼"
"A small flat fish found in the muddy bottom of coastal run-offs and ponds.","在海岸边泥泞的径流与池塘底部发现了一条小比目鱼"
"flounder","鲽鱼"
"flounders","鲽鱼"
"strange eyes","奇怪的眼睛"
"A medium-sized oceanic fish prized for its meat.","一种中等大小的海洋鱼类,因其肉质而备受珍视. "
"mackerel","鲭鱼"
"An invertebrate found off the coast.  It has a sting which can be severe.","在海岸边发现的一种无脊椎动物. 它有一种可能很严重的刺痛感. "
"sea nettle jellyfish","海荨麻水母"
"A tiny sea vermin with eight arms and two tentacles.  It can spray ink to confuse predators.","一种有八只胳膊和两条触须的小型海洋害虫. 它可以喷射墨水来迷惑捕食者. "
"squid","鱿鱼"
"squids","鱿鱼"
"ability to spray ink","可喷墨"
"frozen squid ink","冷冻鱿鱼墨"
"squid ink","鱿鱼墨汁"
"boiling squid ink","沸腾的鱿鱼墨水"
"squid man","鱿鱼人"
"squid men","鱿鱼人"
"squid woman","鱿鱼女"
"squid women","鱿鱼女"
"A small person with a head bearing ten tentacles.","一个头上有十只触角小型人."
"giant squid","巨鱿鱼"
"gigantic squid","巨鱿鱼"
"gigantic squids","巨鱿鱼"
"A huge sea monster the shape of a squid.","一只巨大的鱿鱼海怪. "
"A small fish which can walk on the land and breathe air.  It burrows in the mud when things get dry.","一种可以在陆地上行走并呼吸空气的小鱼. 当变干燥的时,它会在泥里挖洞. "
"lungfish","肺鱼"
"gulping","狼吞虎咽"
"A tiny orange-striped fish.  It lives in inland waters.","一种橙色条纹的小鱼. 它生活在内陆水域. "
"clown loach","丑鳅鱼"
"clown loaches","丑鳅鱼"
"A small whiskered fish found in muddy inland waters.","在泥泞的内陆水域发现的一种带须的小鱼. "
"brown bullhead","棕鲶鱼"
"brown bullheads","棕鲶鱼"
"A small whiskered fish found scavenging in inland waters.","一种在内陆水域觅食的带须的小鱼. "
"yellow bullhead","黄鲶鱼"
"yellow bullheads","黄鲶鱼"
"A small whiskered fish found in inland waters.","在内陆水域发现的一种带须的小型鱼类. "
"black bullhead","黑鲶鱼"
"black bullheads","黑鲶鱼"
"A small spotted fish found in tropical rivers and lakes.","一种小型斑点鱼,生活在热带河流和湖泊中. "
"banded knifefish","带状刀鱼"
"rippling fin","波纹鳍"
"A medium-sized spotted fish found in temperate lakes and rivers.","一种中型斑点鱼,生活在温带湖泊和河流中. "
"char","红点鲑"
"A medium-sized spotted fish found in temperate rivers and lakes.","一种中型斑点鱼,生活在温带湖泊和河流中. "
"rainbow trout","虹鳟"
"A tiny spotted fish found in coastal rivers and temperate lakes.","一种小型斑点鱼,生活在沿海河流和温带湖泊中. "
"sailfin molly","帆鳍花鳉"
"sailfin mollies","帆鳍花鳉"
"wide dorsal fins","宽背鳍"
"A tiny colorful fish found in tropical lakes and rivers.","一种小型的,色彩斑斓的鱼,生活在热带湖泊和河流中. "
"guppy","虹鳉"
"guppies","虹鳉"
"A small striped fish found in fresh water.","一种小型的条纹淡水鱼. "
"perch","鲈鱼"
"A short, sturdy creature fond of drink and industry.","一种矮而结实的生物,喜欢喝酒和劳作. "
"dwarf","矮人"
"dwarves","矮人"
"dwarven","矮人"
"dwarven baby","矮人宝宝"
"dwarven babies","矮人宝宝"
"dwarven child","矮人的孩子"
"dwarven children","矮人的孩子"
"craftsdwarf","矮人工匠"
"craftsdwarves","矮人工匠"
"fisherdwarf","矮人渔夫"
"fisherdwarves","矮人渔夫"
"hammerdwarf","矮人锤手"
"hammerdwarves","矮人锤手"
"speardwarf","矮人短矛手"
"speardwarves","矮人短矛手"
"marksdwarf","矮人标手"
"marksdwarves","矮人标手"
"axedwarf","矮人斧手"
"axedwarves","矮人斧手"
"swordsdwarf","矮人剑士"
"swordsdwarves","矮人剑士"
"macedwarf","矮人钉锤手"
"macedwarves","矮人钉锤手"
"pikedwarf","矮人长矛手"
"pikedwarves","矮人长矛手"
