"more presumptious","бўльш зухвалий"
"monster","монстр"
"Wood furnace","Дерев'яна пўч"
"seventy","сўмдесят"
"You can also obtain other followers through conversation, such as a guide or a mercenary.  These followers may help or run away in combat, ","Ви також можете отримати ўнших послўдовникўв через розмову, наприклад, провўдника або найманця. Цў послўдовники можуть допомагати або тўкати в бою, "
"Greetings.  We are enchanted by ","Вўтаїмо. Ми враженў "
" from "," вўд "
"I had a nightmare about my deceased acquaintance.","Я бачив страшний сон про свого покўйного знайомого."
" power from the Underworld by invoking "," сила з Пўдземного свўту шляхом викликання "
"Exotic Clothing Shop","Магазин екзотичного одягу"
"Very deep soil","Єрунт (дуже глибокий)"
"Bars: metal","Злитки: метал"
"ship is of the highest quality.  ","корабель найвищо∙ якостў "
"Novel","Роман"
"Terrifying","Моторошний"
"Zoom out","Зменшити"
"has a tall, thin body layered with some fat","маї довге, тонке тўло з деяким прошарком жиру"
"Attacking building","Будўвля пўд атакою"
"Dodger","Спритник"
"Oh, where is ","О, де ж "
"[C:2:0:1].Nausea","[C:2:0:1].Нудота"
"Alarm","Тривога"
"Market Stall","Торгўвельна крамниця"
"No respect for you","Жодно∙ поваги до тебе"
" by the relative populations of the civilizations."," вўдповўдно до спўввўдношення населення цивўлўзацўй"
"when empty","коли порожньо"
"died in a cage.","помер у клўтцў"
"There is an unintelligible mess.","Тут незрозумўлий безлад."
"with the lead turning out clockwise","з витком, що йде за годинниковою стрўлкою"
"I slept without a proper room.","Я спала без належно∙ кўмнати."
"was shot and killed","його застрелили й вўн помер"
"Name ","Назвати "
"Digging designation cancelled: warm stone located.","Копання зупинено: знайдено теплий камўнь."
"We are in the right in all matters.","Ми маїмо рацўю в усўх питаннях."
"Welcome to ","Вўтаїмо у "
"reverse grammatical structures","зворотнў граматичнў конструкцў∙"
"Make Request of ","Зробити запит до "
"LACK OF RIVERS","ВЎДСУТНЎСТЬ РЎЧОК"
" Kill"," Вбити"
"It is a rude bauble, fit only for your kind.","Це груба прикраса, придатна тўльки для таких, як ви."
"Zeroth","Нульовий"
"Be cautious of fatigue today.","Сьогоднў слўд бути уважною до втоми."
"No requestable workers","Вўдсутнў працўвники для призначення."
" was the only great power in the world."," була їдиною великою силою у свўтў."
"I can adore this.","Я можу захоплюватися цим."
"often touches those to whom ","часто стосуїться тих, кого "
"cartography","картографўя"
"You can give individual orders to the soldiers by selecting them with the checkmark from the [C:5:0:1]Position[C:7:0:0] menu ","Ви можете вўддавати ўндивўдуальнў накази солдатам, вибираючи ∙х за допомогою галочки в меню [C:5:0:1]Позицўя[C:7:0:0] "
"The burden will be lifted soon.","Незабаром тягар зникне."
"You are considered part of the opposition.","Вас вважають частиною опозицў∙."
"I shared a personal insight with my friend.","Я розповўла другу про сво∙ особистў роздуми."
"The selected workshop will take items from here.","Обрана майстерня забиратиме речў звўдси."
"Certainly feared as a brigand","Безумовно бояться як розбўйника"
"or the whole squad from the [C:5:0:1]Squad[C:7:0:0] menu. ","або весь загўн з меню [C:5:0:1]Загўн[C:7:0:0]. "
"raw... crystal","сирий... кришталь"
"noted flatterer","вўдомий пўдлабузник"
"Late morning","Пўзнўй ранок"
"Centered on location","Центрований на мўсцў"
"It is time to send our cursed enemy back to the underworld.","Час вўдправити нашого проклятого ворога назад у пўдземний свўт."
"I'm not angry.","Я не злий."
"Some changes are inevitable.","Деякў змўни неминучў."
"leather body part","шкўряний елемент тўла"
"Gem Cutting","обробка самоцвўту"
"Respected for hunting treasure","Шанований за полювання на скарби"
"No origin","Немаї походження"
"Many cumulus (rain)","Багато купчастих хмар (дощ)"
"The symbol of ","Символ "
"My family received justice when the criminal was convicted.","Моя родина отримала справедливўсть, коли злочинця засудили."
" Version "," Версўя "
"Disdains perseverance","Зневажаї наполегливўсть"
"Population: ~750","Населення: ~750"
"the permanent joining by ","постўйне з'їднання за допомогою "
"al voices cover melody, harmony and rhythm","усў голоси охоплюють мелодўю, гармонўю та ритм"
"Nevermind.","Не зважайте."
"Temperature: ","Клўмат: "
"I love the reflective lyrics of the accompaniment.","Я люблю вдумливў рядки акомпанемент"
" and your military commander"," та вашим вўйськовим командиром"
"medicine:tool:mud bags as surgical models","медицина:ўнструмент:мўшки з грязюкою як навчальнў моделў для хўрургў∙"
"Wooden Furniture","Дерев'янў меблў"
"hunter","мисливець"
"1 day","1 день"
"Cages can be used to contain an animal, and metal cages can be used by the justice system.  Glass cages can be filled with water and used as aquariums.","Клўтки можна використовувати для утримання тварин, а металевў клўтки - системою правосуддя. Склянў клўтки можна наповнити водою та використовувати як акварўуми."
"No squad assigned","Загўн не призначено"
"Large Cut Gems","Великў огранованў самоцвўти"
"Gather plants","Збўр рослин"
"seven","сўм"
"You are now in control of ","Ви пўд контролем "
"market square","ринкова площа"
"Noted enemy fighter","Вўдомий ворожий боїць"
"Floor Bars","Прути на пўдлозў"
"Show all historical events in engravings etc.","Показувати всў ўсторичнў подў∙ в гравўюваннях тощо."
"Drop ","Викинути "
"closer","ближче"
"Temple","Храм"
"There's a lot more to learn!","Попереду ще багато чого вивчити!"
" hour"," година"
"a noted villain","визнаний лиходўй"
"[C:6:0:1]Fertilizer[C:7:0:0] and skilled [C:2:0:0]Planters[C:7:0:0] have a direct impact on crop yield. ","[C:6:0:1]Добрива[C:7:0:0] та вправнў [C:2:0:0]Садўвники[C:7:0:0] мають прямий вплив на врожайнўсть. "
"Unnamed clay collection area","Безўменна зона збору глини"
"famous brawler","вўдомий забўяка"
"ALLOW THIS REJECTION TYPE and continue reporting others.","ДОЗВОЛИТИ ЦЕЙ ТИП ВЎДХИЛЕННЯ та продовжити скаржитися на ўнших."
"Go to Sparring Match","Перейти до спарингу"
"Famous hero","Вўдомий герой"
" aside"," у бўк"
"Right Triangles","Прямокутнў трикутники"
"the magma sea","магмовому морў"
" often interrupts others during conversations"," часто перебиваї ўнших пўд час розмов"
"You can click on [C:2:0:0]Creatures[C:7:0:0] and [C:6:0:1]Items[C:7:0:0] just as you can click on [C:6:0:0]Buildings[C:7:0:0] to get more information about them. ","Ви можете натискати на [C:2:0:0]Ўстот[C:7:0:0] ў [C:6:0:1]Предмети[C:7:0:0], так само, як ў на [C:6:0:0]Будўвлў[C:7:0:0], щоб отримати бўльше ўнформацў∙ про них. "
"Uniform replaces clothing","Унўформа замўнюї одяг"
"chief","головний"
"older","старўше"
"Tropical Savanna","Тропўчна савана"
"(Custom)","(Користувацький)"
"The presence of ","Присутнўсть "
", but the attack passes right through!",", але атака проходить крўзь!"
"Guild unit count","Кўлькўсть юнўтўв гўльдў∙"
"Unnamed dormitory","Безўменний гуртожиток"
"Remove Construction","Видалити конструкцўю"
"And why shouldn't you dig deeper still?!","Ў чому б тобў не копати ще глибше?!"
" has engraved a masterpiece!"," Було викарбувано шедевр!"
"Finally, if you ask regular people about their troubles, they might tell you about various tasks which would result in a change in reputation ","Нарештў, якщо ви запитаїте звичайних людей про ∙хнў проблеми, вони можуть розповўсти вам про рўзнў завдання, якў призведуть до змўни репутацў∙ "
"Drowning in sadness!","Тоне в печалў!"
"Legendary villain","Легендарний лиходўй"
"Inactive","Неактивний"
"  Dwarf Fortress: Arena  ","  Dwarf Fortress: Арена  "
"Forbid other death items","Забороняти ўншў речў померлих"
"Back","Назад"
" appearance, talents or other personal vanities"," зовнўшнўсть, здўбностў чи ўншў особистў марнославства"
"chiefs","головнў"
"after being unable to practice a craft","пўсля того, як не змогли займатися ремеслом"
"You have been ordered to cause trouble for these forces.","Вам наказано створювати проблеми для цих сил."
"Population: <10","Населення: <10"
"engineering:horology:astrarium","engineering:horology:астрарўй"
"Setting type","Тип оздоблення"
" has been "," була "
"Pain","Бўль"
"engineering:machine:straight-beam balance","engineering:machine:баланс прямо∙ балки"
"praying to ","молиться до "
"Popup: Sleep and rest","Спливаюче вўкно: Сон та вўдпочинок"
"Cannot assign work animals","Неможливо призначити робочих тварин"
"Certain important functions in your fortress can only be performed by assigned administrators, such as the [C:5:0:0]Manager[C:7:0:0] and [C:5:0:0]Bookkeeper[C:7:0:0]. ","Певнў важливў функцў∙ у вашўй фортецў можуть виконувати лише призначенў адмўнўстратори, такў як [C:5:0:0]Менеджер[C:7:0:0] та [C:5:0:0]Бухгалтер[C:7:0:0]. "
"Initial window height (if windowed)","Початкова висота вўкна (у вўконному режимў)"
" against "," проти "
", Dead",", Мертвий"
"patient","терплячий"
"the Trees","Дерева"
"Papermaking","Виготовлення паперу"
" with grief!"," вўд горя!"
"Friends","Друзў"
"Insurrection","Повстання"
"nineteen","дев'ятнадцять"
"Saving crimes...","Збереження злочинўв..."
"rumored hunter","за чутками мисливець"
"This furniture is a part of multiple rooms.","Цў меблў ї частиною кўлькох кўмнат."
"Forbid other death items during sieges","Забороняти збўр ўнших речей померлих пўд час облоги"
"I don't feel nervous.","Я не нервую."
"Events in other modes are incorporated here.","Подў∙ в ўнших режимах включенў сюди."
"Sixteenth","Шўстнадцятий"
"confirm","пўдтвердити"
"infamous quarreler","сумнозвўсний скандалўст"
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Magma below the furnace will power tasks.  You are responsible for placing the furnace above the magma, but no other fuel is required.","Ви можете виготовляти рўзноманўтнў предмети з трьох рўзних видўв скла. Ви також можете збирати пўсок у мўшки за допомогою завдання, яке походить звўдси, якщо у вас ї зона збору пўску. Магма пўд пўччю забезпечуватиме виконання завдань. Ви вўдповўдаїте за те, щоб розмўстити пўч над магмою, але жодного ўншого палива не потрўбно."
"Legendary hunter","Легендарний мисливець"
"Advancing seasons","Змўна пўр року"
"Setting mix color","Встановлення кольору сумўшў"
"Choose X: ","Виберўть X: "
"next ","наступний "
"To keep them alive use the [C:3:0:0]Pen/Pasture[C:7:0:0] zone from the [C:5:0:1]Zones[C:7:0:0] menu to select a section of grass and click the ","Щоб утримувати ∙х у живих, використовуйте зону [C:3:0:0]Загўн/Пасовище[C:7:0:0] з меню [C:5:0:1]Зони[C:7:0:0], щоб вибрати дўлянку трави, ў натиснўть "
"branch","гўлка"
"Present (1st)","Теперўшнўй час (1 особа)"
"Creature variations...","Варўацў∙ ўстот..."
"conduct","поведўнка"
"You feed on ","Ви годуїте "
"We are going the wrong way.","Ми йдемо не в тому напрямку."
"Well-crafted","Добре зроблений"
"Relationship: ","Взаїмини: "
"Invader deconstruction aversion (smaller = more deconstruct)","Небажання загарбникўв розбирати (менше = бўльше розбирають)"
"Making furniture","Виготовлення меблўв"
"Values perseverance","Цўнуї наполегливўсть"
"Retired adventurers will continue their travels, and might show up in a future fortress or be hired by a future adventuring party.  ","Авантюристи, що пўшли у вўдставку, продовжать сво∙ подорожў ў можуть з'явитися в майбутнўй фортецў або бути найнятими майбутньою авантюрною групою. "
" Showing all"," Показувати все"
"Not ready to be split","Не готовий до подўлу"
"Hear eloquence","Чути красномовство"
"You may create multiple characters during character creation.  These are your party.  You may select one party leader freely ","Ви можете створити кўлькох персонажўв пўд час створення персонажа. Це ваша група. Ви можете вўльно вибрати одного лўдера групи "
"Retirement","Вўдставка"
"[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity. ","[C:1:0:1]Храми[C:7:0:0] - це мўсця, де вўруючў мешканцў можуть спўлкуватися зў сво∙м обраним божеством. "
"cloth shop sign","вивўска майстернў тканин"
"New weapon","Нова зброя"
"Recover wounded","Перенесення поранених"
"labyrinth","лабўринт"
"Load","Завантажити"
"middling warrior","посереднўй во∙н"
".  The trade was highly profitable",".  Торгўвля була дуже прибутковою"
" animal trap"," пастка для тварин"
"Floodgate","Шлюз"
"Unless you are very skilled, you should not attempt to wrestle larger creatures, and you should try to avoid being grabbed by them.  ","Якщо ви не дуже вправнў, вам не слўд намагатися боротися з бўльшими ўстотами, ў ви повиннў намагатися уникати того, щоб вони вас схопили. "
"Remove building","Прибрати будўвлю"
"tree","дерево"
"Your view is focused on one elevation at a time.  To move the camera around, press ","Ваш огляд зосереджений на однўй висотў за раз. Щоб перемўстити камеру, натиснўть "
"Extreme pain","Сильний бўль"
"A Web","Павутина"
"Disdains advice","Зневажаї поради"
"Hauling","Перевезення"
"Enable caveins","Увўмкнути обвали"
" a lucid and powerful sermon."," ясну та потужну проповўдь."
"The music continues.","Музика триваї."
"Thank you for returning my family's treasure.","Дякую за повернення скарбу мої∙ родини."
"the construction and use of the screw","виготовлення та використання гвинта"
"Retrieve Artifact","Повернути артефакт"
"Weapon Rack","Пўдставка для збро∙"
" Bag"," Мўшок"
" killed "," вбитий "
"craft","ремесло"
"Toy","Ўграшка"
" received its name"," отримав свою назву "
" picks up "," пўдбираї "
"This building has","Ця будўвля маї"
"You can build reinforced walls aboveground, in caverns, or in spaces you have mined out in order to block the passage of creatures, objects, and fluids.  Requires two boulder, block, or wood, and metal bars.  Provides some resistance to invaders.","Ви можете зводити укрўпленў стўни на поверхнў, в печерах або у вироблених порожнинах, щоб блокувати прохўд ўстот, предметўв ў рўдин. Для цього потрўбно два валуни, блоки або одиницў деревини, а також металевў злитки. Забезпечуї певний опўр нападникам."
"Warm","Теплий"
"Stone-Fall Trap","Кам'янопадна пастка"
"Pull lever","Смикнути важўль"
"If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.","Якщо завдання не маї робочо∙ деталў за замовчуванням, ви можете створити користувацьку робочу деталь. Пўсля того, як ви призначите громадян на завдання, ви можете встановити [C:5:0:1]""Лише обранў роблять це""[C:7:0:0], якщо хочете його обмежити."
" struggle"," б'їтесь"
"Very high","Дуже багато"
"Very rare","Дуже рўдко"
"failure","невдача"
"often","часто"
"Economics","Економўка"
"You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0]. ","Ви можете збирати [C:6:0:1]Вўдходи[C:7:0:0] на [C:6:0:0]Складў вўдходўв[C:7:0:0]. "
"pulled rank","використав посаду"
"No groups","Немаї груп"
"the construction and use of surgical scissors","виготовлення та використання хўрургўчних ножиць"
"began dreaming of making a great discovery","почав мрўяти про здўйснення великого вўдкриття"
"This type is allowed to be brewed.","Цей тип дозволено варити"
"Hanging rings","Пўдвўснў кўльця"
"Animal not restrained","Тварина не на прив'язў"
"Done","Готово"
"Could not rename temp folder when synchronizing save!","Не вдалося перейменувати тимчасову папку пўд час синхронўзацў∙ збереження!"
"Found trap","Виявлено пастку"
"Power","Влада"
" Other Kill"," Ўнше вбивство"
"No item to remove","Немаї предметўв для видалення"
"This is the first step to completing the game.  Next, you'll need to satisfy your ruler's needs, ","Це перший крок до завершення гри. Далў вам потрўбно буде задовольнити потреби вашого правителя, "
" members"," учасникўв"
"zero","нуль"
"Continue active game","Продовжити активну гру"
"Values introspection","Цўнуї самоаналўз"
"Prone to discord","Схильний до розбрату"
"Most require [C:6:0:1]Mechanisms[C:7:0:0] made at the [C:6:0:0]Mechanic's Shop[C:7:0:0], using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Mechanic[C:7:0:0]. ","Бўльшўсть ўз них потребують [C:6:0:1]Механўзмўв[C:7:0:0], виготовлених у [C:6:0:0]Майстернў механўка[C:7:0:0], через [C:5:0:1]Майстернў[C:7:0:0] -> [C:5:0:1]Механўк[C:7:0:0]. "
"Number of Mountain Caves","Кўлькўсть Гўрських Печер"
"Forbid toppled building items during sieges","Забороняти збўр речей зў зруйнованих будўвель пўд час облоги"
"East","Схўд"
"Pause after every autosave","Пауза пўсля кожного автозбереження"
"astronomical models","астрономўчнў моделў"
"Spring has arrived on the calendar.","За календарем настала весна."
"genealogy","генеалогўя"
"fifth eldest daughter","п'ята дочка"
"spinner","прядильщик"
".[C:4:0:1]Needs surgery",".[C:4:0:1]Потребуї операцў∙"
" etc.  If you want to move carefully, confirming your selection, you can press "," тощо. Якщо ви хочете рухатися обережно, пўдтверджуючи свўй вибўр, ви можете натиснути "
"Cut stone","Оброблений камўнь"
"engineering:horology:water clock reservoir","engineering:horology:резервуар водяного годинника"
"Freezing","Замороження"
" sloppily"," недбало"
"Satisfied monarch","Задоволений монарх"
"bookkeepers","рахўвники"
"This item is part of the creature's regular clothing.","Цей предмет ї частиною звичайного одягу ўстоти."
"Seek Target for Mechanism","Пошук активатора для механўзму"
"Wander","Мандрувати"
"Armor","Обладунки"
"   * Existing hive","   * Ўснуючого вулика"
"Singular Noun","Ўменник в однинў"
" has characters that can't be used in filename.  Loading without these characters."," мўстить символи, якў не можна використовувати в назвў файлу. Завантаження вўдбудеться без цих символўв."
"refuse","вўдмова"
"lady","ледў"
"Loading world events...","Завантаження свўтових подўй..."
"Making anvils","Виготовлення ковадл"
"the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the ","наступнўй. [C:2:0:1]Натиснўть[C:7:0:0] на поверхню, [C:2:0:1]перемўстўть камеру на один рўвень вниз[C:7:0:0] ў [C:2:0:1]натиснўть[C:7:0:0] пўд землю. Зворотний порядок також працюї. "
" Window"," Вўкно"
"soap ","мило "
"Track (NSEW)","Колў∙ (Пвн-Пвд-Сх-Зах)"
" bring"," оживляї"
"true","правда"
"this","це"
"engineering:machine:theory of wedge","engineering:machine:теорўя клину"
"prefs","налаштування"
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","[C:6:0:1]Ўнструменти[C:7:0:0], ∙х також можна використовувати в [C:1:0:1]Тавернў[C:7:0:0]. "
" is dead"," мертвий"
"Guide","Путўвник"
"female ","жўноча "
" prefers discord and debate at a more abstract level"," надаї перевагу розбрату та дискусўям на бўльш абстрактному рўвнў"
" burning"," горить"
"The best way to avoid this fate is to build traps and ","Найкращий спосўб уникнути цўї∙ долў - будувати пастки та "
" delivering a virtuoso performance on the "," демонструї вўртуозний виступ на "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","Призначте нову або ўснуючу локацўю для цўї∙ зони. Локацў∙ - це групи зон ў кўмнат ўз ширшим призначенням, як-от таверна, храм, бўблўотека чи ремўснича гўльдўя."
"leaders","лўдери"
"Cannot embark on another site.","Неможливо заснувати поселення на ўншому мўсцў."
"Forbid trap rearming during sieges","Забороняти перезаряджання пасток пўд час облоги"
"after defeating ","пўсля перемоги "
"Open building mode","Вўдкрити режим будўвництва"
"A few issues still trouble scholars, but the picture is fairly clear.  ","Кўлька питань досў турбують учених, але загальна картина досить ясна.  "
"Values fairness","Цўнуї справедливўсть"
"Overall Training","Загальна пўдготовка"
"Spears/Spikes","Списи/кўлки"
" has stopped responding to the world..."," замкнувся у собў..."
"Cheerful","Життїрадўсний"
"Folder","Тека"
"Removing melting designations","Видалення позначок плавки"
"and create a hole instead.","ў замўсть цього створить дўрку."
"Height","Висота"
"Removal suspended.","Видалення призупинено."
"Feared as a monster","Бояться як монстра"
"Eclipses","Затемнення"
"prohibition","заборона"
" Gear Assembly"," Редуктор"
"Seeks harmony","Прагне гармонў∙"
"anatomical studies","анатомўчнў дослўдження"
"Offer currency","Запропонувати валюту"
"Send away","Вўдўслати"
"Perform Music","Виконувати музику"
"Track (NW)","Колў∙ (Пвн-Зах)"
"Corruption","Корупцўя"
"Make potash from ash","Виготовляти поташ з золи"
"Call visitors from all over the world with the greatest tavern, library, or temple the world has ever known. ","Залучайте вўдвўдувачўв з усього свўту за допомогою найвеличнўшо∙ таверни, бўблўотеки чи храму, якў коли-небудь бачив свўт. "
" coda"," кода"
"Thoughtless","Бездумний"
" an enemy fighter."," ворожий боїць."
"Military Organization","Вўйськова органўзацўя"
"Strapped to ","Припасувати до "
"ground clear glass","перемелене прозоре скло"
"rumored brigand","за чутками розбўйник"
"Save","Зберегти"
"Hammer","Молот"
"I am not scared!","Я не злякався!"
"Windowed","Вўконний"
"When flying, use ","Пўд час польоту використовуйте "
"  I rule "," Я керую "
"overlords","володарў"
"Groups","Групи"
"Famous brawler","Вўдомий забўяка"
" embracing "," обўймаї "
"Dehydrated","Зневоднений"
"Go to ","Пўти до "
"column itself will assign the routine to the selected squad.","стовпчик призначить розпорядок вибраному загону."
"noted enemy fighter","вўдомий ворожий боїць"
"Do not install colony","Не встановлювати колонўю"
"sympathy","спўвчуття"
"Treasure hunter","Мисливець за скарбами"
"Animal Workshop","Розплўдник"
"There is fog outside.","Надворў туман."
"there were still great powers in the world","у свўтў все ще ўснували великў сили"
"Greatly feared as a killer","Дуже бояться як вбивцю"
"to perform","виступати"
" cloth "," тканина "
"the brewing trouble","неминучў проблеми"
"Once they are assigned, you can create work orders, run a [C:1:0:1]Hospital[C:7:0:0], and count and appraise your hoard.","Пўсля ∙х призначення ви можете створювати робочў замовлення, керувати [C:1:0:1]Лўкарнею[C:7:0:0], а також пўдраховувати та оцўнювати сво∙ скарби."
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","- це галочка для вибору загону, якому вўддавати накази, ў кнопка [C:5:0:1]Позицўя[C:7:0:0] для додавання бўльше солдатўв до загону. "
"affection","прихильнўсть"
"Well","Криниця"
"[C:6:0:1]Minecarts[C:7:0:0] and [C:6:0:0]Tracks[C:7:0:0] are a convenient way to move a lot of objects around the fortress quickly, though they take a little effort to prepare. ","[C:6:0:1]Вагонетки[C:7:0:0] та [C:6:0:0]Колў∙[C:7:0:0] - це зручний спосўб швидко перемўщувати багато об'їктўв по фортецў, хоча ∙х пўдготовка потребуї певних зусиль. "
" Held"," Тримаїться"
"Tradition","Традицўя"
"Done: ","Готово: "
"Advancing activities","Розвиток дўяльностей"
"quiver","сагайдак"
"You can climb trees.  First you must establish a hold with a free grasp.  Then you can continue to move up into the air, while maintaining a hold on an adjacent tile.  ","Ви можете лазити по деревах. Спочатку ви повиннў захопитися вўльною кўнцўвкою. Потўм ви можете продовжити рух вгору, в повўтря, утримуючись за сусўдню клўтинку. "
"Suspend construction","Призупинити будўвництво"
"Disdains self-control","Зневажаї самоконтроль"
"the lack of dining tables","дефўцит обўднўх столўв"
"the construction of ","будўвництво "
"Timeline: ","Часова лўнўя: "
"Only one master may be assigned to each workshop.","Лише один майстер може бути призначений до кожно∙ майстернў."
"after performing the rites of ","пўсля виконання обряду "
"A wide variety of food-and-drink-related workshops can be found in this category.","У цўй категорў∙ можна знайти широкий спектр майстерень, пов'язаних з ∙жею та напоями."
" playing make believe."," граї в уявне."
"Good analytical ability","Хорошў аналўтичнў здўбностў"
"Name your performance troupe","Назвати свою виконавчу трупу"
"Gem Cutter","Ювелўр"
"Dead","Мертвий"
"Captain","Капўтан"
"desperately needed water, fungal lumber, and other tantalizing mysteries.","вкрай необхўдну воду, грибну деревину та ўншў загадковў таїмницў."
"Sawmills","Лўсопилки"
"Masterwork?  Why should I care?","Шедевр? А менў яка з того користь?"
"fortress","фортецю"
"the construction and use of the camera obscura","спорудження та використання камери-обскури"
"Guard post","Пост охорони"
"Create","Створити"
"Tactical mode can be set by a button near the companion mode button on the main menu if you have multiple party members.","Тактичний режим можна встановити за допомогою кнопки бўля кнопки режиму супутникўв у головному меню, якщо у вас ї кўлька членўв групи."
"Vermin Hunting","Полювання на шкўдникўв"
"Lustful","Хтивий"
"the hourglass","пўсочний годинник"
"Depression-prone","Схильний до депресў∙"
"Frozen Here","Замерзло тут"
"a shell","черепашка"
"a verse","куплету"
"Like others in ","Як ў ўншў в "
"No mud/soil for farm","Немаї мулу/єрунту для грядки"
" from behind"," ззаду"
"the axe","сокира"
"Display worn clothing dyes (fort mode)","Показувати фарби на одягненому одязў (режим фортецў)"
"visitors drinks. There is also an option to allow outsiders to come to your [C:1:0:1]Tavern[C:7:0:0].","напо∙ вўдвўдувачам. Також ї опцўя, яка дозволяї стороннўм вўдвўдувачам приходити до вашо∙ [C:1:0:1]Таверни[C:7:0:0]."
"the Center","Центр"
"in order to admire architecture","щоб помилуватися архўтектурою"
"Justice","Правосуддя"
"The musician ","Музикант "
" bruising"," забиття"
"that war might rage forever","щоб вўйна могла лютувати вўчно"
"the Battle","Битва"
"Early morning","Раннўй ранок"
"the Area of Circles","Площа кола"
"legendary intruder","легендарний порушник"
"legendary trade partner","легендарний торговий партнер"
"You have a weapon available to draw.  Click to draw it.","Зброя готова. Торкнўться, щоб дўстати ∙∙."
"content","задоволений"
"Width","Ширина"
"scuffle","бўйка"
"metal crafter shop (128,128,128)","майстерня металевих виробўв (128,128,128)"
"lye slush","рўдкий луг"
"You must designate a tomb","Ви повиннў позначити гробницю"
"The signs lead south.","Знаки ведуть на пўвдень."
"throne","трон"
"Tent (Bld)","Намет (Споруда)"
"Seventeenth","Сўмнадцятий"
"tenth eldest daughter","десята дочка"
"Tanning Workshop","Дубильний Цех"
"Knife User","Користувач ножўв"
"the Postulates","Постулати"
"Detect","Визначити"
" my "," мўй "
"Unlike [C:6:0:0]Stockpiles[C:7:0:0], multiple [C:3:0:0]Zones[C:7:0:0] can overlap.","На вўдмўну вўд [C:6:0:0]Складўв[C:7:0:0], кўлька [C:3:0:0]Зон[C:7:0:0] можуть перетинатися."
"colored","забарвлений"
"bookkeeper","рахўвник"
"Conversations occur over time, like movements and attacks.  ","Розмови вўдбуваються з часом, як ў рухи та атаки. "
"Partially paralyzed","Частково паралўзований"
"miner","шахтар"
"Armor stand","Пўдставка для обладункўв"
"Upon creation of the [C:1:0:1]Location[C:7:0:0] you must choose which deity to dedicate the [C:1:0:1]Temple[C:7:0:0] to, if any. ","Пўд час створення [C:1:0:1]Локацў∙[C:7:0:0] ви повиннў вибрати, якому божеству присвятити [C:1:0:1]Храм[C:7:0:0], якщо взагалў якомусь. "
"claims it as a family heirloom","оголошуї це сўмейною релўквўїю"
"less swayed by others' emotions","менше пўддаїться емоцўям ўнших"
" armor stand"," пўдставка для обладункўв"
"Macros","Макроси"
"Any image data you've changed will be lost.","Будь-якў змўненў вами данў зображення будуть втраченў."
"Legendary brawler","Легендарний забўяка"
"wind","вўтер"
"Armorsmithing Pit","Яма Обладункўв"
"West","Захўд"
"This person is ","Ця особа ї "
" returned"," повернувся"
"The gods surely want you to dig deeper still!","Боги точно хочуть, щоб ти копав ще глибше!"
"Feared for violent opposition","Бояться за жорстоке протистояння"
" cloth"," тканина"
"Remove this building.","Прибрати будўвлю."
"Bins, bags, and barrels","Контейнери, мўшки та бочки"
" to be relatively worthless"," мати вўдносно невелику цўннўсть"
" to view the message log."," щоб переглянути журнал повўдомлень."
"items that a person is carrying.  You don't have to pick up an item in a store before you purchase it, but feel free to do so as long ","предметўв, якў несе людина. Вам не обов'язково брати предмет у магазинў перед тим, як його купити, але не соромтеся робити це, поки "
"aroused","збуджений"
"Click a citizen or creature","Натиснўть на громадянина або ўстоту"
"a motor nerve","моторний нерв"
" Chain"," Ланцюг"
"the tracheotomy surgery","операцўя трахеотомў∙"
"Not greedy","Не жадўбний"
"Not in use","Не використовуїться"
"This passage is richly layered with full chords making use of the available range.  ","Цей пасаж насичено шаруватими повними акордами, що задўють увесь доступний дўапазон. "
"Stonecrafter","Каменяр-ремўсник"
" on the theme"," на тему"
"thereby freeing","тим самим звўльнивши"
"in the depths","в глибинў"
"deflected","вўдключений"
"No item to strap","Немаї предмета, щоб прив'язати"
"No contact","Немаї контакту"
"Force","Сила"
" administrators"," адмўнўстратори"
"Frail","Крихкий"
"This is the abilities menu.","Це меню здўбностей."
"fishing rights","Права на риболовлю"
"Fantastic","Фантастичний"
"Unnamed animal training area","Безўменна зона дресирування тварин"
"Retire","Вўдправити у вўдставку"
"suicide","самогубство"
" through a hole in the "," крўзь отвўр у "
"the construction and use of chain drives","спорудження та використання ланцюгових передач"
"uneasy","неспокўйний"
"be manageable from this screen.","керованў з цього екрану."
"Your abduction","Ваше викрадення"
