"Archery","Tiro ao Arco"
"is quick to form negative views about things","Ç r†pido a formar uma vista negativa sobre coisas"
"nearby ","perto "
"love of","amor por"
"Tenacity","Tenacidade"
"Listen to Music","Ouvir M£sica"
"Track (SEW)","Caminho (SEW)"
"Still","Destilaria"
" draws "," saca "
"eleven","onze"
"plants as surgical models","plantas como modelos cir£rgicos"
"peace","paz"
"the Procession","a Prociss∆o"
"Recruit","Recruta"
"We'll be ready soon!","Estaremos prontos dentro em breve!"
"Nineteenth","DÇcimo nono"
"  I am sort of confused."," Estou a modos que confuso."
"low precision","baixa precis∆o"
"prison","pris∆o"
"the Crime","o Crime"
" unstable."," inst†vel."
"Temperate Broadleaf Forest","Floresta Latifoliada Temperada"
"a half day's travel","meio dia de viagem"
"Loading interactions...","A carregar interaá‰es..."
"Optics Engineer","Engenheiro de ‡tica"
"Might","Poder"
"famous preserver of knowledge","conservador de conhecimento famoso"
"a ghost","um fantasma"
"Unknown location","Localizaá∆o desconhecida"
"Mangrove Swamp","PÉntano de Mangal"
"Wrestler","Lutador de Luta Livre"
"This is a memorial to","Isto Ç um memorial a "
"the introduction","a introduá∆o"
" is dead."," est† morto."
"Lever","Alavanca"
"lover","amante"
"library","biblioteca"
" with skill."," com per°cia."
"Arctic Ocean","Oceano µrtico"
"the Darkness","a Escurid∆o"
" held by "," segurado por "
"On the coin's back ","Na parte de tr†s da moeda "
"This is my favorite poetry.","Esta Ç a minha poesia favorita."
"remainders","restos"
" incorporated into your holdings."," aglomerado aos seus dom°nios."
"the Gift","a Prenda"
" keyboards"," teclados"
" expressive"," expressivo"
"the voice","a voz"
"Gem ","Gema "
"the story of ","a hist¢ria de "
"Introspection","Introspeá∆o"
" dejected"," desanimado"
"Skill","Per°cia"
"A vile force of darkness has arrived, seeking a parley!","Uma foráa vil de escurid∆o chegou, procurando conversa!"
"the Fort","o Forte"
"What happened?","Que aconteceu?"
"Priest: ","Padre: "
"the beast","a besta"
"One must always be loyal to their cause and the ones they serve.","Uma pessoa deve sempre ser leal Ö sua causa e aqueles que ela serve."
"individual choice","escolha individual"
"glassmaker","soprador de vidro"
".  What do you command?",". Qual Ç o seu comando?"
"mechanic","mecÉnico"
"is muscular and extremely short","Ç musculoso e extremamente baixo"
"right triangles","triÉngulos retos"
"carpenter's shop sign","sinal de loja de carpinteiro"
"New Arrival","Nova Chegada"
"Your","O seu"
"Shadow Clocks","Rel¢gios de Sombra"
"Leisure Time","Tempo de Lazer"
"Transactions","Transaá‰es"
"Etymology","Etimologia"
"I'm starving.","Estou esfaimado."
"the Hole","o Buraco"
"espionage","espionagem"
"Merriment","Alegria"
"brother","irm∆o"
"someone's character","o personagem de alguÇm"
"a howling spirit","um esp°rito uivante"
"defender won","defensor ganhou"
"Writing Material (Desired): ","Material de Escrita (Desejado): "
", though the rhyme",", atravÇs da rima"
"I am very aroused!","Estou muito excitado(a)!"
"chieftess","chefe"
"The enemy have come and are preparing to lay siege.  They seek a parley!","O inimigo veio e est† a preparar-se para montar um cerco. Eles querem conversar!"
"Destruction","Destruiá∆o"
"Armillary Spheres","Esferas Armilares"
"Command Tent","Tenda de Comando"
"the Punishment","o Castigo"
"Musician","M£sico"
"the Agreement","o Acordo"
"The horror...","O horror..."
"Twilight Age","Era do Crep£sculo"
"Why deny yourself your heart's desire?","Porquà negar o desejo do seu coraá∆o?"
"Temperate Saltwater River","Rio Temperado de µgua Salgada"
"the killing of ","a morte de "
"Reading","Leitura"
"Catapult","Catapulta"
"Perception","Perceá∆o"
"tavern keeper","taberneiro"
"Everything","Tudo"
"the Search","a Procura"
"Kitchen","Cozinha"
" (does not exist)"," (n∆o existe)"
"map grids","grelhas de mapa"
" attack is interrupted!"," ataque Ç interrompido!"
"Family is complicated and those ties be both a boon and a curse.  Sometimes both at once!","Uma fam°lia Ç complicada e esses laáos s∆o tanto uma bená∆o como uma maldiá∆o. ∑s vezes ambos ao mesmo tempo!"
"I won the election.","Ganhei a eleiá∆o."
"glass","vidro"
"Cloth ","Pano "
"Somebody was expelled","AlguÇm foi expulso"
"a sermon on ","um serm∆o acerca de "
"Intruder!  Intruder!","Intruso! Intruso!"
"the great tower","a grande torre"
"the synthesis","a s°ntese"
" is sucked out of the wound!"," Ç sugado da ferida!"
"criminals","crimonosos"
"ghostly ","fantasmag¢rico "
"blood","sangue"
"Infiltrate","Infiltrar"
"Grab Toy","Agarrar Brinquedo"
"Glass Furnace","Forno de Vidro"
"I miss having art in my life.","Sinto falta de arte na minha vida."
"fracture treatment","tratamento de fractura"
"a chorus","um refr∆o"
"Determination","Determinaá∆o"
"fetid","fÇtido"
"a warehouse","um armazem"
"male ","masculino "
"Relationships","Relaá‰es"
"long-short","longo-curto"
"on the wall ","na parede "
" is always written from the perspective of "," Ç sempre escrito da perspectiva de "
"Loading vehicles...","A carregar ve°culos..."
"Dance Performance","Espet†culo de Danáa"
"a fortress entrance","uma entrada de fortaleza"
"Please help me!","Por favor, ajude-me!"
"strained","com luxaá∆o"
"Imported Goods","Bens Importados"
"Socialize","Socializar"
"Some"," Alguns"
"Drunk","Bàbado"
"a short walk","uma caminhada curta"
"the Offering","a Oferenda"
"a quarry","uma pedreira"
" percussion instrument.  "," instrumento de percurs∆o. "
"a soldier","um soldado"
"the Warrior","o Guerreiro"
"Mechanics","MecÉnica"
"Cages","Jaulas"
"Lies","Mentiras"
"Temperate Saltwater Swamp","PÉntano Temperado de µgua Salgada"
"autopsy","aut¢psia"
"wolf","lobo"
"The performers are finished.","Os artistas terminaram."
"the Universe","o Universo"
"trap component","componente de armadilha"
"in a fetal position","em posiá∆o fetal"
"weaver","tecel∆o"
"a moaning spirit","um esp°rito que geme"
"the Mind","a Mente"
"the Sermon","o Serm∆o"
"any color","qualquer cor"
"Prayer","Prece"
"Too many hives","Demasiadas colmeias"
"master","mestre"
"east","este"
"Conduct Meeting","Iniciar Reuni∆o"
"the law is absolute","a lei Ç absoluta"
"a very bad sense of empathy","muito mau sentido de empatia"
"Finalizing body detail plans...","A finalizar planos detalhados de corpo..."
"tearing apart","rasgando"
"Temperate Savanna","Savana Temperada"
"symbolism","simbolismo"
"Tropical Saltwater Marsh","Pantanal Tropical de µgua Salgada"
"Married","Casado"
"Spherical Astrolabes","Astrol†bios EsfÇricos"
"sixteen","dezasseis"
"Place Ladder","Colocar Escada"
"the Mountain","a Montanha"
"infamous monster","monstro infame"
", even though ",", apesar de "
" personal tendencies"," tendàncias pessoais"
"impaled on ","empalado em "
"hunger","fome"
"The village ","A aldeia "
"sinuous","sinuoso"
"Leader","L°der"
"been scared to death","foi assustado atÇ Ö morte"
"nine","nove"
"legendary monster","monstro lend†rio"
" now."," agora."
" joyous"," alegre"
"Shop","Loja"
"a fictional poet","um poeta fict°cio"
"Cabinet","Arm†rio"
"horse","cavalo"
" superior"," superior"
"music","m£sica"
"Inspiration","Inspiraá∆o"
"ninety","noventa"
"brief ","breve "
"Geography","Geografia"
"Perseverance","Perseveranáa"
"dead","morto"
" powerful"," poderoso"
"pictures of ","imagens de "
"The dance enters a new section with ","A danáa entra numa nova secá∆o com "
"the deity","a divindade"
"Instruments","Instrumentos"
"Support","Suporte"
" Archery Target"," Alvo de Tiro ao Arco"
" Throne"," Trono"
"Miner","Mineiro"
"shattering","estilhaáando"
"Ponder ","Ponderar "
"out of the wound","fora da ferida"
"very slow to tire","muito lento a cansar-se"
"biographical dictionaries","dicion†rios biogr†ficos"
"Glass","Vidro"
" loses hold of the "," perde o controlo de "
"Temperate Freshwater Lake","Lago Temperado de µgua Fresca"
"the Event","o Evento"
"I hate you.","Odeio-te."
"the Competition","a Competiá∆o"
", has been",", foi"
"former occupation","ocupaá∆o antiga"
"corpse","cad†ver"
" repeated"," repetido"
"weeping","chorando"
"Plunder","Saque"
"the piston","o pist∆o"
" chipping"," lascando"
"the Explorer","o Explorador"
"a vault","um cofre"
"the treatment of animals","o tratamento de animais"
"a forest","uma floresta"
" dancing exceptionally."," danáar excepcionalmente."
"Preparing game...","A preparar jogo..."
"Highest Precision","Precis∆o M†xima"
" just can't give a sermon very well."," simplesmente n∆o consegue pregar um serm∆o de forma boa."
"has what was once a thin frame, now bearing enormous, thick layers of fat","tem o que j† foi uma compleiá∆o magra, agora, comportando enormes e grossas camadas de gordura"
"wind patterns","padr‰es de vento"
"robbery","roubo"
" Coffin"," Caix∆o"
"the future","o futuro"
"Fisherman","Pescador"
"five","cinco"
"the Truth","a Verdade"
"Something has collapsed on the surface!","Algo colapsou na superf°cie!"
"social welfare","seguranáa social"
"fracturing","fracturando"
"Digging designation cancelled: damp stone located.","Indicaá∆o de escavar cancelada: pedra h£mida localizada."
"animal remedies","remÇdios para animais"
"Rocky Wasteland","Zona Arbustiva Rochosa"
"Logic","L¢gica"
"Play with Toy","Brincar com o Brinquedo"
"Citizens only","S¢ cidad∆os"
" mumble"," murmura"
"the lever","a alavanca"
"The enemy have come and are laying siege to the fortress.","O inimigo veio e est† a montar cerco Ö fortaleza."
"Inappropriate dig square","Quadrado de escavaá∆o inadequado"
"Greed","GanÉncia"
" part"," parte"
"Intruder!","Intruso!"
" Pebbles"," Cascalho"
"never feels hatred toward anyone or anything","nunca sente ¢dio por alguÇm ou qualquer coisa"
"Surround yourself with friends you can trust and you will be unstoppable.","Rodeie-se de amigos que possa confiar e ser† impar†vel."
"evaporation","evaporaá∆o"
"Some traditions are worth keeping, but we should consider their overall value.","Vale a pena manter algumas tradiá‰es, mas o valor geral das mesmas deve ser considerado."
"We have many drinks to choose from.  [You receive a list.]","Temos muitas bebidas dentre que escolher. [Recebes uma lista.]"
"Fortification","Fortificaá∆o"
"Martial Prowess","Per°cia Marcial"
"An army has come to your lands seeking a parley.","Um exÇrcito chegou Ös suas terras, procurando di†logo."
" was the place to look for long-term work."," era o local para procurar trabalho a termo longo."
"philosopher","fil¢sofo"
"combination locks","fechaduras de combinaá∆o"
"Saving civilized populations...","A salvar populaá‰es civilizadas..."
"Harass","Assediar"
"Swordsman","Espadachim"
"tearing","rasgando"
"Some children","Algumas crianáas"
"the pulley","a roldana"
"aggressive","agressivo"
"Up Stair","Escada Ascendente"
"Others refused to journey to this dangerous fortress.","Outros recusaram jornadear a tal perigosa fortaleza."
"Beauty","Beleza"
"Stream: ","Corrente: "
"values romance","valoriza romance"
"a wonderful dish","um prato maravilhoso"
"systemic bias","parcialidade sistÇmica"
"believes war is preferable to peace in general","acredita que guerra Ç prefer°vel a paz no geral"
"Wet ","Molhado "
"An army is invading!","Um exÇrcito est† a invadir!"
"shape","forma"
"Track (SW)","Caminho (SW)"
"consonance","consonÉncia"
"Rain","Chuva"
" corpse"," cad†ver"
"Bags (Leather)","Sacos (Couro)"
"Tragedy","TragÇdia"
"Murder","Assassinato"
"Saving machines...","A salvar m†quinas..."
"animals as surgical models","animais como modelos cir£rgicos"
" of the music.  "," da m£sica. "
"Hunters","Caáadores"
"beekeeper","apicultor"
"People should be able to control themselves, but it's fine to follow impulses that aren't too harmful.","As pessoas deviam ser capazes de se controlarem, mas n∆o h† problema em seguir impulsos que n∆o s∆o demasiado prejudiciais."
"Worship","Adorar"
"epidemic disease","doenáa epidÇmica"
"Listen to Poetry","Escutar Poesia"
"Furniture ","Mob°lia "
"Wait here until I return.","Espere aqui atÇ ao meu regresso."
" poetic "," poÇtico "
"Critical Thinking","Pensamento Cr°tico"
"Grab Instrument","Agarrar Instrumento"
"Justification","Jutificaá∆o"
"an incident involving a lost diplomat","um incidente envolvendo um diplomata perdido"
"Water Wheel","Roda de µgua"
"at most","no m†ximo"
"Speaking","Discurso"
"Fighting","Luta"
"Stone Crafter","Escultor"
"Stoicism","Estoicismo"
"relaxed","relaxado"
"buffalo","b£falo"
"notation","notaá∆o"
"the beasts","as bestas"
"grandfather","avì"
" is absolutely flawless."," Ç absolutamente perfeita."
"a woven clothing shop","uma loja de roupa tecida"
"Music","M£sica"
"Rules","Regras"
"the Maze","o Labirinto"
"Sundials","Rel¢gios de Sol"
"values nature","valoriza natureza"
"Captive Room","Pris∆o"
"the World","o Mundo"
"the color of stars","a cor das estrelas"
"First","Primeiro"
"Individual Combat Drill","Treino para Combate Individual"
"bison","bisonte"
"highest precision","precis∆o m†xima"
"Saving items...","A salvar objetos..."
"Age of Emptiness","Era do Vazio"
"the ghost of my spouse","o fantasma do meu cìnjuge"
"mercenary","mercen†rio"
"appearing not to age","parece n∆o envelhecer"
"On the front of the coin ","Na parte da frente da moeda "
"Rest","Descansar"
"the Gutter","a Sarjeta"
"short-long","curto-longo"
"Lead Combat Training","Liderar Treino de Combate"
"Implicates: ","Implica: "
"treason","traiá∆o"
"I would prefer to be outdoors.","Preferia estar no exterior."
"I am afraid of them.","Tenho medo deles."
"fear of","medo de"
"coffer","cofre"
"Simulate ","Simular "
"powder","p¢"
"the War","a Guerra"
"shell","concha"
"the sewers","os esgotos"
"A thousand or more people were expelled","Um milhar ou mais de pessoas foram expulsas"
"grandparent","avì"
"one year","um ano"
" some of the words."," algumas das palavras."
"I had a nightmare about my deceased friend.","Tive um pesadelo acerca do meu amigo falecido."
"Vile creature!","Criatura Vil!"
"values leisure time","preza tempo de lazer"
"Age of Three Powers","Era de Tràs Poderes"
"happy","feliz"
"Artifact","Artefacto"
"Ponder Topic","Ponderar sobre o T¢pico"
"No outdoor access","N∆o h† acesso ao exterior"
"the padlock","o cadeado"
"Muddy ","Lamacento "
"Processes","Processos"
"versatile mercenary","mercador vers†til"
"blood vessels","vasos sangu°neos"
"deaths","mortes"
" has been ignored."," foi ignorado."
"Track/Ramp (S)","Caminho/Rampa (S)"
"dreams of becoming a legendary warrior","sonha em tornar-se um her¢i lend†rio"
"the deity of ","a divindade de "
"I could not find anybody in charge to comfort me.","N∆o encontrei ninguÇm da chefia que me pudesse confortar."
"It is good to be indoors.","ê bom estar dentro de casa."
" has been conquered and now"," foi conquistado e agora"
"Crafts Market","Mercado de Artes"
"sprained","torcido"
" sinuous"," sinuoso"
"Tropical Freshwater Marsh","Pantanal Tropical de µgua Fresca"
"The wet season has arrived!","A estaá∆o de chuvas chegou!"
" will be slain."," ser∆o massacrados."
"Proficient","Proficiente"
"refusing ","recusa "
"Total Power Needed: ","Poder Total Necess†rio: "
"You have found a curious underground structure.","Encontrou uma estrutura subterrÉnea curiosa."
"speaking with ","a falar com "
"northwest","noroeste"
"The pages are blank.","As p†ginas est∆o em branco."
"Track/Ramp (E)","Caminho/Rampa (E)"
"powers","poderes"
" billion"," bili∆o"
" chest"," arca"
" from an unknown year"," de um ano desconhecido"
"Embark Points","Pontos de Instauraá∆o"
"tercet","terceto"
"Fighter","Lutador"
"thirty","trinta"
"I disagree.","Discordo."
"I'm going to visit the library.","Vou visitar a biblioteca."
" Sarcophagus"," Sarc¢fago"
" weightless"," leve"
"Astronomy","Astronomia"
"historical causation","causaá∆o hist¢rica"
"One member","Um membro"
"Loom","Tear"
"Surgery","Cirurgia"
"Observer","Observador"
"surrounded by ","rodeado por "
"Store Object","Armazenar Objeto"
"jeweler","joalheiro"
"I want to see my friends.","Quero ver os meus amigos."
"Organizations","Organizaá‰es"
"dreams of making a great discovery","sonha em realizar uma grande descoberta"
"Fluid Engineer","Engenheiro de Fluidos"
"I need something to do.","Preciso de algo para fazer."
"I haven't slept for a very long time.","N∆o durmo faz muito tempo."
"a wall","uma parede"
"the Companion","o Companheiro"
"I was attacked by my own dead ","Fui atacado(a) por meu pr¢prio morto "
"Don't serve anyone blindly.  You'll only get into trouble.","N∆o sirva alguÇm cegamente. S¢ ir† encontrar sarilho."
"Are you sure you want to go on?","Tens certeza de que desejas continuar?"
"Scribe","Escriba"
"An angry ghost.","Um fantasma zangado."
" weave"," tecer"
"tortoise","tartaruga"
"Finalizing descriptors...","A finalizar descritores..."
"clerk","funcion†rio"
"the bandits","os bandidos"
" soft"," suave"
" recite"," recitar"
"a dungeon","uma masmorra"
"Artifacts","Artefactos"
"comparative anatomy","anatomia comparativa"
"Thirteenth","DÇcimo terceiro"
"Ammo ","Muniá∆o "
"I cannot accept this honor.  I am sorry.","N∆o posso aceitar esta honra. Lamento."
"You continue the dance.","Vocà continua a danáa."
"You enter ","Vocà entra "
"a metal furniture shop","uma loja de mob°lia em metal"
" empties "," esvazia "
"disorderly conduct","conduta desordeira"
"Finalizing buildings...","A finalizar edif°cios..."
"traumatic injuries","ferimentos traum†ticos"
"hatred of","¢dio por"
"anatomy","anatomia"
" been severed"," foi cortado"
"an unknown peak","um pico desconhecido"
"Workshops","Oficinas"
"I don't remember clearly.","N∆o me lembro com clareza."
"Siphons","Sif‰es"
"the climbing of ","o trepar de "
" Door"," Porta"
" has a new demand."," tem uma nova exigància"
"uncle","tio"
"the Reunion","a Reuni∆o"
"Treasury","Tesouraria"
"forty","quarenta"
"adhesives","adesivos"
" twisting"," torcido"
"Procession","Prociss∆o"
"Loading occupations...","A carregar ocupaá‰es..."
"the missing treasure","o tesouro desaparecido"
"Strive for power.","Anseie por poder."
"Vertical Bars","Barras Verticais"
"Saw that the object was disturbed.","Viu que o sujeito estava perturbado."
"the moon and tides","a lua e as marÇs"
"If a crime involves a conspiracy, an interrogation may reveal the plot.","Se um crime envolve uma conspiraá∆o, um interrogat¢rio pode revelar o complì."
"1 witness","1 testemunha"
"A sadistic ghost.","Um fantasma s†dico."
"thread","fio"
