"its","øia"
"a tribute cancellation","nuligo de tributo"
"an incident","incidento"
"hearing a rumor","aýdi famon"
"leaving a performance troupe","eksiøi el prezentista trupo"
"being removed from a performance troupe","esti eksigita el prezentista trupo"
"being removed from a military group","esti eksigita el milita grupo"
"when a stranger advanced with a weapon","kiam fremdulo antaýeniøis kun armilo"
"seeing a stranger sneaking around","vidi fremdulon enþoviøanta"
"witnessing a night creature drinking blood","atesti noktesta¼on trinkanta sangon"
"petitioning for citizenship","peti civitanecon"
"bringing up job scarcity in a meeting","mencii malabundon pri laboroj en kunveno"
"making suggestions about work allocations","sugesti pri laboraj kvotigoj"
"requesting weapon production","peti produkton pri armiloj"
"yelling at a priest","krii sur pastro"
"crying on a priest","plori sur pastro"
"yelling at somebody in charge","krii al iu oficisto"
"crying on somebody in charge","plori sur iu oficisto"
"telling somebody about being trapped here","rakonti iun pri esti enkaptita tie æi"
"being cried on by an unhappy worshipper","plorado de malfeliæa adoranto"
"being yelled at by an unhappy worshipper","kriado de malfeliæa adoranto"
"hearing somebody was being prevented from leaving","aýdi, ke ies elmoviøo estis antaýhaltigata"
"being cried on by an unhappy citizen","plorado de malfeliæa civitano"
"being yelled at by an unhappy citizen","kriado de malfeliæa civitano"
"viewing ","vidi "
" in a personal museum"," en persona muzeo"
"near ","proksime de "
" own"," propra"
"completely sublime","tute sublima"
"tastefully arranged ","bonguste aranøita "
"wonderful","mirinda"
"splendid","pompa"
"very fine","tre fajna"
"losing a pet","perdi dorlotbeston"
"throwing something","¼eti ion"
"being released from confinement","esti liberigita el æirkaýbarado."
"a miscarriage","aborto"
" spouse's miscarriage"," edzina aborto"
"to be ","pro "
"wearing old clothing","porti malnovajn vesta¼ojn"
"wearing tattered clothing","porti difektitajn vesta¼ojn"
"to have ","pro havi "
"clothes rot off of ","vesta¼ojn putri el "
" body"," korpo"
"being tormented in nightmares by a dead pet","esti turmentita, en inkubsonøoj, de mortinta dorlotbesto"
"being tormented in nightmares by a dead spouse","esti turmentita, en inkubsonøoj, de mortinta ejdzo"
"being tormented in nightmares by a dead lover","esti turmentita, en inkubsonøoj, de mortinta amanto"
"being tormented in nightmares by ","esti turmentita, en inkubsonøoj, de "
" own dead mother"," propra mortinta matro"
" own dead father"," propra mortinta patro"
" own dead child"," propra mortinta filo"
"being tormented in nightmares by a dead animal training partner","esti turmentita, en inkubsonøoj, de mortinta dres-kunulo"
"being tormented in nightmares by a dead friend","esti turmentita, en inkubsonøoj, de mortinta amiko"
"being tormented in nightmares by a dead and still annoying acquaintance","esti turmentita, en inkubsonøoj, de mortinta kaj ankoraý teda konato"
"being tormented in nightmares by the dead","esti turmentita, en inkubsonøoj, de la mortintoj"
"being ","esti "
" by a dead pet"," de mortinta dorlotbesto"
" by a dead spouse"," de mortinta ejdzo"
" by a dead lover"," de mortinta amanto"
" by a dead sibling"," de mortinta gefrato"
" by a dead animal training partner"," de mortinta dres-kunulo"
" by a dead friend"," de mortinta amiko"
" by a dead and still annoying acquaintance"," de mortinta kaj ankoraý teda konato"
" by the dead"," de la mortintoj"
"combat drills","batalaj simuladoj"
"practicing at the archery target","ekzerclukti per la celtabulo"
"a sparring session","seanco de ekzercluktado"
"being unable to petition for citizenship","ne povi peti civitanecon"
"being unable to find somebody to complain to about job scarcity","ne povi trovi iun por plendi pri malabondo de laboroj"
"being unable to request weapon production","ne povi peti produkton pri armiloj"
"being unable to find a priest to complain to","ne povi trovi pastron por plendi"
"being unable to find a priest to cry on","ne povi trovi pastron por plori"
"being unable to find somebody in charge to yell at","ne povi trovi iun oficiston por alkrii"
"being unable to find somebody in charge to cry on","ne povi trovi iun oficiston por plori"
"long patrol duty","longa devo de patrolado"
"being nauseated by the sun","naýzata de la suno"
"being out in the sunshine again","esti ekstere en la sunbrilo"
"utterly sleep-deprived","absolute depriva de dormo"
"suffering a major injury","suferi gravan vundon"
"suffering a minor injury","suferi malgravan vundon"
"loud noises made it impossible to sleep","laýtaj bruoj faris dormadon neeblan"
"being disturbed during sleep by loud noises","esti disturba dum dormado por laýtaj bruoj"
"sleeping uneasily due to noise","dormi maltrankvile pro bruo"
"being able to rest and recuperate","povi ripozi kaj resaniøi."
"caught in the rain","atingita de la pluvo"
"caught in a snow storm","atingita de neøoþturmo"
"retching on a miasma","vomemi en miasmo"
"choking on smoke underground","sufoki per fumo subtere"
"being near to a waterfall","esti proksime de akvofalo"
"choking on dust underground","sufoki per polvo subtere"
"the state of demands","la stato de postuloj"
"that a criminal could not be properly punished","æar krimulo ne povus esti øuste punita"
"having","havi"
" punishment reduced"," punon reduktita"
"re-elected","reelektita"
"being granted residency","ricevi rezidejon"
"being granted citizenship","ricevi civitanecon"
"being denied residency","esti negita por rezidejon"
"being denied citizenship","esti negita por civitaneco"
"having a request approved","havi peton aprobita"
"having a request ignored","havi peton ignorita"
"that nobody could be punished for a failure","æar neniu povus esti punita pro malsukceso"
"having ","havi "
" punishment delayed"," n punon malfruigita."
"the delayed punishment of a criminal","la malfruigita puno de krimulo"
"the scarcity of cages and chains","la malabundo de kaøoj kaj katenoj"
"having a mandate ignored","havi komusion ignoritan"
"having a mandate deadline missed","havi templimon de komisio ne plenumita"
"the lack of work last season","la manko de laboro dum la antaýa sezono"
"smashing up a building","disbati konstrua¼on"
"toppling something over","faligi ion"
"receiving a higher rank of nobility","ricevi superan nobelan rangon"
"entering the nobility","eniøi la nobelaron"
"being knocked out during a cave-in","senkonsciiøi dum disfalo de kaverno"
"a mandate deadline met","templimo de komisio plenumita"
"uncovered","esti malkovrita"
"being forced to eat a treasured pet to survive","esti trudita manøi karan dorlotbeston por transvivi"
"being forced to eat a beloved creature to survive","esti trudita manøi amatan esta¼on por transvivi"
"being forced to eat vermin to survive","esti trudita manøi fibestojn por transvivi"
"starting a fist fight","komenci pugna lukto"
"punishing somebody with a beating","puni iun per batado"
"being beaten","esti batita"
"beating somebody with a hammer","bati iun per martelo"
"being beaten with a hammer","esti batita per martelo"
"being unable to find a hammer","ne povi trovi martelon"
"eating the same old food","manøi la saman malnovan manøa¼on"
"eating rotten food","manøi putran manøa¼on"
"putting on a","sumeti "
"eating ","manøi "
"a legendary meal","legendan manøon"
"a wonderful dish","mirindan plandon"
"a fine dish","fajnan pladon"
"a pretty decent meal","tre decan manøon"
"a drink","drinka¼on"
"a pretty decent drink","tre decan drinka¼on"
"a fine drink","fajnan drinka¼on"
"a wonderful drink","mirindan drinka¼on"
"a truly decadent drink","vere dekadencan drinka¼on"
"a legendary drink","legendan drinka¼on"
"not having enough chests","ne havi sufiæajn kestojn"
"not having enough cabinets","ne havi sufiæajn þrankojn"
"not having enough weapon racks","ne havi sufiæajn armilbretarojn"
"not having enough armor stands","ne havi sufiæajn rakoj por arma¼o"
"by ","de "
"a lesser's pretentious ","la þajnigantaj aranøoj de subula "
"the lack of dining tables","la manko de manøotabloj"
"eating at a crowded table","manøi æe homplena tablo"
"dining in ","manøi en "
"a legendary dining room","legenda manøoæambro"
"a fantastic dining room","mirinda manøoæambro"
"a great dining room","bonega manøoæambro"
"a very good dining room","tre bona manøoæambro"
"a good dining room","bona manøoæambro"
"a horribly substandard dining room","horore neadekvata manøoæambro"
"a horrible dining room","horora manøoæambro"
"an awful dining room","malbonega manøoæambro"
"a very poor dining room","tre malriæa manøoæambro"
"a poor dining room","malriæa manøoæambro"
"eating without a proper dining room","manøi sen taýga manøoæambro"
"the lack of chairs","la manko de seøoj"
"forming a bond with an animal training partner","kunligi kun dres-kunulo"
"being rescued","esti savita"
"bringing somebody to rest in bed","alporti iun por ripozi sur lito"
"felling a tree","faligi arbon"
"slaughtering an animal","buæi beston"
"caging a creature","enkaøi esta¼on"
"chaining up a creature","enkatenigi esta¼on"
"gelding a creature","kastri esta¼on"
"putting a piece on display","meti a¼on montri"
"work","laboro"
"losing property to the tax collector's escorts","perdi hava¼on al la eskorto de la impostisto"
"being taxed","esti impostita"
"not having adequate protection","ne havi adekvatan protekton"
"being unable to reach a room for tax collection","ne povi atingi æambron por impostkolektado"
"being misinformed about a room for tax collection","esti malinformita pri æambron por impostkolektado"
"having pleased a noble","havi plaæinta nobelon."
"the tax collection went smoothly","la impostkolektado iris glate"
"having disappointed a noble","malkontentigi nobelon"
"the tax collection didn't go smoothly","la impostkolektado ne iris glate"
"getting into an argument","disputi"
"making a friend","fari amikon"
"forming a grudge","formi rankoron"
"being accosted by ","esti alirita de "
"being near ","esti proksima al "
"being pestered by ","esti koleretigita de "
"a satisfying acquisition","sata akira¼o"
"acquiring ","akiri "
"adopting a new pet","adopti novan dorlotbeston"
"being confined","esti æirkaýbarita"
"a bath","bano"
"a soapy bath","sapa bano"
"killing somebody by accident while sparring","mortigi iun akcidente dum ekzercluktado"
"being attacked","esti atakita"
"being attacked by the dead","esti atakita de la mortintoj"
"being attacked by ","esti atakita de "
" own dead "," propra mortinta "
"drinking the same old booze","drinki la saman malnovan drinka¼on"
"forced to drink bloody water","trudita trinki sangan akvon"
"forced to drink slime","trudita trinki þlimon"
"forced to drink vomit","trudita trinki vomita¼on"
"forced to drink gooey water","trudita trinki kaæan akvon"
"forced to drink ichorous water","trudita trinki i¶oran akvon"
"forced to drink purulent water","trudita trinki pusan akvon"
"drinking nasty water","trinki malpuregan akvon"
"drinking something spoiled","trinki iun putran"
"having a drink without using a goblet, cup or mug","drinki sen pokalo aý taso"
"drinking water without a well","trinki akvon sen puto"
"being near to a ","esti proksime al "
"sleeping without a proper room","dormi sen propra æambro"
"sleeping in ","dormi en "
"a bedroom like a personal palace","dormoæambro kiel persona palaco"
"a fantastic bedroom","mirinda dormoæambro"
"a great bedroom","bonega dormoæambro"
"a very good bedroom","tre bona dormoæambro"
"a good bedroom","bona dormoæambro"
"a horribly substandard bedroom","horore neadekvata dormoæambro"
"a horrible bedroom","horora dormoæambro"
"an awful bedroom","malbonega dormoæambro"
"a very poor bedroom","tre malriæa dormoæambro"
"a poor bedroom","malriæa dormoæambro"
"sleeping on the floor","dormanta sur la planko"
"sleeping in the mud","dormi sur la koto"
"sleeping in the grass","dormi sur la herbo"
"sleeping on a rough cave floor","dormi sur malglata kaverna planko"
"sleeping on rocks","dormi sur rokoj"
"sleeping on ice","dormi sur glaco"
"sleeping in the dirt","dormi sur la grundo"
"sleeping on a pile of driftwood","dormi sur amaso el driva ligno"
"suffering the travesty of art defacement","suferi la parodion de arton difekti"
"being evicted","esti evikciita"
"teaching ","instrui "
"learning about ","lerni pri "
"writing ","skribi "
"reading ","legi "
"learning ","lerni "
"making a breakthrough concerning ","malkovri ion pri "
"being unable to advance the study of ","ne povi antaýenigi la studo de "
"discussing ","diskuti pri "
"pondering ","pripensi "
"giving birth to ","naski "
"gaining siblings","gajni gefratojn"
"gaining a sibling","gajni gefraton"
"getting married","edziøi"
"receiving water","ricevi akvon"
"receiving food","ricevi manøa¼on"
"giving somebody food","doni al iu manøa¼on"
"discussing the spouse's problems","diskuti pri la problemoj de la ejdzo"
"discussing a lover's problems","diskuti pri la problemoj de unu amanto"
"discussing a sibling's problems","diskuti pri la problemoj de unu gefrato"
"discussing mother's problems","diskuti pri la problemoj de matro"
"discussing father's problems","diskuti pri la problemoj de patro"
"discussing a child's problems","diskuti pri la problemoj de unu infano"
"discussing a friend's problems","diskuti pri la problemoj de amiko"
"discussing an acquaintance's problems","diskuti pri la problemoj de konato"
"discussing somebody's problems","diskuti pri ies problemoj"
"visiting with a pet","viziti dorlotbeston"
"talking with the spouse","interparoli kun la ejdzo"
"talking with a lover","interparoli kun amanto"
"talking with a sibling","interparoli kun gefrato"
"talking with mother","interparoli kun matro"
"talking with father","interparoli kun patro"
"talking with a child","interparoli kun filo"
"visiting with an animal training partner","viziti dres-kunulon"
"talking with a friend","interparoli kun amiko"
"talking with an acquaintance","interparoli kun konato"
"forced to talk to somebody annoying","trudita alparoli iun tedan"
"talking with somebody","interparoli kun iu"
"conducting a meeting in ","konduki kunvenon en "
"having to conduct an official meeting in a bedroom","devi konduki oficialan kunvenon en dormoæambro"
"having to conduct an official meeting in a dining room","devi konduki oficialan kunvenon en manøoæambro"
"not having any rooms","ne havante ajn æambrojn"
"a legendary","legenda"
" tomb after gaining another year"," tombon post akiri unu jaron"
"a fantastic","mirinda"
"a great","bonega"
"a very good","tre bona"
"a good","bona"
"a poor","malriæa"
"a very poor","tre malriæa"
"an awful","malbonega"
"a horrible","horora"
"a horribly substandard","horore neadekvata"
"about ","pri "
"not having a tomb after gaining another year","ne havi tombon post akiri unu jaron"
"after talking to a pillar of society","post alparoli kolonon de socio"
"interacting with a pet","interagi kun dorlotbesto"
"a child was turned away from sanctuary","infano estis forpuþita el rifuøo"
"being expelled","esti eksigita"
"a long-dead corpse was convicted of a crime","delonga kadavro estis kondamnita pro krimo"
"an animal was convicted of a crime","kiam besto estis juøita pro krimo"
"the bizarre conviction against all reason of the victim of a crime","la stranga kondamno, kontraý æia racio, de la krima viktimo"
"receiving justice through a criminal's conviction","ricevi justecon per la kondamno de krimulo"
"when a family member received justice through a criminal's conviction","kiam familiano ricevis justecon per la kondamno de krimulo"
"being forced to endure the decay of a pet","esti trudita elteni la putradon de dorlotbesto"
"being forced to endure the decay of a spouse","esti trudita elteni la putradon de ejdzo"
"being forced to endure the decay of a lover","esti trudita elteni la putradon de amanto"
"being forced to endure the decay of a sibling","esti trudita elteni la putradon de gefrato"
"being forced to endure the decay of a mother","esti trudita elteni la putradon de matro"
"being forced to endure the decay of a father","esti trudita elteni la putradon de patro"
"being forced to endure the decay of a child","esti trudita elteni la putradon de filo"
"being forced to endure the decay of an animal training partner","esti trudita elteni la putradon de dres-kunulo"
"being forced to endure the decay of a friend","esti trudita elteni la putradon de amiko"
"being forced to endure the decay of an annoying acquaintance","esti trudita elteni la putradon de teda konato"
"being forced to endure the decay of an acquaintance","esti trudita elteni la putradon de konato"
"being away from people for too long","tro longe esti for de personoj"
"being kept from alcohol for too long","tro longe esti detenita de alkohola¼o"
"being unable to pray","tro longe ne povi preøi"
"being unoccupied for too long","esti neokupita tro longe"
"being unable to admire art for so long","tiel longe ne povi admiri belarton"
"doing nothing creative for so long","fari nenion kreeman tiel longe"
"leading an unexciting life for so long","sekvi neekscitantan vivon tiel longe"
"not learning anything for so long","lerni nenion tiel longe"
"being away from family for too long","tro longe esti for de familio"
"being away from friends for too long","tro longe esti for de amikoj"
"being unable to hear eloquent speech for so long","tiel longe ne povi aýdi elokventan paroladon"
"being away from traditions for too long","tro longe esti for de tradicioj"
"a lack of introspection for too long","manko de introskpekto tro longe"
"being unable to make merry for so long","tiel longe ne povi gajiøi"
"being unable to practice a craft for too long","tro longe ne povi praktiki metion"
"being unable to practice a martial art for too long","tro longe ne povi praktiki batalarton"
"being unable to practice a skill for too long","tro longe ne povi praktiki kapablon"
"being unable to make romance for so long","tiel longe ne povi amori"
"being away from animals for so long","tiel longe esti for de bestoj"
"being away from great beasts for so long","tiel longe esti for de grandaj bestoj"
"being unable to acquire something for too long","tro longe ne povi akiri ion"
"a lack of decent meals for too long","manko de decajn manøojn tro longe"
"being unable to fight for too long","tro longe ne povi batali"
"a lack of trouble-making for too long","manko de øenado tro longe"
"being unable to argue for too long","tro longe ne povi disputi"
"being unable to be extravagant for so long","tiel longe ne povi esti ekstravaganca"
"being unable to wander for too long","tro longe ne povi vagi"
"being unable to help anybody for too long","tro longe ne povi helpi iun ajn"
"a lack of abstract thinking for too long","manko de decajn manøojn tro longe"
"communing with ","preøi al "
"defeating somebody","venki iun"
"murdering somebody","murdi iun"
"preying on the blood of civilized creatures","predi la sangon de civilizitaj esta¼oj"
" has been ignored."," estis ignorita."
" has ended a mandate."," finis mandaton."
"A mandate has ended.","Mandato finiøis."
"Some migrants have arrived.","Kelkaj migrantoj alvenis."
"A migrant has arrived.","Migranto alvenis."
" diplomat from "," diplomato el "
"The merchants from ","La komercistoj el "
" bids you farewell!"," adiaýas vin!"
"the concept of hunting","la koncepto pri æasado"
"alcoholic beverages","drinka¼oj"
"the hunt","la æaso"
" a ribald"," maldeca"
" poetic "," poezia "
"to make an assertion","fari aserton"
"to console the audience","konsoli la spektantaron"
"to refuse consolation","rifuzi konsolon"
"The form guides poets during improvised performances.  ","La formo gvidas poetojn dum improvizataj prezentadoj. "
"The rules of the form are applied by poets to produce individual poems which can be recited.  ","La regulojn de la formo aplikas poetoj por produkti unikajn poemojn, kiuj deklameblas. "
"The poem ","La poemo "
"is divided into ","estas dividita en "
"two distinct ","du apartajn "
"-line stanza","versa strofo"
"octet","stanco"
"septet","sepversa strofo"
"sexain","sesversa strofo"
"quintain","kvinversa strofo"
"quatrain","kvarversa strofo"
"tercet","triversa strofo"
"couplet","duversa strofo"
"a series of","serio el"
"another","alia"
" extremely long series of"," treege longa serio el"
" numerous series of"," multnombraj serioj el"
" series of"," serio el"
"an extremely long series of","treege longa serio el"
"numerous series of","multnombraj serioj el"
"brief ","mallonga "
"verse paragraph","versa alineo"
" sexain"," sesversa strofo"
" quintain"," kvinversa strofo"
" quatrain"," kvarversa strofo"
" tercet"," triversa strofo"
" couplet"," duversa strofo"
" distinct parts: "," apartajn partojn: "
"series of","serio el"
"a single","unuopa"
"extremely long series of","treege longa serio el"
"lengthy ","longa "
"full ","plena "
" is always written from the perspective of "," æiam estas skribita laý la vidpunkto de "
"the author","la aýtoro"
"a soldier","soldato"
"a traveler","vojaøanto"
"a relative of the author","parenco de la aýtoro"
"a party to a debate","partio al debato"
"a fictional poet","fikcia poeto"
"an animal","besto"
"Use of ","Uzo de "
"antanaclasis","antanaklaso"
"onomatopoeia","onomatopeo"
"alliteration","aliteracio"
"internal rhyme","interna rimo"
"assonance","asonanco"
"epenthesis","epentezo"
"elision","elizio"
"consonance","konsonanco"
"synchysis","sintezo"
"metaphor","metaforo"
"symbolism","simbolismo"
"ambiguity","ambiguo"
"allegory","alegorio"
"simile","komparo"
"vivid imagery","vigla figura¼o"
"metonymy","metonomio"
" is characteristic of the form.  "," estas karaktera de la formo. "
"Forms of ","Formoj de "
"parallelism ","paralelismo "
"A form of ","Formo de "
" common throughout the poem, in that "," ofte tra la poemo, tiel ke "
"certain lines ","certaj versoj "
"they ","ili "
"often share an underlying meaning","ofte havas komunan implicitan signifon"
"often contrast underlying meaning","ofte kontrasti subkuþantan signifon"
"are required to maintain phrasing","estas bezonata por daýrigi vortumon"
"have similar grammatical structures","havi similajn gramatikajn strukturojn"
"use the same placement of allusions","uzi la sama lokado de aludoj"
"sometimes have reversed word orders","fojfoje havas inversitajn ordojn de vortoj"
"reverse grammatical structures","inversi gramatikaj strukturoj"
"Linguistic skill is required in the visual presentation as well, as ","Ankaý lingvan lertecon bezonas en la vida prezento, kiel "
" must feature "," devas havi "
"lines which emerge when reading along certain prescribed paths across the body of the poem","versoj, kiuj emerøas kiam legante iujn preskribitajn vojojn laý la æefparto de la poemo"
"lines which can be read orthogonally across the standard lines","versoj, kiuj eblas orte legi tra la normaj versoj"
"lines which can be read backwards as well as forwards","versoj, kiuj eblas legi malantaýen same kiel antaýen"
"lines with different readings depending on word breaks","versoj kun malsamaj legadoj depende je vortaj paýzoj"
"The poem has ","La poemo havas "
"Each line has ","Æiu verso havas "
"foot","piedo"
"feet","piedoj"
"a tone pattern of ","tona skemo de "
"even-uneven","para-nepara"
"uneven-even","nepara-para"
"uneven-uneven","nepara-nepara"
"uneven-even-even","nepara-para-para"
"even-even-uneven","para-para-nepara"
"uneven-even-uneven","nepara-para-nepara"
"even-even","para-para"
"even-even-even","para-para-para"
"even-uneven-uneven","para-nepara-nepara"
"uneven-uneven-even","nepara-nepara-para"
"uneven-uneven-uneven","nepara-nepara-nepara"
"a syllable weight pattern of ","skemo de silaba pezo de "
"short-long","mallonga-longa"
"long-short","longa-mallonga"
"long-long","longa-longa"
"long-short-short","longa-mallonga-mallonga"
"short-long-short","mallonga-longa-mallonga"
"short-short-long","mallonga-mallonga-longa"
"long-short-long","longa-mallonga-longa"
"short-short","mallonga-mallonga"
"short-short-short","mallonga-mallonga-mallonga"
"short-long-long","mallonga-longa-longa"
"long-long-short","longa-longa-mallonga"
"long-long-long","longa-longa-longa"
" (quantitative "," (kvanteca "
"iambic","jamba"
"trochaic","trokea"
"spondaic","spondea"
"dactylic","daktila"
"amphibrachic","anfibraka"
"anapaestic","anapesta"
"cretic","kreta"
"pyrrhic","pirika"
"tribrachic","tribraka"
"bacchic","bak¶ia"
"antibacchic","antibak¶ia"
"molossic","molosa"
"monometer","unusilaba"
"trimeter","trisilaba"
"tetrameter","kvarsilaba"
"pentameter","kvinsilaba"
"hexameter","sessilaba"
"heptameter","sepsilaba"
"an accent pattern of ","skemo de akcentoj de "
"unstressed-stressed","senakcenta-akcenta"
"stressed-unstressed","akcenta-senakcenta"
"stressed-stressed","akcenta-akcenta"
"stressed-unstressed-unstressed","akcenta-senakcenta-senakcenta"
"unstressed-stressed-unstressed","senakcenta-akcenta-senakcenta"
"unstressed-unstressed-stressed","senakcenta-senakcenta-akcenta"
"stressed-unstressed-stressed","akcenta-senakcenta-akcenta"
"unstressed-unstressed","senakcenta-senakcenta"
"unstressed-unstressed-unstressed","senakcenta-senakcenta-senakcenta"
"unstressed-stressed-stressed","senakcenta-akcenta-akcenta"
"stressed-stressed-unstressed","akcenta-akcenta-senakcenta"
"stressed-stressed-stressed","akcenta-akcenta-akcenta"
" (qualitative "," (kvalita "
"dimeter","dusilaba"
"octameter","oksilaba"
" syllables.  "," silaboj. "
"Every line of the poem has ","Æiu linio de la poemo havas "
"a terminal caesura","fina cezuro"
"a medial caesura","meza cezuro"
"an initial caesura","komenca cezuro"
"The ending of each line of the poem shares the same rhyme","La fina¼o de æiu linio de la poemo kunrimas"
", though the rhyming doesn't have to be perfect",", tamen la rimo ne devas esti perfekta"
", though rhymes at the end of lines in the ",", tamen rimoj en la fino de versoj en la "
"sections","sekcioj"
"section","sekcio"
" don't need to match perfectly"," ne necesas kongrui perfekte"
", though the rhyme",", tamen la rimo"
" at the end of the "," en la fino de la "
"lines don't","versoj ne"
"line doesn't","verso ne"
" need to match perfectly"," necesas kongrui perfekte"
"is dramatic","estas drama"
"is reflective","estas pripensanta"
"is ribald","estas maldeca"
"to make a counter-assertion","fari kontraýaserton"
"to invert the previous assertion","inversigi la antaýan aserton"
"to undercut the previous assertion","subfosi la antaýan aserton"
" the subject of the poem"," la temo de la poemo"
" is written from the perspective of "," estas skribita laý la vidpunkto de "
" must make use of "," devas profiti "
"Certain lines","Kelkaj versoj"
"present different views of the same subject","prezentas malsamajn vidpunktojn pri la sama temo"
"In the ","En la "
" part, the "," parto, la "
" line of "," verso de "
"each ","æiu "
"reverses the grammatical structure of","inversas la gramatikajn strukturojn de"
"of the poem","de la poemo"
"As a rule throughout the poem, the end rhymes don't generally match perfectly.  ","Kiel regulo tra la poemo, la finaj rimoj ne øenerale harmonias perfekte. "
"respecting the full poem","respektante la tutan poemon"
"In this part of the poem, the end rhymes don't need to match perfectly.  ","Æi tie en la poemo, la finaj rimoj ne necesas harmonii perfekte. "
"Muddy ","Kota "
"Snow-covered ","Neøkovrita "
"Mossy ","Muska "
"Dead ","Mortinta "
"Dense ","Densa "
"Sparse ","Maldensa "
"Grass","Herbo"
"Dry ","Seka "
"Dry Grass","Seka Herbo"
"Dead Grass","Mortinta Herbo"
"Sculpted","Skulptita"
" Ice Floor"," Glaca Planko"
" Floor"," Planko"
" Track (N)"," Trako (No)"
" Track (S)"," Trako (Su)"
"Ice Track (S)","Glaca Trako (Su)"
" Track (E)"," Trako (Ok)"
"Ice Track (E)","Glaca Trako (Or)"
" Track (W)"," Trako (Ok)"
"Ice Track (W)","Glaca Trako (Ok)"
" Track (NS)"," Trako (No-Su)"
"Ice Track (NS)","Glaca Trako (No-Su)"
" Track (NE)"," Trako (No-Or)"
"Ice Track (NE)","Glaca Trako (No-Or)"
" Track (NW)"," Trako (No-Ok)"
"Ice Track (NW)","Glaca Trako (No-Ok)"
" Track (SE)"," Trako (Su-Or)"
"Ice Track (SE)","Glaca Trako (Su-Or)"
" Track (SW)"," Trako (Su-Ok)"
"Ice Track (SW)","Glaca Trako (Su-Ok)"
" Track (EW)"," Trako (Or-Ok)"
"Ice Track (EW)","Glaca Trako (Or-Ok)"
" Track (NSE)"," Trako (No-Su-Or)"
"Ice Track (NSE)","Glaca Trako (No-Su-Or)"
" Track (NSW)"," Trako (No-Su-Ok)"
"Ice Track (NSW)","Glaca Trako (No-Su-Ok)"
" Track (NEW)"," Trako (No-Or-Ok)"
"Ice Track (NEW)","Glaca Trako (No-Or-Ok)"
" Track (SEW)"," Trako (Su-Or-Ok)"
"Ice Track (SEW)","Glaca Trako (Su-Or-Ok)"
" Track (NSEW)"," Trako (No-Su-Or-Ok)"
"Ice Track (NSEW)","Glaca Trako (No-Su-Or-Ok)"
"Detailed","Detalita"
"Smooth ","Glata "
" Boulder"," Þtonego"
"Driftwood","Driva Ligno"
" Pebbles"," j Þtonetoj"
" Cavern Floor"," Kaverna Planko"
"Wet ","Humida "
" Sapling"," Arbido"
"Sapling","Arbido"
"Shrub","Arbetoj"
"Furrowed ","Sulkigita "
"Ashes","Cindroj"
"Waterfall","Akvofalo"
"River Source","Riverfonto"
"Chasm","Abismo"
"Eerie Glowing Pit","Timige Brila Fosa¼o"
"Glowing Floor","Brila Planko"
"Glowing Barrier","Brila Baro"
"Semi-molten Rock","Duonfandita Roko"
"Lava Flow","Lafa Fluo"
"Magma Flow","Magma Fluo"
"Murky Pool","Malklara Lageto"
"Unusable ","Neuzebla "
"Murky Pool Slope","Deklivo de Malklara Lageto"
"River","Rivero"
"Brook","Rojeto"
" Upward Stairway"," Supren Þtuparejo"
"Grassy Upward Stairway","Herba Supren Þtuparejo"
" Up/Down Stairway"," Supren/Suben Þtuparejo"
"Grassy Up/Down Stairway","Herba Supren/Suben Þtuparejo"
" Downward Stairway"," Malsupren Þtuparejo"
"Grassy Downward Stairway","Herba Malsupren Þtuparejo"
"Underworld Gate","Submonda Pordego"
"Ice Up/Down Stairway","Glaca Supren/Suben Þtuparejo"
"Ice Downward Stairway","Glaca Malsupren Þtuparejo"
"Ice Upward Stairway","Glaca Supren Þtuparejo"
" Upward Slope"," Supren Deklivo"
"Grassy Upward Slope","Herba Supren Deklivo"
"Dry Grass Upward Slope","Supren Deklivo de Seka Herbo"
"Dead Grass Upward Slope","Supren Deklivo de Mortinta Herbo"
" Upward Track (N)"," Supren Trako (No)"
"Ice Upward Track (N)","Glaca Supren Trako (No)"
" Upward Track (S)"," Supren Trako (Su)"
"Ice Upward Track (S)","Glaca Supren Trako (Su)"
" Upward Track (E)"," Supren Trako (Or)"
"Ice Upward Track (E)","Glaca Supren Trako (Or)"
" Upward Track (W)"," Supren Trako (Ok)"
" Upward Track (NS)"," Supren Trako (No-Su)"
"Ice Upward Track (NS)","Glaca Supren Trako (No-Su)"
" Upward Track (NE)"," Supren Trako (No-Or)"
"Ice Upward Track (NE)","Glaca Supren Trako (No-Or)"
" Upward Track (NW)"," Supren Trako (No-Ok)"
"Ice Upward Track (NW)","Glaca Supren Trako (No-Ok)"
" Upward Track (SE)"," Supren Trako (Su-Or)"
"Ice Upward Track (SE)","Glaca Supren Trako (Su-Or)"
" Upward Track (SW)"," Supren Trako (Su-Ok)"
"Ice Upward Track (SW)","Glaca Supren Trako (Su-Ok)"
" Upward Track (EW)"," Supren Trako (Or-Ok)"
"Ice Upward Track (EW)","Glaca Supren Trako (Or-Ok)"
" Upward Track (NSE)"," Supren Trako (No-Su-Or)"
"Ice Upward Track (NSE)","Glaca Supren Trako (No-Su-Or)"
" Upward Track (NSW)"," Supren Trako (No-Su-Ok)"
"Ice Upward Track (NSW)","Glaca Supren Trako (No-Su-Ok)"
" Upward Track (NEW)"," Supren Trako (No-Or-Ok)"
