"Seek Patient for Diagnosis","Шукаць пацыента для дыягностыкi"
"Making furniture","Выраб мэблi"
"Values perseverance","Цэнiць настойлiвасць"
"No worshippers","Няма вернiкаў"
"Not ready to be split","Не гатова да падзелу"
"Hear eloquence","Чуць красамоўства"
"[C:1:0:1]Temples[C:7:0:0] are places for faithful residents to commune with their chosen deity. ","[C:1:0:1]Храмы[C:7:0:0] - гэта месцы для зносiн вернiкаў з выбраным iмi бажаством. "
"labyrinth","лабiрынт"
"Floodgate","Застаўка"
"Remove building","Прыбраць будынак"
"being unswayed by the emotional appeal","не паддаючыся эмацыянальнай прывабнасцi"
"Your view is focused on one elevation at a time.  To move the camera around, press ","Ваша камера засяроджана на адной вышынi за раз. Каб перамясцiць камеру, нацiснiце "
"Extreme pain","Надзвычайная боль"
"Disdains advice","Пагарджае парадамi"
"Enable caveins","Уключыць пячоры"
" a lucid and powerful sermon."," ясную i моцную пропаведзь."
"The music continues.","Музыка працягваецца."
"Custom","Наладзiць"
"broken away","адарваны"
"Lost pick","Згубiў кiрку"
"craft","выраб"
"Toy","цацка"
" picks up "," падбiрае "
" is well-traveled and would probably have that information."," багата вандруе i, верагодна, мае iнфармацыю."
"This building has","Гэты будынак"
"lack of respect of","адсутнасць павагi"
"Warm","Цёпла"
"Pull lever","Пацягнуць рычаг"
"If a task does not have a default work detail, you can create a custom work detail.  Once you assign citizens to the task, you can then set [C:5:0:1]""Only selected do this""[C:7:0:0] if you want to restrict it.","Калi ў задачы няма абмежавання па змаўчаннi, вы можаце прызначыць яго. Як толькi вы прызначыце жыхароў выконваць загад, вы можаце ўсталяваць [C:5:0:1]""Толькi выбраныя""[C:7:0:0] каб абмежаваць працаўнiкоў на загад."
"Hands","Рукi"
"Change to standard chop mode.","Перайсцi ў стандартны рэжым валкi."
"You can gather the [C:6:0:1]Refuse[C:7:0:0] in a [C:6:0:0]Refuse Stockpile[C:7:0:0]. ","Вы можаце сабраць [C:6:0:1]Адходы[C:7:0:0] ў [C:6:0:0]Сметнiкаву кучу[C:7:0:0]. "
"pulled rank","атрымаў званне"
"No groups","Няма групы"
"Hanging rings","Вiсячыя кольцы"
"Done","ОК"
"Power","Улада"
"This is the first step to completing the game.  Next, you'll need to satisfy your ruler's needs, ","Гэта першы крок да завяршэння гульнi. Далей вам трэба будзе задаволiць патрэбы свайго кiраўнiка, "
"Continue active game","Працягнуць бягучую гульню"
"Leave it to the besotted dullard to miss the finer points of discourse.  I'm leaving.  Do reflect.","Толькi апантаны дурань прапусцiў бы тонкiя моманты дыскурсу. Я сыходжу."
"Values introspection","Цэнiць самааналiз"
"Prone to discord","Схiльны да разладу"
"Most require [C:6:0:1]Mechanisms[C:7:0:0] made at the [C:6:0:0]Mechanic's Shop[C:7:0:0], using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Mechanic[C:7:0:0]. ","Шмат чаго патрабуе [C:6:0:1]Механiзмаў[C:7:0:0], вырабленых у [C:6:0:0]Механiчнай майстэрнi[C:7:0:0] з выкарыстаннем [C:5:0:1]Майстэрнi[C:7:0:0] -> [C:5:0: 1]Механiк[C:7:0:0]. "
"Pause after every autosave","Паўза пасля аўтазахавання"
"Spring has arrived on the calendar.","На каляндары цяпер вясна."
"Set the orientation below.","Вызначыце кiрунак."
" has adopted "," было прынята "
"genealogy","генеалогiя"
"had no respect for","не паважаў"
"Fruit/leaves","Плён/лiсце"
"Cut stone","Агранены камень"
"Freezing","Ледзяны"
" sloppily"," неахайна"
"Wander","Вандраваць"
"Armor","Браня"
"   * Existing hive","   * Iснуючы вулей"
"Singular Noun","Назоўнiк адз. лiку"
"Point ","Пункт "
"lady","лэдзi"
"Making anvils","Выраб кавадлаў"
"the next.  [C:2:0:1]Click[C:7:0:0] the surface, [C:2:0:1]move the camera down one level[C:7:0:0], and [C:2:0:1]click[C:7:0:0] the underground.  Reversing the ","наступнай. [C:2:0:1]Нацiснiце[C:7:0:0] на паверхню, [C:2:0:1]перамясцiце камеру на адзiн узровень унiз[C:7:0:0] i [C:2:0:1]нацiснiце[C:7:0:0] на ўзроўнi нiжэй. Загад у адваротным парадку "
" bring"," ажыццяўляеце"
"this","гэта"
"prefs","перавагi"
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","iнструменты[C:7:0:0] iх таксама можна выкарыстоўваць у [C:1:0:1]Карчме[C:7:0:0]. "
"Set the liquid flow direction below.","Вызначыце кiрунак плынi вадкасцi."
"Guide","Гайд"
"female ","жаночы "
" burning"," палае"
"The best way to avoid this fate is to build traps and ","Лепшы спосаб пазбегнуць гэтай долi - будаваць пасткi i "
" delivering a virtuoso performance on the "," вiртуозна выконвая на "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","Прызначыць новае або iснуючае месца для гэтай зоны. Месцы - гэта групы зон i памяшканняў з больш шырокiм прызначэннем, напрыклад, карчма, храм, бiблiятэка або рамесная гiльдзала."
"Open building mode","Адкрыйце меню Будаўнiцтва"
"Values fairness","Шануе справядлiвасць"
"Greetings.  The ","Прывiтанне.  "
"Overall Training","Агульная падрыхтоўка"
"blood-drinking","пiццё крывi"
"Go to the previous zone overlapping the tile you clicked.","Пераход да папярэдняй зоны ў гэтым месцы."
"Cheerful","Вясёлы"
"Powder for casts (Desired): ","Гiпсавы парашок (пажадана): "
"Folder","Тэчка"
"Removing melting designations","Выдаленне прызначэнняў плаўлення"
"and create a hole instead.","i створыць дзiрку."
"Removal suspended.","Выдаленне прыпынена."
"Feared as a monster","Баялiся як монстра"
"Seeks harmony","Шукае гармонiю"
"discourse on law","дыскурс аб законе"
"Send away","Выгнаць"
"Perform Music","Музiцыраваць"
"Call visitors from all over the world with the greatest tavern, library, or temple the world has ever known. ","Прываблiвайце наведвальнiкаў з усяго свету ў найвялiкшую карчму, бiблiятэку або храм, якiя калi - небудзь ведаў свет. "
"Thoughtless","Бяздумны"
"Save","Захаваць"
"a grand guildhall","вялiкую гiльдзалу"
"The X","X"
"Windowed","У акне"
" attempted to corrupt "," паспрабаваў сапсаваць "
"overlords","уладары"
"Carving fortifications through walls","Разьба фартыфiкацый у сценах"
"Groups","Гурты"
"Famous brawler","Вядомы скандалiст"
" embracing "," абдымае "
"Dehydrated","Абязводжанне"
"Go to ","Перайцi да "
"column itself will assign the routine to the selected squad.","сам слупок - прызначыць руцiну абранаму атраду."
"Do not install colony","Не усталёўвайце калонiю"
"sympathy","сiмпатыя"
"Treasure hunter","Паляўнiчы за скарбам"
"was too afraid not to comply","занадта баяўся, каб не выканаць"
"Greatly feared as a killer","Выклiкаючы жудасць забойца"
"to perform","каб выступаць"
" as a member of "," у якасцi чальца "
"Once they are assigned, you can create work orders, run a [C:1:0:1]Hospital[C:7:0:0], and count and appraise your hoard.","Пасля iх прызначэння вы можаце ствараць працоўныя загады, мець [C:1:0:1]Шпiталь[C:7:0:0], а таксама падлiчваць i ацэньваць свае скарбы."
"are the checkmark to select the squad to give orders and the [C:5:0:1]Position[C:7:0:0] button to add more soldiers to the squad. ","- гэта галачка, каб выбраць атрад для загаду, i кнопка [C:5:0:1]Пазiцыя[C:7:0:0], каб дадаць больш салдат у атрад. "
"affection","замiлаванне"
"That was satisfying.","Гэта задавальняе."
"Adding snow","Даданне снегу"
"Well","Студня"
"[C:6:0:1]Minecarts[C:7:0:0] and [C:6:0:0]Tracks[C:7:0:0] are a convenient way to move a lot of objects around the fortress quickly, though they take a little effort to prepare. ","[C:6:0:1]Ваганеткi[C:7:0:0] i [C:6:0:0]Рэйкi[C:7:0:0] - гэта зручны спосаб хутка перамяшчаць шмат рэчаў па крэпасцi, хоць iх падрыхтоўка патрабуе крыху намаганняў. "
"were added for the counteroffer:","былi дададзены для сустрэчнай прапановы:"
"Tradition","Традыцыi"
"Suspend construction","Прыпынiць будаўнiцтва"
"Disdains self-control","Зневажае стрыманасць"
"Timeline: ","Храналогiя: "
"Only one master may be assigned to each workshop.","Толькi адзiн майстар на майстэрню."
"Friendly","Прыязны"
" playing make believe."," гуляць у ""Чараўнiка""."
"Good analytical ability","Добрыя аналiтычныя здольнасцi "
"You need to assign a ","Вам трэба прызначыць "
"desperately needed water, fungal lumber, and other tantalizing mysteries.","вельмi патрэбную ваду, грыбную драўнiну i iншыя захапляльныя таямнiцы."
"will be made into","будуць ператвораныя ў"
"being afraid","напужаны"
"I'm unhappy.","Я няшчасны."
"Wild Animal","Дзiкая жывёла"
"Body parts","Часткi цела"
"Create","Стварыць"
"Vermin Hunting","Паляванне на паразiтаў"
"Lustful","Пажадлiвы"
"Depression-prone","Схiльны да дэпрэсii"
"Frozen Here","Замарожаныя тут"
"a shell","панцыр"
"Only organized religions can have recognized priesthoods.","Толькi арганiзаваныя рэлiгii могуць мець прызнаныя святарствы."
"a verse","верш"
"No mud/soil for farm","Няма глею/глебы для фермы"
" from behind"," ззаду"
"visitors drinks. There is also an option to allow outsiders to come to your [C:1:0:1]Tavern[C:7:0:0].","напоi наведвальнiкаў. Ёсць таксама магчымасць дазволiць пабочным асобам прыходзiць у вашую [C:1:0:1]Карчму[C:7:0:0]."
"Justice","Правасуддзе"
"was too unsettled by death to face it and agreed","быў занадта ўсхваляваны смерцю, каб сутыкнуцца з ёй, i пагадзiўся"
"Sort by distance from the depot.","Разабраць па адлегасцi ад месца базавання."
" bruising"," ранячы"
"Early morning","Ранняя ранiца"
"content","задаволены"
"You must designate a tomb","Трэба пазначыць магiлу"
"Detect","Выявiць"
"Left click to choose corners of a rectangle.","Пстрыкнiце левай кнопкай мышы, каб выбраць куты прастакутнiка."
"Archery target","Мiшэнь"
"(spans ","(пралёты "
"Unlike [C:6:0:0]Stockpiles[C:7:0:0], multiple [C:3:0:0]Zones[C:7:0:0] can overlap.","У адрозненне ад [C:6:0:0]Складаў[C:7:0:0], некалькi [C:3:0:0]Зон[C:7:0:0] могуць перакрывацца."
"Partially paralyzed","Часткова паралiзаваны"
"Armor stand","Стойка для бранi"
"Upon creation of the [C:1:0:1]Location[C:7:0:0] you must choose which deity to dedicate the [C:1:0:1]Temple[C:7:0:0] to, if any. ","Ствараючы [C:1:0:1]Месца[C:7:0:0] вы павiнны выбраць, якому бажаству прысвяцiць [C:1:0:1]Храм[C:7:0:0], калi яно ёсць. "
"Macros","Макрасы"
"Meeting place, ","Месца сустрэч, "
"Any image data you've changed will be lost.","Усе змены выявы будуць страчаны."
"Legendary brawler","Легендарны задзiра"
"wind","вецер"
" returned"," вярнуўся"
"Feared for violent opposition","Баiцца жорсткага супрацьстаяння"
"Bins, bags, and barrels","Скрынкi, мяшкi i бочкi"
"aroused","узбуджаны"
"Click a citizen or creature","Выберыце жыхара або iстоту"
"a motor nerve","рухальны нерв"
"Not greedy","Не хцiвы"
"Shrine, ","Святыня, "
" on the theme"," на тэму"
"in the depths","у глыбiнях"
"No contact","Няма кантакту"
"Force","Моц"
"an acquiescing nature","цяжка - згодлiвы характар"
"Frail","Кволы"
"Unnamed animal training area","Безназоўная зона дрэсiроўкi жывёл"
"Retire","У адстаўку"
"suicide","самагубства"
" through a hole in the "," праз дзiрку ў "
"discourse on the nature of truth","дыскурс аб прыродзе праўды"
"uneasy","турботны"
"be manageable from this screen.","можна кiраваць з гэтага экрана."
"Guest / ","Госць / "
"Use Classic ASCII glyphs","Выкарыстоўваць класiчную графiку ASCII"
"the export prohibition violation","парушэннi забароны на экспарт"
"I feel regret.","Мне шкада."
"Agreed to build grand guildhall","Пагадзiцца пабудаваць вялiкую гiльдзалу"
"Other","Iншае"
"Mill Building","Пабудова млыну"
"is best)","лепшы)"
"Hard","Цяжка"
"Corrupt","Сапсаваць"
"plant fiber","раслiннае валакно"
"Demand Tribute from ","Патрабаваць аброк ад "
"Knowledge","Веды"
"Distrustful","Недаверлiвы"
"Not lustful","Не пажадлiвы"
"but it leaves [C:6:0:1]Boulders[C:7:0:0] which are an essential building material.","але пакiдае [C:6:0:1]Валуны[C:7:0:0], якiя з'яўляюцца неабходным будаўнiчым матэрыялам."
"These goods are too heavy and cheap for me to consider.","Гэтыя занадта цяжкiя i танныя тавары мяне не цiкавяць."
"Saving incidents...","Захаванне здарэнняў..."
"Nearest-neighbor","Блiжэйшы сусед"
" in order to secure embezzled funds in "," з мэтай забеспячэння растрачаных сродкаў у "
"You need a broker with","Вам патрэбен брокер з"
"repentant","пакаянны"
"But if one of these brave workers falls, you'll need to assign somebody to these duties.","Але калi адзiн з гэтых адважных работнiкаў упадзе, вам трэба будзе прызначыць каго - небудзь для выканання гэтых абавязкаў."
"In a berserk rage!","У шалёнай злосцi!"
"finds artwork boring","лiчыць твор мастацтва сумным"
"Goods","Тавары"
"hateful","ненавiсны"
"cooking","кухарыць"
"Wilderness Curious Wander","Цiкаўны вандраўнiк Дзiкай прыроды"
"You honor ","Вы паважаеце "
"Cannot build at highest level","Нельга будаваць на самым высокiм узроўнi"
"a simple passage","просты ўрывак"
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","Руцiны - гэта iндывiдуальныя загады, якiя аддаюцца атраду або асобным чальцам атрада. Адсюль вы "
"Dormitories should include multiple beds and will not belong to a particular citizen.","Iнтэрнаты павiнны быць разлiчаны на шмат месцаў, яны не могуць належаць якiм-небудзь грамадзянам, на тое яны i iнтэрнаты."
"Encounter","Сутыкненне"
"Not inclined to create art","Не схiльны да мастацтва"
"Planting","Пасадка"
"Archery Range","Палiгон лучнiкаў"
"Siege","Аблога"
" year"," год"
"Name the image","Назавiце выяву"
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Гэта прыклад тэрмiновай абвесткi! Яны вельмi важныя. Iгнаруйце такiя толькi на свой страх i рызыка."
"is the symbol of","з'яўляецца сiмвалам"
"No particular deity","Нiякага канкрэтнага бажаства"
"Click an icon to set stockpile type.","Пстрычка па значку усталюе тып складу."
"Water flows from the adjacent input tile","Вада цячэ з суседняй уваходнай клеткi"
"Missing","Знiклы"
"Magma forge","Кузня магмы"
"Assign a trainer to this creature.","Прызначце дрэсiроўшчыка гэтаму стварэнню."
"Saving coin information...","Захаванне iнфармацыi аб манетах..."
"Winter","зiмы"
"Decorum","Прыстойнасць"
"Remove current location assignment","Выдалiць прызначэнне бягучага месца"
"I'm not feeling passionate.","Я не адчуваю запалу."
"Disdains harmony","Ганьбуе гармонiю"
"Criminal","Крымiнальнiк"
"You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items. ","Вы павiнны пабудаваць [C:6:0:0]Куфры[C:7:0:0] або [C:6:0:0]Скарбонкi[C:7:0:0] унутры [C:1:0:1]Шпiталя[C:7:0:0], каб захоўваць гэтыя прадметы. "
"Release other prisoners","Вызвалiць вязняў"
" guild"," гiльдыя"
"poetry","паэзii"
" Year"," Год"
"There are no merchants present with which to trade.","Няма гандляроў з якiмi можна гандляваць."
"the joining of ","далучэнне "
"a jealous grudge, ","зайздроснiк, "
"Flights of fancy","Летуценнiк"
"to be rapidly losing patience","хутка губляе цярпенне"
"I don't feel restless.","Я не адчуваю неспакою."
"Quick to give up","Хутка здаецца"
"raw... clear","грубае... празрыстае"
"Avoid fights","Пацыфiст"
" forth an awe-inspiring sermon for the ages!"," казанне якое выклiкае трапятанне на стагоддзi!"
"Cart","Ваганетка"
"the "," "
"add button to assign the [C:2:0:0]Animals[C:7:0:0].","кнопку для прызначэння [C:2:0:0]Жывёлаў[C:7:0:0]."
"(Cavern soil","(Грунт з пячор"
"Writing materials include paper and parchment sheets.","Да матэрыялаў для пiсьма адносяцца папера i пергамент."
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","Некаторыя лакацыi з'яўляюцца складанымi нават для дасведчаных гульцоў, i гульня будзе вельмi кароткай, калi вы не ведаеце, як з iмi змагацца!"
"Toggle whether workshops can source materials from outside the burrow.","Вырашыце, цi могуць майстэрнi атрымлiваць матэрыялы па-за межаў нары."
"Closing file...","Закрыццё файла..."
"Things usually don't work out","Звычайна справы не ладзяцца"
"Economy production trigger 3","Эканомiка ад вытворчасцi Трыгер 3"
"Werebeasts can attack","Пярэваратнi могуць нападаць"
"This mission cannot be altered now.","Гэтую мiсiю нельга змянiць цяпер."
"You are melting!","Ты паплавiўся!"
"Not set to fertilize","Не угнойваецца"
"Legendary preserver of the knowledge","Легендарны захавальнiк ведаў"
"Protector of the weak","Заступнiк слабых"
"Corrupt Soldier Mood: ","Баявы настрой страчаны: "
"Finalizing inorganics...","Завяршэнне неарганiкi..."
"the army of ","войска "
"silence","цiшыня"
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","Даць загад павалу лесу. Выберыце падножжа дрэва так, каб дрывасек мог дацягнуцца да яго. Пры неабходнасцi прызначце дрывасека. Дрывасек патрабуе сякеру."
"a great sense of empathy","моцную эмпатыю"
"Set from which workshops and stockpiles this stockpile gives and takes items.","Выбраць майстэрнi i склады з якiмi Гэты склад абменьваецца рэчамi."
"Popup: Work details","Успл. акно: Дэталi працы"
" (V Rusty)"," (Забыта)"
"Childhood friend","Сябар дзяцiнства"
"Died in the dark","Памёр у цемры"
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","Капаць толькi выбраную руду i каштоўныя камянi, а таксама любыя знойдзеныя руды i каштоўныя камянi таго ж тыпу."
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings from the woodlands.  We have much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Прывiтанне з лясных земляў. Нам ёсць што абмеркаваць."
"Restarts if completed, checked daily","Перазапуск пасля завяршэння, праверка штодзень"
"The well is operational.","Калодзезь працуе."
"Finish placing zones.","Скончыць стварэнне зон."
"Zones","Зоны"
"Cancel removal","Выдаленне скасавана"
"I feel empty.","Я адчуваю сябе спустошаным."
"Related to site","Звязана з месцам"
"played for sympathy","згуляў на сiмпатыi"
"engraving ","гравiруе "
" of the theme"," тэмы"
"Save to new timeline","Захаваць у новую часовую шкалу"
" is an example of "," з'яўляецца прыкладам "
"by the manager before they become","кiраўнiком, перш чым яны стануць"
"Cumulonimbus (rain)","Кучава - дажджавыя (дождж)"
"Your fortress has settled into the rhythm of day-to-day living, beyond your meticulous concern.","Ваша крэпасць усталявалася ў рытме паўсядзённага жыцця, i не патрабуе клопатаў."
"the sacrilegious","блазнуючы"
"[C:6:0:1]Fertilizer[C:7:0:0] is not needed to farm.","[C:6:0:1]Угнаенне[C:7:0:0] не абавязковае для лехаў."
"Given name","Прызначанае iмя"
"Uninvited Guest","Няпрошаны госць"
"apathetic","абыякава"
"enraptured","захоплены"
"jamming the","сцiскаючы"
"Remove this stop.","Выдалiць прыпынак."
"doesn't feel ","не адчувае сябе "
"Shape","Абрыс"
"Your efforts are legend there.  Let us trade!","Вашы намаганнi - легенда.  Давайце гандляваць!"
"Locations can be created from zones.","Месцы можна ствараць з зон."
" met with "," сустрэўся з "
"Artistically inclined","Мастацка схiльны"
"Smoothing rough floors and walls","Згладжванне падлог i сцен"
"Owner: ","Уладальнiк: "
"Diplomat / ","Дыпламат / "
"Saving armies...","Захаванне войскаў...."
"Encyclopedia","Энцыклапедыя"
"a corpse","труп"
"tooth","зуб"
"Loading object files...","Загрузка файлаў аб'ектаў..."
"Nearly a day's travel","Амаль суткi шляху"
" family heirloom"," сямейная рэлiквiя"
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","Офiс альбо цэлы працоўны кабiнет патрэбны для выканання афiцыйных задач, накшалт сцверджанне працоўных загадаў альбо падлiку майна. Таксама для гэтага патрабуецца крэсла альбо трон."
"Values romance","Цэнiць рамантыку"
"to","у"
"Missions","Мiсii"
"News and rumors","Навiны i чуткi"
"grieves","смуткуе"
"You won't perform your action if you leave.","Вы не выканаеце сваё дзеянне, калi сыдзеце."
" and "," i "
"Log world generation map rejects","Адключыць журнал стварэння свету"
"Mud is left by water","Вада пакiнула пасля сябе глей"
"Overall, the poetry is not awful, but not very good either","Наогул, паэзiя не кепская, але i не вельмi добрая"
"This creature is a monster slayer.","Гэтая iстота - вядьмар, паляўнiчы на пачварын."
"Overall, the prose is splendid","Цалкам, проза цудоўная"
"Prefix","Прэфiкс"
"Metalsmith","Каваль"
"Rope/chain","Вяроўка/ланцуг"
"Alcohol, good food, and personal rooms go a long way. ","Алкаголь, добрая ежа i асабiстыя пакоi маюць вялiкае значэнне. "
"Untitled","Безыменны"
"Enemies:","Ворагi:"
"Thread (Desired): ","Нiткi (пажадана): "
"Megabeast attack period (seasons)","Перыяд атакi мегазвера (сезоны)"
"[C:6:0:1]Meat[C:7:0:0] from [C:2:0:0]Livestock[C:7:0:0] you slaughter is a source of food. ","[C:6:0:1]Мяса[C:7:0:0] [C:2:0:0]Жывёл[C:7:0:0] - з'яўляецца крынiцай ежы. "
"Certain livestock need to graze on grass.  Assign these animals to a pasture zone.  No fencing is needed.","Некаторай дамовай жывёле трэба пасцiся на зялёных абшарах. Накiруйце гэтых жывёл на абмежаваную пашу. Нiякiх плотаў не трэба."
"coffins","труны"
"high ","высокi "
"holds shrewd and crafty individuals in the lowest esteem","зневажае пранiклiвых i хiтрых людзей"
"Steal livestock","Скрасцi скацiну"
"Loner","Самотнiк"
" here"," тут"
"Dynamism","Дынамiчнасцi"
"Toggle whether this creature will receive hunting training.  Hunting animals can move stealthfully during hunts.","Прызначце, цi будзе жывёла дэсiравацца для палявання. Паляўнiчыя жывёлы здольныя перасоўвацца бясшумна i нябачна пад час палявання."
"Unnamed dungeon","Безназоўнае падзямелле"
"Name this stop.","Даць iмя прыпынку."
"[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat. ","[C:6:0:0]Скарбонцы[C:7:0:0] унутры [C:1:0:1]Карчмы[C:7:0:0]. Пры жаданнi вы можаце размясцiць [C:6:0:0]Сталы[C:7:0:0] i [C:6:0:0]Крэслы[C:7:0:0], дзе вашы жыхары могуць есцi. "
"second ","другi "
"suffering","пакутуе"
"Citizens are restricted by using their [C:5:0:1]Specialization[C:7:0:0] button. ","Працу жыхароў можна абмежаваць праз кнопку[C:5:0:1]Спецыялiзацыя[C:7:0:0]. "
"Lanczos","Ланцош"
"Owned","Ва ўласнасцi"
"nomadic ","качавы "
"Resolution:","Раздзяляльнасць:"
"Clay","Глiна"
"Agreed in year ","Дамоўлена ў год "
"The [C:5:0:1]Help[C:7:0:0] button at the top of the screen contains more guides. ","Кнопка [C:5:0:1]Дапамогi[C:7:0:0] у верхняй частцы экрана змяшчае дадатковыя падказкi. "
"Siege frequency (percentage, otherwise raid)","Частата аблогi (у працэнтах, iнакш рэйд)"
"Unknown creature","Невядомая iстота"
"Route ","Маршрут "
"can select the leader from the buttons at the top of the squad screen. ","можаце выбраць лiдэра з кнопак у верхняй частцы экрана атрада. "
"very near","вельмi блiзка"
"[C:6:0:1]Skins[C:7:0:0] are tanned at the [C:6:0:0]Tanner's Shop[C:7:0:0], and made into [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Leather Works[C:7:0:0].","[C:6:0:1]Скуры[C:7:0:0] дубяцца ў [C:6:0:0]Гарбара[C:7:0:0] i вырабляюцца ў [C:6:0:1]Адзенне[C:7:0:0] ў [C:6:0 :0]Гарбарне[C:7:0:0]."
"Vengeance","Помста"
" having trouble breathing!"," цяжка дыхае!"
"spurned the law and refused to listen","грэбуючы законам адмовiўся слухаць"
"Restarts if completed, conditions checked monthly","Перазапуск пасля завяршэння, умовы правяраюцца штомесяц"
"Slab","Стэла"
"Running around babbling!","Бегае балбочучы!"
"The poem continues.","Верш працягваецца."
"Mettle","Адважнасцi"
"New hospital","Новы шпiталь"
"This is an untitled","Без зместу"
"One-time order, conditions checked daily","Аднаразовы загад, умовы правяраюцца штодзень"
" between "," памiж "
"Musical composition","Музычная кампазiцыя"
"Metal Bars","Металiчныя злiткi"
"All tasks","Усе задачы"
"Not satisfied for next check","Не падыходзiць для наступнай праверкi"
"Caged Prisoner","Вязень у клетцы"
"Noted protector of the weak","Адметны абаронца слабых"
"Values family","Сямейны"
"astonished","здзiўлены"
"Considers brigand","Лiчыць грабежнiкам"
"Respected for preserving the knowledge","Паважаюць за захаванне ведаў"
"legendary hero","легендарны герой"
"Noted murderer","Адметны галаварэз"
"Anyone requested at depot","Любы запытаны ў дэпо"
"Truly mortified!","Абсалютна прыгнечаны!"
"There is a folder with this name already.","Тэчка з такой назвай ужо iснуе."
"Overall, the choreography is masterful","Цалкам, харэаграфiя майстэрская"
"Values peace","Шануе спакой"
"holy ","святы "
"A vile force of darkness has arrived!","Прыйшла гнюсная сiла цемры!"
"Show frames-per-second","Паказаць FPS"
"Scatterbrained","Рассеяны "
"Gather fruit","Збiраць садавiну"
"Patient","Стойкi"
"Merchant","Гандляр"
"Cancel","Адмена"
"Need trigger type","Патрэбен тып трыгеру"
"melting","плавiцца"
"Make cloth into clothing and tools here, such as bags and ropes.","Тут вырабляюць вопратку з тканiны i iнструменты, напрыклад, валiзы i вяроўкi."
"Horns/hooves","Рогi/капыты"
"Citizens, especially soldiers, will rarely name items.","Грамадзяне, асаблiва вайскоўцы, рэдка будуць называць рэчы."
"Unconscious","Непрытомнасць"
"square blocks","квадратныя блокi"
"Last I saw, it was in ","Апошнi раз я бачыў, што гэта было ў "
"Pen","ручка"
" intellectual values"," iнтэлектуальныя каштоўнасцi"
"breaks sharply between topics with regularity","рэгулярна замiнае апавяданне тэм"
"Max barrels","Макс барэляў"
"This furniture is a part of","Гэтая мэбля частка"
"To easily see which ramps go up or down, click the [C:5:0:1]Ramp Vision[C:7:0:0] button by the minimap.","Каб лёгка ўбачыць, якiя пандусы iдуць уверх цi ўнiз, нацiснiце кнопку [C:5:0:1]Пандусавы зрок[C:7:0:0] каля мiнi - мапы."
"Eventually the [C:6:0:1]Clothing[C:7:0:0] that your residents start with will rot away. ","У рэшце рэшт [C:6:0:1]Адзенне[C:7:0:0], з якiм пачыналi вашы жыхары, згнiе. "
"the idea of using symbolic notation for addition","iдэя выкарыстання сiмвалаў для запiсу складання"
"Group symbol","Сымбаль групы"
"Gather fallen fruit in this zone.","Збiраць апалую садавiну ў гэтай зоне."
"Gathering fruit and leaves blueprint","План збору пладоў i лiсця"
"Economic","Прамысловыя"
"hopeless","безнадзейны"
"Some [C:6:0:1]Refuse[C:7:0:0] can be put to use, for instance [C:6:0:1]Shells[C:7:0:0] can be turned into [C:6:0:1]Crafts[C:7:0:0]. ","Некаторыя [C:6:0:1]Адходы[C:7:0:0] можна выкарыстоўваць, напрыклад [C:6:0:1]Ракавiнкi[C:7:0:0] можна ператварыць у [C:6:0:1]Выраб[C:7:0:0]. "
"Green Glass","Зялёнае шкло"
"Pumps from the south","Помпы з поўдня"
"Leave this menu and recenter on the task's building.","Закрыйце меню ды iзноў звярнiце ўвагу на кампанаваннi задання."
"laughs in a unique way when ","адметна смяецца, калi "
"a group calling itself ","група, якая называе сябе "
"Converting mining to blueprint","Пераўтварэнне капання ў план"
"Corrupt Strange Mood: ","Дзiўны настрой перапынены: "
"Now we'll unpause the game and let the miner finish the task.  Press ","Цяпер мы працягнем гульню i дазволiм гарняку скончыць загад. Нацiснiце "
"being mutilated by ","пакалечаны "
"absolutely inexhaustible","абсалютна нястомны"
"chair","крэсла"
"Save and return to title menu","Захаваць i выйсцi ў галоўнае меню"
" has returned."," вярнуўся."
"Good","Добры"
