"more presumptious","m†s presuntuoso"
"State feelings of pleasure","Expresar sentimientos de placer"
"Wrestle using ","Usando lucha "
"No Dining Room","Sin Comedor"
"Chop down more trees if necessary.  Unpause and wait for the [C:6:0:1]Bed[C:7:0:0] to be completed.","Corta m†s †rboles si es necesario. Detenga la pausa y espere a que se complete la [C:6:0:1]Cama[C:7:0:0]."
"mandate ignored","mandato ignorado"
"appearing not to age","apareciendo sin edad"
" gaining of "," ganando de "
"only rarely feels strong cravings or urges","solo en raras ocasiones siente fuertes ansias o impulsos"
"Overall, the composition is passable","Ante todo, la composici¢n es pasable"
"Covered","Cubierto"
"Agile","Agil"
"Scared of you","Asustado de ti"
"One ","un "
"I have attained a higher rank of nobility.","He alcanzado un rango m†s alto de nobleza."
"Powders","Polvos"
"creeping thing","cosa aterradora "
" in order to have an agent in "," para tener un agente en "
"(De)select all currently displayed items","(De)seleccionar todas los objetos que se muestran actualmente."
"Customs","Personalizaciones"
"State minor feeling of ferocity","Expresar ligera sensaci¢n de ferocidad"
"Splendid Study","Estudio esplÇndido"
"Garbage dump","Basurero"
"was born to","naci¢ para"
"The temperature is pleasant.","La temperatura es agradable"
"On the front of the coin ","En el anverso de la moneda "
"I visited ","VisitÇ "
"less violent","menos violento"
"Engravings start obscured","Los grabados comienzan oscurecidos"
"Rest","Descanzar"
"drives forward relentlessly","avanza sin descanso"
"I was released from confinement.","fui liberado del confinamiento."
"the Gutter","el Sumidero"
"""You may return the object to the faithful by gifting it to one of the priests, or you may simply drop it in this structure wherever you see fit.""","""Puedes devolver el objeto a los fieles entreg†ndoselo a uno de los sacerdotes, o simplemente dej†ndolo en esta estructura donde consideres apropiado."""
"the surgical method of draining","el mÇtodo quir£rgico de drenaje"
" Track (NE)"," V°a (NE)"
"Note that if you have a [C:5:0:0]Broker[C:7:0:0] the value of each good with be shown if their skill is high enough.","Tenga en cuenta que si tiene un [C:5:0:0]Broker/Agente comercial[C:7:0:0], el valor de cada bien se mostrar† si su habilidad es lo suficientemente alta."
"What will you say about the refusal to accept tribute?","®QuÇ dir†s sobre la negativa a aceptar tributo?"
"ring","anillo"
"art","arte"
"going there.  Obviously, your copious wit is matched only by your industry!","yendo all°. ≠Obviamente, tu copioso ingenio s¢lo es igualado por tu industria!"
"Dig a ramp on this level, going up.","Cava una rampa en este nivel, subiendo."
"agony","agon°a"
"comes a ","viene un "
"Savagery Mesh Size","Tama§o de Gr†fica de Ferocidad"
"short-long","corto-largo"
"a lack of understanding of social relationships","una falta de comprensi¢n de las relaciones sociales"
"after leaving the site","despuÇs de abandonar el sitio"
"Enthusiastic","Entusiasta"
"I can't believe ","No puedo creerlo "
"Ambience Volume (Fortress): ","Volumen de ambiente (Fortaleza): "
"identity","identidad"
"Randomize appearance, respecting local populations","Apariencia aleatoria, respetando las poblaciones locales."
"naturalist:theory:climatic adaptation","naturalista:teor°a:adaptaci¢n clim†tica"
"Lead Combat Training","Dirigir entrenamiento"
"Implicates: ","Implica: "
"Cabinets are used in personal bedrooms for storing clothing objects.  A cabinet object must be made before it can be placed.","Los gabinetes se utilizan en dormitorios personales para guardar prendas de vestir. Se debe fabricar un objeto de gabinete antes de poder colocarlo."
"treason","traici¢n"
"Average Seconds Between Tracks/Interludes (Fortress): ","Segundos promedio entre pistas/interludios (Fortaleza): "
"being willing to accept death","estar dispuesto a aceptar la muerte"
"I would prefer to be outdoors.","Preferir°a estar en el exterior."
"I am afraid of them.","Les tengo miedo."
"the declaration that ","la declaraci¢n que "
"ruled from","gobernado desde"
" to load a macro."," para cargar una macro."
"Discuss the missing artifact ","Discutir el artefacto perdido "
"Reinforced Wall","Muro reforzado"
"mathematics:method:axiomatic reasoning","matem†ticas:mÇtodo:razonamiento axiom†tico"
"younger half-sister","media hermana m†s joven"
"envy propensity","propensi¢n a la envidia"
"You are throwing a tantrum.","Est†s teniendo una berrinche."
"If you find that your stockpiles are filling up too fast, you can create room by building [C:6:0:1]Bins[C:7:0:0], ","Si encuentra que tus reservas se est†n llenando demasiado r†pido, puede crear espacio construyendo [C:6:0:1]Contenedores[C:7:0:0], "
"is tall and scrawny","es alto/a y flacucho/a"
"rough sleep","mal sue§o"
"Stud with ","Semental con "
" (3 of 8)"," (3 de 8)"
"Solutions","Soluciones"
"State feelings of restlessness","Expresar sentimientos de inquietud"
"Encased in cooling magma","Encerrado en magma fr°o"
"is twice the tempo of the last passage","es doble el tempo del £ltimo pasaje"
"fear of","asustado de"
"State minor feeling of glee","Expresar ligera sensaci¢n de alegr°a"
"Seek Drink Area for Water","Busque un †rea para beber agua"
"Lunar Phases","Fases Lunares"
"Arena: Morale","Moral"
" collapses and falls"," colapsa y cae"
"coffer","cofre"
"Sound file unrecognized: ","Archivo De Sonido Inv†lido: "
" bend"," curva"
".[C:6:0:1]Needs setting",".[C:6:0:1]Necesita configuraci¢n"
"Can your parameters achieve elevations between 0 and 99?  ","Pueden tus par†metros alcanzar elevaciones entre 0 y 99? "
"to satirize","para satirizar"
"Simulate ","Simular "
"The force bends the ","La fuerza dobla el "
"powder","polvo"
" destruction of "," destrucci¢n de "
" from a great height"," de una gran altura"
"been fed to beasts.","sido alimentado a las bestias."
"I hate the self-absorbed lyrics of the accompaniment.","Odio l°ricas ego°stas de este acompa§amiento."
"the War","la Guerra"
"construction of a grisly mound from","construcci¢n de un mont¢n horripilante desde"
" blocks"," bloques"
"Population: ~7500","Poblaci¢n: ~7500"
" devouring "," devorando "
"Invoke true name to compel service from listener","Invocar el nombre verdadero para obligar al oyente a prestar servicio"
"Not found: ","No encontrado: "
"Keep world and return to main menu","Mantener el mundo y volver al men£ principal"
"You drink the ","Bebes el "
"Economy production trigger 1","Umbral de producci¢n econ¢mica 1"
"I adore this.","Lo adoro."
"weave [C:6:0:1]Cloth[C:7:0:0] at the [C:6:0:0]Loom[C:7:0:0], then make [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Clothier[C:7:0:0]. ","tejer [C:6:0:1]Tela[C:7:0:0] en el [C:6:0:0]Telar[C:7:0:0], luego hacer [C:6:0:1]Ropa[C:7:0:0] en el [C:6:0:0] Ropero[C:7:0:0]. "
"I have new siblings.","Tengo nuevos hermanos."
"is very fat and enormous overall","es muy gordo y generalmente enorme"
"views ","ve "
"I don't really know.","Realmente no lo sÇ."
"Noted bully","Mat¢n renombrado"
"the dehydration of ","la deshidrataci¢n de "
"rumored loyal soldier","soldado leal rumoreado"
"Automatically collect webs","Recolectar redes autom†ticamente"
"Water source contaminated","Fuente de agua contaminada"
"To the south","Al sur"
"Heavy bleeding","Sangrado abundante"
" was acquired"," fue adquirido"
"Request a guide to ","Solicite una gu°a para "
"Let's move on.","Mov†monos. "
"Soap Maker","fabricante de jab¢n"
"You have nothing left to eat or drink.","No te queda nada para comer ni beber."
"Really attack ","Realmente atacar "
"A dance competition","Una competencia de baile"
"[C:3:0:0]Meeting Areas[C:7:0:0] are [C:3:0:0]Zones[C:7:0:0] where your citizens gather when not working or taking care of their needs. ","[C:3:0:0]µreas de reuni¢n[C:7:0:0] son [C:3:0:0]Zonas[C:7:0:0] donde tus ciudadanos se re£nen cuando no est†n trabajando o atendiendo sus necesidades. "
"could not care less about ","no podr°a importarle menos "
"You have selected an area with a heavy aquifer.","Ha seleccionado un †rea con un gran acu°fero."
"values honesty","valora la honestidad"
"change personality value","cambiar el valor de personalidad"
"Ignore","Ignorar"
"shell","c†scara"
"Refuse to have ","Negarse a tener "
"masterful ","magistral "
"Unnamed Underworld area","µrea del Inframundo sin nombre"
"Is there ever a time when honesty by itself overrides other considerations?  Say what is right, not what is true.","®Hay acaso alg£n momento cuando la honestidad por s° misma se anteponga a otras consideraciones? Di lo que es correcto, no lo que es verdadero."
"You must come down from the mountains before you can ","Debes bajar de las monta§as antes de poder "
"the sewers","las alcantarillas"
"Preparing arena...","Preparando arena..."
"Population: ~3000","Poblaci¢n: ~3000"
"Interrogate","Interrogar"
"Targeted by ","Dirigido por "
"mathematics:numbers:root 2 to 5 digits","matem†ticas:n£meros:ra°z de 2 a 5 d°gitos"
"The dead are buried in coffins.  Coffins must be placed in their own tomb zone in order to work.  A coffin object must be made before it can be placed.","Los muertos son enterrados en ata£des. Los ata£des deben colocarse en su propia zona de tumbas para que funcionen. Se debe hacer un objeto de ata£d antes de colocarlo."
"has poorly-executed humor","tiene un humor mal ejecutado"
"caroused","juerga"
"exhales sharply when ","exhala bruscamente cuando "
"State feelings of great boredom","Expresar sentimientos de gran aburrimiento"
"Maybe after you've improved.  Prove you have what it takes.  The life of the traveling performer is a hard one.","Tal vez despuÇs de que hayas mejorado. Prueba que tienes lo necesario. La vida del intÇrprete viajero es dura."
"molten salt","sal fundida"
"Bad script! #1","≠Mal gui¢n! #1"
"Conversationalist","Conversador"
"It's wondrous.","Es maravilloso."
"enemy fighter","combatiente enemigo"
"Designating items for dumping","Designando objetos para desechar"
"Break in ","Interrumpe "
"the shooting of ","el rodaje de "
" and exiled"," y exiliado"
"  Although we are loath to spare a single branch to your senseless slaughter, "," Aunque somos reacios a dedicar una sola rama a su masacre sin sentido, "
"Written objects (incl. copies): ","Objetos escritos (incl. copias): "
"All active/manual/autosaves there will be deleted!","≠Todos los guardados activos/manuales/autom†ticos all° ser†n eliminados!"
"Use dyes here to color thread and cloth.  Requires a barrel and bucket for construction.","Use tintes aqu° para te§ir hilos y telas. Requiere un barril y un balde para su construcci¢n."
"younger half-brother","medio hermano m†s joven"
"be made with feeling","hacerse con sentimiento"
" cups"," tazas"
"grime","porquer°a"
"somebody whose name I don't know","alguien cuyo nombre no conozco"
"in order to pray","para orar"
" and I broke up."," y romp°."
"oil of vitriol","aceite de vitriolo"
"Move down to the south.","MuÇvete hacia el sur."
"This workshop is free for anybody to use.","Este taller esta libre para cualquier persona que quiera usarlo."
"[C:7:0:1]Temples[C:7:0:0]","[C:7:0:1]Templos[C:7:0:0]"
"Ask listener's course of action","Preguntar el curso de acci¢n del oyente"
"rumored storyteller","narrador rumoreado"
"A thousand or more people were expelled","Mil o m†s personas fueron expulsadas"
":pump:pumps",":bomba:bombas:"
"In ","En "
"Odometers","Od¢metros"
"Values friendship","Aprecia a los amigos"
"truthfulness","veracidad"
"Performance Troupe","Tropa de rendimiento"
"Regretful","Arrepentido"
"less dutiful","menos obediente"
"frustration","frustraci¢n"
"Ambush!","≠Emboscada!"
"stunningly susceptible to disease","incre°blemente susceptibles a la enfermedad"
"beast from underground","bestia del subsuelo"
" asked me"," me pregunt¢"
"gapped","entrecortado"
"itself","s° mismo"
"Now is a time for calm.","Ahora es un momento de calma."
"guilt","culpa"
"Getting something to drink","Conseguir algo de beber"
"hair/wool ","pelo/lana "
"childhood friend ","amigo de la infancia "
"the breach of ","el incumplimiento de "
"I slept in a bedroom.","Dorm° en una habitaci¢n. "
" every "," cada "
"independence","independencia"
"slash","tajo"
" gladly not of the living."," con mucho gusto no de la vida."
"is excessively ornate","es excesivamente pijo"
"pig","cerdo"
"Pause","Pausar"
"(Combat) Natural attack latched","(Combate) Ataque natural enganchado"
"[C:5:0:1].Gelded","[C:5:0:1].Castrado"
"Minimum Number of High-Rain Squares","N£mero M°nimo de Casillas con Lluv°a Alta"
" administrator"," administrador"
" Upward Track (NSE)"," V°a de Ascenso (NSE)"
"The musical voices are purely rhythmic","Las voces musicales son puramente r°tmicas"
"known bard","bardo conocido"
"Need cloth","Necesita tela"
"I really don't like this.","No me agrada eso"
"Symbol","S°mbolo"
"You might want to adjust the parameters governing savagery.  ","Es posible que desee ajustar los par†metros que rigen el drenaje. "
"the wilds","la selva"
" after being compelled to serve"," tras estar obligado a servir"
"Skulls","Cr†neos"
"I agree to submit to your request.","Acepto entregarme a su solicitud."
"Come, join me on my adventures!","≠Vamos, £nete a m° en  mis aventuras!"
" Sleep"," Dormir"
"Bands","Bandas"
"State feelings of relief","Expresar sentimientos de alivio"
"triangle","triangulo"
"Messenger (unfilled)","Mensajero (sin llenar)"
"has a generally thin build with some muscle and fat on it","tiene una estructura delgada con algo de m£sculo y gordura"
"Dig","Cavar"
"upturned","levantado"
"medicine:theory:disease and fouled water","medicina:teor°a:enfermedad y agua contaminada"
"Ambivalent","Ambivalente"
" gem"," gema"
"Chests in common area: ","Cofres en †rea com£n: "
"in order to rescue","con el fin de rescatar"
" hammerstrike"," golpe de martillo"
"This would please us greatly.  What do you offer?","Nos complacer°a enormemente. ®QuÇ es lo que ofreces?"
"join in melody, counterpoint and harmony","unirse en melod°a, contrapunto y armon°a"
" passage"," pasaje"
"Swayed by emotions","Movido por las emociones"
"grandparent","abuelo"
" values perseverance"," valora la perseverancia"
"Animal Diets","Dietas Animales"
"Extend use of free room","Ampliar uso de la habitaci¢n gratis"
"the Injury","la Lesi¢n"
"Desired Good Square Count in Medium Subregions","Cantidad de Casillas Benignas Deseadas en Sub-regiones Medianas"
"Dismiss minor feeling of defeat","Descartar ligera sensaci¢n de derrota"
"one year","un a§o"
"was killed by a trap","muri¢ por una trampa"
"I do not see the bliss in this.","No veo la felicidad en esto."
"Suspend this task.  This removes the worker.  The task can be unsuspended.","Suspender esta tarea. Esto elimina al trabajador. La tarea se puede suspender."
"No, I'm not interested.","No, no estoy interesado."
" bullied "," acosado "
"I'm a little grouchy.","Estoy un poco enojado. "
" some of the words."," algunas palabras."
"peddler","buhonero"
"foul","falta"
"shearer","esquilador"
"a mythical palace","un palacio m°tico"
"a stunning feel for spatial relationships","un sentido impresionante de las proporciones"
"fled to","huy¢ a"
"a temple complex and high priest","un complejo de templos y sumo sacerdote"
"Add a stop to this route.  Minecarts will move between stops when conditions are satisfied.","A§ade una parada a esta ruta. Los vagones se mover† entre paradas cuando se cumplan las condiciones."
"'s thinking, ","est† pensando "
"It was good.","Estuvo bien."
"Defend ","Defender "
"Migrants refused to journey to this unhappy fortress this season.","Los migrantes se negaron a viajar a esta infeliz fortaleza esta temporada."
"Stone type","Tipo de piedra"
"this establishment","este establecimiento "
" crutch"," muleta"
"I had a nightmare about my deceased friend.","Tuve una pesadilla sobre mi difunto amigo."
"Triangulation","Triangulaci¢n"
"POCKET ISLAND","ISLA DIMINUTA"
"the computation of the volume of a cone","la computaci¢n del volumen del cono"
"Number of Secret Types","Cantidad de tipos de Secretos"
"Values leisure time","Valora el tiempo libre"
"Vile creature!","!Vil criatura!"
"I'm not uneasy.","No estoy inc¢modo."
"Keep a colony of insects at your hives.  A wild colony must be collected after the hive is placed, or a colony can be split from an existing hive colony.","Mantenga una colonia de insectos en sus colmenas. Se debe recolectar una colonia silvestre despuÇs de colocar la colmena, o se puede separar una colonia de una colonia de colmena existente."
"evoke tears","evocar l†grimas"
"Siege Operation","Operado de Asedio"
"Jolly","Alegre"
"values leisure time","valora el tiempo libre"
"Volcanism Mesh Size","Tama§o de Gr†fica Volc†nica"
"Noted killer","Asesino renombrado"
"flown","volado"
"corrupt dealing","trato corrupto"
"Age of Three Powers","Era de los Tres Poderes"
"Topple ","Derribar "
"I must press on!","≠Debo seguir!"
"Everything is properly royal, properly furnished.  And yet? ","Todo es propiamente real, debidamente amueblado. ®Y todav°a? "
"criers in front","corredor en frente"
"Acknowledge lack of contentment","Reconocer la ausencia de complacencia"
"Blowgunner","Cerbatanero"
"boast","presumir"
"This item is tagged by a task and will not be used by other tasks.","Este elemento est† etiquetado por una tarea y no ser† utilizado por otras tareas."
"glob","masa"
"triumphant","triunfante"
"With shelter ready underground, it's time to build.  ","Con el refugio listo bajo tierra, es hora de construir. "
"You cannot fell the trees here.","No se pueden talar los †rboles aqu°."
"happy","feliz"
"This could be bliss.","Esto podr°a ser felicidad."
"Right click to move","Haz clic derecho para mover"
"Leisurely","Tranquilo/a"
"Values law","Valora la ley"
"committing a depraved act upon ","cometiendo un acto depravado sobre "
"thought of as two disjoint chords spanning a perfect fifth and a major third","pensado como dos acordes disjuntos que abarcan una quinta perfecta y una tercera mayor"
"This event occurred on the ","Este hecho ocurri¢ el "
"keepers of the seal","protectores del sello"
"Onward to character creation","Avanzando hacia la creaci¢n de personajes"
"is short, very weak and incredibly skinny","es corto, muy dÇbil y incre°blemente flaco"
"You can assume control of party members.  Companions who join you later in the journey can't generally be controlled manually.","Puedes asumir el control de los miembros del grupo. Los compa§eros que se unan a ti m†s adelante en el viaje no suelen poder controlarse manualmente."
"Civ commission","Comisi¢n de Civ"
"Artifact","Artefacto"
"Recovering from deflection","Recuper†ndose del desv°o"
" bright behind the clouds"," brillante tras las nubes"
"the water-powered trip hammer","el martillo de viaje hidr†ulico"
"You haven't ordered anything.  Would you like something?","No has pedido nada. ®Te gustar°a algo?"
"gregarious","sociable"
"was murdered","fue asesinado"
" through any of "," a travÇs de cualquiera de "
" is the force"," es la fuerza"
"justices","jueces"
"Ponder Topic","Reflexionar Tema"
"ground coral","coral molido"
"[C:4:0:1]Bleeding stopped","[C:4:0:1]Sangrado detenido"
"announce","anunciar"
" near campfire"," cerca de la fogata"
"No outdoor access","Sin acceso por puerta externa"
"Extract (animal)","Extracto (animal)"
"tends to interrupts others during conversations when ","tiende a interrumpir otros durante conversaciones cuando "
"squat","rechoncho"
"Deeper. We must dig deeper.","M†s adentro. Debemos profundizar m†s."
"Disease and Water","Enfermedades y el Agua"
"agitated ","agitado "
"out to the ","Hacia el "
"get your","conseguir tu"
"the padlock","el candado"
"Muddy ","Fangoso "
" occasionally when "," ocasionalmente cuando "
"You will sleep as necessary for ","Dormir†s lo necesario para "
"some of our kind ","Algunos de nuestro tipo "
"50 years","50 a§os"
"Toggle whether this creature will receive war training.  War animals have more lethal attacks.","Cambia si esta criatura recibir† entrenamiento de guerra. Los animales de guerra tienen ataques m†s letales."
"No charge attack: target's location inaccessible","Ataque sin carga: la ubicaci¢n del objetivo es inaccesible"
"Processes","Procesos"
"was banished by a ","fue desterrado por un "
"A novice level is required to read anything."," Se requiere un nivel principiante para leer cualquier cosa."
"I feel so empty inside...","Me siento tan vaci¢ por dentro..."
"Disdains truth","Desprecia la verdad"
"Give ","Dar "
"extraordinarily broad","extremadamente ancho"
"versatile mercenary","mercenario vers†til"
"Choosing colors to mix","Elegir colores para mezclar"
"Not musical","Mal m£sico"
"The instrument has both single reed and free reed pipes.  ","El instrumento tiene tubos de lengÅeta simple y de lengÅeta libre. "
"gnaws ","carcome "
"the romantic relationship between","una relaci¢n rom†ntica entre"
"the fleeing of ","la huida de "
"State feelings of great suspicion","Expresar sentimientos de gran recelo"
"writing on","escribiendo sobre"
"The ending of each line of the poem shares the same rhyme","El final de cada l°nea del poema comparte la misma rima."
"I do admire a clever trap.","Admiro a una trampa inteligente."
"is quite touching","es muy conmovedor"
"believes that freedom and independence are completely non-negotiable and would fight to defend them","cree que la libertad y la independencia son completamente irrenunciables y luchar°a para defenderlas"
"after being reunited with a loved one","tras reunirse con un ser querido"
" with a "," con un "
" attacks "," ataques "
"lust propensity","propensi¢n a la lujuria"
"cultural comparison","comparaci¢n cultural"
"Such rejection!  I cannot stand it.","≠Tal rechaso! No puedo soportarlo."
"Overshares    <->     Private","Se expone    <->     Reservado"
"a coconspirator, ","un coconspirador, "
"blood vessels","vasos sangu°neos"
"noted bully","mat¢n renombrado"
"In emotional shock!","≠En shock emocional!"
"deaths","muertes"
"Cat","Gato"
" has been ignored."," fue ignorada."
"Oil of Vitriol","Aceite de Vitriolo"
"Track/Ramp (S)","Trayectoria/Rampa (S)"
"Vertical axle","Eje vertical"
"Astonished","Asombrado"
"dreams of becoming a legendary warrior","sue§os de convertirse en un guerrero legendario"
"Stonecutter","Cantero"
"after being away from traditions","despuÇs de estar alejado de las tradiciones"
" patient"," paciente"
"the deity of ","la deidad de "
" should be"," puede ser"
"I could not find anybody in charge to comfort me.","No pude encontrar a nadie a cargo para consolarme."
" is just bad."," est† mal."
"being evicted","siendo desalojado"
"Gem Setter","Incrustador de Gemas"
"Claimed by local family","Reclamado por la familia local"
"Congratulations! This fortress is now a Mountainhome, proof that any suggestion of hubris was childish nonsense. ","≠Felicidades! Esta fortaleza es ahora El Hogar de la Monta§a, prueba de que cualquier sugerencia de arrogancia era una tonter°a infantil. "
"Overwhelmed by horror!","≠Abrumado por el horror!"
"Disdains knowledge","Desprecia el conocimiento"
" die"," morir"
"quern","molinillo de mano"
"Dry ","Seco "
"request","petici¢n"
"It is good to be indoors.","Es bueno estar adentro."
"State feelings of excitement","Expresar sentimientos de emoci¢n"
"Infinite ","Infinito "
"has a deep, guttural voice","tiene una profunda y gutural voz"
"Place a bed","Colocar una cama"
"beast hunter","cazador de bestias"
"I like a balance of tranquility and commotion myself.","Me gusta un balance de tranquilidad y conmoci¢n a mi mismo."
"I am so spiritually moved!","≠Estoy espiritualmente muy emocionado!"
" has been conquered and now"," ha sido conquistada y ahora"
"heptameter","hept†metro"
" (unreachable location)"," (ubicaci¢n inalcanzable)"
"apathy","apat°a"
" lives in "," vive en "
" in failure"," en fracaso"
" Little"," Poco"
"Crafts Market","Mercado de Artesan°as"
"Activity end","Fin de la actividad"
"tavern keepers","taberneros"
"bandit","bandido"
"This task is set to repeat indefinitely.","Esta tarea est† configurada para repetirse indefinidamente."
"sprained","torcedura"
" sinuous"," ondeado"
"There is no wind here.","No hay viento aqu°"
"The partners ","los actores "
"joyful","alegre"
"Tropical Freshwater Marsh","Marisma Tropical de Agua Dulce"
"Single-minded","Decidido"
" made a copy of the original "," hizo una copia del original "
"less sensitive","menos sensible"
"engineering:machine:crankshaft","ingenier°a:m†quina:cigÅe§al"
" ran into "," EncontrÇ "
"is easily moved to mercy","se conmueve f†cilmente por la misericordia"
"etymology","etimolog°a"
"The wet season has arrived!","≠La temporada h£meda ha llegado!"
"glee","alegr°a"
"has very low cheekbones","tiene p¢mulos muy bajos"
"An energetic poltergeist.","Un poltergeist enÇrgico."
"exists","existe"
"Offices and administrative work","Oficinas y trabajos administrativos"
" will be slain."," ser† abatido."
"Tricky throw","Lanzamiento complicado"
" crumbled completely."," desmoronada por completo."
"Endgame event 1B","Evento de fin de juego 1B"
"Proficient","Dominio"
"Indep","independencia"
"Animal Trainer","Entrenador de Animales"
"chance","oportunidad"
"would never under any circumstances speak up or otherwise put forth ","nunca, bajo ninguna circunstancia, dir°a lo que piensa en alto "
"refusing ","rechazar "
"corrupt feature layer population","poblaci¢n de capas de entidades corruptas"
"the rejection of contact by ","el rechazo de contacto por "
"Total Power Needed: ","Potencia total necesaria: "
"scout","Exploradora"
"I am compelled to continue!","≠Estoy competente para continuar!"
"Caught in flame","Atrapado en llamas"
"It pleases me.","Eso me agrada."
"there","ah°"
"another ","otro "
"You have found a curious underground structure.","Has encontrado una curiosa estructura subterr†nea."
"I conducted a meeting in ","Dirig° una reuni¢n en "
"Once the shop is built, open the [C:5:0:1]Creatures[C:7:0:0] info menu.  From there select the [C:5:0:1]Pets/Livestock[C:7:0:0] tab. ","Una vez construida la tienda, abre el men£ de informaci¢n [C:5:0:1]Criaturas[C:7:0:0] i. Desde all°, seleccione la pesta§a [C:5:0:1]Mascotas/Ganader°a[C:7:0:0]. "
"The world generator is having trouble placing oceans.  ","El generador del mundo est† teniendo problemas situando ocÇanos. "
"the adversary's inability to communicate and form treaties","la incapacidad del adversario para comunicar y formar tratados"
" (considered the primary)"," (considerado el primario)"
"studies","estudios"
"speaking with ","hablando con "
"the area enclosed by a parabola and a line","el †rea encerrada por una par†bola y una l°nea"
"the Deep","la Profundidad"
"a noted brigand","un bandolero renombrado"
"has a broad body made broader still by no shortage of surrounding lard","tiene un cuerpo ancho que es a£n mas ancho por la grasa que lo cubre"
"Abandoned shop","Tienda abandonada"
"It","Eso"
"northwest","noroeste"
"engineering:horology:mechanical clock","ingenier°a: relojer°a: reloj mec†nico"
"the apprenticeship of","el aprendizaje de"
"arm carriage","carro de brazo"
"has a recessed","tiene un empotrado"
"courage","valiente"
"Experiments","Experimentos"
" abides here in magnificence"," permanece aqu° en magnificencia"
"The pages are blank.","Las p†ginas est†n en blanco."
"I feel empathy.","Siento empat°a. "
"Overall, the choreography is inspired","En general, la coreograf°a est† inspirada"
"Track/Ramp (E)","Trayectoria/Rampa (E)"
"engineering:astronomy:armillary sphere","ingenier°a:astronom°a:esfera armilar"
"It could happen!","Podr°a haber pasado. "
" are "," son "
"Use options in this category to place furniture that has already been constructed in a workshop.","Utilice las opciones de esta categor°a para colocar muebles que ya se han construido en un taller."
"Get me going and I won't stop for anything.","Me motiva y no me detendrÇ ante nada."
"Supplies carried by each squad member","Suministros llevados por cada miembro del escuadr¢n"
"If you have some [C:6:0:1]Wood[C:7:0:0] stockpiled, you'll be able to place a [C:6:0:0]Carpenter's Workshop[C:7:0:0].  ","Si tienes algo de [C:6:0:1]Madera[C:7:0:0] almacenada, podr†s colocar un [C:6:0:0]Taller de carpintero[C:7:0:0]. "
"steal treasures","robar tesoros"
"concerns ","concierne "
" leftward bend"," inclinar hacia la izquierda"
"powers","poderes"
"No one else even considered making the journey to this cursed death-trap.","Nadie m†s siquiera consider¢ hacer el viaje a esta maldecida trampa mortal."
"is reflective","es reflexivo"
"grow corruption network","fomentar red de corrupci¢n"
"the construction and use of the crank","la construcci¢n y uso de la manivela"
"I don't like being obligated to anybody.","No me gusta que nadie me ordene. "
"Offer to have ","Ofrecer tener "
"Fish Dissector","Pescadero"
"a foot race","una carrera a pie"
"Civic Mound","Mont°culo c°vico"
" splatters over the "," salpica sobre el "
"Miners","Mineros"
"Tower Attic","µtico de la torre"
"having a request approved","tiene una solicitud aprobada"
"Animal Societies","Sociedades Animales"
"Loading fortress information...","Cargando informaci¢n de la fortaleza..."
"This task has been suspended.","Esta tarea ha sido suspendida."
"Say something about your master(s)","Decir algo sobre tu maestro(s)"
"Seek Cage for Unchain","Buscar Jaula para Desencadenar"
"Waaaaa...","Arrggg..."
"spattered","salpicado"
"fortress (129,129,129)","fortaleza (129,129,129)"
"These are ","Estos/as son "
"Entity population changes","Cambios en la poblaci¢n de entidades"
"Move down to the southeast.","MuÇvete hacia el sureste."
"Heavy combat","Combate pesado"
"I'm optimistic.","Soy optimista. "
" billion"," miles de mill¢n"
"Medical Ethics","êticas MÇdicas"
"There's no need for trouble here.","No hay necesidad de problemas aqu°."
"engineering:optics:theory of color","ingenier°a:¢pticas:teor°a del color"
"The world generator is having trouble placing enough high elevations.  ","El generador del mundo est† teniendo problemas situando suficientes elevaciones altas. "
"Rare","Raro"
"written-on ","escrito-sobre "
" beaten"," vencido"
" fought with and subdued "," Lucho y sometio a "
"I'm not jolly.","No estoy alegre."
"A shorter history means certain game elements might not be available.","Una historia m†s corta har† que ciertos elementos del juego puedan no estar disponibles."
"My spouse discussed their problems with me.","Mi esposa discuti¢ sus problemas conmigo."
"Must be before ","Debe ser antes "
"being forced to endure the decay of a father","Siendo obligado a soportar la descomposici¢n de un padre"
"You insult me with your flattery","Me insultas con tu adulaci¢n"
"the collection of maps and other information into a single text","la colecci¢n de mapas y otra informaci¢n en un solo texto"
"Grant sleep permission","Conceder permiso para dormir"
"Clear Glass","Vidrio Limpio"
"Use Seed","Usar Semilla"
"after accepting bribes in exchange for leniency","tras aceptar sobornos a cambio de indulgencia"
"flayed and the skin stretched over ","desollado y la piel extendida sobre "
"Master Volume: ","Volumen principal: "
" and can't even remember the last time "," y ni si quiera puede recordar la £ltima vez "
" chest"," cofre"
"Flux stone layer","Capa de piedra fundente"
"associated with ","asociado con "
"little memory to speak of","poca memoria para hablar de"
"sphere alignment","alineamiento esfÇrico"
"World map size","Tama§o del mapa mundial"
" Upward Track (NEW)"," V°a de Ascenso (NEO)"
"masterfully ","magistralmente "
" spotted the forces of "," vio las fuerzas de "
"personal enemy","enemigo personal"
"tends to be passive in discussions","tiende a ser pasivo en discusiones"
" were the only great powers in the world."," donde los grandes poderes en el mundo"
" from an unknown year"," de un a§o desconocido"
"octuplets","octillizos"
