"more presumptious","бўльш зухвалий"
"battle axe","бойова сокира"
"battle axes","бойовў сокири"
"pommel","обухом"
"war hammer","бойовий молот"
"war hammers","бойовў молоти"
"bash","гамселите"
"bashes","гамселить"
"short sword","короткий меч"
"short swords","короткў мечў"
"spears","списи"
"shaft","держаком"
"maces","булави"
"crossbows","арбалети"
"pick","кирка"
"picks","кирки"
"bow","лук"
"bows","луки"
"blowguns","духовў трубки"
"pikes","пўки"
"halberd","алебарда"
"halberds","алебарди"
"two-handed sword","дворучний меч"
"two-handed swords","дворучнў мечў"
"long sword","довгий меч"
"long swords","довгў мечў"
"maul","кувалда"
"mauls","кувалди"
"great axe","дворучна сокира"
"great axes","дворучнў сокири"
"dagger","кинджал"
"daggers","кинджали"
"scourge","батўг"
"scourges","батоги"
"flail","цўп"
"flails","цўпи"
"morningstar","моргенштерн"
"morningstars","моргенштерни"
"scimitar","шабля"
"scimitars","шаблў"
"training axe","тренувальна сокира"
"training axes","тренувальнў сокири"
"training sword","тренувальний меч"
"training swords","тренувальнў мечў"
"training spear","тренувальний спис"
"training spears","тренувальнў списи"
"great pick","велике кайло"
"great picks","великў кайла"
"molten iron","з розплавленого залўза"
"boiling iron","кипляче залўзо"
"gold dust","золотий пил"
"molten gold","з розплавленого золота"
"boiling gold","з киплячого золота"
"molten silver","з розплавленого срўбла"
"boiling silver","з киплячого срўбла"
"molten copper","з розплавлено∙ мўдў"
"boiling copper","з киплячо∙ мўдў"
"nickel","нўкелевий"
"molten nickel","з розплавленого нўкелю"
"boiling nickel","з киплячого нўкелю"
"zinc","цинковий"
"molten zinc","з розплавленого цинку"
"boiling zinc","з киплячого цинку"
"molten bronze","з розплавлено∙ бронзи"
"boiling bronze","кипляча бронза"
"molten brass","з розплавлено∙ латунў"
"boiling brass","кипляча латунь"
"steel","сталевий"
"molten steel","з розплавлено∙ сталў"
"boiling steel","з киплячо∙ сталў"
"pig iron","з переробного чавуну"
"molten pig iron","з розплавленого переробного чавуну"
"boiling pig iron","з киплячого чавуну"
"platinum","з платини"
"molten platinum","з розплавлено∙ платини"
"boiling platinum","з киплячо∙ платини"
"electrum","з електруму"
"molten electrum","з розплавленого електруму"
"boiling electrum","киплячий електрум"
"tin","олов'яний"
"molten tin","з розплавленого олова"
"boiling tin","кипляче олово"
"fine pewter","з витонченого пютера"
"molten fine pewter","розплавлений витончений пютер"
"boiling fine pewter","киплячий витончений пютер"
"trifle pewter","дрўбний пютер"
"molten trifle pewter","розплавлений дрўбний пютер"
"boiling trifle pewter","киплячий дрўбний пютер"
"lay pewter","литий п'ютер"
"molten lay pewter","розплавлений литий п'ютер"
"boiling lay pewter","киплячий литий п'ютер"
"lead","свинцевий"
"molten lead","з розплавленого свинцю"
"boiling lead","з киплячого свинцю"
"aluminum","алюмўнўївий"
"molten aluminum","з розплавленого алюмўнўю"
"boiling aluminum","киплячий алюмўнўй"
"nickel silver","з нейзильберу"
"molten nickel silver","з розплавленого нейзильберу"
"boiling nickel silver","з киплячого нейзильберу"
"billon","з бўлону"
"molten billon","з розплавленого бўлону"
"boiling billon","з киплячого бўлону"
"sterling silver","зў стерлўнгового срўбла"
"molten sterling silver","з розплавленого стерлўнгового срўбла"
"boiling sterling silver","з киплячого стерлўнгового срўбла"
"black bronze","з чорно∙ бронзи"
"molten black bronze","з розплавлено∙ чорно∙ бронзи"
"boiling black bronze","кипляча чорна бронза"
"rose gold","з рожевого золота"
"molten rose gold","з розплавленого рожевого золота"
"boiling rose gold","з киплячого рожевого золота"
"bismuth","з вўсмуту"
"molten bismuth","з розплавленого вўсмуту"
"boiling bismuth","з киплячого вўсмуту"
"bismuth bronze","з вўсмутово∙ бронзи"
"molten bismuth bronze","з розплавлено∙ вўсмутово∙ бронзи"
"boiling bismuth bronze","з киплячо∙ вўсмутово∙ бронзи"
"adamantine","з адамантину"
"molten adamantine","розплавлений адамантин"
"boiling adamantine","киплячий адамантин"
"gypsum plaster","гўпсовий штукатурний розчин"
"brick","цеглина"
"bricks","цегла"
"stoneware","кам'яна керамўка"
"porcelain","з порцеляни"
"tin glaze","глазурування з олова"
"milk of lime","вапняна суспензўя"
"onyx","онўкс"
"onyxes","онўкси"
"morion","морўон"
"morions","морўони"
"морўонs","морўони"
"schorl","шерл"
"lace agate","мереживний агат"
"blue jade","блакитний нефрит"
"lapis lazuli","лазурит"
"prase","празїм"
"prase opal","празеопал"
"bloodstone","гелўотроп"
"moss agate","моховий агат"
"moss opal","моховий опал"
"variscite","варисцит"
"variscites","варисцити"
"варисцитs","варисцити"
"chrysoprase","хризопраз"
"chrysoprases","хризопрази"
"хризопразs","хризопрази"
"chrysocolla","хризокола"
"chrysocollas","хризокола"
"хризоколаs","хризокола"
"sard","сард"
"sards","сарди"
"сардs","сарди"
"carnelian","карнеол"
"carnelians","карнеоли"
"карнеолs","карнеоли"
"banded agate","смугастий агат"
"sardonyx","сардонўкс"
"sardonyxes","сардонўкси"
"cherry opal","вишневий опал"
"lavender jade","лавандовий нефрит"
"pink jade","рожевий нефрит"
"tube agate","трубчастий агат"
"fire agate","вогняний агат"
"plume agate","пўрчастий агат"
"brown jasper","коричневий яспис"
"picture jasper","пейзажний яспис"
"smoky quartz","димний кварц"
"smoky quartzes","димнў кварци"
"wax opal","восковий опал"
"wood opal","древковий опал"
"amber opal","бурштиновий опал"
"gold opal","золотий опал"
"citrine","цитрин"
"yellow jasper","жовтий яспис"
"tigereye","тигрове око"
"tiger iron","тигрове залўзо"
"sunstone","сонячний камўнь"
"resin opal","смолистий опал"
"pyrite","пўрит"
"pyrites","пўрити"
"пўритs","пўрити"
"clear tourmaline","прозорий турмалўн"
"gray chalcedony","сўрий халцедон"
"gray chalcedonies","сўрў халцедони"
"dendritic agate","дендритний агат"
"shell opal","мушлевий опал"
"bone opal","кўстковий опал"
"white chalcedony","бўлий халцедон"
"white chalcedonies","бўлў халцедони"
"fortification agate","фортифўкацўйний агат"
"milk quartz","молочний кварц"
"milk quartzes","молочнў кварци"
"moonstone","мўсячний камўнь"
"white jade","бўлий нефрит"
"jasper opal","ясписний опал"
"pineapple opal","ананасовий опал"
"onyx opal","онўксовий опал"
"milk opal","молочний опал"
"pipe opal","трубчастий опал"
"aventurine","авентюрин"
"rose quartz","рожевий кварц"
"rose quartzes","рожевў кварци"
"rock crystal","гўрський кришталь"
"black zircon","чорний циркон"
"black pyrope","чорний пўроп"
"melanite","меланўт"
"indigo tourmaline","ўндиговий турмалўн"
"blue garnet","блакитний гранат"
"tsavorite","цаворит"
"green tourmaline","зелений турмалўн"
"demantoid","деманто∙д"
"green zircon","зелений циркон"
"green jade","зелений нефрит"
"heliodor","гелўодор"
"peridot","перидот"
"peridots","перидоти"
"перидотs","перидоти"
"red zircon","червоний циркон"
"red tourmaline","червоний турмалўн"
"red pyrope","червоний пўроп"
"almandine","альмандин"
"almandines","альмандини"
"альмандинs","альмандини"
"red grossular","червоний гросуляр"
"pink tourmaline","рожевий турмалўн"
"red beryl","червоний берил"
"fire opal","вогняний опал"
"rhodolite","родолўт"
"purple spinel","пурпурова шпўнель"
"alexandrite","александрит"
"tanzanite","танзанўт"
"morganite","морганўт"
"violet spessartine","фўолетовий спесартин"
"pink garnet","рожевий гранат"
"kunzite","кунцит"
"cinnamon grossular","цитрусовий гросуляр"
"honey yellow beryl","медовий берил"
"jelly opal","желейний опал"
"brown zircon","коричневий циркон"
"yellow zircon","жовтий циркон"
"golden beryl","золотий берил"
"yellow spessartine","жовтий спесартин"
"topaz","топаз"
"topazes","топази"
"topazolite","топазолўт"
"yellow grossular","жовтий гросуляр"
"rubicelle","рубўцел"
"clear garnet","прозорий гранат"
"goshenite","гошенўт"
"cat's eye","котяче око"
"clear zircon","прозорий циркон"
"red spinel","червона шпўнель"
"chrysoberyl","хризоберил"
"precious fire opal","дорогоцўнний вогняний опал"
"red flash opal","червоний спалахуючий опал"
"black opal","чорний опал"
"white opal","бўлий опал"
"crystal opal","прозорий опал"
"claro opal","кларо-опал"
"levin opal","левўн-опал"
"harlequin opal","арлекўновий опал"
"pinfire opal","точковий опал"
"bandfire opal","смугастий вогняний опал"
"light yellow diamond","свўтло-жовтий дўамант"
"faint yellow diamond","тьмяно-жовтий дўамант"
"ruby","рубўн"
"rubies","рубўни"
"clear diamond","прозорий дўамант"
"red diamond","червоний дўамант"
"green diamond","зелений дўамант"
"blue diamond","блакитний дўамант"
"yellow diamond","жовтий дўамант"
"black diamond","чорний дўамант"
"star sapphire","зоряний сапфўр"
"star ruby","зоряний рубўн"
"star rubies","зорянў рубўни"
"sandstone","з пўсковику"
"siltstone","з алевролўту"
"mudstone","аргўлўт"
"shale","зў сланцю"
"claystone","глинистий камўнь"
"rock salt","з кам'яно∙ солў"
"limestone","вапняк"
"conglomerate","конгломерат"
"dolomite","з доломўту"
"chert","кремўнь"
"chalk","з крейди"
"granite","гранўт"
"diorite","з дўориту"
"rhyolite","рўолўт"
"basalt","з базальту"
"andesite","з андезиту"
"dacite","з дациту"
"obsidian","з обсидўану"
"quartzite","з кварциту"
"slate","з шиферного сланцю"
"phyllite","з фўлўту"
"schist","зў сланцю"
"gneiss","з гнейсу"
"marble","з мармуру"
"hematite","гематит"
"limonite","з залўзняку"
"garnierite","гарнўїрит"
"gold nuggets","золотий самородок"
"native gold","самородне золото"
"native gold dust","самородний золотий пил"
"molten native gold","розплавлене самородне золото"
"boiling native gold","кипляче самородне золото"
"silver nuggets","срўбний саморордок"
"native silver","самородне срўбло"
"molten native silver","з розплавленого самородного срўбла"
"boiling native silver","з киплячого самородного срўбла"
"copper nuggets","мўдний самородок"
"native copper","самородна мўдь"
"molten native copper","розплавлена самородна мўдь"
"boiling native copper","кипляча самородна мўдь"
"malachite","з малахўту"
"galena","галенўт"
"sphalerite","сфалерит"
"cassiterite","з каситериту"
"bituminous coal","з кам'яного вугўлля"
"lignite","з бурого вугўлля"
"platinum nuggets","платиновий самородок"
"native platinum","самородна платина"
"molten native platinum","розплавлена самородна платина"
"boiling native platinum","кипляча самородна платина"
"cinnabar","з кўноварў"
"cobaltite","з кобальтиту"
"tetrahedrite","тетраедрит"
"horn silver","родове срўбло"
"gypsum","з гўпсу"
"talc","з тальку"
"jet","з гагату"
"puddingstone","пудинговий камўнь"
"petrified wood","окам'янўле дерево"
"graphite","з графўту"
"kimberlite","з кўмберлўту"
"bismuthinite","з вўсмутинўту"
"realgar","з реальгару"
"orpiment","з орпўменту"
"stibnite","з антимонўту"
"marcasite","з маркаситу"
"sylvite","з сильвўну"
"cryolite","з крўолўту"
"periclase","з периклазу"
"ilmenite","з ўльменўту"
"rutile","з рутилу"
"magnetite","з магнўтиту"
"chromite","з хромўту"
"pyrolusite","пўролюзит"
"pitchblende","з уранўнўту"
"bauxite","боксит"
"native aluminum","самородний алюмўнўй"
"molten native aluminum","розплавлений самородний алюмўнўй"
"boiling native aluminum","киплячий самородний алюмўнўй"
"borax","з бури"
"olivine","з олўвўну"
"hornblende","з рогово∙ обманки"
"kaolinite","з каолўнўту"
"serpentine","з серпентинўту"
"orthoclase","з ортоклазу"
"microcline","з мўкроклўну"
"mica","зў слюди"
"calcite","з кальциту"
"saltpeter","з селўтри"
"alabaster","з алебастру"
"selenite","з селенўту"
"satinspar","з атласного шпату"
"anhydrite","ангўдрит"
"alunite","з алунўту"
"raw adamantine","необроблений адамантин"
"molten raw adamantine","розплавлений необроблений адамантин"
"boiling raw adamantine","киплячий необроблений адамантин"
"clay","глина"
"silt","мул"
"yellow sand","жовтий пўсок"
"white sand","бўлий пўсок"
"black sand","чорний пўсок"
"red sand","червоний пўсок"
"peat","торф"
"fire clay","вогнетривка глина"
"boiling magma","з киплячо∙ магми"
"molten metal","з розплавленого металу"
"boiling metal","з киплячого металу"
"fatty","з жиру"
"grease","мастило"
"greasy","з мастила"
"meat","м'ясо"
"sinew","ўз сухожилля"
"bone meal","з кўсткового борошна"
"cartilaginous","з хряща"
"prepared","пўдготовленў"
"intestines","кишечники"
"parchment","пергамент"
"frozen blood","ўз заморожено∙ кровў"
"boiling blood","з киплячо∙ кровў"
"boiling slime","з киплячого слизу"
"frozen pus","ўз замороженого гною"
"pus","гнўйний"
"boiling pus","з киплячого гною"
"melted soap","з розплавленого мила"
"tallow","сало"
"melted tallow","з розтопленого смальцю"
"frozen milk","заморожене молоко"
"frozen milky","ўз замороженого молока"
"milk","молоко"
"milky","молочний"
"cheese","сир"
"cheesy","сирний"
"melted cheese","розплавлений сир"
"melted cheesy","з розправленого сиру"
"seed","зерновий"
"leaf","з листя"
"fruit","плоди"
"mushroom","грибний"
"flower","квўтковий"
"fiber","з волокон"
"frozen alcohol","ўз замороженого алкоголю"
"alcohol","з алкоголю"
"boiling alcohol","з киплячого алкоголю"
"inebriation","сп'янўння"
"frozen extract","ўз замороженого екстракту"
"extract","з екстракту"
"boiling extract","з киплячого екстракту"
"soil","з єрунту"
"eggshell","з яїчно∙ шкаралупи"
"eggshell powder","з порошка з яїчно∙ шкаралупи"
"frozen egg white","ўз замороженого яїчного бўлка"
"egg white","з яїчного бўлка"
"boiling egg white","з киплячого яїчного бўлка"
"frozen egg yolk","ўз замороженого яїчного жовтка"
"egg yolk","з яїчного жовтка"
"boiling egg yolk"," киплячого яїчного жовтка"
"frozen vegetable oil","ўз заморожено∙ олў∙"
"vegetable oil","з олў∙"
"boiling vegetable oil","з киплячо∙ олў∙"
"wax","вўск"
"melted wax","з розплавленого воску"
"frozen ink","ўз замороженого чорнила"
"ink","з чорнила"
"boiling ink","з киплячого чорнила"
"spongy","нўздрюватий"
"frozen tears","ўз замерзлих слўз"
"tears","ўз слўз"
"boiling tears","з киплячих слўз"
"frozen spit","ўз замерзло∙ слини"
"boiling spit","з киплячо∙ слини"
"frozen sweat","ўз замерзлого поту"
"sweat","потовий"
"boiling sweat","з киплячого поту"
"single-grain wheat","з пшеницў однозернянки"
"frozen single-grain wheat beer","заморожене пиво з пшеницў однозернянки"
"single-grain wheat beer","пиво з пшеницў однозернянки"
"boiling single-grain wheat beer","кипляче пиво з пшеницў однозернянки"
"single-grain wheat flour","борошно з пшеницў однозернянки"
"single-grain wheat seed","зернина пшеницў однозернянки"
"single-grain wheat seeds","насўння пшеницў однозернянки"
"beer","пиво"
"single-grain wheat leaf","листок пшеницў однозернянки"
"single-grain wheat leaves","листя пшеницў однозернянки"
"two-grain wheat","з пшеницў двозернянки"
"frozen two-grain wheat beer","заморожене пиво з пшеницў двозернянки"
"two-grain wheat beer","пиво з пшеницў двозернянки"
"boiling two-grain wheat beer","кипляче пиво з пшеницў двозернянки"
"two-grain wheat flour","борошно з пшеницў двозернянки"
"two-grain wheat seed","зернина пшеницў двозернянки"
"two-grain wheat seeds","насўння пшеницў двозернянки"
"two-grain wheat leaf","листок пшеницў двозернянки"
"two-grain wheat leaves","листя пшеницў двозернянки"
"soft wheat","з м'яко∙ пшеницў"
"frozen soft wheat beer","заморожене пиво з м'яко∙ пшеницў"
"soft wheat beer","пиво з м'яко∙ пшеницў"
"boiling soft wheat beer","кипляче пиво з м'яко∙ пшеницў"
"soft wheat flour","борошно з м'яко∙ пшеницў"
"soft wheat seed","зернина м'яко∙ пшеницў"
"soft wheat seeds","насўння м'яко∙ пшеницў"
"soft wheat leaf","листок м'яко∙ пшеницў"
"soft wheat leaves","листя м'яко∙ пшеницў"
"hard wheat","з твердо∙ пшеницў"
"frozen hard wheat beer","заморожене пиво з твердо∙ пшеницў"
"hard wheat beer","пиво з твердо∙ пшеницў"
"boiling hard wheat beer","кипляче пиво з твердо∙ пшеницў"
"hard wheat flour","борошно з твердо∙ пшеницў"
"hard wheat seed","зернина твердо∙ пшеницў"
"hard wheat seeds","насўння твердо∙ пшеницў"
"hard wheat leaf","листок твердо∙ пшеницў"
"hard wheat leaves","листя твердо∙ пшеницў"
"spelt","зў спельти"
"frozen spelt beer","заморожене пиво зў спельти"
"spelt beer","пиво зў спельти"
"boiling spelt beer","кипляче пиво зў спельти"
"spelt flour","борошно зў спельти"
"spelt seed","зернина спельти"
"spelt seeds","насўння спельти"
"spelt leaf","листок спельти"
"spelt leaves","листя спельти"
"barley","з ячменю"
"frozen barley wine","заморожене вино з ячменю"
"barley wine","вино з ячменю"
"boiling barley wine","кипляче вино з ячменю"
"barley flour","борошно з ячменю"
"barley seed","зернина ячменю"
"barley seeds","насўння ячменю"
"wine","вино"
"barley leaf","листок ячменю"
"barley leaves","листя ячменю"
"buckwheat","з гречки"
"frozen buckwheat beer","заморожене пиво з гречки"
"buckwheat beer","пиво з гречки"
"boiling buckwheat beer","кипляче пиво з гречки"
"buckwheat flour","борошно з гречки"
"buckwheat seed","зернина гречки"
"buckwheat seeds","насўння гречки"
"buckwheat leaf","листок гречки"
"buckwheat leaves","листя гречки"
"buckwheat flower","цвўт гречки"
"buckwheat flowers","цвўт гречки"
"цвўт гречкиs","цвўт гречки"
"oat","з вўвса"
"oats","овес"
"oat flour","вўвсяне борошно"
"oat seed","зернина вўвса"
"oat seeds","насўння вўвса"
"oat leaf","листок вўвса"
"oat leaves","листя вўвса"
"alfalfa","з люцерни"
"alfalfa seed","зернина люцерни"
"alfalfa seeds","насўння люцерни"
"sprouts","паростки"
"alfalfa leaf","листок люцерни"
"alfalfa leaves","листя люцерни"
"rye","з жита"
"frozen rye beer","заморожене житнї пиво"
"rye beer","житнї пиво"
"boiling rye beer","кипляче житнї пиво"
"rye flour","житнї борошно"
"rye seed","зернина жита"
"rye seeds","насўння жита"
"rye leaf","листок жита"
"rye leaves","листя жита"
"sorghum","ўз сорго"
"frozen sorghum beer","заморожене пиво ўз сорго"
"sorghum beer","пиво ўз сорго"
"boiling sorghum beer","кипляче пиво ўз сорго"
"sorghum flour","борошно ўз сорго"
"sorghum seed","зернина сорго"
"sorghum seeds","зерня сорго"
"sorghum leaf","листок сорго"
"sorghum leaves","листя сорго"
"sorghum leaf dye","барвник з листя сорго"
"rice flour","рисове борошно"
"rice","рис"
"grain","зерня"
"rice leaf","листок рису"
"rice leaves","листя рису"
"rice husk dye","барвник з рисового лушпиння"
"frozen maize beer","заморожене кукурудзяне пиво"
"maize beer","кукурудзяне пиво"
"boiling maize beer","кипляче кукурудзяне пиво"
"maize flour","кукурудзяне борошно"
"maize","кукуруза"
"maize leaf","листок кукурудзи"
"maize leaves","листя кукурудзи"
"quinoa","кўноа"
"leaves","листя"
"red spinach leaf dye","барвник з листя червоного шпинату"
"leaf coloration","забарвлення листка"
"pearl millet plant","перлове просо"
"pearl millet plants","перлове просо"
"frozen pearl millet beer","заморожене пиво з перлового проса"
"pearl millet beer","пиво з перлового проса"
"boiling pearl millet beer","нагрўте пиво з перлового проса"
"pearl millet flour","борошно з перлового проса"
"pearl millet","перлове просо"
"pearl millet leaf","лист перлового проса"
"pearl millet leaves","листя перлового проса"
"white millet plant","бўле просо"
"white millet plants","бўле просо"
"frozen white millet beer","заморожене пиво з бўлого проса"
"white millet beer","пиво з бўлого проса"
"boiling white millet beer","нагрўте пиво з бўлого проса"
"white millet flour","борошно з бўлого проса"
"white millet","бўле просо"
"white millet leaf","лист бўлого проса"
"white millet leaves","листя бўлого проса"
"finger millet plant","пальчасте просо"
"finger millet plants","пальчасте просо"
"frozen finger millet beer","заморожене пиво з пальчастого проса"
"finger millet beer","пиво з пальчастого проса"
"boiling finger millet beer","нагрўте пиво з пальчастого проса"
"finger millet flour","борошно з пальчастого проса"
"finger millet","пальчасте просо"
"finger millet leaf","лист пальчастого проса"
"finger millet leaves","листя пальчастого проса"
"foxtail millet plant","чумиза"
"foxtail millet plants","чумиза"
"frozen foxtail millet beer","заморожене пиво з чумизи"
"foxtail millet beer","пиво з чумизи"
"boiling foxtail millet beer","нагрўте пиво з чумизи"
"foxtail millet flour","борошно з чумизи"
"foxtail millet","чумиза"
"foxtail millet leaf","лист чумизи"
"foxtail millet leaves","листя чумизи"
"flax plant","льон"
"flax plants","кусти льону"
"linseed oil soap","з лляно∙ олў∙ мило"
"melted linseed oil soap","мило з розплалено∙ лляно∙ олў∙"
"hemp plant","конопля"
"hemp plants","рослини коноплў"
"hempseed oil soap","з конопляно∙ олў∙ мило"
"melted hempseed oil soap","мило з розплавлено∙ конопляно∙ олў∙"
"hemp seed","насўння коноплў"
"hemp seeds","насўння коноплў"
"hemp","конопля"
"hemp slurry","конопляна паперова маса"
"hemp paper","конопляний папўр"
"hemp leaf","лист коноплў"
"hemp leaves","листя коноплў"
"cotton plant","бавовна"
"cotton plants","бавовна"
"cottonseed oil soap","з бавовняно∙ олў∙ мило"
"melted cottonseed oil soap","мило з розплавлено∙ бавовняно∙ олў∙"
"kenaf seed oil soap","з олў∙ насўння кенафу мило"
"melted kenaf seed oil soap","мило з розплавлено∙ олў∙ насўння кенафу"
"edible roots","∙стўвне корўння"
"beet flower spike","суцвўття буряка"
"taste","смак"
"cabbage flower spike","суцвўття капусти"
"cabbage leaf dye","барвник з листя капусти"
"carrot dye","моркв'яний барвник"
"roots","корўння"
"eggplant dye","баклажанний барвник"
"horned melon vine","лоза рогато∙ динў"
"horned melon vines","лози рогато∙ динў"
"horned melon seed","насўння рогато∙ динў"
"horned melon seeds","насўння рогато∙ динў"
"horned melon leaf","листок рогато∙ динў"
"horned melon leaves","листя рогато∙ динў"
"horned melon flower","квўтка рогато∙ динў"
"horned melon","рогата диня"
"muskmelon","диня"
"muskmelons","динў"
"диняs","динў"
"onion skin dye","барвник з лушпиння цибулў"
"peanut shell dye","барвник ўз лушпиння арахўсу"
"boiling potato wine","кипляче картопляне вино"
"potato seed","насўнина картоплў"
"potato seeds","насўння картоплў"
"potato skin dye","барвник з шкўрки картоплў"
"radish dye","барвник з редису"
"red bean vine","червона квасоля vine"
"rhubarb leaf dye","барвник з листя ревўню"
"soybean plant","сойова рослина"
"soybean plants","сойова рослина"
"soybean","соївў боби"
"soybeans","соївў боби"
"spinach","ўз шпинату"
"spinach seed","зернина шпинату"
"spinach seeds","насўння шпинату"
"spinach leaf","листок шпинату"
"spinach leaves","листя шпинату"
"spinach flower","квўтка шпинату"
"spinach flowers","квўтки шпинату"
"квўтка шпинатуs","квўтки шпинату"
"spinach leaf dye","барвник з листя шпинату"
"squash seed","зернина гарбуза"
"squash seeds","насўння гарбуза"
"squash leaf","листок гарбуза"
"squash leaves","листя гарбуза"
"squash flower","квўтка гарбуза"
"squash flowers","квўтки гарбуза"
"квўтка гарбузаs","квўтки гарбуза"
"squash","гарбуз"
"squashes","гарбузи"
"boiling sweet potato wine","кипляче картопляне вино"
"sweet potato skin dye","барвник зў шкўрки батату"
"tomato plant","рослина томату"
"tomato plants","рослини томату"
"frozen tomato wine","заморожене томатне вино"
"tomato wine","томатне вино"
"boiling tomato wine","кипляче томатне вино"
"tomato seed","насўнина помўдору"
"tomato seeds","насўння помўдору"
"tomato leaf","листок помўдора"
"tomato leaves","листя помўдора"
"tomato flower","квўтка помўдора"
"tomato flowers","квўтки помўдора"
"квўтка помўдораs","квўтки помўдора"
"tomato","помўдор"
"tomatoes","помўдори"
"tomato skin dye","барвник зў шкўрки помўдора"
"turnip skin dye","барвник зў шкўрки рўпи"
"watermelon vine","лоза кавуна"
"watermelon vines","лози кавуна"
"watermelon seed","насўнина кавуна"
"watermelon seeds","насўння кавуна"
"watermelon leaf","листок кавуна"
"watermelon leaves","листя кавуна"
"watermelon flower","квўтка кавуна"
"watermelon flowers","квўтки кавуна"
"квўтка кавунаs","квўтки кавуна"
"watermelon","кавун"
"watermelons","кавуни"
"кавунs","кавуни"
"watermelon dye","барвник з кавуна"
"tubers","бульби"
"frozen wine","заморожене вино"
"boiling wine","кипляче вино"
"grape dye","барвник з винограду"
"cranberry dye","барвник з журавлини"
"bilberry dye","барвник з чорницў"
"blueberry dye","барвник з лохини"
"blackberry dye","барвник з ожини"
"raspberry dye","барвник з малини"
"pineapple leaf dye","барвник з листя ананасу"
"satintail","шовкохвўст"
"field sedge","осока польова"
"arrow bamboo","стрўловий бамбук"
"golden bamboo","золотий бамбук"
"banana leaf dye","барсник з бананового листя"
"banana peel dye","барвник з бананово∙ шкўрки"
"carambola wood","дерево карамболи"
"cashew wood","дерево кеш'ю"
"fruit and nuts","плоди та горўхи"
"coffee wood","кавове дерево"
"coffee bean","кавовий бўб"
"coffee beans","кавовў боби"
"coffee bean dye","барвник з кавових зерен"
"durian wood","дерево дурўану"
"guava wood","дерево гуави"
"guava bark dye","барвник з кори гуави"
"guava leaf dye","барвник з листя гуави"
"papaya wood","дерево папа∙"
"paradise nut wood","дерево райського горўха"
"rambutan wood","деревина рамбутана"
"tea wood","деревина чаю"
"tea leaf dye","барвник з чайного листя"
"avocado wood","деревина авокадо"
"avocado skin dye","барвник зў шкўрки авокадо"
"lime wood","деревина лайма"
"pomelo wood","деревина помело"
"citron wood","деревина цитрона"
"orange wood","деревина апельсина"
"bitter orange wood","деревина гўркого апельсина"
"finger lime wood","деревина пальчикового лайма"
"round lime wood","деревина круглого лайма"
"desert lime wood","деревина пустельного лайма"
"kumquat wood","деревина кумквата"
"custard-apple wood","деревина кремового яблука"
"date palm wood","деревина фўнўку"
"lychee wood","деревина лўчў"
"macadamia wood","деревина макадамў∙"
"nuts","горўхи"
"olive oil soap","з оливково∙ олў∙ мило"
"melted olive oil soap","мило з розплавлено∙ оливково∙ олў∙"
"olive wood","деревина оливи"
"olive pomace","оливкова макуха"
"olive bark dye","барвник з кори оливи"
"olive leaf dye","барвник з листя оливи"
"pomegranate wood","деревина гранату"
"pomegranate leaf dye","барвник з листя граната"
"pomegranate rind dye","барвник зў шкўрки граната"
"pomegranate bark dye","барвник з кори гранату"
"almond wood","деревина мигдалю"
"almond shell dye","барвник з лушпиння мигдалю"
"apple tree","з яблунў"
"apple trees","яблунў"
"apple wood","деревина яблунў"
"frozen apple cider","замерзлий яблучний сидр"
"apple cider","яблучний сидр"
"boiling apple cider","киплячий яблучний сидр"
"apple","яблуко"
"apples","яблука"
"яблукоs","яблука"
"apple bark dye","барвник з кори яблунў"
"apple leaf dye","барвник з листя яблунў"
"apricot wood","деревина абрикосу"
"apricot","абрикос"
"apricots","абрикоси"
"абрикосs","абрикоси"
"apricot bark dye","барвник з кори абрикоса"
"bayberry wood","деревина шовковицў"
"waxy berries","восковў ягоди"
"bayberry leaf dye","барвник з листя шовковицў"
"bayberry dye","барвник з шовковицў"
"cherry wood","деревина вишнў"
"cherry","вишня"
"cherries","вишнў"
"cherry bark dye","барвник з кори вишнў"
"cherry leaf dye","барвник з вишневого листя"
"ginkgo wood","деревина гўнкго"
"ginkgo leaf dye","барвник з листя гўнкго"
"hazel wood","деревина лўщини"
"hazel bark dye","барвник з кори лўщини"
"hazel leaf dye","барвник з листя лўщини"
"peach wood","деревина персику"
"peaches","персики"
"peach bark dye","барвник з кори персика"
"pear wood","деревина грушў"
"pear","груша"
"pears","грушў"
"грушаs","грушў"
"pear bark dye","барвник з кори грушў"
"pear leaf dye","барвник з листя грушў"
"pecan wood","деревина пекану"
"persimmon wood","деревина хурми"
"persimmon dye","барвник з хурми"
"plum wood","деревина сливи"
"plums","сливи"
"сливаs","сливи"
"plum bark dye","барвник з кори сливи"
"sand pear wood","деревина пўщано∙ грушў"
"walnut wood","деревина волоського горўха"
"plump helmet","з товстого шоломника"
"plump helmets","товстў шоломники"
"frozen dwarven wine","заморожене дварфўйське вино"
"dwarven wine","дварфўйське вино"
"boiling dwarven wine","кипляче дварфўйське вино"
"plump helmet spawn","спора товстого шоломника"
"frozen dwarven ale","заморожений дварфўйський ель"
"dwarven ale","дварфўйський ель"
"boiling dwarven ale","киплячий дварфўйський ель"
"twisting stalks","звивистў стебла"
"frozen dwarven beer","заморожене дварфўйське пиво"
"dwarven beer","дварфўйське пиво"
"boiling dwarven beer","кипляче дварфўйське пиво"
