"more presumptious","anmaáender"
"giraffe","Giraffe"
"giraffes","Giraffen"
"giraffe calf","Giraffenkalb"
"giraffe calves","Giraffenk„lber"
"giraffe man","Giraffenmann"
"giraffe men","Giraffenm„nner"
"giraffe woman","Giraffenfrau"
"giraffe women","Giraffenfrauen"
"A person with the head and neck of a giraffe.","Eine Person mit dem Kopf und Hals einer Giraffe."
"giant giraffe","Riesen-Giraffe"
"giant giraffes","Riesen-Giraffen"
"giant giraffe calf","Riesen-Giraffenkalb"
"giant giraffe calves","Riesen-Giraffenk„lber"
"A huge monster the shape of a giraffe."," Ein riesiges Monster, in Form einer Giraffe."
"A small mammal known to defend itself ferociously in combat, often fighting off multiple animals many times its size.","Ein kleines S„ugetier, das dafr bekannt ist, sich im Kampf heftig zu verteidigen und oft mehrere Tiere abzuwehren, die ein Vielfaches seiner Gr”áe haben."
"honey badger","Honigdachs"
"honey badgers","Honigdachs"
"honey badger cub","Honigdachs-Welpen"
"honey badger cubs","Honigdachs-Welpen"
"fearlessness","angstlos"
"honey badger man","Honigdachsmann"
"honey badger men","Honigdachsm„nner"
"honey badger woman","Honigdachsfrau"
"honey badger women","Honigdachsfrauen"
"A humanoid with the head and stripes of a honey badger.","Ein Humanoid mit dem Kopf und den Streifen eines Honigdachses."
"giant honey badger","Riesenhonigdachs"
"giant honey badgers","Riesenhonigdachse"
"giant honey badger cub","Honigdachs Welpe"
"giant honey badger cubs","Honigdachs Welpen"
"A huge monster the shape of a honey badger.  It is ferocious in combat.","Ein riesiges Ungeheuer in Form eines Honigdachses. Es ist wild im Kampf."
"A medium-sized reptile with a large shell.  It can retreat into its shell to escape predators.","Ein mittelgroáes Reptil mit einem groáen Panzer. Es kann sich in seinen Panzer zurckziehen, um Raubtieren zu entkommen."
"giant tortoise","Riesenschildkr”te"
"giant tortoises","Riesenschildkr”ten"
"giant tortoise hatchling","Riesenschildkr”ten-Schlpflinge"
"giant tortoise hatchlings","Riesenschildkr”ten-Schlpflinge"
"retract into <pro_pos> shell","hineinziehen<pro_pos>shell"
"retracts into <pro_pos> shell","zieht hinein<pro_pos>shell"
"come out of <pro_pos> shell","herauskommen<pro_pos>shell"
"comes out of <pro_pos> shell","kommt heraus<pro_pos>shell"
"giant tortoise man","Riesenschildkr”tenmann"
"giant tortoise men","Riesenschildkr”tenm„nner"
"giant tortoise woman","Riesenschildkr”tenfrau"
"giant tortoise women","Riesenschildkr”tenfrauen"
"A person with a large shell and the head of a giant tortoise.","Eine Person mit einem groáen Panzer und dem Kopf einer Riesenschildkr”te."
"gigantic tortoise","Riesenschildkr”te"
"gigantic tortoises","Riesenschildkr”ten"
"gigantic tortoise hatchling","Riesenschildkr”ten-Schlpflinge"
"gigantic tortoise hatchlings","Riesenschildkr”ten-Schlpflinge"
"A huge monster with an enormous shell."," Ein riesiges Monster, in Form einer enormen Schale."
"A small mammal with a leathery hide.  It can roll into a ball to escape predators.","Ein kleines S„ugetier mit lederartigem Fell. Es kann sich zu einem Ball zusammenrollen, um Raubtieren zu entkommen."
"armadillo","Grteltier"
"armadillos","Grteltiere"
"armadillo pup","Grteltierwelpen"
"armadillo pups","Grteltierwelpen"
"thick, bony armor plates","dicke, kn”cherne Panzerplatten"
"roll into a ball","zu einer Kugel zusammenrollen"
"rolls into a ball","rollt sich zu einer Kugel zusammen"
"unroll","entrollen"
"unrolls","entrollt"
"armadillo sow","Grteltier-Sau"
"armadillo sows","Grteltier-S„ue"
"armadillo boar","Grteltier Eber"
"armadillo boars","Grteltier Eber"
"armadillo man","Grteltiermann"
"armadillo men","Grteltierm„nner"
"armadillo woman","Grteltierfrau"
"armadillo women","Grteltierfrauen"
"A person with the hide and head of an armadillo.","Eine Person mit dem Fell und dem Kopf eines Grteltiers."
"giant armadillo","Riesengrteltier"
"giant armadillos","Riesengrteltiere"
"giant armadillo pup","Riesengrteltierwelpen"
"giant armadillo pups","Riesengrteltierwelpen"
"A large monster the shape of an armadillo.  It has thick armor for skin.","Ein groáes Monster in Form eines Grteltiers. Es hat einen dicken Hautpanzer."
"giant armadillo boar","Riesengrteltier Wildschwein"
"giant armadillo boars","Riesengrteltier Wildschweine"
"giant armadillo sow","Riesengrteltier-Sau"
"giant armadillo sows","Riesengrteltier-S„ue"
"A large hooved animal with curved horns and a thick brown coat.  It is known for its strong odor.","Ein groáes Huftier mit gebogenen H”rnern und einem dicken braunen Fell. Es ist bekannt fr seinen starken Geruch."
"muskox","Moschusochse"
"muskoxen","Moschusochsen"
"muskox calf","Moschusochsen-Kalb"
"muskox calves","Moschusochsen-K„lber"
"muskox man","Moschusochsenmann"
"muskox men","Moschusochsenm„nner"
"muskox woman","Moschusochsenfrau"
"muskox women","Moschusochsenfrauen"
"A horned person with the head of a muskox."," Eine geh”rnte Gestalt mit dem Kopf einer Moschusochsen."
"giant muskox","Riesenmoschusochse"
"giant muskoxen","Riesenmoschusochsen"
"giant muskox calf","Riesenmoschusochsenkalb"
"giant muskox calves","Riesenmoschusochsenk„lber"
"A huge monster in the form of a muskox."," Ein riesiges Monster, in Form eines Moschusochsen."
"A large hooved animal found roaming wild in temperate forests.  The males have long antlers.","Ein groáes Tier mit Hufen, das in den W„ldern der gem„áigten Zonen wild lebt. Die M„nnchen haben ein langes Geweih."
"elk","Elch"
"elk fawn","Elchkitz"
"elk fawns","Elchkitze"
"elk man","Elchmann"
"elk men","Elchm„nner"
"elk woman","Elchfrau"
"elk women","Elchfrauen"
"A person with the head of an elk.","Eine Person mit dem Kopf eines Elchs."
"giant elk","Riesen-Elch"
"giant elk fawn","Riesenelchkitz"
"giant elk fawns","Riesenelchkitze"
"A huge monster in the form of an elk."," Ein riesiges Monster, in Form eines Elches."
"A huge predatory mammal covered in white hair.  It hunts the shores along tundra and glaciers.","Ein riesiges, r„uberisches S„ugetier mit weiáem Haar. Es jagt an den Ufern von Tundra und Gletschern."
"polar bear","Eisb„r"
"polar bears","Eisb„ren"
"polar bear cub","Eisb„renjunge"
"polar bear cubs","Eisb„renjunge"
"polar bear man","Eisb„rmann"
"polar bear men","Eisb„rm„nner"
"polar bear woman","Eisb„rfrau"
"polar bear women","Eisb„rfrauen"
"A large person with the head of a polar bear.","Eine groáe Person mit dem Kopf eines Eisb„ren."
"giant polar bear","Rieseneisb„r"
"giant polar bears","Rieseneisb„ren"
"giant polar bear cub","Rieseneisb„rjunges"
"giant polar bear cubs","Rieseneisb„rjunges"
"A huge monster in the shape of a polar bear."," Ein riesiges Monster, in Form eines Eisb„ren."
"A small, muscular, weasel-like creature.  It is known for its ferocity.","Eine kleine, muskul”se, wieselartige Kreatur. Es ist bekannt fr seine Wildheit."
"wolverine","ielfraá"
"wolverines","Vielfraáe"
"wolverine kit","Vielfraá Junges"
"wolverine kits","Vielfraá Junge"
"wolverine man","Vielfraá Mann"
"wolverine men","Vielfraá M„nner"
"wolverine woman","Vielfraáfrau"
"wolverine women"," Vielfraáfrauen"
"A person with the head and tail of a wolverine.","Eine Person mit dem Kopf und Schwanz eines Vielfraáes."
"giant wolverine","riesiger Vielfraá"
"giant wolverines","riesige Vielfraáe"
"giant wolverine kit","Riesiges Vielfraá Junges"
"giant wolverine kits","Riesige Vielfraá Junge"
"A large, terrifying monster the shape of a wolverine.","Ein riesiges Monster, in Form eines Vielfraáes."
"A tiny furry rodent dwelling in the hollow cracks of rocks.  They can be found high in the mountains.","Ein winziges pelziges Nagetier, das in den hohlen Spalten von Felsen lebt. Man findet sie hoch in den Bergen."
"chinchilla","Chinchilla"
"chinchillas","Chinchillas"
"chinchilla kit","Chinchilla Junges"
"chinchilla kits","Chinchilla Junge"
"fur","Fell"
"chinchilla man","Chinchillam„nnchen"
"chinchilla men","Chinchillam„nnchen"
"chinchilla woman","Chinchillaweibchen"
"chinchilla women","Chinchillaweibchen"
"A hairy person with the head and tail of a chinchilla."," Einer haarige Person mit dem Kopf und Schwanz eines Chinchillas.."
"giant chinchilla","Riesenchinchilla"
"giant chinchillas","Riesenchinchillas"
"giant chinchilla kit","Riesiges Chinchilla Junges"
"giant chinchilla kits","Riesige Chinchilla Junge"
"A large monster in the shape of a chinchilla.","Ein groáes Monster in Form eines Chinchillas."
"A transparent and amorphous monster that lives underground.  It is small in size and is found crawling across the cavern floor.  Its organs appear to be floating inside of its body.","Ein transparentes und amorphes Monster, das unter der Erde lebt. Es ist klein und krabbelt ber den H”hlenboden. Seine Organe scheinen im Inneren seines K”rpers zu schweben."
"floating guts","Schwimmende Eingeweide"
"freakish appearance","Ausgefallene Erscheinung"
"A large quadruped with a mane circling its manlike face and hands at the end of its forelimbs.  It lives underground and is fond of raiding the supplies of cavern outposts.","Ein groáer Vierbeiner mit einer M„hne, die sein menschen„hnliches Gesicht umgibt, und H„nden an den Enden seiner Vorderbeine. Er lebt unterirdisch und plndert gerne die Vorr„te der H”hlenvorposten."
"drunian","Drunian"
"drunians","Druniane"
"manes","M„hnen"
"A small underground monster that crawls across the cavern wall with its four clawed hands.  It has a single large eye which can shine with its own light, otherwise its stony skin blends in with the rock.  It has no mouth and is said to feed on evil alone.","Ein kleines unterirdisches Ungeheuer, das mit seinen vier Klauenh„nden ber die H”hlenwand krabbelt. Es hat ein einziges groáes Auge, das mit seinem eigenen Licht leuchten kann, ansonsten verschmilzt seine steinerne Haut mit dem Fels. Es hat keinen Mund und ern„hrt sich angeblich nur vom B”sen."
"creeping eye","kriechendes Auge"
"creeping eyes"," kriechende Augen"
"unnerving stare","nervenaufreibender Blick"
"A huge cave monster with hundreds of feet moving along the bottom of its long body.  In place of a head, it has an enormous toothy maw.","Ein riesiges H”hlenmonster mit Hunderten von Fáen, die sich an der Unterseite seines langen K”rpers bewegen. Anstelle eines Kopfes hat es ein riesiges, zahn„hnliches Maul.."
"voracious cave crawler","gefr„áiger H”hlenkriecher"
"voracious cave crawlers","gefr„áige H”hlenkriecher"
"scary mouths","Gruselige M„uler"
"A large cavern-dwelling humanoid monster.  It has a gaping mouth with many sharp teeth.  It has no eyes and only two digits on each hand and foot.","Ein groáes, h”hlenbewohnendes humanoides Ungeheuer. Es hat ein klaffendes Maul mit vielen scharfen Z„hnen. Es hat keine Augen und nur zwei Zehen an jeder Hand und jedem Fuá.."
"blind cave ogre","Blindes H”hlenungeheuer"
"blind cave ogres","Blindes H”hlenungeheuer"
"echoing howls","heult Echos"
"A tiny amphibian with a long prehensile tail.  It lives in underground swamps and tower-cap forests on which it feeds.","Eine winzige Amphibie mit einem langen Greifschwanz. Sie lebt in unterirdischen Smpfen und Turmhaufenw„ldern, von denen sie sich ern„hrt."
"cap hopper","Kappenhpfer"
"cap hoppers","Kappenhpfer"
"swinging antics","schwingende Narren"
"A small rock-eating creature that lives in molten rock.  It scurries on little feet and swims through liquid rock with sharp wings.  It uses magma to digest rock and spits out burning globs.","Eine kleine steinfressende Kreatur, die in geschmolzenem Gestein lebt. Es wuselt auf kleinen Fáen und schwimmt mit scharfen Flgeln durch flssiges Gestein. Es nutzt Magma, um Gestein zu verdauen und spuckt brennende Kugeln aus.."
"magma crab","Magmakrabbe"
"magma crabs","Magmakrabben"
"chittering","zitternd"
"Spit molten rock","Spuckt geschmolzenes Gestein"
"spit a glob of molten rock","spuckt einen Klumpen geschmolzenes Gestein"
"spits a glob of molten rock","spuckt einen Klumpen geschmolzenes Gestein"
"exterior","Auáenbereich"
"A tiny underground monster with large claws and horns.  It walks on two legs and is dangerous when encountered in large numbers.","Ein winziges unterirdisches Ungeheuer mit groáen Klauen und H”rnern. Es l„uft auf zwei Beinen und ist gef„hrlich, wenn es in groáer Zahl auftritt."
"crundle","Crundel"
"crundles","Cruendel"
"nervous energy","gereizte Energie"
"A fearsome, long-toothed mouth the size of a man's head, flying on bat wings.  It is found in deep caves.","Ein furchterregendes, langzahniges Maul von der Gr”áe eines M„nnerkopfes, das auf Fledermausflgeln fliegt. Man findet sie in tiefen H”hlen."
"hungry head","hungriger Kopf"
"hungry heads","hungrige K”pfe"
"A large ball of skin found moving around the debris near underground ponds.  It is there that it absorbs dead matter for food.","Ein groáes Hautkn„uel, das sich in der N„he von unterirdischen Tmpeln auf dem Schutt bewegt. Dort nimmt sie tote Materie als Nahrung auf."
"flesh ball","Fleischkugel"
"flesh balls","Fleischkugeln"
"calming roundness","beruhigende Rundung"
"warmth","W„rme"
"flesh","Fleisch"
"A large creature found grazing on mushrooms deep underground.  It walks on two legs and has the head of a bird with the antlers of a great elk.","Eine groáe Kreatur, die sich tief unter der Erde von Pilzen ern„hrt. Es geht auf zwei Beinen und hat den Kopf eines Vogels mit dem Geweih eines groáen Elchs.."
"elk bird","Elchvogel"
"elk birds","Elchv”gel"
"elk bird hatchling","Elchvogel-Schlpflinge"
"elk bird hatchlings","Elchvogel-Schlpflinge"
"elegant horns","elegante H”rner"
"A snake-like creature living deep underground.  Its head is covered in armor so that is resembles the head of a dragon.","Eine schlangenartige Kreatur, die tief unter der Erde lebt. Sein Kopf ist gepanzert, so dass er dem Kopf eines Drachens „hnelt.."
"helmet snake","Helmschlange"
"helmet snakes","Helmschlangen"
"impressive heads","beeindruckende K”pfe"
"frozen helmet snake venom","Gefrorenes Helmschlangengift"
"helmet snake venom","Helmschlangengift"
"boiling helmet snake venom"," kochendes Helmschlangengift"
"helmet snake bite","Helm-Schlangenbiss"
"A medium-sized monster walking on two clawed legs.  It has two mouths on the ends of a pair of tentacles.  It uses its mouths to digest its victims with acid and rows of razor-like teeth.","Ein mittelgroáes Ungeheuer, das auf zwei Klauenbeinen l„uft. Es hat zwei M„uler an den Enden eines Tentakelpaars. Mit seinen M„ulern verdaut es seine Opfer mit S„ure und rasiermesserartigen Zahnreihen.."
"green devourer","grner Verschlinger"
"green devourers","grne Verschlinger"
"A huge monster with an enormous tail, covered with thick fur.  They run on four legs and can be found deep under the earth.","Ein riesiges Ungeheuer mit einem enormen Schwanz, der mit dickem Fell bedeckt ist. Sie laufen auf vier Beinen und sind tief unter der Erde zu finden."
"rutherer","Rrutherer"
"rutherers","Rutherers"
"enormous tails"," enorme Schw„nze"
"A tiny underground creature made of a mass of appendages resembling human fingers.  It creeps across the ground like a starfish and eats with a mouth on the bottom of its body.","Eine winzige unterirdische Kreatur, die aus einer Masse von Anh„ngseln besteht, die menschlichen Fingern „hneln. Es kriecht wie ein Seestern ber den Boden und frisst mit einem Mund an der Unterseite seines K”rpers."
"creepy crawler","Unheimlicher Kriecher"
"creepy crawlers","Unheimliche Kriecher"
"freakish wriggling","wildes Gezappel"
"A large, long-bodied grazer with a thick mane that feeds on the tops of towercap mushrooms deep under the earth.","Ein groáer, langgestreckter Weideg„nger mit einer dicken M„hne, der sich von den Spitzen der Turmdeckelpilze tief unter der Erde ern„hrt."
"draltha","Draltha"
"dralthas","Dralthas"
"lustrous manes","gl„nzende M„hnen"
"A gigantic version of its tiny cousin, this long, slimy creature tunnels through the rocks deep underground.","Diese lange, schleimige Kreatur ist eine gigantische Version ihres winzigen Vetters und gr„bt sich tief unter der Erde durch die Felsen."
"giant earthworm","Riesen-Regenwurm"
"giant earthworms","Riesen-Regenwrmer"
"awesome presence","ehrfrchtige Pr„senz"
"A man-shaped abomination made entirely of blood.  These cursed creatures are only found very near the underworld.","Eine menschenf”rmige Abscheulichkeit, die vollst„ndig aus Blut besteht. Diese verfluchten Kreaturen sind nur ganz in der N„he der Unterwelt zu finden.."
"blood man","Blutmensch"
"blood men","Blutmenschen"
"blood","Blut"
"gruesomeness","Grausamkeit"
"frozen corrupted blood","gefrorenes verdorbenes Blut"
"corrupted blood","verdorbenes Blut"
"boiling corrupted blood","kochendes, verdorbenes Blut"
"A small bat-like creature with the head of an insect.  It is found deep underground.","Eine kleine fledermausartige Kreatur mit einem Insektenkopf. Man findet sie tief unter der Erde."
"bugbat","Flederkaefer"
"bugbats","Flederkaefer"
"bugbat pup","Flederkaeferjunge"
"bugbat pups","Flederkaeferjunge"
"freakish insect heads","Abgedrehte Insektenk”pfe"
"A creature that crawls along the cavern ceiling with four long arms.  Its body is shaped as the head of a man with a mouth full of shark teeth.  It waits for its prey to pass below.","Eine Kreatur, die mit vier langen Armen an der H”hlendecke entlangkriecht. Ihr K”rper hat die Form eines M„nnerkopfes mit einem Maul voller Haifischz„hne. Es wartet darauf, dass seine Beute unter ihm vorbeikommt."
"manera","Manera"
"maneras","Maneras"
"A hideous monster that has the body of a giant mole-rat and the torso of a mole-rat man.   It is found deep underground.","Ein abscheuliches Monster, das den Koerper einer riesigen Nacktmull und den Oberkoerper eines Nacktmullmenschen hat.    Es ist tief unter der Erde zu finden."
"molemarian","Mullmaurus"
"molemarians","Mullmauren"
"molemarian puppy","Mullmaurus Junges"
"molemarian puppies","Mullmaurus Junge"
"A huge monster that lurks in caverns deep under the earth.  It uses its wide beak to reach down and pluck up unsuspecting intruders.","Ein riesiges Ungetm, das in H”hlen tief unter der Erde lauert. Es nutzt seinen langen Schnabel, um nach unten zu schnappen und ahnungslose Eindringlinge zu verschlingen."
"jabberer","Schw„tzer"
"jabberers"," Schw„tzer"
"jabberer hatchling","Schw„tzer Kken"
"jabberer hatchlings","Schw„tzer Kken"
"frightening beaks","Angstmachende Schn„bel"
"A small creature that lives in watery ditches deep underground.  It has a sharp beak and four tentacles with claws at the end.","Eine kleine Kreatur, die in Wassergr„ben tief unter der Erde lebt. Es hat einen scharfen Schnabel und vier Tentakel mit Krallen am Ende."
"pond grabber","Teichgreifer"
"pond grabbers","Teichgreifer"
"stab at","kratzen"
"stabs at","kratzt"
"A huge emaciated-looking bear with great drooping ears and many sharp teeth.  It is found deep underground.","Ein riesiger, abgemagerter B„r mit groáen H„ngeohren und vielen scharfen Z„hnen. Man findet ihn tief unter der Erde."
"blind cave bear","Blinder H”hlenb„r"
"blind cave bears","Blinde H”hlenb„ren"
"blind cave bear cub","Blindes H”hlenb„rjunges"
"blind cave bear cubs","Blindes H”hlenb„rjunges"
"drooping ears","gepunkte Ohren"
"A gigantic monster, once a dragon, now adapted to and polluted by the underground.  Its wings fall limp at its side.  Its face is full of incredibly long teeth.  Its eyes are large to penetrate the darkness.","Ein rieáiges Monster, einst ein Drache, nun angepasst an ein Leben im Untergrund. Seine verkmmerten Flgel h„ngen an den Seiten herab. Es hat unglaublich lange Z„hne und groáe Augen, um die Dunkelheit besser mit seinem Blick durchdringen zu k”nnen."
"cave dragon","H”hlendrache"
"cave dragons","H”hlendrachen"
"cave draconic","H”hlendrache"
"impressive teeth","beeindruckende Z„hne"
"large eyes","groáe Augen"
"claws","Tritte"
"A humanoid monster found lurking far underground.  It feigns death, usually near water, until a victim passes by.  It then uses its long arms to drag its prey into the water to drown or strangle them.","Ein humanoides Ungeheuer, das weit unter der Erde lauert. Es t„uscht den Tod vor, meist in der N„he von Wasser, bis ein Opfer vorbeikommt. Dann schleppt es seine Beute mit seinen langen Armen ins Wasser, um sie zu ertr„nken oder zu erwrgen.."
"reacher","Zulanger"
"reachers","Zulanger"
"sinister nature","b”se Natur"
"Living gabbro in the shape of a man.  These strange creatures are found deep underground.","Lebendiger Gabbro in Form eines Menschen. Diese seltsamen Kreaturen sind tief unter der Erde zu finden."
"gabbro man","Gabbro Mensch"
"gabbro men","Gabbro Menschen"
"rockiness","šbermut"
"gabbro","Gabbro"
"A small, round humanoid found wandering the caves deep underground.  Most of its body is taken up by a huge tusked mouth.","Ein kleiner, runder Humanoid, der in den H”hlen tief unter der Erde umherwandert. Der gr”áte Teil seines K”rpers wird von einem riesigen Maul mit Hauern eingenommen."
"gorlak","Gorlak"
"gorlaks","Gorlaks"
"impressive tusks","beeindruckende Stoáz„hne"
"stimulating conversation","anregendes Gespr„ch"
"helpful guidance","helfende Fhrung"
"A floating pod with eye-stalks.  It can spray poison and it gives off poison gas when punctured.","Eine schwimmende Schote mit Augenst„ngeln. Sie kann Gift versprhen und gibt Giftgas ab, wenn sie durchstochen wird.."
"cave floater","H”hlenschwimmer"
"cave floaters","H”hlenschwimmer"
"graceful drifting","anmutiges Treiben"
"frozen cave floater juice","gefrorener H”hlenschwimmersaft"
"cave floater juice","H”hlenschwimmersaft"
"cave floater gas","H”hlenschwimmergas"
"cave floater sickness","H”hlenschwimmer Krankheit"
"interior gas","Innengas"
"pod","Geh„use"
"Spray juice","Saft versprhen"
"spray a stream of steaming juice","versprht einen Strahl aus dampfendem Saft"
"sprays a stream of steaming juice","versprht einen Strahl aus dampfendem Saft"
"A small humanoid resembling a walking mushroom with arms and legs.  It lives far underground near water and soil.","Ein kleines humanoides Wesen das einem laufenden Pilz mit Armen und Beinen „hnelt. Es lebt tief im Untergrund in der N„he von Wasser und Schlamm."
"plump helmet man","Pflaumenhelmmensch"
"plump helmet men","Pflaumenhelmmenschen"
"similarity with food","hnlichkeit mit Essen"
"plump helmet man tissue","Plumpkappenmenschgewebe"
"melted plump helmet man tissue","geschmolzenes Plumpkappenmensch Gewebe"
"boiling plump helmet man tissue","kochendes Plumpkappenmenschgewebe"
"A strange shapeless life form with an orange leathery skin containing a liquid interior.  It can secrete its internal fluid.","Eine seltsame formlose Lebensform mit einer orangefarbenen ledrigen Haut, die ein flssiges Inneres enth„lt. Es kann seine innere Flssigkeit absondern."
"cave blob","H”hlenschleim"
"cave blobs","H”hlenschleime"
"bright orange color","leuchtend orange"
"frozen cave blob fluid","Gefrorene H”hlenflssigkeit"
"cave blob fluid","H”hlenschleim Flssigkeit"
"boiling cave blob fluid","kochende H”hlenschleim Flssigkeit"
"blob blisters","Schleimblasen"
"fluid","Flssigkeit"
"A strange crystalline creature the shape of a man.  It is found deep underground.","Eine seltsame kristalline Kreatur in form eines Menschen. Sie ist tief im Untergrund zu finden."
"amethyst man","Amethysmensch"
"amethyst men","Amethystmenschen"
"amethyst","Amethyst"
"A medium-sized underwater mollusk with eight arms.  It is the most clever of its kind.","Ein mittelgroáes Unterwasser Weichtier mit Acht Armen. Es  ist das intelligenteste seiner Art."
"octopus","Oktopus"
"octopuses","Oktopusse"
"many arms","viele Arme"
"frozen octopus ink","gefrorene Oktopus Tinte"
"octopus ink","Oktopus Tinte"
"boiling octopus ink","kochende Oktopus Tinte"
"Squirt ink","Tintenfischtinte"
"squirt ink","Tintenfischtinte"
"squirts ink","Tintenfischtinten"
"octopus man","Oktopusmensch"
"octopus men","Oktopusmenschen"
"octopus woman","Oktopusfrau"
"octopus women","Oktopusfrauen"
"A person with an octopus in place of a head.","Eine Person mit einem Oktopuskopf."
"giant octopus","Riesen Oktopus"
"giant octopuses","Riesen Oktopusse"
"A dangerous water monster known for attacking ships at sea.","Ein gef„hrliches Seeungeheuer, das dafr bekannt ist Schiffe anzugreifen."
"A tiny shelled ocean creature with many long legs.  It has two large pincers on its front limbs.","Eine winzige gepanzerte Meereskreatur mit vielen langen Beinen. Sie hat 2 groáe Scheren an den Vorderarmen."
"crab","Krabbe"
"crabs","Krabben"
"sideways walk","seitw„rtiger Gang"
"crab man","Krabbenmensch"
"crab men","Krabbenmenschen"
"crab woman","Krabbenfrau"
"crab women","Krabbenfrauen"
"A person with the head and pincers of a crab.","Eine Person mit dem Kopf und den Zangen einer Krabbe."
"giant crab","Riesenkrabbe"
"giant crabs","Riesenkrabben"
"A large monster in the shape of a crab.","Ein groáes Monster in Form einer Krabbe."
"A large predatory amphibious mammal.  It is difficult to evade once in the water.","Ein groáes, r„uberisches, amphibisches S„ugetier. Sobald es im Wasser ist, ist es schwer zu entkommen.."
"leopard seal","Seeleopard"
"leopard seals","Seeleopard"
"leopard seal pup","Seeleopardenwelpen"
"leopard seal pups","Seeleopardenwelpen"
"fierce nature","wilde Natur"
"leopard seal man","Seeleopardenmensch"
"leopard seal men","Seeleopardenmenschen"
"leopard seal woman","Seeleopardenfrau"
"leopard seal women","Seeleopardenfrauen"
"A legless person with the head and back flippers of a leopard seal.","Ein beinloser Mensch mit dem Kopf und den Rckenflossen eines Seeleoparden."
"giant leopard seal","riesen Seeleopard"
"giant leopard seals","riesen Seeleoparden"
"giant leopard seal pup","riesen Seeleopardenrobbe"
"giant leopard seal pups","riesen Seeleopardenrobben"
"A giant monster in the form of a leopard seal.","Ein riesiges Ungeheuer in Form eines Seeleoparden."
"A tiny sea mollusk.  It can change color and skin patterns for communication.","Eine winzige Meeresmolluske. Sie kann Farbe und Hautmuster zur Kommunikation „ndern."
"cuttlefish","Tintenfisch"
"ability to change color","kann seine Farbe „ndern"
"distinctive pupils","unverwechselbare Pupilen"
"frozen cuttlefish ink","gefrorene Tintenfischtinte"
"cuttlefish ink","Tintenfisch Tinte"
"boiling cuttlefish ink","kochende Tintenfisch Tinte"
"cuttlefish man","Tintenfischmensch"
"cuttlefish men","Tintenfischmenschen"
"cuttlefish woman","Tintenfisch Frau"
"cuttlefish women","Tintenfisch Frauen"
"A person with a cuttlefish in place of a head.","Eine Person mit einem Tintenfisch anstelle eines Kopfes."
"giant cuttlefish","Riesentintenfisch"
"A huge sea monster in the shape of a cuttlefish."," Ein riesiges Monster, in Form eines Tintenfischs."
"A huge ocean mammal.  It is a vicious predator and can hunt in groups.","Ein riesiges Meeress„ugetier. Er ist ein b”sartiger R„uber und kann in Gruppen jagen."
"orca","Schwertwal"
"orcas","Schwertwale"
"orca calf","Schwertwal-Kalb"
"orca calves","Schwertwal-K„lber"
"great jumps"," groáartige Sprnge"
"orca man","Killerwalmensch"
"orca men","Killerwalmenschen"
"orca woman","Killerwal Frau"
"orca women","Killerwal Frauen"
"An aquatic person in the shape of an orca with arms.","Ein Wasserbewohner in Form eines Orcas mit Armen."
"giant orca","Riesenschwertwal"
"giant orcas","Riesenschwertwale"
"giant orca calf","Riesen Killerwal-Kalb"
"giant orca calves","Riesen Killerwal-K„lber"
"A gigantic monster in the shape of an orca."," Ein riesiges Monster, in Form eines Orcas."
"A tiny sea creature which dwells on the ocean floor, devoid of senses or motion.","Ein winziges Meerestier, das auf dem Meeresboden lebt und keine Sinne oder Bewegungen hat."
"sponges","Schw„mme"
"squishy texture","matschige Textur"
"sponge man","Schwammmann"
"sponge men","Schwammm„nner"
"A person in the form of a sponge with arms and legs.","Eine Person in Form eines Schwamms mit Armen und Beinen."
"giant sponge","Riesenschwamm"
"giant sponges","Riesenschw„mme"
"A huge immobile sponge."," Ein riesiger bewegungsloser Schwamm."
"A tiny sea animal that lives in the sand just offshore.  It has a flat body with legs underneath.","Ein winziges Meerestier, das direkt vor der Kste im Sand lebt. Es hat einen flachen K”rper mit Beinen an der Unterseite."
"horseshoe crab","Pfeilschwanzkrebs"
"horseshoe crabs","Pfeilschwanzkrebse"
"ability to hide in sand","kann sich im Sand verstecken"
"horseshoe crab man","Pfeilschwanzkrebsmensch"
"horseshoe crab men","Pfeilschwanzkrebsmenschen"
"horseshoe crab woman","Pfeilschwanzkrebs Frau"
"horseshoe crab women","Pfeilschwanzkrebs Frauen"
"A person with the head, shell, and tail of a horseshoe crab.","Eine Person mit dem Kopf, Panzer und Schwanz eines Pfeilschwanzkrebses."
"giant horseshoe crab","Riesen Pfeilschwanzkrebs"
"giant horseshoe crabs","Riesen Pfeilschwanzkrebse"
"A huge monster in the form of a horseshoe crab."," Ein riesiges Monster, in Form eines Pfeilschwanzkrebs."
"A giant marine mammal with a toothy jaw.","Ein riesiges Meeress„ugetier mit einem zahnartigen Kiefer."
"sperm whale","Pottwal"
"sperm whales","Pottwale"
"sperm whale calf","Pottwal-Kalb"
"sperm whale calves","Pottwal-K„lber"
"vengeful nature","rachschtige Natur"
"sperm whale man","Pottwalmensch"
"sperm whale men","Pottwalmenschen"
"sperm whale woman","Pottwalfrau"
"sperm whale women","Pottwalfrauen"
"A huge person with the head and flippers of a sperm whale.","Ein riesiger Mensch mit dem Kopf und den Flossen eines Pottwals."
"giant sperm whale","Riesenpottwal"
"giant sperm whales","Riesenpottwale"
"giant sperm whale calf","Riesenpottwal-Kalb"
