"more presumptious","bardziej arogancki"
"A tiny winged humanoid with shifting colors which performs intricate aerial dances in large groups.","Malutki skrzydlaty humanoid o zmieniaj•cych si© kolorach, kt¢ry wykonuje zawiàe powietrzne ta‰ce w duæych grupach."
"pixie","chochlik"
"pixies","chochliki"
"shifting colors","wielobarwny"
"intricate aerial dances","zawiàe powietrzne ta‰ce"
"A creature from the evil swamp.  It resembles a squat, wingless bird with powerful beak and legs.  Its blotchy skin is brightly colored.","Stw¢r ze zàego bagna. Przypomina przysadzistego, bezskrzydàego ptaka z pot©ænym dziobem i nogami. Jego poplamiona sk¢ra jest jaskrawo zabarwiona."
"beak dog","bagienny gryf"
"beak dogs","bagienne gryfy"
"beak dog pup","szczeni© bagiennego gryfa"
"beak dog pups"," szczeni©ta bagiennego gryfa"
"chatters and clicks","szczebiotania i kàapni©cia"
"hunched backs","zgarbione plecy"
"large beaks","duæe dzioby"
"An evil monster from the swamp.  It resembles a knot of waterlogged weeds but will strike the unaware victim.","Zày potw¢r z bagien. Przypomina k©p© nasi•kni©tych wod• chwast¢w, ale uderza w nieòwiadom• ofiar©."
"grimeling","grimeling"
"grimelings","grimelingi"
"slithering nature","peàzaj•ca natura"
"weedy bodies","ciaào z chwast¢w"
"A man-shaped creature with the legs of a goat and the empty-eyed skull of a goat.","Stw¢r w ksztaàcie czàowieka z nogami kozy i czaszk• kozàa z pustymi oczami."
"foul blendec","plugawy blendek"
"foul blendecs","plugawe blendeki"
"goat heads","kozia gàowa"
"goat legs","kozie nogi"
"rotten eye sockets","zgniàe oczodoày"
"A large, four-armed ape creature with three eyes and razor-sharp teeth.","Wielka, czteror©ka maàpa z trojgiem oczu i ostrymi jak brzytwa z©bami."
"strangler","dusiciel"
"stranglers","dusiciele"
"resounding hoots","gàoòne pohukiwania"
"graceful leaps","peàne wdzi©ku skoki"
"three eyes","troje oczu"
"toothy maw","z©bata paszcza"
"A flying monster with stretched skin over its emaciated body.  It has the head of a jackal with needle-like horns protruding through its mane.","Lataj•cy potw¢r z rozci•gni©t• sk¢r• na wychudzonym ciele. Ma gàow© szakala z rogami przypominaj•cymi igày wystaj•cymi z grzywy."
"nightwing","nocnoskrzydày"
"nightwings","nocnoskrzydli"
"jackal heads","gàowa szakala"
"bat wings","nietoperze skrzydàa"
"long tails","dàugie ogony"
"fangs","kày"
"ability to suck blood","zdolnoòÜ do ssania krwi"
"tightly-stretched skin","mocno naci•gni©ta sk¢ra"
"needle-like horns","rogi przypominaj•ce igày"
"A monster in the shape of a woman with a bird's wings in place of arms and talons for feet.","Potw¢r w ksztaàcie kobiety z ptasimi skrzydàami zamiast ramion i szponami zamiast n¢g."
"harpy","harpia"
"harpies","harpie"
"feathery wings","pierzaste skrzydàa"
"fearsome talons","przeraæaj•ce szpony"
"A giant dragon-like monster with seven biting heads.","Gigantyczny smokopodobny potw¢r z siedmioma gryz•cymi gàowami."
"hydra","hydra"
"hydras","hydry"
"seven heads","siedem gà¢w"
"A man-like creature with the tail of a fish instead of legs.","Istota podobna do czàowieka z rybim ogonem zamiast n¢g."
"merperson","syrena"
"merpeople","syreny"
"mermaid","syrena"
"mermaids","syreny"
"merman","syrena"
"mermen","syreny"
"A giant limbless dragon that lives in the sea.","Gigantyczny smok bez ko‰czyn, kt¢ry æyje w morzu."
"sea serpent","w•æ morski"
"sea serpents","w©æe morskie"
"sea serpent hatchling","piskl©ta w©æa morskiego"
"sea serpent hatchlings"," piskl©ta w©æa morskiego"
"A giant creature with many eyes and arms to terrify the sea.","Olbrzymie stworzenie z wieloma oczami i ramionami, kt¢re budzi groz© na morzu."
"sea monster","potw¢r morski"
"sea monsters","potwory morskie"
"horrifying freakish appearance","przeraæaj•cy dziwaczny wygl•d"
"sea monster hatchling","piskl© potwora morskiego"
"sea monster hatchlings"," piskl©ta potwora morskiego"
"A bird of prey so large and ferocious it dwarfs many dragons.  All beneath its mighty wings should fear the sky.","Drapieæny ptak tak duæy i dziki, æe przewyæsza wiele smok¢w. Wszyscy pod jego pot©ænymi skrzydàami powinni baÜ si© nieba."
"roc","rok"
"rocs","roki"
"roc hatchling","piskl© roka"
"roc hatchlings","piskl©ta roka"
"awe-inspiring size","zapieraj•cy dech w piersiach rozmiar"
"dedication to their young","oddanie màodym"
"A huge, predatory reptile with pale, colorless scales and red eyes.  It lives in caves and ambushes its prey.","Ogromny, drapieæny gad o bladych, bezbarwnych àuskach i czerwonych oczach. Ωyje w jaskiniach i zasadza si© na swoje ofiary."
"cave crocodile","krokodyl jaskiniowy"
"cave crocodiles"," krokodyle jaskiniowe"
"cave crocodile hatchling","màody krokodyla jaskiniowego"
"cave crocodile hatchlings","màode krokodyla jaskiniowego"
"A giant amphibian predator found underground.","Gigantyczny drapieænik-pàaz znaleziony pod ziemi•."
"giant cave toad","gigantyczna ropucha jaskiniowa"
"giant cave toads","gigantyczne ropuchy jaskiniowe"
"A giant amphibian predator found underground near water.","Gigantyczny drapieænik-pàaz znaleziony pod ziemi• w pobliæu wody."
"giant olm","giantyczny olm"
"giant olms","giantyczne olmy"
"A giant flying mammal found underground.","Gigantyczny lataj•cy ssak znaleziony pod ziemi•."
"giant bat","Gigantyczny nietoperz"
"giant bats","gigantyczne nietoperze"
"giant bat pup","màode gigantycznego nietoperza"
"giant bat pups","màode gigantycznego nietoperze"
"A gigantic rodent found underground.","Gigantyczny gryzo‰ znaleziony pod ziemi•."
"giant rat","gigantyczny szczur"
"giant rats","gigantyczne szczury"
"giant rat pup","màode gigantycznego szczura"
"giant rat pups","màode gigantycznego szczura"
"A huge rodent found underground.","Ogromny gryzo‰ znaleziony pod ziemi•."
"large rat","wi©kszy szczur"
"large rats","wi©ksze szczury"
"large rat pup","màode wi©kszego szczura"
"large rat pups","màode wi©kszego szczura"
"A large, pale rodent with loose, hanging, hairless skin.  It has long teeth and an incredibly powerful bite.  It is found underground.","Duæy, blady gryzo‰ o lu´nej, wisz•cej i bezwàosej sk¢rze. Ma dàugie z©by i niesamowicie mocny zgryz. Moæna go znale´Ü pod ziemi•."
"naked mole dog","nagi kret"
"naked mole dogs","nagie krety"
"naked mole puppy","szczeni© nagiego kreta"
"naked mole puppies","szczeni©ta nagiego kreta"
"wrinkly skin","pomarszczona sk¢ra"
"A savage man-like cave creature.","Dzikie stworzenie jaskiniowe przypominaj•ce czàowieka."
"troglodyte","troglodyta"
"troglodytes","troglodyci"
"A gigantic digging creature found underground.","Gigantyczne kopi•ce stworzenie znalezione pod ziemi•."
"giant mole","gigantyczny kret"
"giant moles","gigantyczne krety"
"giant mole pup","màode gigantycznego kreta"
"giant mole pups","màode gigantycznego kreta"
"A small humanoid surrounded by fire which they can hurl at their enemies.","Maày humanoid otoczony ogniem, kt¢rym moæe rzuciÜ w swoich wrog¢w."
"fire imp","ognisty imp"
"fire imps","ogniste impy"
"Hurl fireball","RzuÜ kul© ognia"
"Spray jet of fire"," Rozpylony strumie‰ ognia"
"A large underground monster with eight legs and sharp, venomous fangs.","Duæy podziemny potw¢r z oòmioma nogami i ostrymi, jadowitymi kàami."
"giant cave spider","gigantyczny paj•k jaskiniowy"
"giant cave spiders","gigantyczne paj•ki jaskiniowe"
"Spray web","rozpylanie sieci"
"mystery","tajemnica"
"frozen giant cave spider venom"," zamroæony jad gigantycznego paj•ka jaskiniowego"
"giant cave spider venom","jad gigantycznego paj•ka jaskiniowego"
"boiling giant cave spider venom","wrz•cy jad gigantycznego paj•ka jaskiniowego"
"giant cave spider bite","ugryzienie gigantycznego paj•ka jaskiniowego"
"A tiny underground bug, sought after for its thread.","Maày podziemny robak, poszukiwany ze wzgl©du na swoj• niÜ."
"cave spider","paj•k jaskiniowy"
"cave spiders","paj•ki jaskiniowe"
"frozen cave spider venom"," zamroæony jad paj•ka jaskiniowego"
"cave spider venom","jad paj•ka jaskiniowego"
"boiling cave spider venom","wrz•cy jad paj•ka jaskiniowego"
"cave spider bite","ugryzienie paj•ka jaskiniowego"
"A small pale creature found in underground streams and ponds.","Maàe blade stworzenie znalezione w podziemnych strumieniach i stawach."
"cave fish","ryba jaskiniowa"
"cave fish man","czàowiek-ryba jaskiniowa"
"cave fish men","ludzie-ryby jaskiniowi"
"cave fish woman","kobieta-ryba jaskiniowa"
"cave fish women","kobiety-ryby jaskiniowe"
"A humanoid creature with the head of a blind cave fish.  They live in colonies in watery regions far underground.","Humanoidalne stworzenie z gàow• òlepej ryby jaskiniowej. Ωyj• w koloniach w obszarach wodnych gà©boko pod ziemi•."
"A small, pale arthropod found in underground streams and ponds.","Maày, blady stawonog wyst©puj•cy w podziemnych strumieniach i stawach."
"cave lobster","homar jaskiniowy"
"cave lobsters","homary jaskiniowe"
"A serpent made of pure fire which can inject liquid fire as venom.","W•æ stworzony z czystego ognia, kt¢ry moæe wstrzykn•Ü pàynny ogie‰ jako jad."
"fire snake","ognisty w•æ"
"fire snakes","ogniste w©æe"
"liquid fire","pàynny ogie‰"
"A tiny amphibian, found in underground streams.","Maày pàaz znaleziony w podziemnych strumieniach."
"olm","olm"
"olms","olmy"
"olm man","czàowiek olm"
"olm men","ludzie olmy"
"olm woman","olm kobieta"
"olm women","olmowe kobiety"
"An animal person with the head of the amphibious olm.  It lives underground near water.","zwierzoczàowiek z gàow• amfibii - olma. Ωyje pod ziemi• w pobliæu wody."
"A tiny winged creature that hunts at night and rests in caves during the day.","Male‰kie skrzydlate stworzenie, kt¢re poluje noc•, a w ci•gu dnia odpoczywa w jaskiniach."
"bat","nietoperz"
"bats","nietoperze"
"haunting cries","przeòladuj•ce pàacze"
"bat man","czàowiek nietoperz"
"bat men","ludzie nietoperze"
"bat woman","kobieta nietoperz"
"bat women","kobiety nietoperze"
"A humanoid with the head of a bat and wings stretching from wrist to ankle.","Humanoid z gàow• nietoperza i skrzydàami rozci•gaj•cymi si© od nadgarstka do kostki. Caày czas powtarza ""jestem batman""."
"A tiny larva which is prized for its milk.","Maàa larwa ceniona ze wzgl©du na mleko."
"purring maggot","mrucz•cy robak"
"purring maggots"," mrucz•ce robaki"
"comforting whirs","koj•ce szumy"
"frozen dwarven milk","mroæone mleko krasnolud¢w"
"dwarven milk","mleko krasnolud¢w"
"boiling dwarven milk","gotuj•ce si© mleko krasnolud¢w"
"dwarven cheese","krasnoludzki ser"
"dwarven cheese powder","sproszkowany krasnoludzki ser"
"melted dwarven cheese","roztopiony krasnoludzki ser"
"boiling dwarven cheese","gotuj•cy si© krasnoludzki ser"
"Fire in the shape of a human that can hurl fireballs.","Ogie‰ w ksztaàcie czàowieka, kt¢ry moæe miotaÜ kule ognia."
"fire man","czàowiek ogie‰"
"fire men","ludzie ogie‰"
"licks of fire","li´ni©cia ognia"
"Magma moving in the shape of a man.  It has a cracked black crust.","Magma poruszaj•ca si© w ksztaàcie czàowieka. Ma pop©kan• czarn• sk¢r©."
"magma man","czàowiek magma"
"magma men","ludzie magma"
"flowing movement","pàynny ruch"
"crust","skorupa"
"A man-shaped creature made of iron.","Stworzenie w ksztaàcie czàowieka wykonane z æelaza."
"iron man","czàowiek z æelaza"
"iron men","ludzie z æelaza"
"stern appearance","surowy wygl•d"
"frozen iron man gas","zamroæony gaz czàowieka z æelaza"
"condensed iron man gas"," skondensowany gaz czàowieka z æelaza"
"iron man gas","gaz czàowieka z æelaza"
"iron man cough","kaszel czàowieka z æelaza"
"iron","æelazo"
"gas","gaz"
"A humanoid made of mud which lives near water underground.","Humanoid zbudowany z bàota, æyj•cy w pobliæu wody pod ziemi•."
"mud man","bàotny czàowiek"
"mud men","bàotni ludzie"
"peculiar smell","specyficzny zapach"
"A small blue and orange bird.","Maày niebiesko-pomara‰czowy ptaszek."
"cave swallow","jask¢àka jaskiniowa"
"cave swallows","jask¢àki jaskiniowe"
"cave swallow hatchling","piskl© jask¢àki jaskiniowej"
"cave swallow hatchlings","piskl©ta jask¢àki jaskiniowej"
"cave swallow man","czàowiek jask¢àka jaskiniowa"
"cave swallow men","ludzie jask¢àki jaskiniowe"
"cave swallow woman","kobieta jask¢àka jaskiniowa"
"cave swallow women","kobiety jask¢àki jaskiniowej"
"A feathered man with the wings and head of a bird.  It lives underground.","Pierzasty czàowiek ze skrzydàami i gàow• ptaka. Ωyje pod ziemi•."
"A gigantic blue and orange bird.","Gigantyczny niebiesko-pomara‰czowy ptak."
"giant cave swallow","gigantyczna jask¢àka jaskiniowa"
"giant cave swallows","gigantyczna jask¢àki jaskiniowe"
"giant cave swallow hatchling","piskl© gigantycznej jask¢àki jaskiniowej"
"giant cave swallow hatchlings","piskl©ta gigantycznej jask¢àki jaskiniowej"
"These evil creatures resemble walking frogs with arms and the intelligence to use them.  They live in the waters far under the earth.","Te zàe stworzenia przypominaj• chodz•ce æaby z r©kami i inteligencj•, kt¢ra pozwala im si© posàugiwaÜ. Ωyj• w wodach gà©boko pod ziemi•."
"amphibian man","m©æczyzna pàaz"
"amphibian men","m©æczy´ni pàazy"
"amphibian woman","kobieta pàaz"
"amphibian women","kobiety pàazy"
"These creatures are shaped like men covered with rough scales.  They have the head and tail of a lizard and possess a dark and evil intelligence.  They are found deep under the earth.","Istoty te maj• ksztaàt ludzi pokrytych szorstkimi àuskami. Maj• gàow© i ogon jaszczurki oraz posiadaj• mroczn• i zà• inteligencj©. Moæna je znale´Ü gà©boko pod ziemi•."
"reptile man","jaszczuroczàek m©æczyzna"
"reptile men","m©æczy´ni jaszczroludzie"
"reptile woman","jaszczuroczàek kobieta"
"reptile women","kobiety jaszczuroczàeki"
"A large white snake with the arms and torso of a man.  These creatures are evil and live far underground.","Duæy biaày w•æ z r©kami i torsem m©æczyzny. Te stworzenia s• zàe i æyj• gà©boko pod ziemi•."
"serpent man","m©æczyzna w•æ"
"serpent men","m©æczy´ni w©æe"
"impressive tails","imponuj•ce ogony"
"frozen serpent man venom","zamroæony jad czàowieka w©æa"
"serpent man venom","jad czàowieka-w©æa"
"boiling serpent man venom","wrz•cy jad czàowieka w©æa"
"serpent man bite","uk•szenie czàowieka w©æa"
"lashes","bicze"
"serpent woman","kobieta w•æ"
"serpent women","kobiety w©æe"
"A humanoid with the head and body of an ant.","Humanoid z gàow• i ciaàem mr¢wki."
"antman","czàowiek mr¢wka"
"antmen","ludzie mr¢wki"
"worker ant woman","kobieta mr¢wka robotnik"
"worker ant women","kobiety mr¢wki robotnice"
"soldier ant woman","kobieta mr¢wka æoànierz"
"soldier ant women","kobiety mr¢wki æoànierze"
"drone ant man","m©æczyzna mr¢wka zapàadniacz"
"drone ant men","m©æczy´ni mr¢wki zapàadniacze"
"queen ant woman","kr¢lowa mr¢wka"
"queen ant women","kr¢lowe mr¢wki"
"An evil humanoid with a long tail, black spiky fur and a twitching nose.  It lives far underground.","Zày humanoid z dàugim ogonem, czarnym, kolczastym futrem i drgaj•cym nosem. Ωyje gà©boko pod ziemi•."
"rodent man","m©æczyzna gryzo‰"
"rodent men","m©æczy´ni gryzonie"
"rodent woman","kobieta gryzo‰"
"rodent women","kobiety gryzonie"
"A medium-sized beast, known for its tusks and powerful build.","óredniej wielkoòci bestia, znana ze swoich kà¢w i pot©ænej budowy."
"wild boar","dzik"
"wild boars","dziki"
"wild boar piglet","prosi© dzika"
"wild boar piglets"," prosi©ta dzika"
"ferocious charges","okrutne oskaræenia"
"wild boar sow","locha dzika"
"wild boar sows"," locha dzika"
"wild boar man","dzikoczàowiek"
"wild boar men","dzikoludzie"
"wild boar woman","kobietodzik"
"wild boar women","kobietodziki"
"A person with the head of a wild boar.","Osoba z gàow• dzika."
"giant wild boar","gigantyczny dzik"
"giant wild boars","gigantyczne dziki"
"giant wild boar piglet","prosi© gigantycznego dzika"
"giant wild boar piglets"," prosi©ta gigantycznego dzika"
"A huge monster boar with jagged tusks.","Ogromny dzik-potwor z postrz©pionymi kàami."
"A medium-sized dog-like creature.  It is sly, and groups can be heard howling in the night.","Stworzenie òredniej wielkoòci, przypominaj•ce psa. Jest przebiegàe, w nocy sàychaÜ wycie grup."
"coyotes","kojoty"
"coyote pup","szczeni© kojota"
"coyote pups","szczeni©ta kojota"
"howling","wycie"
"coyote man","kojotoczàowiek"
"coyote men","kojotoludzie"
"coyote woman","kobieta kojot"
"coyote women","kobiety kojoty"
"A person with the head and tail of a coyote.","Osoba z gàow• i ogonem kojota."
"giant coyote","gigantyczny kojot"
"giant coyotes","gigantyczne kojoty"
"giant coyote pup","szczeni© gigantycznego kojota"
"giant coyote pups","szczeni©ta gigantycznego kojota"
"A large dog-like monster with a haunting howl.","Duæy, podobny do psa potw¢r z przeòladuj•cym wyciem."
"A medium-sized creature that can be found hopping through the grassland.","óredniej wielkoòci stworzenie, kt¢re moæna spotkaÜ skacz•ce po à•kach."
"kangaroos","kangury"
"kangaroo joey","màode kangura"
"kangaroo joeys","wiele màodych kangura"
"pouches","woreczki"
"kangaroo doe","samica kangura"
"kangaroo does","samice kangura"
"frozen kangaroo's milk","zamroæone kangurze mleko"
"kangaroo's milk","kangurze mleko"
"boiling kangaroo's milk","gotuj•ce si© kangurze mleko"
"kangaroo cheese","kangurzy ser"
"kangaroo cheese powder","sproszkowany kangurzy ser"
"melted kangaroo cheese","roztopiony kangurzy ser"
"boiling kangaroo cheese","gotuj•cy si© kangurzy ser"
"kangaroo buck","samieÜ kangura"
"kangaroo bucks","samce kangura"
"kangaroo man","kanguroczàowiek"
"kangaroo men","kanguroludzki"
"kangaroo woman","kangurokobieta"
"kangaroo women","kangurokobiety"
"A person with the head and powerful legs of a kangaroo.","Osoba z gàow• i pot©ænymi nogami kangura."
"giant kangaroo","gigantyczny kangur"
"giant kangaroos","gigantyczne kangury"
"giant kangaroo joey","màode gigantycznego kangura"
"giant kangaroo joeys","wiele màodych gigantycznego kangura"
"A huge monster in the shape of a kangaroo.","Ogromny potw¢r w ksztaàcie kangura."
"A small, grey, tree-dwelling creature.","Maàe, szare stworzenie zamieszkuj•ce drzewa."
"koala","koala"
"koalas","koale"
"koala joey","màode koali"
"koala joeys","wiele màodych koali"
"adorable appearance","uroczy wygl•d"
"koala man","koaloczàowiek"
"koala men","koaloludzie"
"koala woman","kobietokoala"
"koala women","kobietokoale"
"A grey person with the head of a koala.","Szary czàowiek z gàow• koali."
"giant koala","gigantyczna koala"
"giant koalas","gigantyczne koale"
"A large koala-shaped monster.","Duæy potw¢r w ksztaàcie koali."
"A tiny snake with ridged scales and a powerful venomous bite.","Maày w•æ z pr•ækowanymi àuskami i pot©ænym jadowitym uk•szeniem."
"adder","æmija"
"adders","æmije"
"warning hisses","ostrzegawcze syki"
"frozen adder venom","zamroæony jad æmii"
"adder venom","jad æmii"
"boiling adder venom","gotuj•cy si© jad æmii"
"adder bite","ugryzienie æmiji"
"adder man","æmijoczàowiek"
"adder men","æmijoludzie"
"adder woman","æmijokobieta"
"adder women","æmijokobiety"
"A large adder with the torso and arms of a man.","Duæa æmija z tuàowiem i ramionami m©æczyzny."
"giant adder","ogromna æmija"
"giant adders","ogromne æmije"
"A large monster in the form of an adder.","Duæy potw¢r w postaci æmiji."
"A small spiny mammal with a long snout.  It eats ants and termites and reproduces by laying eggs.","Maày kolczasty ssak z dàugim pyskiem. Zjada mr¢wki i termity i rozmnaæa si© poprzez skàadanie jaj."
"echidna","kolczatka"
"echidnas","kolczatki"
"puggle","màode kolczatki"
"puggles","wiele màodych kolczatki"
"spines","kolce"
"egg-laying","skàadanie jaj"
"echidna man","kolczatkoczàowiek"
"echidna men","kolczatkoludzie"
"echidna woman","kolczatkokobieta"
"echidna women","kolczatkokobiety"
"A spiny person with the head of an echidna.","Kolczasta osoba z gàow• kolczatki."
"giant echidna","ogromna kolczatka"
"giant echidnas","ogromne kolczatki"
"giant echidna puggle","màode ogromnej kolczatki"
"giant echidna puggles","wiele màodych ogromnej kolczatki"
"A large monster in the shape of an echidna.","Duæy potw¢r w ksztaàcie kolczatki."
"A small rodent covered with sharp quills.  They eat grass and leaves and can even climb trees.","Maày gryzo‰ pokryty ostrymi kolcami. Jedz• traw© i liòcie, potrafi• nawet wspinaÜ si© na drzewa."
"porcupines","jeæozwierze"
"porcupine pup","màode jeæozwierza"
"porcupine pups","wiele màodych jeæozwierza"
"quills","kolce"
"porcupine man","jeæozwierzoczàowiek"
"porcupine men","jeæozwierzoludzie"
"porcupine woman","jeæozwierzokobieta"
"porcupine women","jeæozwierzokobiety"
"A person with the head and quills of a porcupine.","Osoba z gàow• i kolcami jeæozwierza."
"giant porcupine","Ogromny jeæozwierz"
"giant porcupines","ogromne jeæozwierze"
"giant porcupine pup","jeæozwierz•tko"
"giant porcupine pups"," jeæozwierz•tka"
"A large monster in the form of a porcupine.","Duæy potw¢r w postaci jeæozwierza."
"A small, brightly-colored snake.  It is known for eating other snakes and being mistaken for its venomous cousins.","Maày, jaskrawo ubarwiony w•æ. Jest znany z tego, æe zjada inne w©æe i jest mylony ze swoimi jadowitymi kuzynami."
"kingsnake","Lancetogà¢w mleczny"
"kingsnakes","lancetogàowy mleczne"
"habit of eating other snakes","zwyczaj zjadania innych w©æy"
"kingsnake man","lancetoczàowiek"
"kingsnake men","lancetoludzie"
"kingsnake woman","Lancetokobieta"
"kingsnake women","lancetokobiety"
"A legless person with the head and tail of a kingsnake.","Beznoga osoba z gàow• i ogonem Lancetogàowa mlecznego."
"giant kingsnake","Ogromny Lancetogà¢w mleczny"
"giant kingsnakes","ogromne lancetogàowy mleczne"
"A large monster in the form of a kingsnake.","Duæy potw¢r w postaci Lancetogàowa mlecznego"
"A small monkey that can be found in forests and the streets of towns.","Maàa maàpa, kt¢ra moæe zostaÜ znaleziona w lasach i na ulicach miast."
"gray langur","langur szary"
"gray langurs","langury szare"
"vocalizations","wokalizacje"
"gray langur man","languaroczàowiek"
"gray langur men","languaroludzie"
"gray langur woman","languarokobieta"
"gray langur women","languarokobiety"
"A grey person with the head and tail of a gray langur.","Szary czàowiek z gàow• i ogonem szarego langura."
"giant gray langur","ogromny szary languar"
"giant gray langurs","ogromne szare languary"
"A huge monster in the shape of a gray langur.","Ogromny potw¢r w ksztaàcie langura szarego."
"A small feline predator with a shortened tail.","Maày koci drapieænik ze skr¢conym ogonem."
"bobcat","ryò"
"bobcats","rysie"
"bobcat kitten","màody rysia"
"bobcat kittens","màode rysia"
"short tails","kr¢tkie ogony"
"bobcat man","rysioczàowiek"
"bobcat men","rysioludzie"
"bobcat woman","rysiokobieta"
"bobcat women","rysiokobiety"
"A person with the head and short tail of a bobcat.","Osobnik z gàow• i kr¢tkim ogonem rysia."
"giant bobcat","gigantyczny ryò"
"giant bobcats","gigantyczne rysie"
"giant bobcat kitten","màody gigantycznego rysia"
"giant bobcat kittens","màode gigantycznego rysia"
"A large monster in the form of a bobcat.","Duæy potw¢r w postaci rysia."
"A small black and white mammal.  It is capable of spraying a stinking fluid.","Maày czarno-biaày ssak. Potrafi rozpyliÜ òmierdz•cy pàyn."
"skunks","skunksy"
"skunk kit","màode skunska"
"skunk kits","wiele màodych skunska"
"distinctive striping","charakterystyczne paski"
"foul smell","okropny zapach"
"skunk man","skunksoczàowiek"
"skunk men","skuksoludzie"
"skunk woman","skunksokobieta"
"skunk women","skunksokobiety"
"A striped person with the head and tail of a skunk.","Pasiasta osoba z gàow• i ogonem skunksa."
"giant skunk","gigantyczny skunks"
"giant skunks","gigantyczne skunksy"
"giant skunk kit","màode gigantycznego skunksa"
"giant skunk kits","wiele màodych gigantycznego skunksa"
"A large monster in the form of a skunk.","Duæy potw¢r w postaci skunksa."
"A tiny amphibian that lives in the trees.","Maày pàaz æyj•cy na drzewach."
"green tree frog","æaba drzewna"
"green tree frogs","æaby drzewne"
"distinct mating call","wyra´ny zew godowy"
"green tree frog man","drzewny æaboczàowiek"
"green tree frog men","drzewni æaboludzie"
"green tree frog woman","drzewna æabokobieta"
"green tree frog women","drzewne æabokobiety"
"A green person with the head of a green tree frog.","Zielona osoba z gàow• zielonej æaby drzewnej."
"giant green tree frog","ogromna æaba drzewna"
"giant green tree frogs","ogromne æaby drzewne"
"A large monster in the shape of a green tree frog.","Duæy potw¢r w ksztaàcie zielonej æaby drzewnej."
"A swift, long-eared rodent with long legs and a short fluffy tail.","Szybki gryzo‰ o dàugich uszach, z dàugimi nogami i kr¢tkim puszystym ogonem."
"hares","zaj•ce"
"leveret","zaj•czek"
"leverets","zaj•czki"
"long ears","dàugie uszy"
"fluffy tails","puchate ogony"
"doe hare","samica zaj•ca"
"doe hares","samice zaj•ca"
"buck hare","samiec zaj•ca"
"buck hares","samce zaj•ca"
"hare man","zaj•coczàowiek"
"hare men","zaj•coludzie"
"hare woman","zaj•cokobieta"
"hare women","zaj•cokobiety"
"A long-eared person with the head and tail of a hare.","Osoba z dàugimi uszami, z gàow• i ogonem zaj•ca."
"giant hare","ogromny zaj•c"
"giant hares","ogromne zaj•ce"
"giant leveret","ogromny zaj•czek"
"giant leverets","ogromne zaj•czki"
"A large monster in the shape of a hare.","Duæy potw¢r w ksztaàcie zaj•ca."
"A small reptile with a tell-tale rattle and vicious bite that leads to a quick death.","Maày gad z charakterystyczn• grzechotk• i zàoòliwym ugryzieniem, kt¢re prowadzi do szybkiej òmierci."
"rattlesnake","grzechotnik"
"rattlesnakes","grzechotniki"
"warning rattle","grzechotka ostrzegawcza"
"frozen rattlesnake venom","zamroæony jad grzechotnika"
"rattlesnake venom","jad grzechotnika"
"boiling rattlesnake venom","gotuj•cy si© jad grzechotnika"
"rattlesnake bite","ugryzienie grzechotnika"
"rattlesnake man","grzechotnikoczàowiek"
"rattlesnake men","grzechotnikoludzie"
"rattlesnake woman","grzechitnikokobieta"
"rattlesnake women","grzechotnikokobiety"
"A person resembling a large rattlesnake with arms.","Osoba przypominaj•ca duæego grzechotnika z ramionami."
"giant rattlesnake","ogromny grzechotnik"
"giant rattlesnakes","ogromne grzechotniki"
"A huge monster taking the shape of a rattlesnake.","Ogromny potw¢r w ksztaàcie grzechotnika."
"A tiny mammal with a slender body.  It hunts in mouse holes as well as barn yards.","Maày ssak o smukàym ciele. Poluje zar¢wno w mysich norach, jak i na podw¢rkach stod¢à."
"weasels","àasice"
"weasel kit","màode àasicy"
"weasel kits","wiele màodych àasicy"
"short legs","kr¢tkie nogi"
"weasel man","àasicoczàowiek"
"weasel men","àasicoludzie"
"weasel woman","àasicokobieta"
"weasel women","àasicokobiety"
"A person with the head and tail of a weasel.","Osoba z gàow• i ogonem àasicy."
"giant weasel","ogromna àasica"
"giant weasels","ogromne àasice"
"giant weasel kit","màode ogromnej àasicy"
"giant weasel kits","wiele màodych ogromnej àasicy"
"A large monster taking the shape of a weasel.","Duæy potw¢r przybieraj•cy ksztaàt àasicy."
"A tiny venomous snake found in the woods and swamps.","Maày jadowity w•æ znaleziony w lasach i na bagnach."
"copperhead snake","w•æ miedzianogàowy"
"copperhead snakes","w©æe miedzianogàowe"
"attractive scale patterns","atrakcyjne wzory àusek"
"frozen copperhead snake venom","zamroæony jad w©æa miedzianogàowego"
"copperhead snake venom","jad w©æa miedzianogàowego"
"boiling copperhead snake venom","gotuj•cy si© jad w©æa miedzianogàowego"
"copperhead snake bite","ugryzienie w©æa miedzianogàowego"
"copperhead snake man","miedzianogàowy w©æoczàowiek"
"copperhead snake men","miedzianogàowi w©æoludzie"
"copperhead snake woman","miedzianogàowa w©æokobieta"
"copperhead snake women","miedzianogàowe w©æokobiety"
"A large copperhead snake with the arms of a man.","Duæy miedzianogàowy w•æ z ludzkimi ramionami."
"giant copperhead snake","ogromny w•æ miedzianogàowy"
"giant copperhead snakes","ogromne w©æe miedzianogàowe"
"A huge monster in the form of a copperhead snake.","Ogromny potw¢r w postaci w©æa miedzianogàowego."
"A small horned mammal.  It can be found in the mountains leaping from rock to rock.","Maày rogaty ssak. Moæna go spotkaÜ w g¢rach skacz•cego ze skaày na skaà©."
"ibex","kozioroæec"
"ibexes","kozioroæce"
