"more presumptious","mer‚szebb"
"the tactics of ","a taktik ja "
"There is a thin mist outside.","Kint v‚kony k”d van."
"in order to relax","a kikapcsol¢d s ‚rdek‚ben"
" indiv choice, melee"," egy‚ni v laszt s, k”zelharc"
"after being unable to be extravagant","miut n nem engedhette meg mag nak a pazarl st"
"content","tartalom"
"Width","Sz‚less‚g"
"Petition ignored","A pet¡ci¢t figyelmen k¡vl hagyt k"
"scuffle","vereked‚s"
"A festival commemorating ","Egy eml‚knneps‚g "
"metal crafter shop (128,128,128)","f‚mmûves mûhely (128,128,128)"
"minced ","dar lva "
"lye slush","l£gos latyak"
"You must designate a tomb","Ki kell jel”lnie egy s¡rhelyet"
"has incredible muscles over a small build","kicsi testalkata ellen‚re hihetetlen izomzattal rendelkezik"
"somewhat more difficult","kicsit nehezebb"
"Twilight","Alkonyat"
"The signs lead south.","A t bl k d‚l fel‚ mutatnak."
"throne","tr¢n"
"It would be wonderful if ","Csod latos lenne, ha "
"left troupe","bal oldali t rsulat"
"choking on smoke underground","fstt‹l fulladoz s a f”ld alatt"
"Tent (Bld)","S tor (‚plet)"
"Erosion Cycle Count","Er¢zi¢s ciklusok sz ma"
"Seventeenth","Tizenhetedik"
"Empty market","šres piac"
"tenth eldest daughter","a tizedik legid‹sebb l nya"
"Disappointed","Csal¢dott"
"sees war as a useful means to an end","a h bor£t egy c‚l el‚r‚s‚nek hasznos eszk”zek‚nt tekinti"
"Tanning Workshop","B‹rcserz‹ mûhely"
"The world generator is having trouble placing enough ocean squares along the edges.  ","A vil ggener tornak gondjai vannak a megfelel‹ sz m£ ¢ce ni n‚gyzet elhelyez‚s‚vel a sz‚leken. "
"Knife User","K‚shaszn l¢"
"the Postulates","a posztul tumok"
"Detect","szlel‚s"
"Left click to choose corners of a rectangle.","Bal kattint ssal v laszthatod ki a t‚glalap sarkait."
"Archery target","Öj szati c‚l"
"falling-rising","cs”kken‚s-n”veked‚s"
"Sanctuary petitions: accept","Mened‚kjog ir nti k‚relmek: elfogadni"
" slabs engraved"," grav¡rozott t bl k"
"Prepare choreography","Koreogr fia elk‚sz¡t‚se"
"(spans ","(kiterjed "
"Reply to greeting (impersonation)","V lasz az dv”zl‚sre (szem‚lyis‚glop s)"
"The forces of ","A "
"  I'll show you calm!","  Majd megmutatom neked, mi az a nyugalom!"
"Harmony      <->      Discord","Harm¢nia <-> Visz ly"
"from afar","messzir‹l"
"sting","cs¡p‚s"
"Processed goods market","Feldolgozott  ruk piaca"
"Opposites","Ellent‚tek"
":wind chest:wind chests",":sz‚lkamra:sz‚lkamr k"
" my "," az ‚n "
" often points and shakes "," gyakran mutogat ‚s r zza a fej‚t "
"Pull out and drop item","Elem kih£z sa ‚s elhelyez‚se"
" always smiles nervously"," mindig idegesen mosolyog"
"judges","b¡r¢k"
"Unlike [C:6:0:0]Stockpiles[C:7:0:0], multiple [C:3:0:0]Zones[C:7:0:0] can overlap.","A [C:6:0:0]K‚szletek[C:7:0:0]-t‹l elt‚r‹en t”bb [C:3:0:0]Z¢na[C:7:0:0] is  tfedhet egym st."
"[C:5:0:1].Moderate rot","[C:5:0:1].K”zepes m‚rt‚kû rothad s"
" is trying to remember something"," pr¢b l valamire visszaeml‚kezni"
" life by any means"," az ‚let b rmilyen form ban"
"the friendship of ","a bar ts ga "
"powder grinding","por‹rl‚s"
"yourself","magad"
"[C:6:0:1]Summer","[C:6:0:1]Ny r"
"Seek Ladder to Climb","Keress l‚tr t, amin felm szhatsz"
"colored","sz¡nes"
"is short with well-defined muscles","alacsony termetû, j¢l kidolgozott izomzattal"
"chaining up a creature","egy l‚ny l ncol sa"
"Stuck in ","Beragadt "
"Some things should never change.","Vannak dolgok, amelyeknek soha nem szabadna megv ltozniuk."
"star charts","csillagt‚rk‚pek"
"bookkeeper","k”nyvel‹"
" by melting"," olvaszt ssal"
"armorsmith shop (0,0,0)","p nc‚lkov csmûhely (0,0,0)"
"Acknowledge lack of being shaken","Ismerd el, hogy nem r zk¢dt l meg"
"Conversations occur over time, like movements and attacks.  ","A p rbesz‚dek - ak rcsak a mozdulatok ‚s a t mad sok - id‹ben zajlanak.  "
"ichorous ","ichorikus "
"series of","sorozat"
"Partially paralyzed","R‚szlegesen megb‚nult"
"miner","b ny sz"
"Armor stand","P nc‚l llv ny"
" fall"," ‹sz"
" cannot find a path to its destination."," nem tal lja a c‚lhoz vezet‹ £tvonalat."
"Upon creation of the [C:1:0:1]Location[C:7:0:0] you must choose which deity to dedicate the [C:1:0:1]Temple[C:7:0:0] to, if any. ","A [C:1:0:1]Helysz¡n[C:7:0:0] l‚trehoz sakor el kell d”ntenie, hogy - ha egy ltal n - melyik istens‚gnek szenteli a [C:1:0:1]Templomot[C:7:0:0]. "
"I didn't sleep soundly due to the noise.","A zaj miatt nem aludtam nyugodtan."
" straight-lined"," ny¡l-egyenes"
"I'm very empathetic.","Nagyon empatikus vagyok."
"claims it as a family heirloom","csal di ”r”ks‚gk‚nt tartja sz mon"
"has an extremely short body that is incredibly muscular","rendk¡vl r”vid testû, amely hihetetlenl izmos"
"less swayed by others' emotions","kev‚sb‚ befoly solj k m sok ‚rzelmei"
" armor stand"," p nc‚l llv ny"
" is ready to be recognized (from the temple's location menu.)  This will satisfy the agreement."," felismer‚sre k‚sz (a templom helysz¡nmenj‚b‹l). Ezzel teljesl a meg llapod s."
"Belief","Hit"
"Macros","Makr¢k"
"Meeting place, ","Tal lkoz si hely, "
"Any image data you've changed will be lost.","Az  ltalad m¢dos¡tott k‚padatok elvesznek."
"somewhat concave","kiss‚ homor£"
"Legendary brawler","A legend s vereked‹"
"They live only on savage islands and very small savage biomes.","Kiz r¢lag vad szigeteken ‚s nagyon kicsi, vad biom kban ‚lnek."
"Demand forgotten","Elfelejtett ig‚ny"
"Beware a lack of balance.","Vigy zz az egyens£lyhi nyra!"
"wind","sz‚l"
"finely-prepared ","gondosan elk‚sz¡tett "
"be very soft","legyen nagyon puha"
"Armorsmithing Pit","P nc‚lkov csmûhely"
"West","Nyugat"
"more envy-prone","akik k”nnyebben irigykednek"
"a secret identity","titkos szem‚lyazonoss g"
"This person is ","Ez a szem‚ly "
"yet ","m‚gis "
"Incapable of carrying","Nem k‚pes hordozni"
"epenthesis","epent‚zis"
"greatly respects the shrewd and guileful","nagy tisztelettel viseltetik az ‚les eszû ‚s ravasz"
"list","lista"
"the shape of the world","a vil g alakja"
" returned"," visszat‚rt"
"is very fat and extremely tall","nagyon k”v‚r ‚s rendk¡vl magas"
"The gods surely want you to dig deeper still!","Az istenek bizony ra azt akarj k, hogy m‚g m‚lyebbre  ss!"
"Feared for violent opposition","Er‹szakos ellen ll s miatt tartanak t‹le"
" cloth"," sz”vet"
"Pond","T¢"
"the traction bench","a h£z¢pad"
"Remove this building.","Bontsa le ezt az ‚pletet."
"Ice Downward Track (NS)","J‚glesikl¢p lya (NS)"
"Slight Need","Enyhe szks‚g"
"be soft","l‚gy szel¡d"
"Bins, bags, and barrels","Kuk k, zs kok ‚s hord¢k"
" to be relatively worthless"," hogy viszonylag ‚rt‚ktelen legyen"
" to view the message log."," az zenetnapl¢ megtekint‚s‚hez."
"items that a person is carrying.  You don't have to pick up an item in a store before you purchase it, but feel free to do so as long ","azok a t rgyak, amelyeket az illet‹ mag val visz.  Nem k”telez‹ k‚zbe venni egy term‚ket a boltban a v s rl s el‹tt, de nyugodtan megteheti, amennyiben "
"aroused","felkeltett"
"Click a citizen or creature","Kattints egy polg rra vagy l‚nyre"
"corrupt position holder","megvesztegetett tiszts‚gvisel‹"
"hospitals","k¢rh zak"
"accords","akkordok"
"a motor nerve","egy motor ideg"
" Chain"," L nc"
"reading ","olvas s "
"Move keyboard cursor up and right, fast","Mozgasd a billentyûzet kurzor t gyorsan felfel‚ ‚s jobbra"
"[C:7:0:1]Time before time","[C:7:0:1]Az id‹ el‹tti id‹"
"a shrine","egy szent‚ly"
"the tracheotomy surgery","a tracheot¢mia mût‚t"
"creaturebody","l‚nytest"
"The guildhall agreement with ","A v rosh za ‚s "
"Building friendships is a waste.  There is no bond that can withstand distance or a change of circumstance.","A bar ts gok kialak¡t sa id‹pazarl s. Nincs olyan k”tel‚k, amely ellen llna a t vols gnak vagy a k”rlm‚nyek v ltoz s nak."
"Finalizing art... (","Mûv‚szet v‚gleges¡t‚se... ("
"Not greedy","Nem kapzsi"
"the nature of mind and body","az elme ‚s a test term‚szete"
"an untitled composition","c¡m n‚lkli kompoz¡ci¢"
"Not in use","Nincs haszn latban"
"This passage is richly layered with full chords making use of the available range.  ","Ez a szakasz gazdagon r‚tegzett, teljes akkordokkal, amelyek kihaszn lj k a rendelkez‚sre  ll¢ tartom nyt. "
" prisoner"," fogoly"
"State that you hate solemn poems","Mondd ki, hogy ut lod az nnep‚lyes verseket"
"narrow-chin","keskeny  ll"
"Shrine, ","Kegyhely, "
"Stonecrafter","K‹farag¢"
"Bed","µgy"
" on the theme"," a t‚m r¢l"
"thereby freeing","ez ltal felszabad¡tva"
"Saving tracking info...","A nyomonk”vet‚si adatok ment‚se..."
"in the depths","a m‚lyben"
"deflected","elterelt"
"No item to strap","Nincs r”gz¡tend‹ t rgy"
" called "," nevû "
"menacing","fenyeget‹"
"No contact","Nincs kapcsolat"
"mellow","l gy"
"Force","Er‹"
"request approved","a k‚relem j¢v hagyva"
" administrators"," rendszergazd k"
" nature since "," a term‚szet az¢ta "
"an acquiescing nature","megalkuv¢ term‚szet"
" situation"," helyzet"
"Frail","Esend‹"
"Deny sleep permission","Az alv si jogosults g megtagad sa"
" appears unconvinced."," nem tûnik meggy‹z”ttnek."
"This is the abilities menu.","Ez a k‚pess‚gek menje."
"fishing rights","hal szati jogok"
"Fantastic","Fantasztikus"
"the Waves","a Hull mok"
" raised arm"," felemelt kar"
" sway"," ingadoz s"
"Unnamed animal training area","N‚vtelen  llatidom¡t¢ terlet"
"cretic","kretikus"
" notes spaced evenly throughout the octave.  "," az okt von bell egyenletesen elosztott hangok.  "
"encrusted with","bebor¡tott"
"Retire","Nyugd¡jba vonulni"
"the Sums","az ”sszegek"
"has an incredibly broad body with almost no fat on it","hihetetlenl sz‚les testalkat£, szinte egy ltal n nincs rajta zs¡r"
"[C:4:0:1].Compound fracture","[C:4:0:1].™sszetett t”r‚s"
"suicide","”ngyilkoss g"
"known to be quarrelsome","aki arr¢l ismert, hogy veszeked‹s"
" make an offer of service"," szolg ltat si aj nlatot tenni"
"Specialization button",",,Specialization"" gomb"
"Grassland","Gyep"
" has a real mean streak."," el‚g gonosz term‚szetû."
" through a hole in the "," a lyukon keresztl "
"State minor feeling of arousal","Enyhe izgalmi ‚rz‚s"
"Release hold on ","A z rol s felold sa "
"the construction and use of chain drives","a l ncmeghajt sok fel‚p¡t‚se ‚s haszn lata"
"Full customization","Teljes k”rû testreszab s"
"notation for negative quantities","a negat¡v mennyis‚gek jel”l‚se"
"State minor feeling of lust","Enyhe v gy‚rzet"
"discourse on the nature of truth","‚rtekez‚s az igazs g term‚szet‚r‹l"
"Building toppled by ghost","A szellem led”nt”tte az ‚pletet"
"People should listen to what I have to say.","Az embereknek figyelnik kellene arra, amit mondok."
"Causation","Okozati ”sszefgg‚s"
"uneasy","nyugtalan"
"bridge-passage","h¡d- tj r¢"
"calm any misgivings about the proposal","eloszlatni a javaslattal kapcsolatos esetleges agg lyokat"
"be manageable from this screen.","ezen a k‚perny‹n kezelhet‹ legyen."
" has grown to become a "," m ra m r egy "
"Your abduction","Az elrabl sod"
"[C:4:0:0]Thirsty","[C:4:0:0]Szomjas"
"That was hunter's work.","Az Hunter mûve volt."
"Dye leather a specific color","A b‹r fest‚se egy meghat rozott sz¡nre"
"scrapes","horzsol sok"
" with flared bells"," sz‚lesed‹ sz r£ nadr ggal"
" will no longer pay homage to "," t”bb‚ nem fog tisztelegni "
"Guest / ","Vend‚g / "
"Unknown binding: ","Ismeretlen hivatkoz s: "
"Convict a suspect for this crime.","A gyan£s¡tottat ¡t‚lj‚k el e bûncselekm‚ny‚rt."
" Rope"," K”t‚l"
"Use Classic ASCII glyphs","Klasszikus ASCII-szimb¢lumok haszn lata"
"LACK OF MOUNTAIN CAVES","A hegyi barlangok hi nya"
"How irritating!","Milyen bosszant¢!"
"View the map.","Tekintse meg a t‚rk‚pet."
"The citizens of ","A v ros lak¢i "
"[C:4:0:1].Torn open","[C:4:0:1].Felhas¡tva"
" into the lava mist"," a l va-k”dbe"
"Chords","Akkordok"
"Population Cap After Civ Creation","Civiliz ci¢ l‚trehoz sa ut ni n‚pess‚gkorl t"
"I could not find a priest to complain at.","Nem tal ltam olyan papot, akinek panaszt tehettem volna."
"Dwarf Fortress Adventure","Dwarf Fortress kaland"
"the export prohibition violation","az exporttilalom megs‚rt‚se"
"You are unperturbed.","Te nyugodt maradsz."
" up and down when "," felfel‚ ‚s lefel‚, amikor "
" bells"," harangok"
"How will you respond to the offer of peace?","Hogyan fogsz reag lni a b‚keaj nlatra?"
"I put a creature in a cage.","Bez rtam egy  llatot egy ketrecbe."
"Ask about the listener's master or boss","K‚rdezz r  a hallgat¢ gazd j ra vagy f‹n”k‚re"
"I feel regret.","Sajn lom."
"is very short with well-defined muscular","nagyon alacsony, j¢l kidolgozott izomzattal"
"Agreed to build grand guildhall","Meg llapodtak egy impoz ns c‚hterem ‚p¡t‚s‚r‹l"
"You've assumed tactical control as nobody else is available.","Mivel senki m s nem  ll rendelkez‚sre,  tvetted a taktikai ir ny¡t st."
"State minor feeling of affection","Enyhe vonzalom kifejez‚se"
"four","n‚gy"
"Monster","Sz”rny"
" bows"," ¡jak"
"Other","Egy‚b"
" but "," de "
"a single","egy"
"Golden Age","Aranykor"
"Nobody does this","Senki sem csin l ilyet"
"So annoying!","Annyira ideges¡t‹!"
"the precise compilation of information about stars","a csillagokkal kapcsolatos inform ci¢k pontos ”ssze ll¡t sa"
"How kind!  Thank you so much.","Milyen kedves! Nagyon k”sz”n”m."
"Unknown interaction","Ismeretlen k”lcs”nhat s"
"Mill Building","Malom‚plet"
"Talk to somebody.","Besz‚lj valakivel!"
"effortlessly ","k”nnyed‚n "
"one month","egy h¢nap"
"is best)","(ez a legjobb)"
"Intuition","Intu¡ci¢"
"Minimum Number of Low-Elevation Squares","Az alacsony tengerszint feletti magass g£ n‚gyzetek minim lis sz ma"
"bar graphics","oszlopdiagramok"
"the State","az  llam"
"Swimmer","ész¢"
"mace","p lca"
"Grab Boots","Grab csizma"
"thinks that introspection is valueless and those that waste time in self-examination are deluded fools","£gy v‚li, hogy az ”nelemz‚s ‚rt‚ktelen, ‚s azok, akik az ”nvizsg lattal vesztegetik az idejket, t‚veszm‚kbe kergetett bolondok"
"the past","a m£lt"
" were unable to complete the "," nem tudt k befejezni a "
"Choose a stockpile to which the workshop will give items.","V lasszon ki egy rakt rk‚szletet, amelybe a mûhely t rgyakat fog sz ll¡tani."
"naked","meztelen"
"most sacred ","legszentebb "
"Collect webs","H l¢k gyûjt‚se"
"Hard","Neh‚z"
"relation received stress complaint chat","kapcsolat, be‚rkezett panasz, stressz, cseveg‚s"
"less reliant on advice","kev‚sb‚ fgg a tan csokt¢l"
" lets"," akkor"
"The enterprise will be a failure.","A v llalkoz s kudarcra van ¡t‚lve."
"Automate smelter","Az olvaszt¢ automatiz l sa"
"Initial glacier square count fails by ","A gleccser n‚gyzeteinek kezdeti sz ml l sa sikertelen, mert "
"wrath","harag"
"ruffians","gazfick¢k"
"an unnamed group","egy n‚vtelen csoport"
"There is no right choice.","Nincs helyes v laszt s."
"her","‹t"
"Corrupt","Korrupt"
"finds the following of tradition foolish and limiting","a hagyom ny ezen elemeit ostob nak ‚s korl toz¢nak tartja"
" skips"," kihagy sok"
" heads"," fejek"
"I have been so foolish.  Yes, I agree.","Olyan ostoba voltam. Igen, egyet‚rtek."
"astronomy:star magnitude classification","csillag szat: a csillagok f‚nyess‚gi oszt lyoz sa"
"plant fiber","n”v‚nyi rost"
"jump into existing conflict","belekeveredni egy m r fenn ll¢ konfliktusba"
" lifted numerous oppressive laws from "," sz mos elnyom¢ t”rv‚nyt elt”r”lt "
"the forces that govern wind patterns","a sz‚lviszonyokat meghat roz¢ er‹k"
"conflicted","ellentmond sos"
"!  See to yourself before you face what's ahead.","!  Gondoskodj magadr¢l, miel‹tt szemben‚zel azzal, ami el‹tted  ll."
"What will you do with ","Mit fogsz csin lni a "
"The refrain occurs as line ","A refr‚n a k”vetkez‹ sorban szerepel: "
"notation for very large numbers","nagyon nagy sz mok jel”l‚se"
"Demand Tribute from ","Tisztelg‚st k”veteljen "
"finds obligations confining","korl toz¢ k”telezetts‚geket  llap¡t meg"
"the use of reservoirs in water-based clocks to improve their accuracy","a v¡zalap£ ¢r kban a v¡ztart lyok haszn lata a pontoss g jav¡t sa ‚rdek‚ben"
"Knowledge","Tud s"
"If you have a number pad, you can move one tile at a time by pressing ","Ha sz mbillentyûzeted van, a k”vetkez‹ gombok lenyom s val egyszerre egy mez‹t mozgathatsz: "
" chop"," apr¡t"
"I'm very sympathetic.","Nagyon meg‚rt‹ vagyok."
"Stand up","µllj fel!"
"absolutely boundless patience","teljesen kimer¡thetetlen trelem"
"Distrustful","Bizalmatlan"
"Light aquifer","K”nnyû v¡ztart¢ r‚teg"
"Failed to find vanilla materials header.","Nem sikerlt megtal lni a vanilla anyagok fejl‚c‚t."
" expelled"," kiz rt k"
"dreams of bathing the world in chaos","arr¢l  lmodik, hogy a vil got k oszba bor¡tja"
"hf died unexpectedly","hf v ratlanul elhunyt"
"axemen","balt sok"
"average"," tlag"
"Not lustful","Nem buja"
"but it leaves [C:6:0:1]Boulders[C:7:0:0] which are an essential building material.","de ott maradnak a [C:6:0:1]szikl k[C:7:0:0], amelyek elengedhetetlen ‚p¡t‹anyagok."
"rainfall","csapad‚k"
"the questionable judgment of ","a megk‚rd‹jelezhet‹ d”nt‚se "
"Make the sacrifice regardless of fear.","A f‚lelemt‹l fggetlenl hozd meg az  ldozatot."
"starts to stutter when ","elkezd akadozni, amikor "
"the balance wheel","a kiegyens£lyoz¢ ker‚k"
"These goods are too heavy and cheap for me to consider.","Ezek az  ruk t£l nehezek ‚s olcs¢k ahhoz, hogy fontol¢ra vegyem ‹ket."
" reciting the words of "," a k”vetkez‹ szavakat id‚zve: "
"I was never one to follow advice.","Soha nem voltam olyan t¡pus, aki a tan csokat k”veti."
"Summaries","™sszefoglal¢k"
"Track/Ramp (NS)","S¡n/felhajt¢ (NS)"
"Lonely","Mag nyos"
"The musician blows into the instrument and selects pitch ","A zen‚sz belef£j a hangszerbe, ‚s kiv lasztja a hangmagass got "
"No, this isn't humiliating.","Nem, ez nem megal z¢."
"Saving incidents...","Esem‚nyek ment‚se..."
"Acknowledge lack of alarm","A riaszt s hi ny nak tudom sul v‚tele"
"mandate was obeyed","a parancsot teljes¡tett‚k"
" held a procession"," felvonul st tartottak"
" can be heard howling throughout the fortress!"," az eg‚sz er‹dben hallatszik az v”lt‚s!"
"Minimum River Start Locations (Pre-Erosion)","A foly¢ legalacsonyabb kiindul si pontjai (az er¢zi¢ el‹tt)"
"Nearest-neighbor","Legk”zelebbi szomsz‚d"
"Triumphant","Diadalmas"
"found","megtal lt"
"chemistry:laboratory:crucible","k‚mia:laborat¢rium:t‚gely"
" as the dancer acts out "," mik”zben a t ncos elj tssza a jelenetet "
" in order to secure embezzled funds in "," a sikkasztott p‚nzeszk”z”k biztos¡t sa ‚rdek‚ben "
"You need a broker with","Szks‚ged van egy br¢kerre, aki"
"being unoccupied for too long","t£l hossz£ ideig nem foglalkoztatott"
"a legendary killer","egy legend s gyilkos"
"underworld spire","az alvil g tornya"
"   Events: "," Esem‚nyek: "
"after admiring art","miut n megcsod ltuk a mûalkot sokat"
"Glue","Ragaszt¢"
"repentant","bûnb n¢"
"How exhilarating!","Micsoda izgalom!"
"has a habit of running ","szok sa, hogy fut "
"Click a mod to open its folder.","Kattints egy modra a mapp j nak megnyit s hoz."
"But if one of these brave workers falls, you'll need to assign somebody to these duties.","De ha ezek k”zl a b tor munk sok k”zl valaki kiesik, akkor valakit ki kell jel”ln”d ezekre a feladatokra."
"Remove fluids and spatter from the arena.","T vol¡tsa el a folyad‚kokat ‚s a fr”ccsen‚seket a kzd‹t‚rr‹l."
"slashing off","lev g s"
"State minor feeling of exasperation","Enyhe bossz£s g ‚rz‚se"
"You failed to dismount","Nem sikerlt lesz llnod"
" are vying for control."," versengenek a hatalom‚rt."
"In a berserk rage!","Šrj”ng‹ dhben!"
"Almost guaranteed","Szinte biztos"
"Bring up the reunion of ","Hozzuk sz¢ba a "
"finds artwork boring","unalmasnak tartja a k‚pz‹mûv‚szetet"
"Taiga","Tajga"
"in existential crisis","l‚tkr¡zisben"
"notably polite","kiemelked‹en udvarias"
"At times, creeping things slither out from below ground.","Id‹nk‚nt cs£sz¢m sz¢k k£sznak el‹ a f”ld al¢l."
"Goods","µruk"
" originating in "," eredete "
"Friendly fire isn't currently possible, so your companions should be safe.  ","Jelenleg nem lehets‚ges a saj t tûz, ¡gy a t rsaidnak nem kell tartaniuk a vesz‚lyt‹l.  "
"three","h rom"
"butcher","hentes"
"'s refusal of ","... elutas¡t sa "
"the loss of heroic status of","a h‹si st tusz elveszt‚se"
"(Combat) Enraged","(Harc) Felb‹szlt"
"Main Ceremony","F‹nneps‚g"
"hate","gyûl”let"
"World Joining Agreement","Vil gszintû csatlakoz si meg llapod s"
"The sky is alive with vortices of purple light and dark, boiling clouds","Az ‚g tele van lila f‚nyb‹l  ll¢ ”rv‚nyekkel ‚s s”t‚t, kavarg¢ felh‹kkel"
"A pool of ","Egy csoport "
"mathematics:geometry:pythagorean theorem","matematika:geometria:Pitagorasz-t‚tel"
"hateful","gyûl”letes"
"  I've already searched in ","  M r kerestem a "
"heavily-armored ","er‹sen p nc‚lozott "
"Resting orientation","Pihen‚si helyzet"
"is offended by leisure time and leisurely living","s‚rt‹nek tartja a szabadid‹t ‚s a nyugodt ‚letm¢dot"
"noted quarreler","h¡res veszeked‹"
"lost faith in","elvesztette a hit‚t"
"Vertical keyboard scroll tiles","Fgg‹leges billentyûzet-g”rget‹ mez‹k"
"Reaction Time","Reakci¢id‹"
"cooking","f‹z‚s"
" constantly rolls "," folyamatosan forog "
"beast from the wilds","a vadonb¢l ‚rkez‹ fenevad"
"fright","ijedts‚g"
"Ground","Talaj"
"Wilderness Curious Wander","Vadon ir nti k¡v ncsis g ‚s v ndorl s"
" the words of "," a k”vetkez‹ szavak: "
"Retrieve ","Let”lt‚s "
"plot assassin","mer‚nyl‹"
"Move upward.","Menj felfel‚."
"depression propensity","depresszi¢ra val¢ hajlam"
"You honor ","Tisztelt "
"Cannot build at highest level","A legmagasabb szinten nem lehet ”ssze ll¡tani"
"more disdainful","m‚g megvet‹bb"
"Migrants were too nervous to make the journey this season to this miserable fortress.","A migr nsok t£ls gosan idegesek voltak ahhoz, hogy ebben a szezonban elinduljanak ebbe a nyomor£s gos er‹dbe."
"medicine:method:surgery probing","orvostudom ny:m¢dszer:seb‚szeti vizsg lat"
"a simple passage","egyszerû  tj r¢"
"mathematics:numbers:unique prime factorization","matematika:sz mok:egyedi pr¡mfaktoriz ci¢"
"Routines are individual orders given to a squad or individual members of a squad.  From here you ","A feladatok egy osztagnak vagy az osztag egyes tagjainak adott egyedi utas¡t sok. Innen pedig "
"Dormitories should include multiple beds and will not belong to a particular citizen.","A h l¢termekben t”bb  gynak kell lennie, ‚s azok nem tartoznak egyetlen konkr‚t polg rhoz sem."
"Is that ","Ez az? "
"drinking something spoiled","romlott italt inni"
" own life, with everything kept in its proper place"," a saj t ‚letem, ahol minden a hely‚n van"
"You might want to adjust the parameters governing elevation frequencies.  ","rdemes lenne be ll¡tanod a magass gi frekvenci kat szab lyoz¢ param‚tereket. "
" together"," egytt"
"Elevation negative on graphical map export (main)","A grafikus t‚rk‚p export l sakor negat¡v magass gi ‚rt‚kek (f‹oldal)"
"Encounter","Tal lkoz s"
"was crushed by a rock","egy szikla al  szorult"
"overall trade sentiments are good.","A kereskedelmi hangulat ”sszess‚g‚ben kedvez‹."
"When there's a pause in a conversation, ","Amikor sznet  ll be a besz‚lget‚sben, "
"It is not convincing.","Ez nem meggy‹z‹."
"This is really exciting!","Ez t‚nyleg izgalmas!"
"Grab Shield","Fogd meg a pajzsot!"
"the Examination","a vizsga"
"Not inclined to create art","Nem hajlok a mûv‚szetre"
"Eerie Glowing Pit","K¡s‚rteties, izz¢ m‚lys‚g"
"I was not able to petition for citizenship.","Nem tudtam  llampolg rs gi k‚relmet beny£jtani."
" changing "," v ltoz¢ "
"the request by ","a k”vetkez‹ k‚relmet "
"Nest","F‚szek"
"half ","fele "
"older half-brother","id‹sebb f‚ltestv‚r"
"blowgun","f£v¢cs‹"
"being away from great beasts for so long","hogy ilyen sok ig t vol voltam a hatalmas  llatokt¢l"
"  Body corrupted beyond reckoning, ","  A test elk‚pzelhetetlen m‚rt‚kben megrong l¢dott, "
" strong"," er‹s"
"This dancer","Ez a t ncos"
"Planting","šltet‚s"
"less gracious","kev‚sb‚ kedves"
"forceps","fog¢"
"Cough blood","V‚rk”h”g‚s"
"Sharp blades","les peng‚k"
"for","mert"
"Trade at depot","Keresked‚s a rakt rban"
"admire architecture","csod lni az ‚p¡t‚szetet"
"Tower","Torony"
"fishery worker","hal szati munk s"
"has a habit of chewing on ","szok sa, hogy r gcs lja a "
"Archery Range","Öj szp lya"
" is threatened!  The forces of "," vesz‚lyben van!  A "
"This is the movement options menu.  Here you can choose your gait and see your current stealth profile.  ","Ez a mozg si be ll¡t sok menje. Itt kiv laszthatod a j r sm¢dodat, ‚s megtekintheted az aktu lis lopakod si profilodat.  "
"Siege","Ostrom"
"nephew","unoka”ccs"
"What's so special about art?","Mi olyan kl”nleges a mûv‚szetben?"
" year"," ‚v"
"Surgical Scissors","Seb‚szeti oll¢"
"a way with words","sz¢haszn lati tehets‚g"
"Injured party: ","S‚rlt f‚l: "
"Name the image","Nevezd el a k‚pet"
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Ez egy p‚lda a srg‹ss‚gi riaszt s! Ezek nagyon fontosak. Vesz‚lyes figyelmen k¡vl hagyni ‹ket."
"You are too tired to stand.","T£l f radt vagy ahhoz, hogy  llj."
"Sparse","Ritk s"
" masterfully dyed a "," mesteri m¢don festett egy "
"reelected","£jrav lasztott k"
"geographer","f”ldrajztud¢s"
" wafers"," ostya"
"is the symbol of","a szimb¢luma"
"No particular deity","Nincs konkr‚t istens‚g"
"over at ","ott "
"State feelings of great dejection","Hatalmas letargia ‚rz‚s‚nek kifejez‚se"
"Click an icon to set stockpile type.","A k‚szlet t¡pus nak be ll¡t s hoz kattints egy ikonra."
"My sibling shared a personal insight with me.","A testv‚rem megosztott velem egy szem‚lyes gondolatot."
" and fulfill your destiny."""," ,,‚s teljes¡tsd be a sorsodat."""
"Peace is cherished.","A b‚k‚t nagyra ‚rt‚keljk."
"Water flows from the adjacent input tile","A v¡z a szomsz‚dos bemeneti mez‹b‹l  ramlik"
"A mandate has ended.","Egy megb¡zat s lej rt."
"after wandering","miut n k”rbej rtam"
" (barrel)"," (hord¢)"
"Loading history...","T”rt‚nelem bet”lt‚se..."
"right under you","k”zvetlenl alattad"
"bulging","kidudorod¢"
"the underworld","az alvil g"
"because of a leadership change at the site","a telephelyen t”rt‚nt vezet‹s‚gi v ltoz s miatt"
"disdain advice","megvetni a tan csot"
"  The task is accomplished.","  A feladat elv‚gz‚sre kerlt."
"How have things been?","Hogy mennek a dolgok?"
"dislikes helping others","nem szeret m soknak seg¡teni"
"Missing","Hi nyzik"
"Magma forge","Magmakoh¢"
"room","szoba"
"Verbally struggle against great shock","Szavakkal kzdjnk a hatalmas sokk ellen"
