"World","Mundo"
"history:form:genealogy","historia:forma:genealogía"
"history:form:autobiographical adventure","historia:forma:aventura autobiográfica"
"history:form:cultural comparison","historia:forma:comparación cultural"
"history:form:treatise on tech evolution","historia:forma:tratado sobre la evolución tecnológica"
"history:sourcing:basic archaeology","historia:abastecimiento:arqueología básica"
"history:form:alternate history","historia:forma:historia alternativa"
"history:sourcing:role of cultural differences","historia:abastecimiento:rol de las diferencias culturales"
"astronomy:height of tides vs moon and sun","astronomía:altura de las mareas por la luna y el sol"
"astronomy:tides and the moon","astronomía:las mareas y la luna"
"astronomy:path of the moon","astronomía:trayectoria de la luna"
"astronomy:summer winter moon","astronomía:luna de verano e invierno"
"astronomy:phases of the moon","astronomía:fases de la luna"
"astronomy:summer winter sun","astronomía:sol de verano e invierno"
"astronomy:heliocentric model","astronomía:modelo heliocéntrico"
"astronomy:geocentric model","astronomía:modelo geocéntrico"
"astronomy:daylight variation with solar year","astronomía:variación de luz diaria en un año solar"
"astronomy:relationship between lunar solar year","astronomía:relación entre año solar y lunar"
"astronomy:dates of lunar and solar eclipses","astronomía:fechas de eclipses solares y lunares"
"astronomy:star color classification","astronomía:clasificación de estrellas por su color"
"astronomy:star catalogues 1000","astronomía:1000 catálogos de estrellas"
"astronomy:star catalogues 100","astronomía:100 catálogos de estrellas"
"astronomy:star charts","astronomía:cartas astrales"
"astronomy:star magnitude classification","astronomía:clasificación de estrellas por su magnitud"
"astronomy:method path models","astronomía:método para modelos de trayectoria"
"astronomy:method empirical observation","astronomía:observaciones por el método empírico"
"astronomy:precession of equinoxes","astronomía:precesión de los equinoccios"
"astronomy:shape of the world","astronomía:forma del mundo"
"naturalist:method:dissection","naturalista:Método:disección"
"naturalist:observation:anatomy","naturalista:observación:anatomía"
"naturalist:theory:comparative anatomy","naturalista:teoría:anatomía comparativa"
"naturalist:observation:social behavior","naturalista:observación:comportamiento social"
"chemistry:classification:combustibles","química: clasificación: combustibles."
"chemistry:metallurgy:alloys","quimica:metalurgia:aleaciones"
"chemistry:classification:scratch test","química:clasificación:arañazo test"
"chemistry:classification:elemental theory","química: clasificación: teoría elemental"
"chemistry:laboratory:blast furnace","química:laboratorio:alto horno"
"chemistry:classification:alkali and acids","Química: clasificación: álcali y ácidos."
"chemistry:laboratory:theory of evaporation","química:laboratorio:teoría de la evaporación"
"chemistry:laboratory:theory of liquid-liquid extraction","Química: laboratorio: teoría de la extracción líquido-líquido."
"chemistry:laboratory:alembic","química:laboratorio:alambique"
"chemistry:laboratory:systematic experiments","química: laboratorio: experimentos sistemáticos"
"chemistry:laboratory:crucible","química:laboratorio:crisol"
"chemistry:laboratory:glass vial","química:laboratorio:vial de vidrio"
"chemistry:laboratory:glass beaker","química:laboratorio:rompevidrios"
"chemistry:chemicals:nitric acid","química: productos químicos: ácido nítrico"
"chemistry:laboratory:lab ovens","química:laboratorio:hornos de laboratorio"
"chemistry:laboratory:glass retort","química:laboratorio:réplica de vidrio"
"chemistry:laboratory:glass ampoule","química: laboratorio: ampolla de vidrio"
"chemistry:chemicals:sulfuric acid","química:productos químicos:ácido sulfúrico"
"geography:surveying:triangulation","geografía:topografía:triangulación"
"geography:surveying:staff","geografía:topografía:personal"
"geography:cartography:distance scale","geografía:cartografía:escala de distancia."
"geography:cartography:grid system","geografía: cartografía: sistema de cuadrícula"
"geography:surveying:engineering","geografía:inspeccionando:ingeniería"
"geography:surveying:military","geografía: agrimensura: militar"
"geography:theory:wind patterns","geografía:teoría:patrones de viento"
"geography:form:atlas","geografía: forma: atlas"
"geography:cartography:map projections","geografía:cartografía:proyecciones de mapa"
"geography:theory:latitude climate zones","geografía: teoría: latitud zonas climáticas"
"geography:theory:water cycle","geografía:teoría:ciclo del agua"
"medicine:method:autopsy","medicina:método:autopsia"
"medicine:theory:prognosis","medicina:teoría:pronóstico"
"medicine:tool:herbal remedies","medicina:herramienta:remedios herbales"
"medicine:tool:animal remedies","medicina:herramienta:remedios animales"
"medicine:tool:bandages","medicina: herramienta: vendas"
"medicine:theory:endemic disease","medicina: teoría: enfermedad endémica"
"medicine:theory:acute and chronic conditions","medicina:teoría:condiciones graves y crónicas"
"medicine:theory:toxicology","medicina:teoría:toxicología"
"medicine:theory:epidemic disease","medicina:teoría:enfermedad epidémica"
"medicine:theory:paroxysm","medicina:teoría:paroxismo"
"medicine:theory:exacerbation","medicina:teoría:exacerbación"
"medicine:theory:convalescence","medicina:teoria:convalescencia"
"medicine:method:treatment of traumatic injuries","medicina:método:tratamiento de heridas traumáticas"
"medicine:tool:traction bench","medicina:herramienta:scamnum"
"medicine:method:surgery excision","medicina: método: extirpación quirúrgica"
"medicine:method:fracture immobilization","medicina:método:inmovilización de fracturas."
"medicine:method:lithotomy surgery","medicina:metodo:cirugía de litotomía"
"medicine:method:hernia surgery","medicina:método:cirugía de hernia"
"medicine:method:surgery scraping","medicina:método:extirpado quirúrgico"
"medicine:method:surgery suturing","medicina:método:cirugía de sutura"
"medicine:method:surgery draining","medicina:método:drenado quirúrgico"
"medicine:method:surgery ligature","medicina:método:cirugíade ligadura"
"medicine:theory:surgical models","medicina:teoría:modelos quirúrgicos."
"medicine:tool:mud bags as surgical models","medicina:herramienta:bolsas de barro como modelos quirúrgicos"
"medicine:tool:plants as surgical models","medicina:herramienta:plantas como modelos quirúrgicos."
"medicine:tool:animals as surgical models","Medicina: herramienta: animales como modelos quirúrgicos."
"medicine:tool:forceps","medicina:herramienta:fórceps"
"medicine:tool:scalpel","medicina:herramienta:escalpelo"
"medicine:tool:surgical scissors","medicina:herramienta:tijeras quirúrjicas"
"medicine:method:cauterization","medicina:método:cauterización"
"medicine:tool:surgical needles","medicina: herramienta: agujas quirúrgicas"
"medicine:method:anesthesia","medicina:método:anestesia"
"medicine:theory:classification of bodily fluids","medicina:teoría:clasificación de fluidos corporales"
"medicine:theory:anatomical studies","medicina:teoría:estudios anatómicos"
"medicine:theory:pulmonary medicine","medicina:teoría:medicina pulmonar"
"medicine:theory:eye anatomy","medicina:teoría:anatimía del ojo"
"medicine:theory:motor vs sensory nerves","medicina:teoría:motor vs nervios sensitivos"
"medicine:theory:comparative anatomy","medicina:teoría:anatomía comparativa"
"medicine:theory:pulmonary circulation","medicina:teoría:circulación pulmonar"
"medicine:theory:classification of muscles","medicina:teoría:clasificación de los músculos"
"medicine:theory:treatment of mental illnesses","medicina:teoría:tratamiento de enfermedades mentales"
"medicine:method:professional hospital staff","medicina:método:personal profesional del hospital"
"medicine:method:medical school","medicina:método:escuela de medicina"
"medicine:method:specialized wards","medicina:método:sala especializada"
"medicine:method:asylum for mentally ill","medicina: método: asilo para enfermos mentales"
"engineering:horology:shadow clock","ingeniería: horología: reloj de sombra"
"engineering:horology:water clock reservoir","ingeniería:relojería:embalse de reloj de agua"
"engineering:machine:pulley","ingeniería:máquina:polea"
"engineering:machine:theory of wheel-and-axle","ingeniería: máquina: teoría de la rueda y el eje"
"engineering:machine:screw","ingeniería:máquina:tornillo"
"engineering:machine:theory of screw","ingenieria: maquina: teoria de tornillo"
"engineering:machine:lever","ingeniería:máquina:palanca"
"engineering:machine:theory of lever","ingeniería: máquina: teoría de la palanca"
"engineering:machine:theory of wedge","ingeniería: máquina: teoría de la cuña"
"engineering:machine:straight-beam balance","ingeniería: máquina: balancín de viga recta"
"engineering:machine:tumbler lock","ingeniería:máquina:cerradura de tambor"
"engineering:machine:theory of gears","ingeniería:máquina:teoría de engranajes"
"engineering:machine:padlock","ingeniería: máquina: candado"
"engineering:machine:camshaft","ingeniería: máquina: árbol de levas"
"engineering:machine:mechanical compass","ingeniería:máquina:brújula mecánica"
"engineering:machine:chain drive","ingeniería:máquina:cadena de accionamiento"
"engineering:machine:balance wheel","ingeniería:máquina:rueda de balance"
"engineering:machine:verge escapement","ingenieria:maquina:foliot"
"engineering:fluid:force pump","ingeniería: fluido: bomba de fuerza"
"engineering:optics:crystal lens","ingeniería:óptica:lente de cristal"
"engineering:optics:water-filled spheres","ingeniería:óptica:esferas rellenas de agua"
"engineering:optics:theory of color","ingeniería:ópticas:teoría del color"
"engineering:design:models and templates","ingeniería: diseño: modelos y plantillas"
"engineering:optics:law of refraction","ingeniería:óptica:ley de refracción"
"engineering:optics:theory of rainbows","ingeniería:ópticas:teoría de arcoiris"
"engineering:construction:wood lamination","ingeniería:construcción:laminado de madera"
"engineering:astronomy:astrolabe","ingeniería: astronomía: astrolabio"
"engineering:astronomy:dioptra","ingeniería:astronomía:dioptra"
"engineering:machine:double-acting piston bellows","ingeniería: máquina: fuelle de pistón de doble efecto"
"engineering:optics:cause of twilight","ingeniería:óptica:causa del crepúsculo"
"engineering:optics:atmospheric refraction","ingeniería: óptica: refracción atmosférica"
"engineering:machine:bellows","ingeniería:máquina:fuelles"
"engineering:machine:crank","ingeniería: máquina: manivela"
"engineering:machine:piston","ingeniería:máquina:pistón"
"individual happiness","felicidad individual"
"perception","percepción"
"justification","justificación"
"time","tiempo"
"existence","existencia"
"belief","creencia"
"mind and body","mente y cuerpo"
"events","eventos"
"wholes and parts","enteros y partes"
"objects and properties","objetos y propiedades"
"processes","procesos"
"interpersonal ethics","ética interpersonal"
"military ethics","ética militar"
"causation","causalidad"
"education","educación"
"social welfare","bienestar social"
"economic policy","política económica"
"proof by contradiction","prueba por contradicción"
"nothingness","la nada"
"negative quantities","cantidades negativas"
"very large numbers","números muy grandes"
"geometric objects","objetos geométricos"
"exhaustion","agotamiento"
"congruent triangles","Triángulos congruentes"
"right triangles","triángulos correctos"
"inscribed triangles","triángulos inscritos"
"isosceles triangles","triángulos de isóceles"
"incommensurable ratios","Proporciones Inconmensurables"
"pyramids","pirámides"
"common divisors","divisores comunes"
"prime divisors","divisores primos"
"cones","conos"
"division","división"
"spheres","esferas"
"chord lengths","longitudes del acorde"
"circles","círculos"
"conic sections","secciones cónicas"
"prime numbers","números primos"
"parabolas","parábola"
"remainders","restos"
"diagonals","diagonales"
"large sums","grandes sumas"
"systems of equations","sistemas de ecuaciones"
"quadratic equations","ecuaciones cuadráticas"
"powers","poderes"
"triangle and circles","triángulo y círculos"
"equations","ecuaciones"
"chords","cuerda"
"the harmonic series","las series armónicas"
"notation","notación"
"historical causation","Casualidad histórica"
"personal interviews","entrevistas personales"
"state bias","sesgo del estado"
"systemic bias","sesgo sistemático"
"source reliability","confiabilidad de la fuente"
"cycles","ciclos"
"community conflict","conflicto de la comunidad"
"community bonds","lazos comunitarios"
"biographical dictionaries","diccionarios biográficos"
"the encyclopedia","la enciclopedia"
"autobiographical adventures","aventuras autobiográficas"
"technological evolution","evolución tecnológica"
"archaeology","arqueología"
"cultural differences","diferencias culturales"
"tidal height","altura de la marea"
"the moon and tides","la luna y las mareas"
"the moon's path","el camino de la luna"
"the moon and seasons","la Luna y las Mareas"
"moon phases","fases lunares"
"the sun and seasons","el sol y sus fases"
"the heliocentric model","el modelo heliocéntrico"
"the geocentric model","el modelo geocéntrico"
"daylight and seasons","luz del día y las estaciones"
"lunar and solar years","años lunares y solares "
"the color of stars","el color de las estrellas"
"extensive star catalogues","catálogos extensivos de estrellas"
"star catalogues","catálogos de estrellas"
"star charts","cartas astrales"
"the brightness of stars","la luminiscencia de las estrellas"
"astronomical models","modelos astronómicos"
"empirical observation","observación empirica"
"equinoxes","equinoccios"
"dissection","disección"
"anatomy","anatomía"
"comparative anatomy","anatomía comparativa"
"physical features","características físicas"
"migratory patterns","patrones migratorios"
"reproductive behavior","comportamiento reproductivo"
"foraging behavior","comportamiento de alimentación"
"diseases","enfermedades"
"social behavior","Comportamiento social "
"dietary relationships","relaciones dietarias"
"climatic adaptation","adpatacion climatica"
"the struggle for survival","la odisea por sobrevivir"
"embriological development","desarrollo embriológico"
"combustible materials","materiales combustibles"
"ores","minerales"
"alloys","aleaciones"
"hardness","dureza"
"elemental materials","materiales elementales"
"adhesives","adhesivos"
"the blast furnace","el alto horno"
"alkali and acids","álcali y ácidos"
"evaporation","evaporación"
"distillation","destilación"
"liquid extraction","extracción de liquido "
"the alembic","el alambique"
"systematic experiments","experimentos sistemáticos"
"the crucible","el crisol"
"the funnel","el embudo"
"the vial","el frasco"
"the beaker","el vaso"
"the flask","la petaca"
"spirit of niter","aqua fortis"
"laboratory ovens","hornos de laboratorios"
"the retort","la réplica"
"the ampoule","la ampolla"
"aqua regia","agua regia"
"oil of vitriol","aceite de vitriolo"
"cartographical surveying","topografía cartográfica"
"triangulation","triangulación"
"cartography","cartografía"
"the surveying staff","el personal de inspección"
"surveying","topografía"
"land surveying","Agrimensura"
"distance scales","escalar distancias"
"map grids","cuadrículas de mapa"
"surveying for engineering","estudiando para ingeniería"
"military surveying","reconocimiento militar"
"delta formation","formación de un delta"
"the atlas","el atlas"
"economic cartography","cartografía economica"
"economic data","información económica"
"map projections","proyecciones de mapas"
"map accuracy","precision del mapa"
"climate zones","zonas climáticas"
"the water cycle","el ciclo del agua"
"disease and fouled water","enfermedad y agua contaminada"
"physical examination","examen físico"
"autopsy","autopsia "
"prognosis","Pronóstico"
"animal remedies","remedios animales"
"bandages","vendas"
"disease classification","clasificación de enfermedades"
"endemic disease","enfermedad endemica"
"acute and chronic conditions","Condiciones Graves y Crónicas"
"toxicology","toxicología"
"epidemic disease","enfermedad epidémica"
"relapse","Recaída"
"paroxysm","paroxismo"
"exacerbation","exacerbación"
"convalescence","convalecencia"
"fracture classification","clasificación de fractura"
"fracture treatment","tratamiento de fractura"
"traumatic injuries","lesiones traumáticas"
"the traction bench","el scamnum"
"excision","excisión"
"the orthopedic cast","la escayola ortopédica"
"incision","corte"
"lithotomy surgery","cirugía de litotomía"
"tracheotomy surgery","cirugía de traqueotomía"
"suturing","sutura"
"draining","drenando"
"ligature","ligadura"
"mud bags as surgical models","bolsas de barro como modelos quirúrgicos"
"animals as surgical models","animales como modelos quirúrgicos"
"the scalpel","el bisturí"
"surgical scissors","tijeras quirúrgicas"
"surgical needles","agujas quirúrgicas"
"eye anatomy","anatomía del ojo"
"the nervous system","el sistema nervioso"
"nerves","nervios"
"blood vessels","vasos sanguíneos"
"the voice","la voz"
"muscles","músculos"
"hospitals","hospitales"
"mental illnesses","enfermedad mental"
"hospital staff","personal de hospital"
"medical schools","escuelas de medicina"
"hospital laboratories","laboratorios hospitalarios"
"hospital wards","salas de hospital"
"asylums","asilos"
"shadow clocks","relojes de sombra"
"water clocks","relojes de agua"
"the astrarium","el astrario"
"mechanical clocks","relojes mecánicos"
"the pulley","la polea"
"the wheel-and-axle","el torno"
"the screw","el tornillo"
"the windlass","el molinete"
"the lever","la palanca"
"the wedge","la cuña"
"the tumbler lock","la cerradura del vaso"
"the warded lock","la cerradura protegida"
"gears","engranajes"
"the padlock","el candado"
"the chariot odometer","el odómetro del carro"
"the mechanical compass","el compás mecánico"
"combination locks","cerraduras de combinación"
"the siphon","el sifon"
"the balance wheel","el volante regulador"
"the verge escapement","el foliot"
"valves","válvulas"
"the force pump","la bomba de fuerza"
"the crystal lens","el lente de cristal"
"the glass lens","la lente de cristal"
"light and color","Luz y color"
"refraction","refracción"
"the astrolabe","el astrolabio"
"the dioptra","la dioptra"
"the spherical astrolabe","el astrolabio esférico"
"the water-powered trip hammer","el martillo de viaje hidráulico"
"double-acting piston bellows","fuelle de pistón de doble acción"
"water displacement","desplazamiento de agua"
"the height of the atmosphere","la altura de la atmósfera"
"the bellows","los fuelles"
"the crank","la manivela"
"the piston","el pistón"
"the water-powered piston bellows","el fuelle de pistón de agua"
"Not enough peaks: ","No hay suficientes picos: "
"Not enough medium altitudes after shift down","No hay suficientes altitudes medias después del cambio hacia abajo"
"Not enough high altitudes after shift up","No hay suficientes alturas elevadas después del cambio hacia arriba"
"Not enough medium altitudes after shift up","No hay suficientes altitudes medias después del cambio hacia arriba"
"Not enough partial edge oceans","No hay suficientes océanos de borde parcial"
"Not enough complete edge oceans","No hay suficientes océanos de borde completo"
"Rainfall not evenly distributed: ","Precipitación no distribuida uniformemente: "
"Savagery not evenly distributed","El salvajismo no se distribuye uniformemente"
"Volcanism not evenly distributed","Volcanismo no distribuido uniformemente"
"Initial desert square count fails by ","La cuenta inicial del desierto falla por "
"Initial forest square count fails by ","El conteo de cuadrados de bosque inicial falla por "
"Initial glacier square count fails by ","El conteo inicial del cuadrado glaciar falla por "
"Initial tundra square count fails by ","El conteo de cuadrados de tundra inicial falla por "
"Initial hill square count fails by ","El conteo de cuadrados de la colina falla por "
"Not enough volcanos","No hay suficientes volcanes"
"Forest region count fails by ","El recuento de la región boscosa falla por "
"Mountain region count fails by ","Conde de la región de montaña fracasa por "
"Glacier region count fails by ","El recuento de la región glaciar falla por "
"Hill region count fails by ","El conteo de la región de Hill falla por "
"Too many distinct subregions (over by ","Demasiadas subregiones distintas (por "
" will be logged after parameter dump."," se registrará después del volcado de parámetros."
" ran into "," Encontré "
"Not enough low altitude locations after erosion: ","No hay suficientes ubicaciones de baja altitud después de la erosión: "
"Not enough mountain cave locations after location check","No hay suficientes ubicaciones de cuevas de montaña después del control"
"Not enough low-lying cave locations after location check","No hay suficientes ubicaciones de cuevas bajas después de la verificación"
"Not enough entity placement locations","No hay suficientes ubicaciones para la ubicación de entidades"
"No controllable entity definitions available","No hay definiciones de entidades controlables disponibles"
"Did not place controllable entity","No colocó entidad controlable"
"Placed farming entity without non-orchard crops","Entidad agropecuaria colocada sin cultivos no hortícolas"
"Placed farming entity without orchard crops","Entidad granjera colocada sin cultivos de huerto"
"Final swamp region count fails by ","El recuento final de la región pantanosa falla por "
"Final desert region count fails by ","El recuento final del desierto falla por "
"Final forest region count fails by ","El recuento final de la región forestal falló por "
"Final mountain region count fails by ","La cuenta final de la región montañosa falla por "
"Final ocean region count fails by ","El conteo final de la región oceánica falla por "
"Final glacier region count fails by ","El recuento final de la región glaciar falla por "
"Final tundra region count fails by ","La cuenta final de la tundra falla por "
"Final grassland region count fails by ","El recuento final de la región de pastizales falla por "
"Final hill region count fails by ","El recuento final de la región de la colina falla por "
"Created in DF ","Creado en DF "
"Worship List","Lista de culto"
" List"," lista"
" (b."," (b."
", Inherited",", Heredado"
" from mother"," de madre"
" from father"," de padre"
" from paternal grandmother"," de la abuela paterna"
" from paternal grandfather"," del abuelo paterno"
" from maternal grandmother"," de la abuela materna"
" from maternal grandfather"," del abuelo materno"
"Married","Casado"
", *** New Line",", *** Nueva Linea"
", *** Original Line",", *** Línea original"
"Divorced","Divorciado"
"Never Married","Nunca se casado"
" Child"," Niño"
" (out-lived)"," (fuera de vida)"
" (out-lived "," (sobrevivido "
" of them)"," de ellos)"
" at death"," en su muerte"
"(d. ","(d. "
"No Children","Sin Hijos"
"Worshipped ","adorado "
"Worships ","Adora "
"Civilized World Population","Población del Mundo Civilizado"
"Unnumbered","Incontable"
"visitor","visitante"
"outcast","marginado"
" animated "," animado "
"Outdoor Animal Populations (Including Undead)","Poblaciones Animales Exteriores (Incluyendo no-muertos)"
"Midmap creation failure on graphical map export: ","Error en la creación del mapa mental en la exportación de mapas gráficos: "
"Cannot generate random creatures -- missing creature variation ","No se pueden generar criaturas aleatorias -- falta variación de criatura "
"a stunning lack of analytical ability","una impresionante falta de capacidad analítica"
"Woe unto any that disturb the resting place of ","¡Ay de cualquiera que perturbe el lugar de descanso de "
" The "," El "
" watches still"," los relojes siguen"
" is with "," esta con "
" but"," pero"
"Imported Food","Comida importada"
"Imported Clothing","Tela importada"
"Imported Goods","Productos importados"
"Woven Clothing","Ropa Tejida"
"Leather Clothing","Ropa de Cuero"
"Metal Crafts","Artesanías de Metal"
"Leather Goods","Productos de cuero"
"Wooden Furniture","Muebles de Madera"
"Stone Furniture","Muebles de Piedra"
"Metal Furniture","Muebles de Metal"
"building out of bounds: ","construir fuera de límites "
"cottage plot","parcela de cabaña"
"house","casa"
"shop","tienda"
"market square","plaza del Mercado"
"barrow","carretilla"
"vault","cámara"
"warehouse","almacén"
"dormitory","residencia"
"pasture","pasto"
"meadow","prado"
"yard","yarda"
"fortress entrance","entrada a la fortaleza"
"shrine","santuario"
"Select a game type to begin!","¡Selecciona un tipo de juego para comenzar!"
"Back to title menu","Volver al menú del título"
"World debug","Depuración mundial"
" - coming soon!"," - ¡próximamente!"
"You have selected the largest possible area.","Has seleccionado el área mas grande posible."
"You have selected a very large area.","Has seleccionado un área bastante grande."
"You have selected a large area.","Has seleccionado un área grande."
"Choose a smaller area if you experience lag.","Elija un área más pequeña si experimenta retrasos."
"You have selected the smallest possible area.","Has seleccionado el área mas pequeña posible."
"You have selected a narrow area.","Ha seleccionado un área estrecha."
"It might be difficult to find resources.","Puede ser difícil encontrar recursos."
"You have selected an area with salt water.","Ha seleccionado una zona con agua salada."
"It might be very difficult to survive here.","Puede ser que sea muy difícil sobrevivir aquí."
"You have selected an area with a heavy aquifer.","Ha seleccionado un área con un gran acuífero."
"It might be very difficult to obtain stone here.","Puede ser que sea muy difícil obtener piedra aquí."
"You have selected an area with a light aquifer.","Ha seleccionado un área con un pequeño acuífero."
"Water might need to be pumped out or carried away.","Es posible que sea necesario bombear o extraer el agua."
"Your selected civilization is dead or dying.","La civilización seleccionada esta muerta o muriendo."
"Your dwarves might assume important positions.","Tus enanos podrían asumir posiciones importantes."
"Click ""Embark"" to place your fortress.  Right click to zoom out.","Pulsa ""Embarcar"" para colocar tu fortaleza. Click derecho para alejar el zoom."
"Show elevation","Mostrar elevación"
"Show cliffs/grade","Mostrar acantilados"
" Clear find results "," Borrar resultados de búsqueda "
"Find embark location","Buscar lugar de embarque"
"Reclaim/unretire","Reclamar/retirar"
"Choose origin civilization","Elige la civilización de origen"
"Click the map to zoom in and choose your embark location.","Haga clic en el mapa para acercar y elegir su ubicación de embarque."
"Click on the map to embark!  Right click to abort.","¡Haz clic en el mapa para embarcar! Haga clic derecho para cancelar."
"Cannot embark on another site.","No se puede embarcar en otro sitio."
"Recommended size.","Tamaño recomendado."
"Cannot embark entirely on water or mountains.","No se puede embarcar enteramente en agua o montañas."
"Must embark on map.","Debe embarcar en el mapa."
"X Dimension","Dimensión X"
"Y Dimension","Dimensión Y"
"Rain","Lluvia"
"Flux Stone Layer","Capa de Piedra Fundente"
"Aquifer (Light)","Acuífero (Pequeño)"
"Aquifer (Heavy)","Acuífero (Grande)"
"Underground River","Rio Subterraneo"
"Underground Pool","Estanque subterráneo"
"Magma Pool","Fozo de magma"
"Magma Pipe","Tubo de Magma"
"Bottomless Pit","Pozo sin fondo"
"Soil","Tierra"
"Untamed wilds","Animales salvajes indómitos"
"Evil","Maligno"
" Deep"," Profundo"
" Some"," Poca"
"Searching ","Buscando "
"Stop","Parar"
"No match.","Sin coincidencia."
"Partial match.","Coincidencia parcial."
"Match found!","Coincidencia encontrada!"
"Begin","Buscar"
"Reclaim ","Recoger "
"Inhabited","Inabitado"
"Unretire","Volver de la jubilacion"
"Reclaim!","¡Reclamar!"
"Population: ","Popularidad: "
"Number of sites: ","Número de sitios: "
"Preparing map...","Preparando mapa ..."
"Could not give dwarf ","No se pudo dar enano "
" skill: "," habilidad: "
"Cannot afford ","No puede costearse "
"  Prepare for the Expedition to "," Prepárate para la Expedición a "
"  Prepare for the Journey to "," Prepárate para el Viaje a "
"Play now!","¡Juega ahora!"
"Start immediately with the default skills, equipment, and animals.","Comience inmediatamente con las habilidades, el equipo y los animales predeterminados."
"Prepare for the journey carefully","Prepárate cuidadosamente para el viaje"
"Choose your own skills, equipment, and animals.","Elige tus propias habilidades, equipamiento y animales."
"Prepare using a saved embark profile:","Prepárese usando un perfil de embarque guardado:"
"Embark preparations were not completed.","Los preparativos para el embarque no están completos."
"Fortress Name","Nombre de la fortaleza"
"Group Name","Nombre del grupo"
"Group Symbol","Símbolo del grupo"
"Problems","Problemas"
"Save Profile","Guardar Perfil"
"Embark!","¡Embarcar!"
"Your Citizens","Tus Ciudadanos"
"Available Skills","Habilidades Disponibles"
"skill picks left","selecciones de habilidad restantes"
"skill pick left","selecciones de habilidad restantes"
"Your Items","Tus objetos"
"Points Left: ","Puntos restantes: "
"Available Items","Objetos disponibles"
"Your Animals","Tus animales"
"Available Animals","Animales disponibles"
"Warning!  The following embark profile name is already in use:","¡Alerta! El siguiente nombre para el perfil de embarque ya está en uso:"
"To save these settings, choose a name for this embark profile:","Para guardar esta configuración, elige un nombre para este perfil de embarque: "
"Are you sure?","¿Estás seguro?"
" point"," punto"
" unpicked skill"," habilidad no seleccionada"
"I am ready!","¡Estoy listo!"
"Profile ","Perfil "
"Miners","Mineros"
"Woodcutters","Leñadores"
"Hunters","Cazadores"
"Planters","Jardineros"
"Fishermen","Pescadores"
"Plant gatherers","Recolectores de plantas"
"Stonecutters","Canteros"
"Engravers","Grabadores"
"Haulers","Transportistas"
"Orderlies","Enfermeros"
"No alert","Sin alerta"
"** Unretiring Outpost **","** Puesto de Avanzada en Activo **"
"Neighbors:","Vecinos:"
"Nearest site: ","Sitio más cercano: "
"1/2 day's travel","1/2 día de viaje"
"You have located ","Has localizado "
""", a ",""", un "
"Nothing to cage","Nada para enjaular"
"dormitory (50,75,75)","residencia (50,75,75)"
"dining hall (75,50,75)","comedor (75,50,75)"
"meat market (255,0,0)","carnecería (255,0,0)"
"metal crafter shop (128,128,128)","taller de artesano de metal (128,128,128)"
"fortress (129,129,129)","fortaleza (129,129,129)"
"underground guilds (20,100,20)","gremios clandestinos (20,100,20)"
"underground merchants (100,100,20)","comerciantes clandestinos (100,100,20)"
"tavern (255,255,32)","taberna (255,255,32)"
"well (0,0,255)","pozo (0,0,255)"
"house (100,70,10)","casa (100,70,10)"
"shrine (0,255,255)","santuario (0,255,255)"
"pasture (0,255,0)","pastos (0,255,0)"
"woodland (0,95,0)","bosque (0,95,0)"
"fortress","fortaleza"
"mountain halls","salones de montaña"
"hillocks","montículos"
"pits","fosas"
"cave","cueva"
"forest retreat","retiro forestal"
"hamlet","aldea"
"labyrinth","laberinto"
"castle","castillo"
"monastery","monasterio"
"monument","monumento"
"camp","campamento"
"important location","locación importante"
"usually speaks in a whisper","usualmente habla en un susurro"
"whispers when ","susurra cuando "
" is thinking hard about something"," piensa mucho en algo"
"'s nervous","está nervioso"
"starts to whisper when ","comienza a susurrar cuando "
" is trying to remember something"," intenta recordar algo"
" is angry"," está enojado"
"speaks very quietly","habla muy tranquilamente"
"keeps ","mantiene "
" voice very quiet when "," voz muy tranquila cuando "
" is nervous"," está nervioso"
"talks very quietly when ","habla muy tranquilamente cuando "
"starts yelling whenever ","comienza a gritar cada vez que "
" gets angry"," se enoja"
"begins to talk louder when ","empieza a hablar alto cuand "
"talks very loudly when ","habla muy alto cuando "
" is excited"," este excitado"
"shouts when ","grita cuando "
" surprised"," sorprendido"
"talks very loudly whenever ","habla muy fuerte cuando "
" is exasperated"," está exasperado"
" is annoyed"," está molesto/a"
"speaks very loudly","habla muy fuerte"
"has a very monotonous way of speaking","tiene una manera muy monotona de hablar"
"speaks in a monotone when ","habla en voz monotónica cuando "
"begins to talk in a monotone when ","comienza a hablar en voz monotónica cuando "
" is bored"," este aburrido"
"starts to drone when ","comienza a zumbar cuando "
"begins speaking in a monotone whenever ","comienza a hablar en monótono cada vez que "
" is angered"," está enfadado"
" voice has a tendency to trail off when "," la voz tiene tendencia a desvanecerse cuando "
"'s speaking","habla"
" is thinking about something"," está pensando acerca de algo"
" voice trails off whenever "," la voz se apaga cada vez que "
" tries to remember something"," trata de recordar algo"
" generally speaks very slowly"," Generalmente habla muy despacio"
"When ","Cuando "
"'s annoyed, ","esta aburrido "
" starts to talk slowly"," empieza a hablar despacio"
"begins to talk much more slowly when ","comienza a hablar mucho más despacio cuando "
"'s exasperated","esta exasperado"
"'s angry","este enojado"
" usually talks very quickly"," generalmente habla muy rápido"
"talks very rapidly after ","hala muy rápidamente después "
"'s been surprised","fue sorprendido"
"speaks rapidly when ","habla rápidamente cuando "
