"its","suo"
"Ruinations","Rovine"
"ruination","rovina"
"Judgment","Sentenza"
"Judgments","Sentenze"
"judgment","sentenza"
"Servant","Servitore"
"Servants","Servitori"
"servant","servitore"
"Assistants","Assistenti"
"assistant","assistente"
"Attendant","Addetto"
"Attendants","Addetti"
"attendant","addetto"
"Minion","Tirapiedi"
"Minions","Tirapiedi"
"minion","tirapiedi"
"Helper","Aiutante"
"Helpers","Aiutanti"
"helper","aiutante"
"Hand","Mano"
"Being","Creatura"
"Beings","Creature"
"being","creatura"
"Puppet","Burattino"
"Puppets","Burattini"
"puppet","burattino"
"Pawn","Pedina"
"Pawns","Pedine"
"pawn","pedina"
"Retainer","Valletto"
"Retainers","Valletti"
"retainer","valletto"
"bogeyman:bogeymen:bogeyman]","babau:babau:babau]"
"nightmare:nightmares:nightmare]","incubo:incubi:incubo]"
"midnight","mezzanotte"
"bleak","tenebrositÖ"
" of the night"," della notte"
" of evil"," del male"
" of twilight"," del crescupolo"
" of shadow"," dell'ombra"
"trolls","troll"
"women","donne"
"hag","fattucchiera"
"hags","fattucchiere"
"crone","megera"
"crones","megere"
"ogre","orco"
"ogres","orchi"
"ogress","orchessa"
"ogresses","orchesse"
"freak","fanatico"
"freaks","fanatici"
"horrors","orrori"
"consort","consorte"
"consorts","consorti"
"bride","sposa"
"brides","spose"
"mate","compagno"
"mates","compagni"
"spouses","coniugi"
"husbands","mariti"
"bridegroom","sposo"
"bridegrooms","sposi"
"groom","sposo"
"grooms","sposi"
"risen","risorto"
"sunless","senza sole"
"pale","pallido"
"returned","ritornato"
"hollow","vacuo"
"gaunt","scarno"
"void","vuoto"
"damned","dannato"
"lost","perso"
"ruined","rovinato"
"dismal","lugubre"
"corrupted","corrotto"
"faded","sbiadito"
"faint","privo di sensi"
"sallow","itterico"
"forlorn","disperato"
"grim","cupo"
"wasting","sprecando"
"ones","quelli"
"corpses","cadaveri"
"ghouls","ghoul"
"stalker","pedinatore"
"stalkers","pedinatori"
"butcher","macellaio"
"butchers","macellai"
"hunters","cacciatori"
"slayers","uccisori"
"shades","ombre"
"[IS_NAME:the secrets of life and death]","[IS_NAME:i segreti di vita e di morte]"
"[IE_ARENA_NAME:Necromancer]","[IE_ARENA_NAME:Negromante]"
"[CE_DISPLAY_NAME:NAME:necromancer:necromancers:necromantic:START:0:ABRUPT]","[CE_DISPLAY_NAME:NAME:negromante:negromanti:negromantesco:START:0:ABRUPT]"
"[CDI:ADV_NAME:Animate corpse]","[CDI:ADV_NAME:Anima cadavere]"
"[CDI:TARGET_VERB:shudder and begin to move:shudders and begins to move]","[CDI:TARGET_VERB:tremare e iniziare a muoversi:trema e inizia a muoversi]"
"[CDI:ADV_NAME:Raise ","[CDI:ADV_NAME:Aumenta "
"[CDI:ADV_NAME:Summon bogeymen]","[CDI:ADV_NAME:Evocare i babau]"
"[CDI:VERB:call upon the night:calls upon the night:NA]","[CDI:VERB:invocare la notte:invoca la notte:NA]"
"[CDI:ADV_NAME:Summon nightmare]","[CDI:ADV_NAME:Evoca l'incubo]"
"[CDI:ADV_NAME:Create ghoul]","[CDI:ADV_NAME:Crea ghoul]"
"[IT_MANUAL_INPUT:corpses]","[IT_MANUAL_INPUT:cadaveri]"
"[IE_ARENA_NAME:Animated corpse]","[IE_ARENA_NAME:Cadavere animato]"
"[IE_ARENA_NAME:Raised ","[IE_ARENA_NAME:Sollevato "
"[IS_HIST_STRING_1: infected ]","[IS_HIST_STRING_1: infetto ]"
"[IS_HIST_STRING_2: with a contagious ghoulish condition]","[IS_HIST_STRING_2: con una contagiosa macabra malattia]"
"[IS_TRIGGER_STRING_SECOND:have]","[IS_TRIGGER_STRING_SECOND:hai]"
"[IS_TRIGGER_STRING_THIRD:has]","[IS_TRIGGER_STRING_THIRD:ha]"
"[IS_TRIGGER_STRING:been infected with a contagious ghoulish condition]","[IS_TRIGGER_STRING:ä stato infettato da una contagiosa e macabra malattia]"
"[IS_HIST_STRING_1: bit ]","[IS_HIST_STRING_1: morso ]"
"[IS_HIST_STRING_2:, passing on the ghoulish condition]","[IS_HIST_STRING_2:, trasmettendo la malattia macabra]"
"[IE_ARENA_NAME:Infected ghoul]","[IE_ARENA_NAME:Ghoul infetto]"
"infected","infetto"
"poisoned","avvelenato"
"tainted","contaminato"
"plague","peste"
"crypt","cripta"
"entombed","tumulato"
"buried","sepolto"
"once-resting","che un tempo riposavano"
"sanctified","santificato"
"mausoleum","mausoleo"
"grave","tomba"
"sepulcher","sepolcro"
"interred","inumato"
"[IE_ARENA_NAME:Disturbed dead]","[IE_ARENA_NAME:Morto distubato]"
"[CE_DISPLAY_NAME:NAME:mummy:mummies:mummified:START:0:ABRUPT]","[CE_DISPLAY_NAME:NAME:mummia:mummie:mummificato:START:0:ABRUPT]"
"[CDI:ADV_NAME:Curse]","[CDI:ADV_NAME:Maledizione]"
"[CDI:TARGET_VERB:feel horrible:looks horrible]","[CDI:TARGET_VERB:sentirsi orribili:sembra orribile]"
"[IE_ARENA_NAME:Cursed]","[IE_ARENA_NAME:Maledetto]"
"[IS_TRIGGER_STRING:been granted healing!]","[IS_TRIGGER_STRING:ä stata concessa la guarigione!]"
"[IT_MANUAL_INPUT:recipient]","[IT_MANUAL_INPUT:destinatario]"
"[IS_TRIGGER_STRING:been blessed with a pet!]","[IS_TRIGGER_STRING:ä stato benedetto con un animale domestico!]"
"[IS_TRIGGER_STRING:been blessed with improved equipment!]","[IS_TRIGGER_STRING:sono stati benedetti da un'attrezzatura migliore!]"
"[IS_TRIGGER_STRING:been blessed with a holy weapon!]","[IS_TRIGGER_STRING:ä stato benedetto con un'arma sacra!]"
"[IS_TRIGGER_STRING:been blessed with holy bodywear!]","[IS_TRIGGER_STRING:ä stato benedetto con una corazza sacra!]"
"[IS_TRIGGER_STRING:been blessed with holy legwear!]","[IS_TRIGGER_STRING:ä stato benedetto con pantaloni sacri!]"
"[IS_TRIGGER_STRING:been blessed with holy headwear!]","[IS_TRIGGER_STRING:ä stato benedetto con un copricapo sacro!]"
"[IS_TRIGGER_STRING:been blessed with holy handwear!]","[IS_TRIGGER_STRING:ä stato benedetto con guanti sacri!]"
"[IS_TRIGGER_STRING:been blessed with holy footwear!]","[IS_TRIGGER_STRING:ä stato benedetto con calzature sacre!]"
"[IS_TRIGGER_STRING:been blessed with a holy shield!]","[IS_TRIGGER_STRING:ä stato benedetto con uno scudo sacro!]"
"[IS_TRIGGER_STRING:been blessed with a week's good fortune!]","[IS_TRIGGER_STRING:ä stato benedetto con una settimana di fortuna!]"
"[IS_TRIGGER_STRING:been cursed, for one week, to know life as a beast!]","[IS_TRIGGER_STRING:ä stato maledetto, per una settimana, a conoscere la vita come una bestia!]"
"[IS_TRIGGER_STRING:been cursed with a week's bad luck!]","[IS_TRIGGER_STRING:ä stato maledetto con una settimana di sfortuna!]"
"[IS_HIST_STRING_1: cursed ]","[IS_HIST_STRING_1: maledetto ]"
"[IS_HIST_STRING_2: to assume the form of a ","[IS_HIST_STRING_2: assumere la forma di un "
"-like monster every full moon]","-simil mostro ogni luna piena]"
"[IS_TRIGGER_STRING:been cursed to assume the form of a ","[IS_TRIGGER_STRING:ä stato maledetto ad assumere la forma di un "
"-like monster every full moon!]","-simil-mostro a ogni luna piena!]"
"[IE_ARENA_NAME:Werebeast]","[IE_ARENA_NAME:Bestia mannara]"
"[IS_HIST_STRING_2:, passing on the ","[IS_HIST_STRING_2:, trasmettendo la "
" monster curse]"," maledizione del mostro]"
"[IS_HIST_STRING_2: to prowl the night in search of blood]","[IS_HIST_STRING_2: per aggirarsi nella notte in cerca di sangue]"
"[IS_TRIGGER_STRING:been cursed to prowl the night in search of blood!]","[IS_TRIGGER_STRING:ä stato maledetto e costretto ad aggirarsi di notte in cerca di sangue!]"
"[IS_HIST_STRING_1: consumed the tainted blood of ]","[IS_HIST_STRING_1: consumato il sangue contaminato di ]"
"[IS_HIST_STRING_2: and was cursed]","[IS_HIST_STRING_2: e fu maledetto]"
"[IE_ARENA_NAME:Vampire]","[IE_ARENA_NAME:Vampiro]"
"[CE_DISPLAY_NAME:NAME:vampire:vampires:vampiric:START:0:CAN_BE_HIDDEN:ABRUPT]","[CE_DISPLAY_NAME:NAME:vampiro:vampiri:vampiresco:START:0:CAN_BE_HIDDEN:ABRUPT]"
"greaves:greaves","schinieri:schinieri"
"rounded","arrotondati"
"skirt","costeggiare"
"s]","]"
"bell-shaped","a forma di campana"
"sheer","velato"
"frilly","decorato"
"split","stracciato"
"breastplate:breastplates","pettorale:pettorali"
"segmented","segmentato"
"square","squadrato"
"[NAME:coat:coats]","[NAME:casacca:casacche]"
"[NAME:shirt:shirts]","[NAME:camicia:camicie]"
"[NAME:cloak:cloaks]","[NAME:mantello:mantelli]"
"[NAME:tunic:tunics]","[NAME:tunica:tuniche]"
"[NAME:toga:togas]","[NAME:toga:toghe]"
"[NAME:cape:capes]","[NAME:cappa:cappe]"
"[NAME:vest:vests]","[NAME:canotta:canotte]"
"[NAME:dress:dresses]","[NAME:abito:abiti]"
"[NAME:robe:robes]","[NAME:tonaca:tonache]"
"asymmetrical","asimmetrico"
"bulky","ingombrante"
"sleek","elegante"
"[NAME:cap:caps]","[NAME:berretto:berretti]"
"[NAME:helm:helms]","[NAME:elmo:elmi]"
"[NAME:hood:hoods]","[NAME:cappuccio:cappucci]"
"[NAME:turban:turbans]","[NAME:turbante:turbanti]"
"[NAME:mask:masks]","[NAME:maschera:maschere]"
"[NAME:head veil:head veils]","[NAME:velo per la testa:veli per la testa]"
"[NAME:face veil:face veils]","[NAME:velo per il viso:veli per il viso]"
"[NAME:headscarf:headscarves]","[NAME:copricapo:copricapi]"
"[NAME:gauntlet:gauntlets]","[NAME:guanto d'arme:guanti d'arme]"
"intricate","intricato"
"[NAME:mitten:mittens]","[NAME:muffola:muffole]"
"[NAME:glove:gloves]","[NAME:guanto:guanti]"
"[NAME:low boot:low boots]","[NAME:stivale basso:stivali bassi]"
"[NAME:high boot:high boots]","[NAME:stivale alto:stivali alti]"
"[NAME:sock:socks]","[NAME:calzino:calzini]"
"[NAME:chausse:chausses]","[NAME:gambale:gambali]"
"[NAME:sandal:sandals]","[NAME:sandalo:sandali]"
"[NAME:shoe:shoes]","[NAME:scarpa:scarpe]"
"[ATTACK:EDGE:20000:4000:slash:slashes:NO_SUB:1250]","[ATTACK:EDGE:20000:4000:squarci:squarcia:NO_SUB:1250]"
"[ATTACK:EDGE:50:2000:stab:stabs:NO_SUB:1000]","[ATTACK:EDGE:50:2000:trafiggi:trafigge:NO_SUB:1000]"
"[ATTACK:BLUNT:20000:4000:slap:slaps:flat:1250]","[ATTACK:BLUNT:20000:4000:schiaffeggi:schiaffeggia:pari:1250]"
"[ATTACK:BLUNT:100:1000:strike:strikes:pommel:1000]","[ATTACK:BLUNT:100:1000:colpisci:colpisce:pomolo:1000]"
"[ATTACK:EDGE:20:12000:stab:stabs:NO_SUB:1000]","[ATTACK:EDGE:20:12000:trafiggi:trafigge:NO_SUB:1000]"
"[ATTACK:BLUNT:10000:6000:bash:bashes:shaft:1250]","[ATTACK:BLUNT:10000:6000:sfondi:sfonda:shaft:1250]"
"scourge:scourges","flagello:flagelli"
"lash:lashes","sferzi:sferza"
"whip:whips","frusti:frusta"
"branching","ramificazione"
"[ATTACK:BLUNT:1:10:lash:lashes:NO_SUB:5000]","[ATTACK:BLUNT:1:10:frusti:frusta:NO_SUB:5000]"
"pointed","appuntito"
"[ATTACK:BLUNT:10000:4000:bash:bashes:NO_SUB:1250]","[ATTACK:BLUNT:10000:4000:sfondi:sfonda:NO_SUB:1250]"
"[NAME:arrow:arrows]","[NAME:freccia:frecce]"
"cone-headed","testa a cono"
"wide-headed","testa larga"
"[ATTACK:EDGE:5:1000:stab:stabs:NO_SUB:1000]","[ATTACK:EDGE:5:1000:trafiggi:trafigge:NO_SUB:1000]"
"[NAME:blowdart:blowdarts]","[NAME:dardo di cerbottana:dardi di cerbottana]"
"double-tipped","a doppia punta"
"tapered","affusolato"
"[ATTACK:EDGE:1:50:stick:sticks:NO_SUB:1000]","[ATTACK:EDGE:1:50:bastoni:bastona:NO_SUB:1000]"
"[NAME:great axe:great axes]","[NAME:grande scure:grandi scuri]"
"[ATTACK:EDGE:60000:8000:hack:hacks:NO_SUB:1250]","[ATTACK:EDGE:60000:8000:mozzi:mozza:NO_SUB:1250]"
"[ATTACK:BLUNT:60000:8000:slap:slaps:flat:1250]","[ATTACK:BLUNT:60000:8000:schiaffeggi:schiaffeggia:pari:1250]"
"[NAME:halberd:halberds]","[NAME:alabarda:alabarde]"
"[ATTACK:EDGE:20000:8000:slash:slashes:NO_SUB:1250]","[ATTACK:EDGE:20000:8000:squarci:squarcia:NO_SUB:1250]"
"[ATTACK:BLUNT:20000:6000:bash:bashes:shaft:1250]","[ATTACK:BLUNT:20000:6000:sfondi:sfonda:asta:1250]"
"[NAME:battle axe:battle axes]","[NAME:ascia da battaglia:asce da battaglia]"
"[ATTACK:EDGE:40000:6000:hack:hacks:NO_SUB:1250]","[ATTACK:EDGE:40000:6000:mozzi:mozza:NO_SUB:1250]"
"[ATTACK:BLUNT:40000:6000:slap:slaps:flat:1250]","[ATTACK:BLUNT:40000:6000:schiaffeggi:schiaffeggia:pari:1250]"
"crescent","crescente"
"prong:prongs","rebbio:rebbi"
"spike:spikes","spuntone:spuntoni"
"nail:nails","unghia:unghie"
"knife:knives","coltello:coltelli"
"dagger:daggers","pugnale:pugnali"
"[ATTACK:EDGE:1000:800:slash:slashes:NO_SUB:1250]","[ATTACK:EDGE:1000:800:squarci:squarcia:NO_SUB:1250]"
"[ATTACK:BLUNT:20:600:strike:strikes:pommel:1000]","[ATTACK:BLUNT:20:600:colpisci:colpisce:pomolo:1000]"
"bent","piegato"
"[ATTACK:BLUNT:20:200:bash:bashes:NO_SUB:2000]","[ATTACK:BLUNT:20:200:sfondi:sfonda:NO_SUB:2000]"
"[NAME:maul:mauls]","[NAME:maglio:magli]"
"[ATTACK:BLUNT:100:6000:bash:bashes:NO_SUB:2000]","[ATTACK:BLUNT:100:6000:sfondi:sfonda:NO_SUB:2000]"
"[NAME:war hammer:war hammers]","[NAME:martello da guerra:martelli da guerra]"
"[ATTACK:BLUNT:10:200:bash:bashes:NO_SUB:2000]","[ATTACK:BLUNT:10:200:sfondi:sfonda:NO_SUB:2000]"
"large-headed","testa grande"
"[ATTACK:EDGE:20:10000:stab:stabs:NO_SUB:1000]","[ATTACK:EDGE:20:10000:trafiggi:trafigge:NO_SUB:1000]"
"[NAME:bolt:bolts]","[NAME:quadrello:quadrelli]"
"rectangular","rettangolare"
"--- Logging Reaction ","--- Registrazione Reazione "
"hanging","pendente"
"art to","arte per"
"cover to","copertura per"
"rings to","anelli per"
"bands to","bande per"
"spikes to","spuntoni per"
"specific improvement to","miglioramento specifico per"
"thread to","filo per"
"cloth to","stoffa per"
"sewn image to","immagine cucita a"
"pages to","pagine a"
"illustration to","illustrazione a"
"attached","collegato"
"writing on","scrittura su"
"image set to","immagine impostata su"
"Unscheduled","Non programmato"
", Crafts",", Oggetti d'artigianato"
", Edge",", Bordo"
", Paste",", Impasto"
", Pressed",", Pressato"
" as a poetic form"," come forma di poesia"
" as a musical form"," come forma musicale"
" as a dance form"," come forma di danza"
" language"," lingua"
"formal reasoning","ragionamento formale"
"deductive reasoning","ragionamento deduttivo"
"syllogistic logic","logica sillogistica"
"hypothetical syllogisms","sillogismi ipotetici"
"propositional logic","logica proposizionale"
"dialectic reasoning","ragionamento dialettico"
"analogical inference","inferenza analogica"
"medical ethics","etica medica"
"the nature of perception","la natura della percezione"
"the nature of truth","la natura della veritÖ"
"ethics as it regards the benefit of the state","etica per quanto riguarda il beneficio dello Stato"
"the nature of justification","la natura della giustificazione"
"the nature of time","la natura del tempo"
"the nature of existence","la natura dell'esistenza"
"the nature of belief","la natura della fede"
"the nature of mind and body","la natura della mente e del corpo"
"the nature of events","la natura degli eventi"
"the relationship between wholes and parts","il rapporto tra parti e interi"
"the relationship between objects and their properties","la relazione tra gli oggetti e le loro proprietÖ"
"the nature of processes","la natura dei processi"
"ethics as applied to interpersonal conduct","l'etica applicata alla condotta interpersonale"
"ethics as applied to war","l'etica applicata alla guerra"
"the nature of causation","la natura della causalitÖ"
"law, its forms and recommendations","legge, le sue forme e le sue raccomandazioni"
"etymology","etimologia"
"grammar","grammatica"
"education, its forms and recommendations","l'educazione, le sue forme e le sue raccomandazioni"
"diplomacy, its forms and recommendations","la diplomazia, le sue forme e le sue raccomandazioni"
"social welfare, its forms and recommendations","l'assistenza sociale, le sue forme e le sue raccomandazioni"
"economic policy, its forms and recommendations","politica economica, le sue forme e le sue raccomandazioni"
"government, its forms and recommendations","governo, le sue forme e le sue raccomandazioni"
"dictionaries","dizionari"
"the value of art","il valore dell'arte"
"the nature of beauty","la natura della bellezza"
"direct inference","inferenza diretta"
"inductive reasoning","ragionamento induttivo"
"the method of proof by contradiction","il metodo della prova per contraddizione"
"a symbol for nothingness","un simbolo di nullitÖ"
"notation for negative quantities","notazione per le quantitÖ negative"
"notation for very large numbers","notazione per numeri molto grandi"
"positional notation","notazione posizionale"
"geometric objects:  points, lines, circles, triangles, and so on","oggetti geometrici:  punti, linee, cerchi, triangoli, ecc."
"the method of exhaustion","il metodo dell'esaustione"
"the properties of similar and congruent triangles","le proprietÖ dei triangoli simili e congruenti"
"the relationship between the length of the altitude of a right triangle and the lengths of the segments into which it divides the hypotenuse","la relazione tra la lunghezza dell'altitudine di un triangolo rettangolo e le lunghezze dei segmenti in cui si divide l'ipotenusa"
"the relationship between the lengths of the hypotenuse of a right triangle and the other two sides","la relazione tra la lunghezza dell'ipotenusa di un triangolo rettangolo e quella degli altri due lati"
"the angles of triangles inscribed in a circle with one edge on the diameter","gli angoli dei triangoli inscritti in una circonferenza con uno spigolo sul diametro"
"the equality of the base angle of isosceles triangles","l'uguaglianza dell'angolo base dei triangoli isosceli"
"examples of triples of small whole numbers which, when taken together, are the lengths of the sides of a right triangle","esempi di terne di piccoli numeri interi che, sommati, sono le lunghezze dei lati di un triangolo rettangolo"
"the existence of incommensurable ratios","l'esistenza di rapporti incommensurabili"
"examples of triples of very large whole numbers which, when taken together, are the lengths of the sides of a right triangle","esempi di terne di numeri interi molto grandi che, sommati, sono le lunghezze dei lati di un triangolo rettangolo"
"examples of triples of large whole numbers which, when taken together, are the lengths of the sides of a right triangle","esempi di terne di numeri interi grandi che, sommati, sono le lunghezze dei lati di un triangolo rettangolo"
"axiomatic reasoning","ragionamento assiomatico"
"the computation of the volume of different pyramids","il calcolo del volume di diverse piramidi"
"an algorithm for computing the greatest common divisor of two numbers","un algoritmo per il calcolo del Massimo Comune Divisore di due numeri"
"the unique decomposition of a number into products of its prime divisors","la scomposizione di un numero nel prodotto dei suoi divisori primi"
"the computation of the volume of a cone","il calcolo del volume di un cono"
"an algorithm for dividing one number into another, possibly yielding a remainder","un algoritmo per dividere un numero in un altro, producendo possibilmente un resto"
"an approximate value of the ratio of the circumference of a circle to its diameter, using the circumference of polygons and the method of exhaustion","un valore approssimativo del rapporto tra la circonferenza di un cerchio e il suo diametro, utilizzando la circonferenza dei poligoni e il metodo dell'esaustione"
"the computation of the volume of a sphere","il calcolo del volume di una sfera"
"a table of chord lengths indexed by angle","una tabella di lunghezze di corda indicizzate per angolo"
"an approximation of the ratio of the circumference of a circle to its diameter, using the area of polygons and the method of exhaustion","un'approssimazione del rapporto tra la circonferenza di un cerchio e il suo diametro, utilizzando l'area dei poligoni e il metodo dell'esaustione"
"the relationship between the area of a circle and its radius, involving the ratio of the circumference of the circle to its diameter","la relazione tra l'area di un cerchio e il suo raggio, che implica il rapporto tra la circonferenza del cerchio e il suo diametro"
"the computation of the area of a triangle from its three side lengths alone","il calcolo dell'area di un triangolo a partire dai soli tre lati"
"the categorization and properties of conic sections","la categorizzazione e le proprietÖ delle sezioni coniche"
"an algorithm for calculating prime numbers","un algoritmo per il calcolo dei numeri primi"
"the area enclosed by a parabola and a line","l'area racchiusa da una parabola e una retta"
"an algorithm for computing a number which has given remainders when divided by several given primes","un algoritmo per il calcolo di un numero che ha dato resto quando diviso per diversi numeri primi dati"
"an approximation for the length of the diagonal of a square","un'approssimazione per la lunghezza della diagonale di un quadrato"
"a proof that there are infinitely many prime numbers","una dimostrazione che ci sono infiniti numeri primi"
"a proof that the length of the diagonal of a square is incommensurable with its edge","una dimostrazione che la lunghezza della diagonale di un quadrato ä incommensurabile con il suo lato"
"the computation of the surface area of a sphere","il calcolo della superficie di una sfera"
"simple formulas for certain arbitrarily large sums","formule semplici per certe somme arbitrariamente grandi"
"methods for solving systems of equations","metodi per risolvere sistemi di equazioni"
"the techniques of balancing and completion for solving equations","le tecniche di bilanciamento e completamento per la risoluzione di equazioni"
"the solving of quadratic equations by completion of the square","la risoluzione di equazioni di secondo grado per completamento del quadrato"
"a formula which solves quadratic equations","una formula che risolve equazioni di secondo grado"
"a triangular configuration of numbers relating to the successive powers of any sum","una configurazione triangolare di numeri relativi alle successive potenze di una qualsiasi somma"
"trigonometric identities relating to the sums and differences of angles","identitÖ trigonometriche relative alle somme e alle differenze degli angoli"
"the relationship between the half chords of a triangle's angles, the opposite side lengths, and the diameter of the triangle's circumscribed circle","la relazione tra le mezze corde degli angoli di un triangolo, le lunghezze dei lati opposti e il diametro del cerchio circoscritto nel triangolo"
"notation for abbreviating the unknown and other elements of an equation in a systematic and useful fashion","notazione per abbreviare l'incognita e altri elementi di un'equazione in modo sistematico e utile"
"methods for solving certain equations involving powers higher than the quadratic","metodi per risolvere certe equazioni che coinvolgono potenze superiori alla quadratica"
"the properties of chords","le proprietÖ degli accordi"
"the divergence of the harmonic series","la divergenza della serie armonica"
"experiments with symbolic notation for addition","esperimenti con la notazione simbolica per l'addizione"
"the causes of historical events","le cause degli eventi storici"
"using personal interviews as sources","usa le interviste personali come fonti"
"the role of state bias and propaganda in sources","il ruolo del pregiudizio statale e della propaganda nelle fonti"
"the role of systemic bias in sources","il ruolo dei pregiudizi sistemici nelle fonti"
"the reliability of sources","l'affidabilitÖ delle fonti"
"historical, governmental and social cycles","cicli storici, governativi e sociali"
"the method of writing the history of a single individual","il metodo di scrittura della storia di un singolo individuo"
"conflict between members of a community","conflitto tra membri di una comunitÖ"
"bonds between members of a community","legami tra i membri di una comunitÖ"
"the compilation of brief biographies into one large collection","la compilazione di brevi biografie in un'unica grande collezione"
"the method of accurately and comprehensively describing cultures and civilizations","il metodo per descrivere in modo accurato e completo culture e civiltÖ"
"the compilation of many summaries into a single text","la compilazione di molti riassunti in un unico testo"
"the compilation of family lineages and methods of displaying them artfully","la compilazione dei lignaggi familiari e i metodi per esporli in modo artistico"
"the method of writing a biography of oneself, particularly as it concerns a military campaign or adventure","il metodo di scrittura autobiografica, in particolare per quanto riguarda una campagna o un'avventura militare"
"the method of comparing and contrasting different cultures","il metodo di confronto e di contrapposizione tra culture diverse"
"the method of examining artifacts to determine how techniques have changed over time","il metodo d'esaminazione di manufatti per determinare come le tecniche sono cambiate nel tempo"
"the method of collecting and evaluating artifacts to learn about history and culture","il metodo di raccolta e valutazione dei manufatti per imparare storia e cultura"
"the exploration of how history would be different if some key past events had transpired differently","l'esplorazione di come la storia sarebbe diversa se eventi chiave del passato si fossero svolti diversamente"
"the role of cultural differences in source reliability and interpretation","il ruolo delle differenze culturali nell'affidabilitÖ e nell'interpretazione delle fonti"
"the height of the tides, the moon and the sun","l'altezza delle maree, la luna e il sole"
"the relationship between the moon and the tides","la relazione tra la luna e le maree"
"the path of the moon","il sentiero della luna"
"the rise of the moon according to the season","il sorgere della luna secondo la stagione"
"the phases of the moon","le fasi lunari"
"the rise of the sun according to the season","il sorgere del sole secondo la stagione"
"the theory that the world moves around the sun","la teoria secondo cui il mondo si muove intorno al sole"
"the theory that the sun moves around the world","la teoria secondo cui il sole si muove intorno al mondo"
"the variation of daylight with the season","la variazione della luce diurna con la stagione"
"the relationship between the lunar and solar year","la relazione tra anno lunare e solare"
"the dates of lunar and solar eclipses","le date delle eclissi lunari e solari"
"the classification of stars according to color","la classificazione delle stelle in base al colore"
"the precise compilation of information about stars","la raccolta precisa di informazioni sulle stelle"
"the compilation of information about stars","la raccolta di informazioni sulle stelle"
"the creation of star charts","la creazione di carte celesti"
"the classification of stars according to brightness","la classificazione delle stelle in base alla luminositÖ"
"the method of forming precise models for the paths of astronomical objects","il metodo per formare modelli precisi per il percorso di oggetti astronomici."
"methods of empirical observation in astronomy","metodi di osservazione empirica in astronomia"
"the precession of the equinoxes over great periods of time","la precessione degli equinozi per grandi periodi di tempo"
"the shape of the world","la forma del mondo"
"the dissection of creatures","la dissezione delle creature"
"the anatomical study of creatures","lo studio anatomico delle creature"
"the comparison of the anatomy of creatures","il confronto dell'anatomia delle creature"
"the classification of creatures by their physical features","la classificazione delle creature in base alle loro caratteristiche fisiche"
"the migratory patterns of creatures","i modelli migratori delle creature"
"the reproductive behavior of creatures","il comportamento riproduttivo delle creature"
"the foraging behavior and diet of creatures","il comportamento di foraggiamento e la dieta delle creature"
"the diseases of creatures","le malattie delle creature"
"the social behavior of creatures","il comportamento sociale delle creature"
"the links between the diets of different creatures","i legami tra le diete delle diverse creature"
"the ways that creatures are suited to the climates in which they live","i modi in cui le creature si adattano ai climi in cui vivono"
"the struggle for survival among creatures","la lotta per la sopravvivenza tra le creature"
"the embriological development of creatures","lo sviluppo embriologico delle creature"
"the classification of combustible materials","la classificazione dei materiali combustibili"
"the classification of ores","la classificazione dei minerali"
"the mixture of metals to produce alloys","la miscela di metalli per produrre leghe"
"a method of classify the hardness of materials by scratching them against each other","un metodo per classificare la durezza dei materiali grattandoli l'uno contro l'altro"
"the classification of materials based on which elemental materials might form them","la classificazione dei materiali in base ai materiali elementari che possono formarli"
"the preparation and use of adhesive materials","la preparazione e l'uso di materiali adesivi"
"the construction and use of the blast furnace","la costruzione e l'uso dell'altoforno"
"the classification of alkali and acids","la classificazione di alcali e acidi"
"the theory and methods involved in evaporation","la teoria e i metodi di evaporazione"
"the theory and methods involved in distillation","la teoria e i metodi di distillazione"
"the theory and methods involved in the extraction of a constituent liquid from one solution to another","la teoria e i metodi coinvolti nell'estrazione di un liquido costituente da una soluzione a un'altra"
"the construction and use of the alembic","la costruzione e l'uso dell'alambicco"
"methods for performing experiments systematically in the laboratory","metodi per eseguire esperimenti sistematici in laboratorio"
"the construction and use of the crucible","la costruzione e l'uso del crogiuolo"
"the construction and use of the funnel","la costruzione e l'uso dell'imbuto"
"the construction and use of the vial","la costruzione e l'uso della fiala"
"the construction and use of the beaker","la costruzione e l'uso del becher"
"the construction and use of the flask","la costruzione e l'uso della fiaschetta"
"the preparation of spirit of niter","la preparazione dello spirito di nitro"
"the construction and use of laboratory ovens","la costruzione e l'uso dei forni di essiccazione"
"the construction and use of the retort","la costruzione e l'uso della storta"
"the construction and use of the ampoule","la costruzione e l'uso dell'ampolla"
"the preparation of aqua regia","la preparazione dell'acquaragia"
"the preparation of oil of vitriol","la preparazione dell'olio di vetriolo"
"surveying by triangulation for the purpose of creating maps","rilievo per triangolazione allo scopo di creare mappe"
"surveying by triangulation","rilievo per triangolazione"
"the process involved in creating maps","il processo di creazione delle mappe"
"the construction and use of the surveying staff","la costruzione e l'uso della stadia"
"the process of surveying land","il processo di misurazione del terreno"
"surveying by triangulation for the purpose of allocating land","rilievo per triangolazione ai fini dell'assegnazione delle terre"
"the use of a distance scale in the creation of maps","l'uso di una scala di distanza nella creazione di mappe"
"the use of a grid system in the creation of maps","l'uso di un sistema a griglia nella creazione delle mappe"
"the placement of geological information on maps","la collocazione delle informazioni geologiche sulle carte"
"surveying by triangulation for engineering projects","rilievo per triangolazione per progetti d'ingegneria"
