"more presumptious","aanmatigender"
"Select your combat preferences.","Selecteer je gevechtsvoorkeuren."
"Instruments","Instrumenten"
"This creature is content right now.","Dit wezen is momenteel tevreden."
"a thousand","duizend"
"Acknowledge lack of zeal","Gebrek aan ijver erkennen"
"desired items","gewenste voorwerpen"
"Stop","Stoppen"
"castle courtyard","kasteelbinnenplaats"
"Amount needed: ","Benodigd aantal: "
"poem","gedicht"
"Continue conversation with ","Gesprek voortzetten met "
"Ice Downward Track (W)","IJsspoor omlaag (W)"
"Cavern Layer Water Min","Min. water grotlaag"
"Dabbling","Prutsend"
"an infamous flatterer","een beruchte vleier"
"has a grating, raspy voice","heeft a grating, raspy voice"
" Dropped"," Neergelegd"
"the construction and use of the traction bench","de bouw en het gebruik van tractiebank"
" Archery Target"," Schietdoel"
"the method of physical examination in diagnosing illness","de methode van lichamelijk onderzoek bij het diagnosticeren van ziekte"
"The musician blows across the end hole","De muzikant blaast over het eindgat"
"a poetry competition","een po‰ziewedstrijd"
"terrible ","vreselijk "
" Throne"," Troon"
"laws","wetten"
"Miner","Mijnwerker"
"Restarts if completed, conditions checked daily","Start opnieuw na voltooiing, voorwaarden dagelijks gecontroleerd"
"Ponder ","Overdenken "
"Blood-drinking","Bloed-drinken"
"Creativity","Creativiteit"
"Road Building","Weg Gebouw"
"[Chuckles]  How droll.","[Grinnikt] Wat geestig."
"State minor feeling of suspicion","Licht gevoel van verdenking uiten"
"destroy","vernietigen"
"Claim other dead","Andere doden opeisen"
"Weaponsmithing Workshop","Wapensmeden Werkplaats"
"burns","brandt"
"biographical dictionaries","biografische woordenboeken"
"been impaled on spikes.","op spiesen gespietst."
"medicine:theory:the voice","geneeskunde:theorie:the voice"
" by an unknown artist"," door een onbekende kunstenaar"
"is skinny and extremely short","is mager en extreem kort"
"Make stone furniture here, as well as blocks which are used in constructions.","Maak hier stenen meubels, evenals blokken die voor constructies worden gebruikt."
"I don't mind stirring things up.","Ik vind het niet erg om de boel op te stoken."
"Minimum Number of Mid-Rain Squares","Minimumaantal vakken met gemiddelde regenval"
"Blood and Breath","Bloed en adem"
"Glass","Glas"
"This is aggravating.","Dit is ergerlijk."
"Do business","Handeldrijven"
"Need empty bag","Lege zak nodig"
"State feelings of great servility","Sterke slaafsheid uiten"
"Workers ignore outdoor refuse","Werkers negeren buitenafval"
"Compose music","Muziek componeren"
"Temperate Freshwater Lake","Gematigd Zoetwater Meer"
"Number of Civilizations","Aantal beschavingen"
"I'm very jovial.","Ik ben erg joviaal."
"Founding/","Stichting/"
", cementing bonds of mutual trust",", banden van wederzijds vertrouwen versterkend"
"executioners","beulen"
"trap","val"
"Actors","Actoren"
"Failed to find vanilla music header.","Kan vanilla-header voor muziek niet vinden."
"plucks ","plukt "
"Do not hold on for too long.","Houd niet te lang vast."
"Dismiss minor feeling of horror","Licht gevoel van afschuw wegwuiven"
"is very broad-bodied","is zeer breed-bodied"
"Tell listener to try a shopkeeper","Zeg tegen de luisteraar dat hij/zij een winkelier moet proberen"
"Attempted to misrepresent","Probeerde verkeerd voor te stellen"
"I feel pretty good.","Ik voel me behoorlijk goed."
"State feelings of great gaiety","Sterke vrolijkheid uiten"
"the Competition","de wedstrijd"
"been encased in cooling magma.","ingesloten in afkoelende magma."
", has been",", is"
" a safe creature."," een veilig wezen."
"Squad: ","Eskadron: "
"dictionary","woordenboek"
"became the parent of","werd de ouder van"
"[C:6:0:1]Thirsty","[C:6:0:1]Dorstig"
"Animals, War Training","Dieren, oorlogstraining"
"downward","omlaag"
"lord ","heer "
"fame","roem"
"Gloomy","Somber"
"Diplomat bids farewell","Diplomaat neemt afscheid"
"Acknowledge lack of worry","Gebrek aan bezorgdheid erkennen"
"(No particular deity)","(Geen specifieke godheid)"
"flamboyant","uitbundig"
"Acknowledge lack of irritation","Gebrek aan irritation erkennen"
"more confident","zelfverzekerder"
"an infiltration plot","een infiltratiecomplot"
"pet lost","huisdier verloren"
"a horribly substandard","een verschrikkelijk ondermaatse"
"This item is a permanent part of the building.  Forbid and visibility tags set here affect the whole building.","Dit voorwerp is een permanent onderdeel van het gebouw.  Verbods- en zichtbaarheidslabels die hier worden ingesteld, gelden voor het hele gebouw."
"There will be no sympathy from me.","Je krijgt geen medelijden van mij."
"Every last one of you will pay with your lives!","Jullie zullen allemaal met je leven betalen!"
" items"," voorwerpen"
"This is quite a thrill!","Dit is best opwindend!"
"reedy","rietachtig"
"lithotomy surgery","lithotomie"
"building","gebouw"
"engineering:fluid:force pump","techniek:vloeistoffen:force pump"
"stop","stoppen"
"corpse","lijk"
"State feelings of dejection","Neerslachtigheid uiten"
"discourse on ethics as it regards the benefit of the state","verhandeling over ethiek met betrekking tot het voordeel van de staat"
"has ill-defined muscles on an otherwise broad body","heeft ill-defined muscles on an otherwise breed body"
" repeated"," herhaald"
"No item to contain","Geen voorwerp om te bevatten"
"the surgical method of excision","de chirurgische methode van excisie"
"the end of the romantic relationship between","het einde van de romantische relatie tussen"
"soap","zeep"
"Affects the quality of writing aside from poetry.","Be‹nvloedt de kwaliteit van schrijfwerk buiten po‰zie."
"Attempted ","Geprobeerd "
"at least","ten minste"
"Loving ","Liefdevol "
"Cause trouble for ","Problemen veroorzaken voor "
" caught in a pool of lava!"," gevangen in een poel van lava!"
"Dismiss minor doubts","Kleine twijfels wegwuiven"
"in order to form","om te vormen"
" dance"," dans"
"Fuel","Brandstof"
" backpack"," rugzak"
"I'm happy.","Ik ben gelukkig."
"believes that little is better in life than a good party","gelooft dat er weinig beter is in het leven dan een goed feest"
"medicine:tool:traction bench","geneeskunde:gereedschap:traction bench"
"No one even considered making the journey to such a cursed miserable death-trap this season.","Niemand overwoog dit seizoen zelfs maar de reis naar zo'n vervloekte, ellendige doodsval te maken."
"the end of the membership of","het einde van het lidmaatschap van"
"[C:4:0:1]Vision lost","[C:4:0:1]Zicht verloren"
"Choose dye color","Kies verfkleur"
"Remove the burrow being painted permanently.  Also removes existing burrows!","Verwijder de burrow die wordt geschilderd permanent. Verwijdert ook bestaande burrows!"
"barter","ruilhandel"
" chipping"," afsplintering"
"punch","stoot"
"bands to","banden naar"
"Workers gather bodies","Werkers verzamelen lichamen"
"been found dead, contorted in fear!","dood gevonden, verwrongen van angst!"
" and I are divorced."," en ik zijn gescheiden."
"a vault","een gewelf"
"Hospital","Ziekenhuis"
"does not care about family one way or the other","geeft op de ene of andere manier niet om familie"
"a forest","een bos"
"Pending","In behandeling"
" dancing exceptionally."," danste uitzonderlijk."
"is in a constant state of internal rage","is voortdurend innerlijk woedend"
"Cycles","Cycli"
"a brigand","een struikrover"
"Make no needless sacrifices.","Breng geen onnodige offers."
"by the forces of ","door de troepen van "
"debauched","verdorven"
" falling"," vallend"
"elation","opgetogenheid"
"population of well over ten thousand","bevolking van ruim tienduizend"
" abducted "," ontvoerde "
"Acute and Chronic Diseases","Acute en chronische ziekten"
"No quick attack: enraged","Geen snelle aanval: razend"
"is very weak, skinny and small","is zeer zwak, mager en small"
"Injured","Gewond"
"medicine:theory:toxicology","geneeskunde:theorie:toxicology"
"has what was once a thin frame, now bearing enormous, thick layers of fat","heeft what was once a dun frame, now bearing enormous, thick layers of dik"
"wind patterns","windpatronen"
"doesn't see much value in being stoic","ziet niet veel waarde in sto‹cijns zijn"
"Seek Give Water Bucket","Wateremmer geven zoeken"
" Coffin"," Doodskist"
"Harass/","Lastigvallen/"
"the future","de toekomst"
"Don't waste my time.","Verspil mijn tijd niet."
"Fisherman","Visser"
"baronesses consort","baronessen-gemalinnen"
"an untitled","een titelloos"
"State your general hatred","Je algemene haat uiten"
"five","vijf"
"Administrator","Beheerder"
"fracturing","breken"
"Dining Hall","Eetzaal"
"Be happy!","Wees gelukkig!"
"State opinion that it is terrifying","Geef als mening dat het angstaanjagend is"
"animal remedies","dierenremedies"
"sharp","scherp"
"Logic","Logica"
"Number of Demon Types","Aantal demonentypen"
"worshipper","aanbidder"
"dreams of ruling the world","droomt ervan de wereld te regeren"
"Citizens only","Alleen burgers"
"Guildhall Storage","Gildehal Opslag"
"Would you like to take an action?","Wil je een actie uitvoeren?"
"awesome intellectual powers","geweldige intellectuele vermogens"
" is nervous"," is zenuwachtig"
"Ack!","Aah!"
"the lever","de Hendel"
"Greed","Hebzucht"
" part"," deel"
"Disdains power","Minacht macht"
"evolving","evoluerend"
"I had an intellectual discussion with my child.","Ik had een intellectueel gesprek met mijn kind."
"the crimes","de misdaden"
"Conflict Level","Conflictniveau"
"doesn't","doet niet"
"exhort","aansporen"
"being tormented in nightmares by the dead","in nachtmerries door de doden gekweld worden"
"complain","klagen"
"evaporation","verdamping"
"abducted hf","ontvoerde historisch figuur"
"has a relentless drive, completely consumed by ambition","heeft een niet-aflatende gedrevenheid en wordt volledig door ambitie verteerd"
"Broker: ","Makelaar: "
"Workers gather animals","Werkers verzamelen dieren"
"How will you respond to the adoption request?","Hoe reageer je op het adoptieverzoek?"
"Performance","Uitvoering"
"being attacked","aangevallen worden"
"State that preaching is your calling","Zeg dat preken je roeping is"
"Tasks","Taken"
"Toggle auto-pause on new report.","Automatisch pauzeren bij nieuw rapport wisselen."
"Adhesives","Kleefstoffen"
"need","nodig"
"talk","praten"
"temple petition ignored","tempelverzoek genegeerd"
"after self-examination","na zelfonderzoek"
" flasks"," veldflessen"
"Comply with order","Bevel opvolgen"
"Workers gather furniture","Werkers verzamelen meubilair"
"population of well over a hundred","bevolking van ruim honderd"
"Values cooperation","Waardeert samenwerking"
" kick"," schoppen"
"deity","godheid"
"Weight","Gewicht"
", and we will not part with it.",", en we zullen er geen afstand van doen."
"combination locks","combinatiesloten"
"Saving civilized populations...","Beschaafde populaties opslaan..."
"Harass","Lastigvallen"
"Caged","Gekooid"
"?  Unbelievable talent!","? Ongelooflijk talent!"
"This creature is happy right now.","Dit wezen is op dit moment gelukkig."
"is short in length but muscular and fat","is kort in length but gespierd en dik"
"leather ","leer "
"Swordsman","Zwaardvechter"
"Acknowledge lack of disappointment","Gebrek aan teleurstelling erkennen"
"ate own pet while starving","at eigen huisdier tijdens verhongering"
" coffer"," koffer"
"What would you like to name this manual","Hoe wil je deze handleiding noemen"
"bled to death.","doodgebloed."
"Ranger","Woudloper"
"aggressive","agressief"
"How will you respond to the request for a guide?","Hoe reageer je op het verzoek om een gids?"
"incredibly close-set","ongelooflijk dicht op elkaar"
"you will need to keep your citizens happy.","je moet je burgers tevreden houden."
"I'm very nervous.","Ik ben erg zenuwachtig."
"occupied","bezet"
"State feelings of happiness","Happiness uiten"
"frozen","bevroren"
"has a noticeable lack of perseverance","heeft een merkbaar gebrek aan doorzettingsvermogen"
" cast"," kaste"
"is very short and frail","is zeer kort en kwetsbaar"
"I'm traveling to ","Ik reis naar "
"be melancholic","melancholiek zijn"
"Up Stair","Trap omhoog"
"astronomy:method empirical observation","astronomie:method empirical observation"
"Choose a symbol for the squad.","Kies een symbool voor het eskadron."
"Beauty","Schoonheid"
"squad.","eskadron."
"ambition","ambitie"
"There are ","Er zijn "
"Ambush (uninjured creature)","Hinderlaag (ongekwetst wezen)"
"a wonderful dish","een geweldig gerecht"
"This is agitating.","Dit maakt me onrustig."
"toy","speelgoed"
"believes war is preferable to peace in general","gelooft dat oorlog in het algemeen te verkiezen is boven vrede"
"Healthy","Gezond"
"No assigned items","Geen toegewezen voorwerpen"
"My deadline was met.","Mijn deadline is gehaald."
"an accent pattern of ","een accentpatroon van "
"Ask listener why they are traveling","Vraag de luisteraar waarom die reist"
"Brew alcohol from plants, fruit, or honey.","Brouw alcohol uit planten, fruit of honing."
"despair","wanhoop"
"Wet ","Natte "
" breath when "," adem wanneer "
"armies on the march","legers onderweg"
"Saving army controllers...","Legercontrollers opslaan..."
"breathy","ademend"
" body"," lichaam"
"Fail the struggle against great fright","Verlies de strijd tegen grote schrik"
"Fail the struggle against great despair","Verlies de strijd tegen grote wanhoop"
"Clumsy","Onhandig"
"a previous insurrection","een eerdere opstand"
"blade","kling"
", but at what price?"," maar tegen welke prijs?"
"An army is invading!","Een leger valt binnen!"
" could be better."," kan beter."
"Track (SW)","Spoor (ZW)"
" abandoned the settlement of "," verliet de nederzetting van "
"Spinning","Spinnen"
"consonance","consonantie"
"Mill","Molen"
" spirited"," levendig"
"I'm feeling so ferocious!","Ik voel me zo woest!"
"Zealous","Ijverig"
"Rain","Regen"
"life","leven"
" family treasure"," familieschat"
"legendary poet","legendarische dichter"
"geography:surveying:triangulation","geografie:landmeten:triangulation"
"Hills","Heuvels"
"mead hall","medehal"
"fate","lot"
"died","stierf"
" corpse"," lijk"
"I was attacked.","Ik werd aangevallen."
"Ocean","Oceaan"
"generate","genereren"
"Bags (Leather)","Zakken (leer)"
"[C:6:0:0].Serious frost-bite","[C:6:0:0].Ernstige vrieswond"
" enacted a series of oppressive laws"," voerde een reeks onderdrukkende wetten in"
"potash","potas"
"Accept","Accepteren"
"believes that honesty is a high ideal","gelooft dat eerlijkheid een hoog ideaal is"
"Cavern Layer Openness Min","Min. openheid grotlaag"
"astronomy","astronomie"
"as a former member of","als voormalig lid van"
"a tone pattern of ","een toonpatroon van "
"[C:6:0:0].Serious condensation","[C:6:0:0].Ernstige condensatie"
"me","mij"
"huge ","enorm "
"disdains loyalty","minacht loyaliteit"
"Not that it's your business!  Harumph!","Niet dat het jou iets aangaat! Harumph!"
"Murder","Moord"
"Saving machines...","Machines opslaan..."
"a residency agreement","een verblijfsafspraak"
"Ask to be rescued","Vraag om gered te worden"
"animals as surgical models","dieren als chirurgische modellen"
"doesn't often feel envious of others","is niet vaak jaloers op anderen"
"almost never feels discouraged","raakt bijna nooit ontmoedigd"
"State feelings of great humiliation","Sterke humiliation uiten"
"coloration to","kleuring naar"
"Continue generating","Verder genereren"
"Make sure your parameters and presets can support high elevation areas.  ","Zorg dat je parameters en presets hooggelegen gebieden kunnen ondersteunen.  "
"Climbing","Klimmen"
"Hunters","Jagers"
"engineering:optics:crystal lens","techniek:optica:crystal lens"
"Activity Zone #","Activiteitszone #"
" place"," plaats"
"mathematics:geometry:pythagorean triples 4 digit","wiskunde:meetkunde:pythagorean triples 4 digit"
"beekeeper","imker"
"not having enough chests","niet genoeg kisten hebben"
"sharing a personal insight with a lover","een persoonlijk inzicht delen met een geliefde"
"braided","gevlochten"
"Worship","Aanbidden"
"Stone Carver","Steen Bewerker"
"Clerk","Klerk"
"Skill 6","Vaardigheid 6"
"addition of masterful coloration","toevoeging van meesterlijke kleuring"
"Listen to Poetry","Naar po‰zie luisteren"
"Cavern dweller scale (increase per attack)","Schaal voor grotbewoners (toename per aanval)"
"due to fear of death","uit angst voor de dood"
"Last in ","Laatst in "
"(Combat) Nauseated","(Gevecht) Misselijk"
"join","meedoen"
"Cancel tribute from ","Tribuut annuleren van "
", consumed",", verteerd"
"discourse on the nature of perception","verhandeling over de aard van waarneming"
"Leave this menu and recenter on this creature.","Verlaat dit menu en centreer opnieuw op dit wezen."
"Building track stops is recommended!","Het bouwen van railhaltes wordt aanbevolen!"
"Shaken","Geschud"
"bracelet","armband"
"after acquiring ","na het verkrijgen van "
"State minor feeling of hatred","Licht gevoel van haat uiten"
"Amused","Geamuseerd"
" task"," taak"
"runs ","rent "
"does not care about friendship","geeft niet om vriendschap"
"Composition failed","Compositie mislukt"
"agreed to guide","stemde in om te gidsen"
"Furniture ","Meubels "
"Never more than an interval sounds at once.  ","Nooit klinkt er meer dan ‚‚n interval tegelijk.  "
"Help","Hulp"
"Restarts if completed, conditions checked seasonally","Start opnieuw na voltooiing, voorwaarden seizoensgewijs gecontroleerd"
"Done editing","Bewerken voltooid"
"Numb","Gevoelloos"
"is very muscular and incredibly thin","is zeer gespierd en ongelooflijk dun"
"I feel much jubilation.","Ik voel veel gejubel."
"Clean patient","Pati‰nt schoonmaken"
"analogical inference","analoge gevolgtrekking"
"they ","zij "
"Accepted petition:","Aanvaard verzoek:"
"religion prayer in godless temple","religieus gebed in goddeloze tempel"
"Allow artist to choose","Kunstenaar laten kiezen"
"Critical Thinking","Kritisch denken"
" dead"," dood"
"acquire artifact","artefact verkrijgen"
"'s reclamation","s herovering"
"Diplomacy","Diplomatie"
"Maximum number of sites","Maximumaantal locaties"
"Indignant","Verontwaardigd"
"relief","opluchting"
"seventh eldest child","zevende oudste kind"
"oceans","oceanen"
"is weak, skinny and very small","is zwak, mager en zeer small"
" finds it profitable"," vindt het winstgevend"
" debauched"," verdorven"
"Saving cultural identities...","Culturele identiteiten opslaan..."
"guards","wachters"
" and tumble"," en tuimel"
"soil","grond"
"hold","vasthouden"
"Allow Necromancer Lieutenants","Necromantenluitenants toestaan"
"Use floodgates to control the flow of fluids between spaces in your fortress.  Must be attached to a lever or pressure plate to function.  Requires a floodgate object to be built before it can be placed.","Gebruik sluizen om de stroming van vloeistoffen tussen ruimtes in je fort te regelen. Moet aan een hendel of drukplaat worden gekoppeld om te werken. Vereist een gebouwd sluisobject voordat het geplaatst kan worden."
"Abandoned houses","Verlaten huizen"
"Not enough medium altitudes after shift down","Niet genoeg middelhoge hoogten na omlaag schuiven"
"State feelings of ambivalence","Ambivalentie uiten"
"Seeking Infant","Zuigeling zoeken"
"change equipment, and","uitrusting wijzigen, en"
"State feelings of panic","Panic uiten"
"has a tendency toward forming deep emotional bonds with others","heeft de neiging diepe emotionele banden met anderen te vormen"
"Ask for how much? (0-","Hoeveel vragen? (0-"
"V Fast","Zeer snel"
"Fail the struggle against great rage","Verlies de strijd tegen grote woede"
"feeling ambivalent","ambivalent gevoel"
", and "," en "
" ballista arrow head"," ballistapijlpunt"
"at most","hoogstens"
"I am ashamed.","Ik schaam me."
"Speaking","Spreken"
"State minor feeling of astonishment","Licht gevoel van verbijstering uiten"
"Hopeless","Hopeloos"
"I feel no displeasure.","Ik voel geen ongenoegen."
"Empathetic","Empathisch"
"Evaporation","Verdamping"
" calm"," kalm"
"emptiness","leegte"
"Fighting","Vechten"
"Disdains peace","Minacht vrede"
"a grudge, ","een wrok, "
"[C:6:0:0].Serious boiling","[C:6:0:0].Ernstig koken"
"Stoicism","Sto‹cisme"
"hard ","moeilijk "
"Died peacefully","Stierf vredig"
"still ","nog "
"No infant","Geen baby"
"ammo","munitie"
"buffalo","buffel"
"I am very satisfied.","Ik ben erg tevreden."
" notes.  "," noten.  "
"notation","notatie"
"scholar","geleerde"
"A Fire","Een vuur"
"chemistry:chemicals:sulfuric acid","scheikunde:chemicali‰n:sulfuric acid"
"Use Creature Seed","Wezenseed gebruiken"
" as a musical form"," als muzikale vorm"
"does not really value cunning and guile","waardeert sluwheid en list niet echt"
"constantly ","voortdurend "
"grandfather","grootvader"
"hangout","hangplek"
"Seek Target for Food","Doelwit zoeken voor voedsel"
"tenth eldest child","tiende oudste kind"
", an assault on ",", een aanval op "
"Considers psychotic","Beschouwt psychopaat"
"an awful setting","een vreselijke zetting"
"a woven clothing shop","een gewevenkledingwinkel"
"Music","Muziek"
"Rules","Regels"
"Entity ","Entiteit "
"Acknowledge lack of anxiety","Gebrek aan angst erkennen"
"riddle","raadsel"
"Change the type of the item being checked.","Wijzig het type van het gecontroleerde voorwerp."
"State feelings of amusement","Amusement uiten"
"Sundials","Zonnewijzers"
"Move keyboard cursor left","Toetsenbordcursor links verplaatsen"
"has a very long body, frail and skinny","heeft a zeer lang body, kwetsbaar en mager"
"Acknowledge lack of enjoyment","Gebrek aan plezier erkennen"
"This is the companion menu.","Dit is het metgezellenmenu."
" across the "," over de "
"Deal with challenges as they arise, and you might one day find that your humble settlement has grown to become a Mountainhome, the center of your civilization.","Pak uitdagingen aan wanneer ze zich voordoen, en misschien ontdek je op een dag dat je nederige nederzetting is uitgegroeid tot een Bergthuis, het centrum van je beschaving."
"Acknowledge lack of righteous indignation","Gebrek aan righteous indignation erkennen"
"Click the help button","Klik op de helpknop"
"less vengeful","minder wraakzuchtig"
"Centered on commander","Gecentreerd op commandant"
"Finalizing interactions...","Interacties afronden..."
"greasy","vettig"
"splendid","prachtig"
"settling","vestigen"
"Civilizations can attack","Beschavingen kunnen aanvallen"
"Breathing","Ademhaling"
"Cancel construction","Bouw annuleren"
"values nature","waardeert natuur"
"Select material.","Materiaal selecteren."
"potter","pottenbakker"
"Captive Room","Gevangenenkamer"
"Seek Fish Catch Location","Visvangstlocatie zoeken"
"in order to become a citizen","om burger te worden"
"is tall and thin, weak with few traces of fat","is lang en dun, zwak met few traces of dik"
"Alternatively, you can reduce the number of mountain caves required by the parameters.","Als alternatief kun je het aantal berggrotten dat door de parameters wordt vereist verlagen."
"The world generator is having trouble placing rivers.  ","De wereldgenerator heeft moeite met het plaatsen van rivieren.  "
"You might want to adjust the parameters governing rainfall.  ","Je kunt overwegen de parameters voor regenval aan te passen.  "
"spring","lente"
"the Trip Hammer","de Valhamer"
"Cut raw glass into gems","Ruw glas tot edelstenen slijpen"
"Skills","Vaardigheden"
"Cancel this task.","Annuleer deze taak."
"site","locatie"
"has a very thin body with almost no fat on it","heeft a zeer dun body met nauwelijks vet"
" Old"," Oud"
"Create Your Character","Maak je personage"
"Dist: ","Afst.: "
"Dining Room","Eetzaal"
"Mason","Steenhouwer"
", though ",", hoewel "
"Acknowledge lack of uneasiness","Gebrek aan uneasiness erkennen"
" an official symbol"," een officieel symbool"
"State minor feeling of aggravation","Licht gevoel van ergernis uiten"
"axeman","bijlstrijder"
"agreed to entertain people with","stemde in om mensen te vermaken met"
"of","van"
"State feelings of great astonishment","Sterke verbijstering uiten"
"I have trouble controlling my temper.","Ik heb moeite mijn humeur te beheersen."
"Click ""Embark"" to place your fortress.  Right click to zoom out.","Klik op ""Vestigen"" om je fort te plaatsen. Rechtsklik om uit te zoomen."
"There are many treasures and perils deep underground. ","Diep onder de grond zijn vele schatten en gevaren. "
"attempted to","probeerde te"
"First","Eerste"
"again ","opnieuw "
"feelings","gevoelens"
"Loading world information...","Wereldinformatie laden..."
" earring"," oorbel"
"silk ","zijde "
"[C:4:0:1]Starving","[C:4:0:1]Uitgehongerd"
" about the location of "," over de locatie van "
" (improper barracks)"," (ongeschikte barakken)"
"Individual Combat Drill","Individuele gevechtsoefening"
"crude","ruw"
"is skinny","is mager"
"bison","bizon"
"has a short broad body with ill-defined muscles","heeft a kort breed body met ill-defined muscles"
"Splendid","Prachtig"
"does not have feelings of emotional attachment and has never felt even a moment's connection with another being","heeft geen gevoelens van emotionele gehechtheid en heeft nooit zelfs maar een moment verbinding met een ander wezen gevoeld"
"Saving items...","Voorwerpen opslaan..."
"Make sure your parameters and presets allow as many mid-elevation squares as you are requiring low-lying caves.  ","Zorg dat je parameters en presets minstens zoveel middelhoge vakken toestaan als je laaggelegen grotten vereist.  "
"I played with ","Ik speelde met "
"Werebeast","Weerbeest"
"history:sourcing:role of cultural differences","geschiedenis:brongebruik:role of cultural differences"
"is very short and quite weak","is zeer kort en vrij zwak"
"Locks","Sloten"
"Age of Emptiness","Tijdperk van Leegte"
"I feel remorse.","Ik voel berouw."
"the ghost of my spouse","de geest van mijn echtgenoot"
"a legendary brawler","een legendarische vechtersbaas"
"after making romance","na romantiek te hebben beleefd"
"Set to fertilize","Instellen om te bemesten"
"finds art offensive and would have it destroyed whenever possible","vindt kunst beledigend en zou die waar mogelijk vernietigen"
"State feelings of pleasure","Plezier uiten"
"No Dining Room","Geen eetzaal"
"appearing not to age","lijkt niet ouder te worden"
"Overall, the composition is passable","Al met al is de compositie aanvaardbaar"
"Covered","Bedekt"
"Agile","Lenig"
"One ","‚n "
"I have attained a higher rank of nobility.","Ik heb een hogere adellijke rang bereikt."
"creeping thing","kruipend ding"
"Customs","Gebruiken"
"State minor feeling of ferocity","Licht gevoel van ferocity uiten"
"Rest","Rusten"
"I was released from confinement.","Ik werd uit opsluiting vrijgelaten."
"the surgical method of draining","de chirurgische methode van drainage"
" Track (NE)"," Spoor (NO)"
"What will you say about the refusal to accept tribute?","Wat wil je zeggen over de weigering om schatting te accepteren?"
"art","kunst"
"Dig a ramp on this level, going up.","Graaf een helling op dit niveau, omhoog."
"agony","pijn"
"after leaving the site","na de locatie te hebben verlaten"
"Enthusiastic","Enthousiast"
"Ambience Volume (Fortress): ","Omgevingsgeluid (fort): "
"identity","identiteit"
"naturalist:theory:climatic adaptation","natuuronderzoek:theorie:climatic adaptation"
"Lead Combat Training","Gevechtstraining leiden"
"Cabinets are used in personal bedrooms for storing clothing objects.  A cabinet object must be made before it can be placed.","Kasten worden in persoonlijke slaapkamers gebruikt om kledingstukken op te bergen. Er moet eerst een kast worden gemaakt voordat die geplaatst kan worden."
"being willing to accept death","bereid zijn de dood te accepteren"
"I am afraid of them.","Ik ben bang voor hen."
"Discuss the missing artifact ","Bespreek het vermiste artefact "
"medicine:tool:mineral remedies","geneeskunde:gereedschap:mineral remedies"
"mathematics:method:axiomatic reasoning","wiskunde:methode:axiomatic reasoning"
" (3 of 8)"," (3 van 8)"
"State feelings of restlessness","Rusteloosheid uiten"
"State minor feeling of glee","Licht gevoel van vreugde uiten"
"Seek Drink Area for Water","Drinkgebied zoeken voor water"
"Arena: Morale","Arena: moraal"
" collapses and falls"," stort in en valt"
"coffer","koffer"
" bend"," buiging"
"Can your parameters achieve elevations between 0 and 99?  ","Kunnen je parameters hoogtes tussen 0 en 99 bereiken?  "
"Simulate ","Nabootsen "
"powder","poeder"
"been fed to beasts.","aan beesten gevoerd."
"the War","de oorlog"
" blocks"," blokken"
"Population: ~7500","Bevolking: ~7500"
"Not found: ","Niet gevonden: "
"I have new siblings.","Ik heb nieuwe broers of zussen."
"is very fat and enormous overall","is zeer dik en enormous overall"
"views ","visies "
"I don't really know.","Ik weet het niet echt."
"Automatically collect webs","Webben automatisch verzamelen"
"Request a guide to ","Vraag een gids naar "
"You have nothing left to eat or drink.","Je hebt niets meer om te eten of te drinken."
"A dance competition","Een danswedstrijd"
"You have selected an area with a heavy aquifer.","Je hebt een gebied met een zware aquifer gekozen."
"change personality value","persoonlijkheidswaarde wijzigen"
"Ignore","Negeren"
"shell","schelp"
"Refuse to have ","Weigeren te hebben "
"masterful ","meesterlijk "
"Unnamed Underworld area","Naamloos Onderwereldgebied"
"Population: ~3000","Bevolking: ~3000"
"mathematics:numbers:root 2 to 5 digits","wiskunde:getallen:root 2 to 5 digits"
"caroused","feestte"
"State feelings of great boredom","Sterke verveling uiten"
"Bad script! #1","Slecht script! #1"
"Conversationalist","Gesprekspartner"
"Designating items for dumping","Voorwerpen markeren om te dumpen"
"Break in ","Inbreken in "
" and exiled"," en verbannen"
"Use dyes here to color thread and cloth.  Requires a barrel and bucket for construction.","Gebruik hier verfstoffen om draad en stof te kleuren. Vereist een vat en emmer voor constructie."
"be made with feeling","met gevoel worden gemaakt"
" cups"," bekers"
"in order to pray","om te bidden"
" and I broke up."," en ik zijn uit elkaar."
"Move down to the south.","Ga omlaag naar het zuiden."
"[C:7:0:1]Temples[C:7:0:0]","[C:7:0:1]Tempels[C:7:0:0]"
"Ask listener's course of action","Vraag naar de handelwijze van de luisteraar"
"Values friendship","Waardeert vriendschap"
"Regretful","Spijtig"
"less dutiful","minder plichtsgetrouw"
"Ambush!","Hinderlaag!"
"beast from underground","beest uit de ondergrond"
" asked me"," vroeg mij"
"gapped","met openingen"
"itself","zichzelf"
"childhood friend ","jeugdvriend "
"independence","onafhankelijkheid"
"slash","hakken"
"pig","varken"
"Pause","Pauzeren"
"(Combat) Natural attack latched","(Gevecht) Natuurlijke aanval vastgeklemd"
"[C:5:0:1].Gelded","[C:5:0:1].Gecastreerd"
"Minimum Number of High-Rain Squares","Minimumaantal vakken met hoge regenval"
" administrator"," beheerder"
" Upward Track (NSE)"," Spoor omhoog (NZO)"
"known bard","bekende bard"
"Need cloth","Doek nodig"
"Symbol","Symbool"
"You might want to adjust the parameters governing savagery.  ","Je kunt overwegen de parameters voor wildheid aan te passen.  "
