"more presumptious","anmaáender"
"lords","Frst"
" you"," du"
"neutralize","Neutralisieren"
"Great Bedroom","Tolles Schlafzimmer"
"State feelings of self-pity","Gefhle des Selbstmitleids angeben"
"obtained","erhalten"
"decided to become a thief, operating","beschloss, ein Dieb zu werden, und arbeitete"
"Rethink your priorities.","šberdenke deine Priorit„ten."
"jutting-chinned","mit herausragenden Kinn"
"codex","Kodex"
" and it "," und es "
"the bone-chilling horror","das unheimliche Grauen"
"trees","B„ume"
"Average","Durchschnitt"
"I don't know myself, and I don't even know anybody that could tell you.","Ich weiá es nicht und ich weiá nicht einmal jemand, der es dir sagen k”nnte."
"the use of conical shapes in water-based clocks to improve their accuracy","die Verwendung von Kegelformen in Wasseruhren zur Verbesserung ihrer Genauigkeit"
"incident","Vorfall"
"slower to love","langsamer sich zu verlieben"
"the construction and use of valves","Die Produktion und Verwendung von Ventilen"
"Deride the attempt to calm","Spottet ber den Versuch der Beruhigung"
" images and symbols"," Bilder und Symbole"
"woodcrafter","Holzbearbeiter"
"Ah, I'm sorry.  Permission is not mine to give.","Ach, es tut mir leid.  Es liegt nicht an mir diese Berechtigung zu geben."
"the issue of their worship of ","die Frage ihrer Verehrung von "
"Material templates...","Materialvorlagen..."
"I need some excitement in my life.","Ich brauche etwas Aufregung in meinem Leben."
"Add new routine","Neue Routine hinzufgen"
"killing somebody by accident while sparring","jemanden beim Sparring versehentlich zu t”ten"
"That's very amusing.","Das ist sehr amsant."
"Cannot assign work details","Kann keine Arbeitsdetails zuweisen"
"I was close to a waterfall.","Ich war in der N„he eines Wasserfalls."
"Accept invitation to join ","Einladung zum Beitritt annehmen "
"the occupation","der Beruf"
"Fifteenth","Fnfzehnte"
" requested that "," beantragt, dass "
"State feelings of embarassment","Gefhle der Peinlichkeit angeben"
" by falling rocks"," von herabfallenden Steinen"
"Chained","Angekettet"
"Staggered training","Gestaffeltes Training"
"Track/Ramp (NEW)","Weg/Rampe (NEU)"
"a first contact that went horribly wrong","ein erster Kontakt, der furchtbar schief ging"
"cheese","K„se"
"Settings","Einstellungen"
"stonecrafter","Steinmetz"
" alongside you"," neben dir"
" are spilled.  "," sind verschttet.  "
"Indoors, outdoors.  It's all the same to me as long as the weather's fine.","Drinnen, drauáen.  Es ist beides das gleiche fr mich, solange das Wetter gut ist."
"its","sein/seine/dessen"
" usually talks very quickly"," spricht in der Regel sehr schnell"
"Nothing to examine","Nichts zum Untersuchen"
" attempted "," Versucht "
"Assign position ","Position zuweisen "
"Asset","Verm”gen"
"backward bends","nach hinten beugen"
" to a meeting with "," zu einem Treffen mit "
"Legendary protector of the weak","Legend„rer Beschtzer der Schwachen"
" Bars"," Barren"
"made a threat","eine Drohung ausgesprochen"
"felt no loyalty to","fhlte keine Loyalit„t zu"
"skips around when ","bergeht, wenn "
"There's no reason to be pessimistic.","Es gibt keinen Grund, pessimistisch zu sein."
"View your companions and tactical settings, or switch party members.","Deine Begleiter und taktischen Einstellungen anzeigen oder Partymitglieder wechseln."
"It makes me so gloomy.","Es macht mich so trbsinnig."
"doesn't particularly care about ","interessiert sich nicht besonders ber "
"is unable to make decisions without a great deal of input from others","ist nicht in der Lage, Entscheidungen zu treffen, ohne dass andere einen groáen Beitrag leisten"
"an incident","ein Vorfall"
"Track Stop","Spurende"
"is very curious, sometimes to ","ist sehr neugierig, manchmal auf "
"is incredibly muscular","ist unglaublich muskul”s"
"This is an unintelligible mess.","Dies ist ein unverst„ndliches Durcheinander."
"Values tradition","Sch„tzt die Tradition "
"I get so jealous sometimes.","Ich werde manchmal sehr eiferschtig."
"the tax collection didn't go smoothly","die Steuererhebung verlief nicht reibungslos"
"baron consort","Baronsgemahl"
"I was pestered by ","Ich wurde bedr„ngt von "
"Let's spread the joy!","Lasst uns die Freude verbreiten!"
"glass-making ","Glasherstellung "
"Select animals to be dropped into the pit or pond below this zone.  Animals will not feel obligated to stay if they can find a way out.","W„hlen Sie Tiere aus, die Sie in die Grube oder den Teich unterhalb dieser Zone werfen. Die Tiere fhlen sich nicht gezwungen zu bleiben, wenn sie einen Ausweg finden k”nnen."
"Reunion","Wiedervereinigung"
"Hold and climb","Halten und klettern"
" is one of the fundamental dance moves.  "," ist einer der grundlegenden Tanzschritte.  "
"The body of ","Der K”rper von "
"Merchants need depot","H„ndler ben”tigen einen Lagerplatz"
"active dance form","aktive Tanzform"
"What will you say about the claim?","Was werden Sie zu dieser Forderung sagen?"
"Respected for heroic acts","Fr heldenhaftes Handeln respektiert"
"the nature of beauty","die Natur der Sch”nheit"
"Do you approve this request?","Stimmen Sie diesem Antrag zu?"
"of metal","aus Metall"
", despite ",", trotz "
"repeated","wiederholt"
"Growing","Anpflanzung"
"Family","Familie"
"Item types","Item typen"
"the use of animals as surgical models","die Verwendung von Tieren als chirurgische Modelle"
"Pressure plate","Druckplatte"
"So disgusting...","So widerlich..."
"good spar","guter Sparringspartner"
"Partial matches okay","Teilweise passendes okay"
"It's not a gift if you expect something in return.","Es ist kein Geschenk wenn du etwas im Austausch erwartest."
"slashing","Aufschlitzen"
"free-lobed","frei gelappt"
"dodging","ausweichen"
"Trade or settle debts","Handel oder Begleichung von Schulden"
"building destruction","Geb„ude abreiáen"
"This is not that kind of establishment.","Dies ist nicht diese Art von Einrichtung."
"supplies around your fortress where they are needed.","Vorr„te in Ihrer Festung, wo sie ben”tigt werden."
"a great affinity for language","eine groáe Affinit„t zur Sprache"
"No one else even considered making the journey to this cursed miserable death-trap.","Niemand sonst dachte auch nur daran, die Reise in diese verfluchte, elende Todesfalle anzutreten."
"absolutely no willpower","absolut keine Willenskraft"
"is very muscular and broad","ist sehr muskul”s und breit"
"Play now","Spielen"
"The soldiers can either keep their equipment on at all times, or only when an order is active.","Die Soldaten k”nnen ihre Ausrstung entweder immer anbehalten oder nur, wenn ein Befehl vorliegt."
"Arousing...","Erregend..."
"Designate tree","Baum festlegen"
"Art is complicated.  I know what I like, but some I can do without.","Kunst ist kompliziert. Ich weiá was ich will, aber ich kann auch ohne."
"Takes all kinds these days.","Heutzutage gibt es alle m”glichen Arten."
" to no effect."," zu keinem Effekt."
"Assumed position","Eingenommene Position"
"There is a time for artful speech, and a time for blunt speech as well.","Es gibt eine Zeit fr kunstvolle Sprache, und auch eine Zeit fr unbesch”nigte Sprache."
"There are no creatures available.","Es sind keine Kreaturen verfgbar."
"gecko","Gecko"
"path fail: ","Pfad scheitern: "
"Characterizing raw data...","Rohdaten charakterisieren..."
"Amusing.","Amsant."
"a swarm of ","ein Schwarm von "
"Craftsmanship","Handwerkskunst"
"Name pet (new menu)","Haustier benennen (neues Men)"
"Ask listener to wait until you've returned home","Bitten Sie den Zuh”rer, zu warten, bis Sie nach Hause zurckgekehrt sind"
"has an incredibly broad body hung with curtains of lard","hat einen unglaublich breiten K”rper, der mit einem Vorhang aus Schmalz behangen ist"
"Tracks Visible: ","Spuren sichtbar: "
"punishment of victimizer reduced","Reduzierung der Strafe fr den T„ter"
"Civ Zone ","Zivilbereich "
"I must make a profit.  There is simply not enough value here.","Ich muss einen Gewinn erzielen. Es gibt hier einfach nicht genug an wertvollen Dingen."
"Intrigue","Intrige"
"Population: ~2000","Bev”lkerung: ~2000"
"accepted in admiration of power","Bewunderung der Macht akzeptiert"
"I take no pleasure in this.","Ich habe keine Freude daran."
"I asked to become a citizen.","Ich bat darum Brger zu werden."
"Enable multithreading","Multithreading aktivieren"
"I was caught in freakish weather.","Ich wurde von verrckten Wetter berrascht."
"Go to Shop","Zum Laden gehen"
"I don't feel rejected.","Ich fhle mich nicht zurckgewiesen."
"Unnamed plant gathering area","Unbenanntes Pflanzensammelgebiet"
"Remove stairs/ramps","Treppen/Rampen entfernen"
"Certainly considered an intruder","Sicherlich als Eindringling betrachtet"
" release"," l”sen"
"You just can't fit any more.","Man passt einfach nicht mehr rein"
"Walk","laufen"
"Skill Demonstration","Demonstration von Fertigkeiten"
"A half day's travel","Eine halbe Tagereise"
" Floor"," Boden"
" Upward Slope"," Hang Aufw„rtsneigung"
"a great feel for the surrounding space","ein gutes Gefhl fr die Umgebung"
"State feelings of great loneliness","Gefhle von groáer Einsamkeit angeben"
"What do you want to do?  Items must be in a grasp or on the ground here.","Was m”chten Sie tun? Die Gegenst„nde mssen sich hier in einem Griff oder auf dem Boden befinden."
"is disgusted by tranquility and would that the world would constantly churn with noise and activity","ist angewidert von der Ruhe und wnscht sich, dass die Welt st„ndig von L„rm und Aktivit„t erfllt ist"
"I feel tenderness.","Ich spre Z„rtlichkeit."
"Famous loyal soldier","Berhmter treuer Soldat"
"more hopeful","hoffnungsvoller"
" is no good."," ist nicht gut."
" being shot"," erschossen"
"repeating in each stanza of","Wiederholung in jeder Strophe von"
"I enjoyed performing.","Ich genoss die Durchfhrung."
"Lose hold of item","Objekt verlieren"
" Boulder"," Felsbrocken"
"Create a sharp rock with two rocks.","Stelle einen scharfen Stein aus zwei Steinen her."
"population of well over one million","Bev”lkerung von gut ber einer Millionen"
"Shallow Clay","Bodennaher Lehm"
" told me to ask "," sagte mir, ich solle fragen "
"State that it was fantastic","Es sei fantastisch gewesen"
"rejected","abgelehnt"
"I feel isolated.","Ich fhle mich isoliert."
"grow asset network","Verm”gensnetzwerk aufbauen"
", while the counterpoint has ",", w„hrend der Kontrapunkt "
"Popup: Travel","Popup: Reisen"
"Engrave artwork into a smooth wall.","Gravieren Sie Kunstwerke in eine glatte Wand."
" quern"," mahlstein"
"State feelings of great delight","Gefhle der groáen Freude angeben"
"I read ","Ich las "
"more frenetic","frenetischer"
"""My other worshippers?  As you wish, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""",",,Meine anderen Anh„nger? Wie du wnschst, mein treuer Auserw„hlter! Es gibt andere M”glichkeiten, wie du dienen kannst, wenn du deine Dienste erneut anbietest. Du kannst auch dein Leben so leben, wie du es jetzt fr richtig h„ltst, wenn du dich dafr entscheidest. Du hast deine Aufgabe gut erfllt."""
"Adventure with ","Abenteuer mit "
"Despair","Verzweiflung"
"Finalizing creatures...","Finalisierung Kreaturen..."
"your very own","deine ganz eigene"
"rumored preacher","angeblicher Prediger"
"You can grab creatures with your grasps and limbs, and both the target and attacking part determine which wrestling moves are available.  ","Du kannst Kreaturen mit deinen Griffen und Gliedmaáen packen; sowohl Ziel- als auch Angreiferk”rperteil bestimmen, welche Ringerbewegungen m”glich sind. "
"more inclined to create","eher geneigt, zu erstellen"
"You are oblivious.","Du bist unachtsam."
" (foreign)"," (fremd)"
" be returned to me."," an mich zurckgegeben werden."
"the moment when ","der Moment, wenn "
"Attempted to make","Versucht zu machen"
"crystal glass","Kristallglas"
"did poorly","schlecht abgeschnitten"
"Certainly considered a brawler","Sicherlich als Raufbold betrachtet"
"Acknowledge lack of delight","Fehlen von Freude anerkennen"
"Seek Item for Storage","Gegenstand fr Lagerung suchen"
"engraver","Graveur"
" Dodge Preference"," Ausweichspr„ferenz"
"strong","starke"
"Breathe fire","Spuckt Feuer"
"has a very short body buttressed by rolls of lard","hat sich zu einem sehr kleinen K”rper mit Fettpolster gespickt"
"I had a sparring session.","Ich hatte ein Sparringstraining."
"Leather clothing shop","Lederbekleidungsgesch„ft"
"the phases of the moon","die Phasen des Mondes"
"Surroundings: ","Umgebungen: "
"Diligence","Sorgfalt"
"enthusiastic","Begeistert"
"more ambitious","ehrgeiziger"
"succumbed to vanity","der Eitelkeit erlegen"
" on my side"," auf meiner Seite"
"Dismiss minor feeling of despair","Geringes Gefhl der Verzweiflung verwerfen"
"Go to Sparring Practice","Zum Sparringstraining gehen"
" own life"," eigenes Leben"
"'s harassment","s Bel„stigung"
" patterns: "," Mustern: "
"You can also interrogate suspects. ","Sie k”nnen auch Verd„chtige verh”ren. "
"half-sibling","Halbgeschwister"
"Unable to complete building","Unf„hig, den Bau abzuschlieáen"
"Legends","Legenden"
"forms only fleeting and rare emotional bonds with others","bildet nur flchtige und seltene emotionale Bindungen zu anderen"
"Our time in ","Unsere Zeit in "
"They tangle together and fall over!","Sie verwickeln sich und fallen um!"
"lieutenant","Leutnant"
"Threshing","Dreschen"
"The Day","Der Tag"
"The musician selects the pitch by ","Der Musiker w„hlt die Tonh”he durch "
" straps "," schnallt "
" quivers"," K”cher"
"most holy ","h”chst heilig "
"Track/Ramp (NE)","Weg/Rampe (NE)"
"has a long, thin frame, frail with very little fat","hat eine lange, dnne Statur, zerbrechlich mit sehr wenig Fett"
" constructed a masterful "," ein Meisterwerk konstruiert "
"ceased being the master of","nicht mehr der Meister von"
" forgotten "," vergessen "
"lively","lebendig"
"Blessed be ","Gesegnet sei "
"In such a young world certain game elements will not be available.","In einer so jungen Welt werden bestimmte Spielelemente nicht verfgbar sein."
" accept homage from "," nehmen Huldigungen an von "
"A catapult fires a boulder in a fixed direction.  The operator can adjust the aim freely within a cone.","Eine Katapultanlage schleudert einen Felsbrocken in eine feste Richtung. Der Bediener kann das Ziel innerhalb eines Kegels frei einstellen."
"Placing good/evil...","Platzierung Gut/B”se..."
"Soaper","Seifenmacher"
"Justice, Convict","Justiz, Str„fling"
"Unnamed sand collection area","Unbenanntes Sand-Sammelgebiet"
" Rollers"," Walzen"
" make"," machen"
"Wood Burner","K”hler"
"finds the pursuit of skill mastery off-putting","findet das Streben nach Beherrschung von F„higkeiten abschreckend"
"I will agree to guide you if you lead me to glory and death.","Ich bin bereit, dich zu fhren, wenn du mich zu Ruhm und Tod fhrst."
"after talking to a pillar of society","nach einem Gespr„ch mit einer wichtigen Sttze der Gesellschaft"
"Create arena","Arena erschaffen"
"Verbally struggle against despair","Verbal gegen die Bedr„ngnis ank„mpfen"
"[C:6:0:1]Ability to fly lost","[C:6:0:1]F„higkeit zum Fliegen verloren"
"Invader horizontal digging aversion (smaller = more digging)","Abneigung des Eindringlings gegen horizontales Graben (kleiner = mehr Graben)"
"Acknowledge lack of alienation","Erkenne das Fehlen von Entfremdung an"
"chemistry:laboratory:theory of liquid-liquid extraction","chemie:labor:theorie der flssig-flssig-extraktion"
"I don't feel very empathetic.","Ich bin nicht sehr einfhlsam."
"finds helping others emotionally rewarding","findet es emotional befriedigend, anderen zu helfen"
"Civilization symbol","Zivilisationssymbol"
"blocks","Quader"
"  I'd watch out for them.  "," Ich wrde mich vor ihnen in Acht nehmen.  "
"They belong to you or a companion.","Sie geh”ren dir oder einem Gef„hrten."
" toy"," spielzeug"
"is very muscular with a long body","ist sehr muskul”s mit einem langen K”rper"
"civet","Zibetkatze"
"You empty the ","Du leerst "
"Dye cloth","Stoff f„rben"
"Kill ","T”tungen "
"Increase quality","Qualit„t erh”hen"
"Seek Fill Bucket","Flleimer suchen"
"a scuffle between ","ein Handgemenge zwischen "
"as insufficient progress was made toward the goal","da keine ausreichenden Fortschritte bei der Verwirklichung des Ziels erzielt wurden"
"less attentive","unaufmerksamer"
"has a long, thin body with almost no fat on it","hat einen langen, dnnen K”rper, der fast kein Fett aufweist"
"Prepared Food","Vorbereitetes Essen"
"after being trapped in a cage","nachdem er in einem K„fig gefangen war"
" has stolen "," hat gestohlen "
"dining","Speise"
"very small ","sehr klein "
"Quiet vocalization","Leise Laut„uáerung"
"Such an offense!","Eine solche Beleidigung!"
"thralldom","Knechtschaft"
"eerie","unheimlich"
"was intellectually stubborn and refused to listen","intellektuell Stur war und sich weigerte, zuzuh”ren"
"Ha ha!  So amusing!","Ha ha! Sehr amsant!"
" laughing"," lachen"
"the production order violation","der Verstoá gegen den Produktionsauftrag"
"Recover","Erholen"
"You have discovered a great magma sea.","Ihr habt ein groáes Magmameer entdeckt."
"You do not have any zones.","Sie haben keine Zonen."
" on the blood of the living!"," auf das Blut der Lebenden!"
"Once a ramp is present, you can start using the regular mining command on the higher level.","Sobald eine Rampe vorhanden ist, k”nnen Sie den regul„ren Bergbaubefehl auf der h”heren Ebene verwenden."
"Items designated for dumping will be tossed into open air spaces included in this zone.  If no open air tiles are included, they will dump the items on the floor.","Gegenst„nde, die zum Wegwerfen bestimmt sind, werden in die Freifl„chen in dieser Zone geworfen. Wenn keine Freifl„chen vorhanden sind, werden die Gegenst„nde auf den Boden geworfen."
" is dead!"," ist gestorben!"
"Shameless     <->     Bashful","Schamlos Schchtern"
"ballista arrow head","Ballista-Pfeilspitze"
"seeds","samen"
"improvable ","verbesserungsf„hig "
"more fact-oriented","faktenorientierter"
"isn't strong but is very large","ist nicht stark, aber sehr groá"
"Libraries are a location that can be created at a zone.","Bibliotheken sind ein Ort, der in einer Zone angelegt werden kann."
"Greatly respected for heroic acts","Fr heldenhafte Taten hoch geachtet"
"Cook meals here.  You can also render fat into tallow.","Kochen Sie hier Mahlzeiten. Sie k”nnen auch Fett zu Talg verarbeiten."
"undead world conquest","Weltherrschaft der Untoten"
"sacred ","heilig "
"Pole","Pol"
"Quarreler","Z„nker"
"Thirsty","durstig"
"I have a part in this.","Ich habe einen Anteil daran."
"noted murderer","bekannter M”rder"
"a few years ago","vor einigen Jahren"
"Paper","Papier"
" on "," auf "
"I am not proud.","Ich bin nicht stolz."
"Loading world to start new game","Welt laden, um ein neues Spiel zu beginnen"
"the Cave","die H”hle"
"I had an intellectual discussion with my father.","Ich hatte eine intellektuelle Diskussion mit meinem Vater."
"Finish mining","Bergbau beenden"
"Stop and reflect.","Innehalten und nachdenken."
"to relax","zum Entspannen"
" eighth"," achte"
"Advancing building states","Fortschreiten der Bauzust„nde"
"I have nothing to say to you.","Ich habe Ihnen nichts zu sagen."
"more grateful","dankbarer"
"Water wheel","Wasserrad"
"slightly wrinkled","leicht faltig"
"soldiers to follow","Soldaten, die folgen"
"Really quit without saving?","Wirklich aufh”ren, ohne zu speichern?"
"State minor feeling of hope","Zustand geringes Gefhl der Hoffnung"
"chemist","Chemiker"
"Change the material of the item being checked.","ndern Sie das Material der zu prfenden Gegenst„nde."
"Now we just need to wait for the woodcutter to chop down the tree.  ","Jetzt mssen wir nur noch darauf warten, dass der Holzf„ller den Baum f„llen kann. "
"is somewhat put off by trade and commerce","ist von Handel und Gewerbe etwas abgeschreckt"
"gambling","zockend"
"Ask listener to come to the trade depot later","Bitten Sie den Zuh”rer, sp„ter zum Handelsdepot zu kommen."
"Construction","Konstruktionen"
"after a joyous reunion","nach einem freudigen Wiedersehen"
"Overall, this is a great source of information","Insgesamt ist dies eine groáartige Informationsquelle."
" assigned"," Zugewiesen"
"being unable to acquire something for too long","zu lange nicht in der Lage sein, etwas zu erwerben"
"Riding","Reiten"
"a former mercenary of","ein ehemaliger S”ldner der"
"the Food Chain","die Nahrungskette"
"This creature is ecstatic right now.","Diese Kreatur ist in diesem Moment ekstatisch."
"tries to keep ","versucht zu halten "
"There is no need to feel vengeful.","Es gibt keinen Grund, Rache zu ben."
"armorer","Waffenmeister"
"a guildhall","Eine Gildenhalle"
"I look splendid today.","Ich sehe heute pr„chtig aus."
"Number of Evil Cloud Types","Anzahl der b”sen Wolkentypen"
"the shield","das Schild"
"unable to face any possible judgment and the afterlife","unf„hig, sich einem m”glichen Urteil und dem Leben nach dem Tod zu stellen"
"Subject has used ","Das Subjekt hat verwendet "
"Haul: ","schleppen: "
"State feelings of great jubilation","Gefhle von groáem Jubel ausl”sen"
"I discussed my problems with my mother.","Ich habe meine Probleme mit meiner Mutter besprochen."
"Be merry!","Sei fr”hlich!"
"Sorting","Sortierung"
" developed a business rivalry"," eine gesch„ftliche Rivalit„t entwickelt"
"population of nearly one million","Bev”lkerung von ann„hrend einer Millionen"
"You are stressed.  View your status for more information.","Du bist gestresst. Sieh dir deinen Status fr weitere Informationen an."
"web","Netz"
"felling a tree","ein Baum f„llen"
"eighty","achtzig"
"Music Volume (Fortress): ","Musiklautst„rke (Festung): "
"View","Ansicht"
"This site is a fortress of ","Diese St„tte ist die Festung von "
"suicide leaping","Selbstmord durch Springen"
"be graceful","anmutig sein"
"seeking work as a scholar","Suche nach einer Arbeit als Gelehrter"
"Extremely deep soil","Extrem tiefe B”den"
"I'm annoyed.","Ich bin genervt."
"after adoption","nach der Adoption"
"Retire the fortress (for the time being)","Die Festung (vorl„ufig) aufgeben"
"job order violation","Aufgabenbefehlsbruch"
"Macro, Play","Makro, abspielen"
"Preparing text objects...","Vorbereiten von Textobjekte..."
"  Let another day pass."," Lass einen weiteren Tag vergehen."
"variations","Variationen"
"Concentration","Konzentration"
" creature"," Kreatur"
"  Subject was cagey and refused to comply."," Die Person war verschlossen und verweigerte die Aussage."
"becomes calmer as the end is approached","wird ruhiger, je n„her das Ende rckt"
"after fighting","nach dem Kampf"
"tissues regrow!","Gewebe wachsen nach!"
"Talented hunter","talentierter J„ger"
"the robbery","der Raubberfall"
"ship","Schiff"
"independent body movement","unabh„ngige Bewegung"
"Maraude Target","Ziel plndern"
"lords consort","Frstgemahl"
" near fire"," nahe Feuer"
"Tuning is accomplished by pegs.  ","Die Stimmung wird durch Wirbel erreicht. "
"I'm terribly bitter about this...","Ich bin schrecklich frustriert darber..."
"more overbearing","berheblicher"
"been drained of blood by ","Blut abgelassen worden durch "
"only simple creatures inhabited","nur einfache Lebewesen bewohnt"
" with miserable outcome"," mit kl„glichem Ausgang"
"was hacked to pieces","wurde in Stcke gehackt"
" intended "," erwnschte "
"Setting material","Material einstellen"
"Kicking","Treten"
" and was crafted in "," und wurde hergestellt in "
"large ","groáe "
"poor spatial senses","schlechtes r„umliches Vorstellungsverm”gen"
"a poet, according to some","ein Dichter, nach Meinung einiger"
"the job order violation","der Verstoá gegen den Arbeitsauftrag"
"obstacle","Hindernis"
"internal rhyme","Binnenreim"
"some hundred","einige hundert"
"more discordant","unstimmiger"
"Rest (Reset)","Ruhe (Ruhe)"
"is moved by art and natural beauty","ist von Kunst und Natursch”nheiten begeistert"
"Total number of each to scribe: ","Gesamtzahl der zu beschriftenden Artikel: "
"the expulsion of ","die Ausweisung von "
"Z Levels Above Layer 5","Z-Ebenen oberhalb der Schicht 5"
"justice","Gerechtigkeit"
"to paint the stockpile.","um das Lager zu zeichnen."
"the hacking of ","das Hacken von "
" whenever "," immer wenn "
"I am so angry!","Ich bin so wtend!"
"Pets/Livestock","Haustiere/Vieh"
"Stand Up","Aufstehen"
"be moderately soft","m„áig weich sein"
"Open Space","Freier Raum"
"unneeded","Unn”tig"
"I have improved my ","Ich verbesserte meine "
"Leather Goods","Leder Produkte"
"State feelings of euphoria","Zustand Gefhle der Euphorie"
"is very short and incredibly skinny","ist sehr klein ist und unglaublich dnn"
"discourse on ethics as applied to interpersonal conduct","Diskurs ueber Ethik, angewandt auf zwischenmenschliches Verhalten"
"Show improvement quality in item names","Verbesserungsqualit„t im item anzeigen"
"Framing Plot","Anbauplan"
"I'm so anxious!","Ich bin so nerv”s!"
"trouble","Schwierigkeiten"
"has managed to put some muscle and fat on an extremely thin frame","hat es geschafft, etwas Muskeln und Fett auf einen extrem dnnen K”rper zu bringen"
"Click on category headings to collapse and expand them. ","Klicken Sie auf die šberschriften der Kategorien, um sie ein- und auszuklappen. "
"doesn't mind a little tumult and discord in day-to-day living","hat nichts gegen ein wenig Tumult und Unfrieden im t„glichen Leben"
"being away from friends for too long","zu lange von Freunden getrennt zu sein"
"a distrustful nature","eine misstrauische Art"
"General work orders allowed: ","Allgemeine Arbeitsauftr„ge erlaubt: "
"is long and incredibly skinny","ist lang und unglaublich dnn"
"Vanishing Profile","Verschwindendes Profil"
"Track (NE)","Weg (NE)"
"elephant","Elefant"
"State minor feeling of delight","Zustand geringes Gefhl der Freude"
"Sutures","n„hen"
"Workers save other objects","Arbeiter retten andere Gegenst„nde"
"were ","wurden "
"Movement options","Bewegungsm”glichkeiten"
"Eleventh","Elfte"
"Paralyzed","Gel„hmt"
" is a "," ist ein "
"Sleep Barracks","Kaserne schlafen"
"Medium","Mittel"
"Maps","Karten"
"Some migrants have decided to brave this terrifying place, knowing it may be their tomb.","Einige Migranten haben sich entschlossen, diesem furchterregenden Ort zu trotzen, obwohl sie wissen, dass er ihr Grab sein k”nnte."
"plot","Handlung"
" quarter"," Viertel"
" offers it to "," bietet ihn an "
"Work order completed","Arbeitsauftrag abgeschlossen"
"I guess I'm not sure.","Ich glaube, ich bin mir nicht sicher."
"Panicked","In Panik geraten"
"Traveling through ","Reisen durch "
"Clothing and leather","Kleidung und Leder"
"Liar","Lgner"
"being swayed by the emotional appeal","sich von der emotionalen Anziehungskraft leiten zu lassen"
" was made"," wurde gemacht"
"the relationship between objects and their properties","die Beziehung zwischen Objekten und ihren Eigenschaften"
"after ","nach "
"backpack","Rucksack"
"smashing","zertrmmern"
"glass and burning wood","Glas und brennendes Holz"
"Give in to Starvation","Lasst sie verhungern"
"the Sum","die Summe"
"elevation ","H”he "
"valuing harmony","Wertsch„tzung der Harmonie"
"out of curiosity","aus reiner Neugier"
" is alright!"," ist in Ordnung!"
"State feelings of caring","Gefhle der Frsorge angeben"
"belief in the law","Glaube an das Gesetz"
"Select or create a route.","W„hlen oder erstellen Sie eine Route."
"dense","dicht"
" scale is "," Tonleiter ist "
"more polite","h”flicher"
"I'm going to visit the shrine.","Ich werde den Schrein besuchen."
"independent discovery","unabh„ngige Entdeckung"
"Tell me who you work for, or else.","Sagen Sie mir, fr wen Sie arbeiten, sonst."
"Acknowledge lack of vengefulness","Erkenne den Mangel an Rachsucht an"
"Acknowledge lack of frustration","Erkenne fehlende Frustration an"
"Monarch arrived","Monarch ist angekommen"
"Decent Dining Room","Anst„ndiger Speisesaal"
"There are guards in ","Es gibt Wachen in "
"Skill 7","F„higkeit 7"
"was slain","wurde erschlagen"
"does not often feel lustful","hat nicht oft Lustgefhle"
" tomb after gaining another year"," Grabmal nach einem weiteren Jahr"
" ambushed "," in einen Hinterhalt gelockt "
" protected knowledge from being irrevocably lost"," das Wissen vor dem unwiderruflichen Verlust geschtzt"
" as well as "," sowie "
"a ceremony","eine Zeremonie"
"baron","Baron"
"Affects argument dismissal and intimidation tactics in interrogation.","Beeinflusst das Zurckweisen von Argumenten und Einschchterungstaktiken bei Verh”ren."
"official meeting in bedroom","offizielles Sitzung im Schlafzimmer"
"State feelings of great alienation","Gefhle der groáen Entfremdung angeben"
"[C:6:0:0]In traction","[C:6:0:0]Knochen richten"
"State feelings of great admiration","Gefhle der groáen Bewunderung ausdrcken"
"Seek Crutch","Krcke suchen"
"Diagnostics","Diagnose"
"panics","panisch"
" let"," lassen"
"good intuition","gute Intuition"
"star catalogue","Sternkatalog"
"accepted out of loyalty to","akzeptiert aus Loyalit„t zu"
"Gather fruit in trees in and just above this zone.  Requires a stepladder.","Sammeln Sie die Frchte von den B„umen in und eine Ebene ber dieser Zone. Erfordert eine Trittleiter."
"performed","vorgefhrt"
"Minimum Final ","Endminimum "
"I beat somebody as a punishment.","Ich schlug jemand als Strafe."
"Creature","Kreatur"
"Underground regions","Unterirdische Regionen"
"Before you begin your travels, we'll familiarize you with the basic controls.","Bevor du deine Reise antrittst, machen wir dich mit der grundlegenden Steuerung vertraut."
"I'm so confused.","Ich bin so verwirrt."
"Needs to be anchored on edge","Muss am Rand verankert werden"
"respected for heroic acts","fr heldenhafte Taten geachtet"
"mighty","m„chtig"
"crime of blood-drinking","Bluttrinker"
" in this dubious place"," an diesem dubiosen Ort"
"Refuse to make peace between ","Den Frieden untereinander ablehnen "
"has a narrow, recessed","hat eine schmale, vertiefte"
"Cupidity","Habgier"
"very easily falls into love and develops positive feelings","verliebt sich sehr leicht und entwickelt positive Gefhle"
"Bring up specific incident or rumor (new menu)","Ein bestimmtes Ereignis oder Gercht aufrufen (neues Men)"
"burning ","brennen "
"have large irises","haben eine groáe Iris"
" an animal."," ein Tier."
"passionate","leidenschaftlich"
"Other stone","Andere Steine"
"State feelings of loathing","Gefhle der Abscheu angeben"
"Attack interrupted","Angriff abgebrochen"
"Accepting tribute","Tribut akzeptieren"
"Preach on ","Predigt ueber "
