"more presumptious","pli bravaæa"
"goblin","goblino"
"goblins","goblinoj"
"A small, squat humanoid with large pointy ears and yellow glowing eyes.","Malgranda korpampleksa homsimilulo kun grandaj pintaj oreloj kaj flavaj brilaj okuloj."
"kobold","koboldo"
"kobolds","koboldoj"
"A small humanoid creature with a mischievous, toothy grin.","Malgranda homsimila esta¼o kun petolema denta rideto."
"gremlin","gremlino"
"gremlins","gremlinoj"
"A huge humanoid monster with coarse fur, large tusks and horns.","Grandega homsimila monstro kun malglata felo, grandaj dentegoj kaj kornoj."
"troll","trolo"
"trolls","troloj"
"A giant humanoid monster found stomping about in the evil plains.  Their low howls can be heard long before they are seen.","Giganta homsimila monstro kiu troviøas tretante æirkaýe la malbonaj ebena¼oj. Iliaj malaltaj blekoj estas audebla pli frue ol ili estas vidataj."
"ogre","ogriæo"
"ogres","ogriæoj"
"low howls","malaltaj blekoj"
"ogress","ogrino"
"ogresses","ogrinoj"
"A horse-like creature with a spiral horn growing from its forehead.","Æevalsimila esta¼o kun spirala korno kreskinta el øia frunto."
"unicorn","unukornulo"
"unicorns","unukornuloj"
"unicorn foal","unukornulido"
"unicorn foals","unukornulidoj"
"A gigantic reptilian creature.  It is magical and can breathe fire.  These monsters can live for thousands of years.","Giganta reptilsimila esta¼o. Øi estas magia, kaj povas þpruci fajron. Ci-monstro povas vivi øis mil jarojn."
"dragon","drako"
"dragons","drakoj"
"draconic","de drako"
"dragon hatchling","drakido"
"dragon hatchlings","drakidoj"
"Breathe fire","Þpruci fajron"
"terrible majesty","terura majesto"
"A medium-sized humanoid with the horns and legs of a goat.","Mezgranda homsimilulo kun la kornoj kaj la gamboj de kapro."
"satyr","satiruso"
"satyrs","satirusoj"
"woolly legs","vilaj gamboj"
"A gigantic magic statue made of bronze and bent on mayhem.","Giganta magia bronza statuo kiu destruemas."
"bronze colossus","bronzkoloso"
"bronze colossuses","bronzkolosoj"
"height","alto"
"bronze","bronzo"
"A gigantic creature resembling a human, almost unparalleled in size.","Giganta esta¼o simila al homo, preskaý nekomparebla en grandeco."
"giant","giganta(j)"
"giants","gigantiæoj"
"giantess","gigantino"
"giantesses","gigantinoj"
"A giant humanoid monster with a single eye set in its forehead.","Giganta homsimila monstro kun ununura okulo fiksita en øia frunto."
"cyclops","ciklopo"
"cyclopes","ciklopoj"
"single eye","ununura okulo"
"A giant humanoid monster with two heads.","Giganta homsimila monstro kun du kapoj."
"ettin","etino"
"ettins","etinoj"
"arguing heads","disputemaj kapoj"
"A giant humanoid monster with the head of a bull.","Giganta homsimila monstro kun la kapo de boviæo."
"minotaur","minotaýro"
"minotaurs","minotaýroj"
"A large ape-like creature with white fur, found in the snowy wilds.","Granda simiosimila esta¼o kun blanka felo, kiu troviøas en la neøaj sovaøejoj."
"yeti","jetio"
"yetis","jetioj"
"white fur","blanka felo"
"A large and mysterious ape-like creature found in temperate forests.","Granda mistera simiosimila esta¼o kiu troviøas en mezvarmaj arbaroj."
"sasquatch","saskvaæo"
"sasquatches","saskvaæoj"
"reclusive nature","izolema naturo"
"A large humanoid monster from the wild tundra.  It has translucent skin, icicles for teeth, red glowing eyes and pointed ears.","Granda homsimila monstro el la sovaøa tundro. Øi havas diafanan haýton, pendglaciojn anstataý dentoj, ruøajn brilajn okulojn kaj pintajn orelojn."
"blizzard man","neøblovhomo"
"blizzard men","neøblovhomoj"
"translucent skin","diafana haýto"
"icicle teeth","glaciaj dentoj"
"glowing red eyes","brilajn ruøajn okulojn"
"pointy ears","pintajn orelojn"
"A fierce creature from the evil snowy wilds.  It has white fur and a piercing howl.","Feroca esta¼o el la malbonaj neøaj sovaøejoj. Øi havas blankan felon kaj orelþiran hojlon."
"ice wolf","glaclupo"
"ice wolves","glaclupoj"
"ice wolf pup","glaclupido"
"ice wolf pups","glaclupidoj"
"piercing howls","orelþiraj hojloj."
"A tiny, giggling humanoid with lacy wings.","Eta ridema homsimilulo kun laæosimila flugiloj."
"fairy","feo"
"fairies","feoj"
"babylike giggles","bebsimilaj ridoj"
"lacy wings","laæosimilaj flugiloj"
"A tiny winged humanoid with shifting colors which performs intricate aerial dances in large groups.","Eta flugila homsimilulo kun þanøiøantaj koloroj, kiu ludaj komplikaj aeraj dancoj en grandaj grupoj."
"pixie","piksio"
"pixies","piksioj"
"shifting colors","þanøiøiantaj koloroj"
"intricate aerial dances","komplikaj aeraj dancoj"
"A creature from the evil swamp.  It resembles a squat, wingless bird with powerful beak and legs.  Its blotchy skin is brightly colored.","Kreito el la malbona arbomaræo. Øi similas al korpampleksa senflugila birdo kun potencaj beko kaj gamboj. Øia makula haýto estas hele bunta."
"beak dog","bekhundo"
"beak dogs","bekhundoj"
"beak dog pup","bekhundido"
"beak dog pups","bekhundidoj"
"chatters and clicks","klakoj"
"hunched backs","øibaj dorsoj"
"large beaks","grandaj bekoj"
"An evil monster from the swamp.  It resembles a knot of waterlogged weeds but will strike the unaware victim.","Malica monstro el la arbomaræo. Øi similas maþon el akvosaturitaj herbaæoj, sed frapos la senantaýgardan viktimon."
"grimeling","kotulo"
"grimelings","kotuloj"
"slithering nature","rampanta naturo"
"weedy bodies","herbaæaj korpoj"
"A man-shaped creature with the legs of a goat and the empty-eyed skull of a goat.","Homforma esta¼o kun la gamboj kaj la senokula kranio de kapro."
"foul blendec","blendeko"
"foul blendecs","blendekoj"
"goat heads","kapraj kapoj"
"goat legs","gamboj de kapro"
"rotten eye sockets","putraj okulkavoj"
"A large, four-armed ape creature with three eyes and razor-sharp teeth.","Granda kvarbraka simia esta¼o kun tri okuloj kaj akregaj dentoj."
"strangler","strangolanto"
"stranglers","strangolantoj"
"resounding hoots","resonantaj ululoj"
"graceful leaps","graciaj saltoj"
"three eyes","tri okuloj"
"toothy maw","denta faýko"
"A flying monster with stretched skin over its emaciated body.  It has the head of a jackal with needle-like horns protruding through its mane.","Flugpova monstro kun haýto streæata sur sia marasma korpo. Øi havas la kapo de þakalo kun nadlosimilaj kornoj elstarantaj el øia hararo."
"nightwing","noktflugilo"
"nightwings","noktflugiloj"
"jackal heads","þakalaj kapoj"
"bat wings","vespertaj flugiloj"
"long tails","longaj vostoj"
"fangs","kaninoj"
"ability to suck blood","kapablo por sangsuæado"
"tightly-stretched skin","strikte streæata haýto"
"needle-like horns","nadlosimilaj kornoj"
"A monster in the shape of a woman with a bird's wings in place of arms and talons for feet.","Monstro kun formo de femino, kun birdaj flugiloj anstataý brakoj, kaj ungegoj anstataý piedoj."
"harpy","harpio"
"harpies","harpioj"
"feathery wings","plumaj flugiloj"
"fearsome talons","timindaj ungegoj"
"A giant dragon-like monster with seven biting heads.","Giganta draksimila monstro kun sep mordantaj kapoj."
"hydra","hidro"
"hydras","hidroj"
"seven heads","sep kapoj"
"A man-like creature with the tail of a fish instead of legs.","Homsimila esta¼o kun vosto de fiþo anstataý gamboj."
"merperson","sireno"
"merpeople","sirenoj"
"mermaid","sirenino"
"mermaids","sireninoj"
"merman","sireniæo"
"mermen","sireniæoj"
"A giant limbless dragon that lives in the sea.","Giganta senmembra drako kiu loøas en la maro."
"sea serpent","mardrako"
"sea serpents","mardrakoj"
"sea serpent hatchling","mardrakido"
"sea serpent hatchlings","mardrakidoj"
"A giant creature with many eyes and arms to terrify the sea.","Giganta esta¼o kun multaj okuloj kaj brakoj por terurigi la maron."
"sea monster","marmonstro"
"sea monsters","marmonstroj"
"horrifying freakish appearance","hororiganta bizara aspekto"
"sea monster hatchling","marmonstrido"
"sea monster hatchlings","marmonstridoj"
"A bird of prey so large and ferocious it dwarfs many dragons.  All beneath its mighty wings should fear the sky.","Rabobirdo tia granda kaj feroca ke malgrandigas multajn drakojn. Æio sur siaj fortegaj flugiloj devus timi la æielon."
"roc","ro¶o"
"rocs","ro¶oj"
"roc hatchling","ro¶ido"
"roc hatchlings","ro¶idoj"
"awe-inspiring size","grandioza grandeco"
"dedication to their young","sindonemo por siaj idoj"
"A huge, predatory reptile with pale, colorless scales and red eyes.  It lives in caves and ambushes its prey.","Grandega predanta reptilio kun palaj skvamoj kaj ruøaj okuloj. Ili loøas en kavernoj, kaj embuskas iliaj predojn."
"cave crocodile","kavkrokodilo"
"cave crocodiles","kavkrokodiloj"
"cave crocodile hatchling","kavkrokodilido"
"cave crocodile hatchlings","kavkrokodilidoj"
"A giant amphibian predator found underground.","Giganta amfibia predanto kiu troviøas subtere."
"giant cave toad","giganta kavbufo"
"giant cave toads","gigantaj kavbufoj"
"A giant amphibian predator found underground near water.","Giganta amfibia predanto kiu troviøas subtere proksime al akvo."
"giant olm","giganta proteo"
"giant olms","gigantaj proteoj"
"A giant flying mammal found underground.","Giganta fluga mamulo kiu troviøas subtere."
"giant bat","giganta vesperto"
"giant bats","gigantaj vespertoj"
"giant bat pup","giganta vespertido"
"giant bat pups","gigantaj vespertidoj"
"A gigantic rodent found underground.","Giganta ronøulo kiu troviøas subtere."
"giant rat","giganta rato"
"giant rats","gigantaj ratoj"
"giant rat pup","giganta ratid"
"giant rat pups","gigantaj ratidoj"
"A huge rodent found underground.","Grandega ronøulo kiu troviøas subtere."
"large rat","granda rato"
"large rats","grandaj ratoj"
"large rat pup","granda ratid"
"large rat pups","grandaj ratidoj"
"A large, pale rodent with loose, hanging, hairless skin.  It has long teeth and an incredibly powerful bite.  It is found underground.","Granda pala ronøulo kun malstrikta pendanta senhara haýto. Øi havas logajn dentojn kaj nekredeblan potencan mordon. Gi troviøas subtere."
"naked mole dog","nuda talpo-hundo"
"naked mole dogs","nudaj talpo-hundoj"
"naked mole puppy","nuda talpo-hundido"
"naked mole puppies","nudaj talpo-hundidoj"
"wrinkly skin","falta haýto"
"A savage man-like cave creature.","Sovaøa homsimila kaverna esta¼o."
"troglodyte","troglodito"
"troglodytes","trogloditoj"
"A gigantic digging creature found underground.","Giganta flosanta esta¼o kiu troviøas subtere."
"giant mole","giganta talpo"
"giant moles","gigantaj talpoj"
"giant mole pup","giganta talpido"
"giant mole pups","gigantaj talpidoj"
"A small humanoid surrounded by fire which they can hurl at their enemies.","Malgranda homsimilulo æirkaýita de fajro kiun øi povas ¼etegi al siajn malamikojn."
"fire imp","fajrimpo"
"fire imps","fajrimpoj"
"Hurl fireball","¬etegi fajrbulon"
"Spray jet of fire","Þpruci fluon fajran"
"smoke","fumo"
"A large underground monster with eight legs and sharp, venomous fangs.","Granda subtera monstro kun ok gamboj kaj akraj venenaj dentegoj."
"giant cave spider","giganta kavaraneo"
"giant cave spiders","gigantaj kavaraneoj"
"Spray web","Þpruci aranea¼on"
"mystery","mistero"
"frozen giant cave spider venom","de glaciiøita veneno de giganta kavaraneo"
"giant cave spider venom","de veneno de giganta kavaraneo"
"boiling giant cave spider venom","de bolanta veneno de giganta kavaraneo"
"giant cave spider bite","mordo de giganta kavaraneo"
"A tiny underground bug, sought after for its thread.","Eta subtera araneoido, æasate pro sia fadeno."
"cave spider","kavaraneo"
"cave spiders","kavaraneoj"
"frozen cave spider venom","de glaciiøita veneno de kavaraneo"
"cave spider venom","de veneno de kavaraneo"
"boiling cave spider venom","de bolanta veneno de kavarano"
"cave spider bite","mordo de kavaraneo"
"A small pale creature found in underground streams and ponds.","Malgranda pala esta¼o kiu troviøas en subteraj riveretoj kaj lagetoj."
"cave fish","kavofiþo"
"cave fish man","homkavofiþo"
"cave fish men","homkavofiþoj"
"cave fish woman","homkavofiþino"
"cave fish women","homkavofiþinoj"
"A humanoid creature with the head of a blind cave fish.  They live in colonies in watery regions far underground.","Homsimila esta¼o kun la kapo de blinda kavofiþo. Ili vivas en kolonioj en akvaj regionoj fore subtere."
"A small, pale arthropod found in underground streams and ponds.","Malgranda pala artropodo kiu troviøas en subteraj riveretoj kaj lagetoj."
"cave lobster","kavomaro"
"cave lobsters","kavomaroj"
"A serpent made of pure fire which can inject liquid fire as venom.","Serpento farita el pura fajro, kiu povas injekti likvan fajron anstataý veneno."
"fire snake","fajrserpento"
"fire snakes","fajrserpentoj"
"liquid fire","de likvafajro"
"A tiny amphibian, found in underground streams.","Eta amfibia kiu troviøas en subtere riveretoj."
"olm","proteo"
"olms","proteoj"
"olm man","homproteo"
"olm men","homproteoj"
"olm woman","homproteino"
"olm women","homproteinoj"
"An animal person with the head of the amphibious olm.  It lives underground near water.","Besta homo kun la kapo de la amfibia proteo. Øi loøas subtere apud akvo."
"A tiny winged creature that hunts at night and rests in caves during the day.","Eta flugila esta¼o kiu æasas nokte, kaj ripozas en kavernoj tage."
"bat","vesperto"
"bats","vespertoj"
"haunting cries","misteraj blekoj"
"bat man","homvesperto"
"bat men","homvespertoj"
"bat woman","homvespertino"
"bat women","homvespertinoj"
"A humanoid with the head of a bat and wings stretching from wrist to ankle.","Homsimilulo kun la kapo de vesperto kaj flugiloj streæante el pojno al maleolo."
"A tiny larva which is prized for its milk.","Eta larvo, kiu estas estimata pro øia lakto."
"purring maggot","ronronanta larvo"
"purring maggots","ronronantaj larvoj"
"comforting whirs","komfortaj zumadoj"
"frozen dwarven milk","de glaciiøita dvarfa lakto"
"dwarven milk","de dvarfa lakto"
"boiling dwarven milk","de bolanta dvarfa lakto"
"dwarven cheese","de dvarfo fromaøo"
"dwarven cheese powder","de pulvoro de dvarfa fromaøo"
"melted dwarven cheese","de fandita dvarfa fromaøo"
"boiling dwarven cheese","de bolanta dvarfa fromaøo"
"Fire in the shape of a human that can hurl fireballs.","Fajro kun formo de homo, kiu povas ¼etegi fajrbulojn."
"fire man","fajrhomo"
"fire men","fajrhomoj"
"licks of fire","flamoj"
"Magma moving in the shape of a man.  It has a cracked black crust.","Magmo movanta kun formo de homo. Øi havas fenditan nigran þelon."
"magma man","magmohomo"
"magma men","magmohomoj"
"flowing movement","fluanta movado"
"crust","þelo"
"A man-shaped creature made of iron.","Homformita esta¼o farita el fero."
"iron man","ferhomo"
"iron men","ferhomoj"
"stern appearance","severa aspekto"
"frozen iron man gas","de glaciiøita gaso de ferhomo"
"condensed iron man gas","de kondensita gaso de ferhomo"
"iron man gas","de gaso de ferhomo"
"iron man cough","tuso de ferhomo"
"iron","fero"
"gas","gaso"
"A humanoid made of mud which lives near water underground.","Homsimilulo farita el koto, kiu loøas proksine al akvo subtera."
"mud man","kothomo"
"mud men","kothomoj"
"peculiar smell","aparta odoro"
"A small blue and orange bird.","Malgranda blua kaj oranøa birdo."
"cave swallow","kavhirundo"
"cave swallows","kavhirundoj"
"cave swallow hatchling","kavhirundido"
"cave swallow hatchlings","kavhirundidoj"
"cave swallow man","homkavhirundo"
"cave swallow men","homkavhirundoj"
"cave swallow woman","homkavhirundino"
"cave swallow women","homkavhirundinoj"
"A feathered man with the wings and head of a bird.  It lives underground.","Pluma homo kun la flugiloj kaj la kapo de birdo. Øi loøas subtere."
"A gigantic blue and orange bird.","Giganta blua kaj oranøa birdo."
"giant cave swallow","giganta kavhirundo"
"giant cave swallows","gigantaj kavhirundoj"
"giant cave swallow hatchling","giganta kavhirundido"
"giant cave swallow hatchlings","gigantaj kavohirundidoj"
"These evil creatures resemble walking frogs with arms and the intelligence to use them.  They live in the waters far under the earth.","Æi tiuj malicaj kreitoj similas marþantajn ranojn kun brakoj kaj la inteligento por uzi ilin. Ili loøas en la akvoj for sub la tero."
"amphibian man","homamfibiiæo"
"amphibian men","homamfibiiæoj"
"amphibian woman","homamfibiino"
"amphibian women","homamfibiinoj"
"These creatures are shaped like men covered with rough scales.  They have the head and tail of a lizard and possess a dark and evil intelligence.  They are found deep under the earth.","Æi-kreitoj estas formita kiel homoj kovritaj el malglataj skvamoj. Ili havas la kapon kaj la voston de lacerto, kaj posedas malican inteligenton. Ili troviøas profunde sub la tero."
"reptile man","homreptiliiæo"
"reptile men","homreptiliiæoj"
"reptile woman","homreptiliino"
"reptile women","homreptiliinoj"
"A large white snake with the arms and torso of a man.  These creatures are evil and live far underground.","Granda blanka serpento kun la brakoj kaj la torso de homo. Æi-kreitoj estas malicaj, kaj loøas fore subtere."
"serpent man","homserpentiæo"
"serpent men","homserpentiæoj"
"impressive tails","imponaj vostoj"
"frozen serpent man venom","de glaciiøita veneno de homserpento"
"serpent man venom","de veneno de homserpento"
"boiling serpent man venom","de bolanta veneno de homserpento"
"serpent man bite","mordo de homserpento"
"lashes","frapas"
"serpent woman","homserpentino"
"serpent women","homserpentinoj"
"A humanoid with the head and body of an ant.","Homsimilulo kun la kapo kaj la korpo de formiko."
"antman","homformiko"
"antmen","homformikoj"
"worker ant woman","laborista homformikino"
"worker ant women","laboristaj homformikinoj"
"soldier ant woman","soldata homformikino"
"soldier ant women","soldataj homformikinoj"
"drone ant man","homformikiæo"
"drone ant men","homformikiæoj"
"queen ant woman","reøa homformikino"
"queen ant women","reøaj homformikinoj"
"An evil humanoid with a long tail, black spiky fur and a twitching nose.  It lives far underground.","Malica homsimilulo kun longa vosto, nigra pinta felo kaj tikante nazo. Øi loøas fore subtere."
"rodent man","homronøuliæo"
"rodent men","homronøuliæoj"
"rodent woman","homronøulino"
"rodent women","homronøulinoj"
"A medium-sized beast, known for its tusks and powerful build.","Mezgranda besto, konita por siaj dentegoj kaj potenca kompleksio."
"wild boar","apriæo"
"wild boars","apriæoj"
"wild boar piglet","aprido"
"wild boar piglets","apridoj"
"ferocious charges","ferocaj sturmadoj"
"wild boar sow","aprino"
"wild boar sows","aprinoj"
"wild boar man","homapro"
"wild boar men","homaproj"
"wild boar woman","homaprino"
"wild boar women","homaprinoj"
"A person with the head of a wild boar.","Homo kun la kapo de apro."
"giant wild boar","giganta apro"
"giant wild boars","gigantaj aproj"
"giant wild boar piglet","giganta aprido"
"giant wild boar piglets","gigantaj apridoj"
"A huge monster boar with jagged tusks.","Grandega monstra apro kun malglataj dentegoj."
"A medium-sized dog-like creature.  It is sly, and groups can be heard howling in the night.","Mezgranda hundsimila esta¼o. Øi estas ruza, kaj oni povas aýdi iliajn gregojn hojlantajn nokte."
"coyotes","kojotoj"
"coyote pup","kojotido"
"coyote pups","kojotidoj"
"howling","hojladoj"
"coyote man","homkojoto"
"coyote men","homkojotoj"
"coyote woman","homkojotino"
"coyote women","homkojotinoj"
"A person with the head and tail of a coyote.","Homo kun la kapo kaj la vosto de kojoto."
"giant coyote","giganta kojoto"
"giant coyotes","gigantaj kojotoj"
"giant coyote pup","giganta kojotido"
"giant coyote pups","gigantaj kojotidoj"
"A large dog-like monster with a haunting howl.","Granda hundsimila monstro kun mistera hojlo."
"A medium-sized creature that can be found hopping through the grassland.","Mezgranda esta¼o kiu troveblas hopante tra la herbejoj."
"kangaroos","kanguruoj"
"kangaroo joey","kanguruido"
"kangaroo joeys","kanguruidoj"
"pouches","saketoj"
"kangaroo doe","kanguruino"
"kangaroo does","kanguruinoj"
"frozen kangaroo's milk","de glaciiøita lakto de kanguruo"
"kangaroo's milk","de lakto de kanguruo"
"boiling kangaroo's milk","de bolanta lakto de kanguruo"
"kangaroo cheese","de fromaøo de kanguruo"
"kangaroo cheese powder","de pulvoro de fromaøo de kanguruo"
"melted kangaroo cheese","de fandita fromaøo de kanguruo"
"boiling kangaroo cheese","de bolanta fromaøo de kanguruo"
"kangaroo buck","kanguruiæo"
"kangaroo bucks","kanguruiæoj"
"kangaroo man","homkanguruo"
"kangaroo men","homkanguruoj"
"kangaroo woman","homkanguruino"
"kangaroo women","homkanguruinoj"
"A person with the head and powerful legs of a kangaroo.","Homo kun la kapo kaj la potencaj gamboj de kanguruo."
"giant kangaroo","giganta kanguruo"
"giant kangaroos","gigantaj kanguruoj"
"giant kangaroo joey","giganta kanguruido"
"giant kangaroo joeys","gigantaj kanguruidoj"
"A huge monster in the shape of a kangaroo.","Grandega monstro kun formo de kanguruo."
"A small, grey, tree-dwelling creature.","Malgranda griza arboloøanta esta¼o."
"koalas","koaloj"
"koala joey","koalido"
"koala joeys","koalidoj"
"adorable appearance","aminda aspekto"
"koala man","homkoalo"
"koala men","homkoaloj"
"koala woman","homkoalino"
"koala women","homkoalinoj"
"A grey person with the head of a koala.","Griza homo kun la kapo de koalo."
"giant koala","giganta koalo"
"giant koalas","gigantaj koaloj"
"A large koala-shaped monster.","Granda koal-forma monstro."
"A tiny snake with ridged scales and a powerful venomous bite.","Eta serpento kun malglata skvamaro kaj potence venena mordo."
"adder","viper"
"adders","viperoj"
"warning hisses","avertantaj sibloj"
"frozen adder venom","de glaciiøita veneno de vipero"
"adder venom","de veneno de vipero"
"boiling adder venom","de bolanta veneno de vipero"
"adder bite","vipera mordo"
"adder man","homvipero"
"adder men","homviperoj"
"adder woman","homviperino"
"adder women","homviperinoj"
"A large adder with the torso and arms of a man.","Granda vipero kun la torso kja la brakoj de homo."
"giant adder","giganta vipero"
"giant adders","gigantaj viperoj"
"A large monster in the form of an adder.","Granda monstro kun formo de vipero."
"A small spiny mammal with a long snout.  It eats ants and termites and reproduces by laying eggs.","Malgranda pikilplena mamulo kun longa muzelo. Øi manøas formikojn kaj termitojn, kaj reproduktas sin demetante ovojn."
"echidna","ekidno"
"echidnas","ekidnoj"
"puggle","ekidnido"
"puggles","ekidnidoj"
"spines","pikiloj"
"egg-laying","ovo-demetado"
"echidna man","homekidno"
"echidna men","homekidnoj"
"echidna woman","homekidnino"
"echidna women","homekidninoj"
"A spiny person with the head of an echidna.","Pikilplena homo kun la kapo de ekidno."
"giant echidna","giganta ekidno"
"giant echidnas","gigantaj ekidnoj"
"giant echidna puggle","giganta ekidnido"
"giant echidna puggles","gigantaj ekidnidoj"
"A large monster in the shape of an echidna.","Granda monstro kun formo de ekidno."
"A small rodent covered with sharp quills.  They eat grass and leaves and can even climb trees.","Malgranda ronøulo kovrita de pintaj pikiloj. Ili manøas herbon kaj foliojn, kaj povas eæ grimpi arbarojn."
"porcupines","histrikoj"
"porcupine pup","histrikido"
"porcupine pups","histrikidoj"
"quills","pikiloj"
"porcupine man","homhistriko"
"porcupine men","homhistrikoj"
"porcupine woman","homhistrikino"
"porcupine women","homhistrikinoj"
"A person with the head and quills of a porcupine.","Homo kun la kapo kaj la pikiloj de histriko."
"giant porcupine","giganta histriko"
"giant porcupines","gigantaj histrikoj"
"giant porcupine pup","giganta histrikido"
"giant porcupine pups","gigantaj histrikidoj"
"A large monster in the form of a porcupine.","Granda monstro kun formo de histriko."
"A small, brightly-colored snake.  It is known for eating other snakes and being mistaken for its venomous cousins.","Malgranda helkolora serpento. Øi estas konita por manøi aliajn serpentojn, kaj por konfuzati por aliaj venenaj similaj serpentoj."
"kingsnake","reøoserpento"
"kingsnakes","reøoserpentoj"
"habit of eating other snakes","rutino de manøi aliaj serpentojn"
"kingsnake man","homreøoserpento"
"kingsnake men","homreøoserpentoj"
"kingsnake woman","homreøoserpentino"
"kingsnake women","homreøoserpentinoj"
"A legless person with the head and tail of a kingsnake.","Senkrura homo kun la kapo kaj la vosto de reøoserpento."
"giant kingsnake","giganta reøoserpento"
"giant kingsnakes","gigantaj reøoserpentoj"
"A large monster in the form of a kingsnake.","Granda monstro kun formo de reøoserpento."
"A small monkey that can be found in forests and the streets of towns.","Malgranda simio kiu troveblas en arbaroj kaj la stratoj de la urboj."
"gray langur","semnopiteko"
"gray langurs","semnopitekoj"
"vocalizations","voæesprimoj"
"gray langur man","homsemnopiteko"
"gray langur men","homsemnopitekoj"
"gray langur woman","homsemnopitekino"
"gray langur women","homsemnopitekinoj"
"A grey person with the head and tail of a gray langur.","Griza homo kun la kapo kaj la vosto de semnopiteko."
"giant gray langur","giganta semnopiteko"
"giant gray langurs","gigantaj semnopitekoj"
"A huge monster in the shape of a gray langur.","Grandega monstro kun formo de semnopiteko."
"A small feline predator with a shortened tail.","Malgranda felisa predanto kun mallonga vosto."
"bobcat","rufa linko"
"bobcats","rufaj linkoj"
"bobcat kitten","rufa linkido"
"bobcat kittens","rufaj linkidoj"
"short tails","mallongaj vostoj"
"bobcat man","hom-ruf-linko"
"bobcat men","hom-ruf-linkoj"
"bobcat woman","hom-ruf-linkino"
"bobcat women","hom-ruf-linkinoj"
"A person with the head and short tail of a bobcat.","Homo kun la kapo kaj la mallonga vosto de rufa linko."
"giant bobcat","giganta rufa linko"
"giant bobcats","gigantaj rufaj linkoj"
"giant bobcat kitten","giganta ruf-linkido"
"giant bobcat kittens","gigantaj ruf-linkidoj"
"A large monster in the form of a bobcat.","Granda monstro kun formo de rufa linko."
"A small black and white mammal.  It is capable of spraying a stinking fluid.","Malgranda nigra kaj blanka mamulo. Øi estas kapabla je þpruci fetoran flua¼on."
"skunks","mefitoj"
"skunk kit","mefitido"
"skunk kits","mefitidoj"
"distinctive striping","distingaj strioj"
"foul smell","haladza odoro"
"skunk man","hommefito"
"skunk men","hommefitoj"
"skunk woman","hommefitino"
"skunk women","hommefitinoj"
"A striped person with the head and tail of a skunk.","Striita homo kun la kapo kaj la vosto de mefito."
"giant skunk","giganta mefito"
"giant skunks","gigantaj mefitoj"
"giant skunk kit","giganta mefitido"
"giant skunk kits","gigantaj mefitifoj"
"A large monster in the form of a skunk.","Granda monstro kun formo de mefito."
"A tiny amphibian that lives in the trees.","Eta amfibio kiu loøas en la arboj."
"green tree frog","verda arborano"
"green tree frogs","verdaj arboranoj"
"distinct mating call","distinga kopulacivoko"
"green tree frog man","hom-verd-arborano"
"green tree frog men","hom-verd-arboranoj"
"green tree frog woman","hom-verd-arboranino"
"green tree frog women","hom-verd-arboraninoj"
"A green person with the head of a green tree frog.","Verda homo kun la kapo de verda arborano."
"giant green tree frog","giganta verda arborano"
"giant green tree frogs","gigantaj verdaj arboranoj"
"A large monster in the shape of a green tree frog.","Granda monstro kun formo de verda arborano."
"A swift, long-eared rodent with long legs and a short fluffy tail.","Rapidmova longorelhava leporulo kun longaj gamboj kaj mallonga pufa vosto."
"hares","leporoj"
"leveret","leporido"
"leverets","leporidoj"
"long ears","longaj oreloj"
"fluffy tails","pufaj vostoj"
"doe hare","leporino"
"doe hares","leporinoj"
"buck hare","leporiæo"
"buck hares","leporiæoj"
"hare man","homleporo"
"hare men","homleporoj"
"hare woman","homleporino"
"hare women","homleporinoj"
"A long-eared person with the head and tail of a hare.","Longorelhava homo kun la kapo kaj la vosto de leporo."
"giant hare","giganta leporo"
"giant hares","gigantaj leporoj"
"giant leveret","giganta leporido"
"giant leverets","gigantaj leporidoj"
"A large monster in the shape of a hare.","Granda monstro kun formo de leporo."
"A small reptile with a tell-tale rattle and vicious bite that leads to a quick death.","Malgranda reptilio kun avertanta tintilo kaj potenca mordo kiu kondukas al rapida morto."
"rattlesnake","sonserpent"
"rattlesnakes","sonserpentoj"
"warning rattle","avertanta tintado"
"frozen rattlesnake venom","de glaciiøita veneno de sonserpento"
"rattlesnake venom","de veneno de sonserpento"
"boiling rattlesnake venom","de bolanta veneno de sonserpento"
"rattlesnake bite","sonserpenta mordo"
"rattlesnake man","homsonserpento"
"rattlesnake men","homsonserpentoj"
"rattlesnake woman","homsonserpentino"
"rattlesnake women","homsonserpentinoj"
"A person resembling a large rattlesnake with arms.","Homo simila al granda sonserpento kun brakoj."
"giant rattlesnake","giganta sonserpento"
"giant rattlesnakes","gigantaj sonserpentoj"
"A huge monster taking the shape of a rattlesnake.","Grandega monstro kun formo de sonserpento."
"A tiny mammal with a slender body.  It hunts in mouse holes as well as barn yards.","Eta mamulo kun maldika korpo. Øi æasas en mustruoj kaj birdokortoj."
"weasels","musteloj"
"weasel kit","mustelido"
"weasel kits","mustelidoj"
"short legs","mallongaj gamboj"
"weasel man","hommustelo"
"weasel men","hommusteloj"
"weasel woman","hommustelino"
"weasel women","hommustelinoj"
"A person with the head and tail of a weasel.","Homo kun la kapo kaj la vosto de mustelo."
"giant weasel","giganta mustelo"
"giant weasels","gigantaj musteloj"
"giant weasel kit","giganta mustelido"
"giant weasel kits","gigantaj mustelidoj"
"A large monster taking the shape of a weasel.","Granda monstro kun formo de mustelo."
