"its","его"
"Acknowledge lack of affection","Признать недостаточную привязанность"
"Acknowledge lack of amusement","Признать недостаточную весёлость"
"Acknowledge lack of contentment","Признать недостаточную удовлетворенность"
"Acknowledge lack of delight","Признать недостаток восхищения"
"Acknowledge lack of elation","Признать недостаточный восторг"
"Acknowledge lack of enjoyment","Признать недостаточное наслаждение"
"Acknowledge lack of exhilaration","Признать недостаточную возбуждённость"
"Acknowledge lack of fondness","Признать недостаточную привязанность"
"Acknowledge lack of freedom","Признать недостаточную свободу"
"Acknowledge lack of glee","Признать недостаточное ликование"
"Acknowledge lack of happiness","Признать недостаток счастья"
"Acknowledge lack of jolliness","Признать недостаток весёлости"
"Acknowledge lack of joviality","Признать недостаток радости"
"Acknowledge lack of jubilation","Признать недостаток торждества"
"Acknowledge lack of pleasure","Признать недостаток удовольствий"
"Acknowledge lack of pride","Признать недостаток гордости"
"Acknowledge lack of rapture","Признать недостаток восторга"
"Acknowledge lack of a thrill","Признать недостаток трепета"
"Acknowledge lack of existential crisis","Признать недостаток экзистенционального кризиса"
"Acknowledge lack of defeat","Признать недостаток поражение"
"Acknowledge lack of expectancy","Признать недостаток предвкушения"
"Acknowledge lack of doubt","Признать недостаток сомнения"
"Acknowledge lack of enthusiasm","Признать недостаток энтузиазма"
"Acknowledge lack of pessimism","Признать недостаток пессимизма "
"Acknowledge lack of euphoria","Признать недостаток эйфории "
"Continue shouting","Продолжить кричать"
"Continue conversation with ","Продолжить разговор с "
"View ","Обзор "
"Start new conversation with ","Начать разговор с "
"Shout out to everybody","Обратиться ко всем"
"Assume an identity (coming soon)","Притвориться (пока недоступно)"
" true name.  The location of this place is well-known, but none have penetrated its secrets.  If the true name of the monster can be uncovered, you might be able to end this terror forever."," истинное имя. Точное место хорошо известно, но никто не смог проникнуть в его секреты. Если вы сможете узнать истинное имя монстра, вы сможете прекратить этот ужас навсегда."
"upward","вверх"
"Charging","Бросаться в атаку"
"Sucking Blood","Пьёт кровь"
"Put on item","Надеть предмет"
"Take off item","Снять предмет"
"West","Запад"
"East","Восток"
"Below","Ниже"
"Above","Выше"
"/Below","/Ниже"
"/Above","/Выше"
"Adventure automove","Автодвижение"
"Adventure automove (acrobatic)","Автодвижение (акробатика)"
"** Loading Adventurer **","** Загрузка приключения **"
"Gain possession","Охвачен"
"Roll","Бросить"
"Roll all","Бросить все"
"medium","среднее"
"Composer generated a chord: ","Композитор создал аккорд: "
"Ally: ","Союзник: "
"Could not locate adventure start square","Не удалось найти место начала приключений"
"The peaceful town of ","Мирный городок "
" is threatened!  The forces of "," в опасности! Войска "
" are on the march.  "," маршируют. "
"Commanded by ","Под командованием "
", they",", они "
"The enemy","Враги"
" will have no mercy.  There is little time -- you must flee.  Perhaps your family and friends can be convinced to leave."," не знают пощады.  Осталось мало времени - вам нужно спасаться.  Возможно получится убедить вашу семью и друзей покинуть это место."
"Legends speak of ","В легендах говорится о "
"an ancient","древнем"
", where ",", где "
" wrested "," воззвал "
" power from the Underworld by invoking "," силам из Подземного мира, произнеся "
"The citizens of ","Жители "
" are plagued by bandits.  The gang"," подвергаются нападениям бандитов. Банда"
" has even sent some troublemakers to harass people right here in town."," даже послал несколько проходимцев, чтобы изводить жителей этого городка."
"Just reunited after a long journey, you are together with your companions again.  ","Просто воссоединившись после долгого путешествия, вы снова вместе со своими спутниками. "
"After a long journey, you are here to meet your most trusted companion.  ","После долгого путешествия вы здесь, чтобы встретить своего самого надежного спутника. "
" is from here and might have some local information."," отсюда и может иметь некоторую местную информацию."
"Your most trusted local companions are meeting you here today.","Ваши самые надежные местные друзья встречают вас здесь сегодня."
"Your most trusted companions have made the journey to meet you here today.","Ваши самые надежные спутники совершили поездку, чтобы встретиться с вами здесь сегодня."
"After a long journey, you are here to meet your most trusted companion.","После долгого путешествия вы здесь, чтобы встретить своего самого надежного спутника."
"Your most trusted companion has made the journey to meet you here today.","Ваш самый надежный спутник совершил поездку, чтобы встретиться с вами здесь сегодня."
"You've finally got your equipment together, such as it is.  Now it's time for action and adventure!  ","Вы, наконец-то, подготовили необходимое снаряжение.  Настало время для приключений!  "
"In the rush of excitement, you've forgotten where you were going to go.","В порыве азарта вы забыли, куда вы направлялись."
"Your wanderings have brought you to this place after a long journey.","После долгих блужданий вы прибыли в это место."
"  A foolhardy soul might try to rescue the "," Только безрассудный может попытаться спасти "
"children that have been kidnapped.","похищенных детей."
"child that has been kidnapped.","похищенного ребёнка."
"  Let the party venture forth!"," Пусть вечеринка начнётся!"
"  Perhaps some of your friends here have ideas."," Возможно, у кого-то из ваших друзей есть мысли по этому поводу."
"  Perhaps some of your friends here can remind you."," Возможно, кто-то из ваших друзей сможет напомнить вам."
"  Perhaps some of the people here will be worth talking to before you continue on your way."," Вам стоит поговорить с местными, прежде чем вы отправитесь в путь."
"You must ","Вы должны "
"You've assumed tactical control as nobody else is available.","Вы взяли на себя тактический контроль, поскольку никто другой не доступен."
"You awaken from your slumber.","Вы пробудились ото сна."
"Your sleep has been interrupted!","Ваш сон был прерван!"
"What would you like to do?","Что вы хотите сделать?"
" to view other pages)"," для просмотра других страниц)"
" to view other pages"," для просмотра других страниц"
" Vapor"," Пар"
"A thin layer of ","Тонкий слой "
"adjacent only","только смежный"
"own tile only","только свой тайл"
", range ",", граница "
", disturber only",", только возмутитель"
" done, "," сделано, "
" remove last"," удалить последний"
" cancel, "," отменить, "
" pages"," страницы"
" cancel"," отменяет"
"this location","это место"
"north-northeast","северо-северо-восток"
"east-northeast","восток-северо-восток"
"east-southeast","восток-юго-восток"
"south-southeast","юго-юго-восток"
"south-southwest","юго-юго-запад"
"west-southwest","западо-юго-запад"
"west-northwest","западо-северо-запад"
"north-northwest","северо-северо-запад"
"This is an unintelligible mess.","Неразличимое месиво."
"light ","лёгкий "
"faint ","слабый "
"deep ","глубокий "
"shallow ","поверхностный "
"vague ","неопределённый "
" imprint in the "," отпечаток на "
" is here."," здесь."
"The vegetation is heavily damaged here.","Растительность сильно повреждена."
"The vegetation is bent here.","Растения погнуты."
"The vegetation has been slightly perturbed here.","Растительность слегка примята."
"The vegetation is broken here.","Растения поломаны."
"The signs lead north.","Знак указывает на север."
"The signs lead south.","Знак указывает на юг."
"The signs lead west.","Знак указывает на запад."
"The signs lead northeast.","Знак указывает на северо-восток."
"The signs lead northwest.","Знак указывает на северо-запад."
"The signs lead southeast.","Знак указывает на юго-восток."
"You can't travel until you emerge from underground or enter a tunnel.","Вы не можете путешествовать, пока находитесь под землёй или в туннеле."
"You must move away from the surrounding obstacles before you can travel.","Вы должны отойти от окружающих препятствий, прежде чем сможете путешествовать."
"You must move away from the river before you can travel.","Вы должны отойти от реки, прежде чем сможете путешествовать."
"You assume a submissive posture.","Вы принимаете покорную позу."
"You no longer assume a submissive posture.","Вы больше не в покорной позе."
"You strap ","Вы убираете "
" to your "," на ваш "
"You draw ","Вы обнажаете "
" with your "," вашим "
"You do not have a free grasp for ","У вас нет свободных рук, чтобы "
"You have nothing left to draw or put away.","Вам нечем вооружиться и нечего выложить."
"The webs make it impossible to stand.","Из-за паутин невозможно стоять."
"You are too tired to stand.","Вы слишком устали, чтобы стоять."
"You can't stand up -- somebody is in the way.","Вы не можете встать - кто-то мешает."
"You've already searched this area recently.","Вы уже недавно обыскивали эти места."
"You've found a colony of ","Вы нашли колонию "
" and another small creature."," и другое мелкое существо."
" and some other small creatures."," и несколько других мелких существ."
"You've found a small creature.","Вы нашли мелкое существо."
"You've found some small creatures.","Вы нашли несколько мелких существ."
"Your intense search turns up nothing.","Вы тщательно все обыскали, но ничего не нашли."
" cannot climb."," не может карабкаться."
"You are too injured to climb.","Вы слишком ранены, чтобы карабкаться."
"You need a free grasp to climb.","Нужна свободная рука, чтобы карабкаться."
" to return to arena."," чтобы вернуться на арену."
" (still)"," (неподвижен)"
" (moving "," (двигается "
"Performing","Исполняет"
" (free to act, "," (свободен действовать, "
" to continue)"," для продолжения)"
" (occupied)"," (занято)"
" (move to X)"," (перейти к X)"
"You have reached the summit of ","Вы достигли вершины "
"You are deceased.  ","Вы умерли. "
" to become somebody else."," чтобы стать кем-то другим."
"You are deceased.  Press ","Вы умерли.  Нажмите "
" to finish."," для завершения."
"Sleep!","Сон!"
"Over-Exert","Переутомление"
"V Drowsy","Очень сонный"
"Flying","Полёт"
"In Air","В воздухе"
"Dhyd","Обезвож"
"Thir","Жажд"
"Stvg","Истщ"
"Hung","Голод"
"Mortal Wound","Смертельно ранен"
"In Flight","В полёте"
"On Ground","На земле"
"Bleeding!","Кровотечение!"
"Mnt ","Верх "
"Snk ","Скрт "
"Spd ","Скор "
"Mount ","Верхом "
"Sneak ","Скрытно "
"Speed ","Скорость "
"Climb ","Карабкаться "
" pull off"," вытаскиваете"
" pulls off"," вытаскивает"
" pick"," подбираете"
" picks"," подбирает"
" up the "," "
" and put it in "," и кладете в "
" and puts it in "," и кладет в "
"You do not have a free grasp and your quivers are full.","Ваши руки занаты, а колчаны полны."
"You do not have a free grasp and your quiver is full.","Ваши руки занаты, а колчан полон."
"You do not have a free grasp.","Ваши руки заняты."
"You've located a ","Вы обнаружили "
"right under you","прямо под вами"
"above and ","выше и "
"below and ","ниже и "
" says:  """," говорит:  """
" says, """," говорит, """
"[C:3:0:1]You are a ","[C:3:0:1]Вы - "
" based in "," из "
"[C:2:0:1]You have been ordered to drive ","[C:2:0:1]Вам дан приказ отбить "
"  You should report the task as complete.","  Нужно доложить о завершении задания."
" is rumored to be in "," по слухам находится в "
"  [C:7:0:0]This is common knowledge where you are from.","  [C:7:0:0]Это общее знание, откуда вы."
"  [C:5:0:1]This creature is known to be dead.","  [C:5:0:1]Известно, что это существо мертво."
"  [C:2:0:1]You have been ordered to kill this creature.","  [C:2:0:1]Вам дан приказ убить это существо."
"Offloading site...","Выгрузка места..."
"Sewer Access","Спуск в канализацию"
"Tree House","Дерево-дом"
"The Home Tree","Дерево-Дом"
"Shaping Tree","Дерево изменений"
"Market Tree","Торговое дерево"
"Tavern Tree","Питейное дерево"
"Library Tree","Дерево-библиотека"
"Counting Tree","Счетное дерево"
"Guild Tree","Дерево гильдии"
"Tower Tree","Башенное дерево"
"Drinking Mound","Питейный холм"
"Castle Mound","Холм-крепость"
"Civic Mound","Общественный холм"
"Counting House","Счетный холм"
"Abandoned shop","Брошенная мастерская"
"Food imports","Импортная еда"
"Clothing imports","Импортная одежда"
"General imports","Импортные вещи"
"Cloth shop","Одёжная лавка"
"Leather shop","Кожевенная лавка"
"Woven clothing shop","Шерстяная лавка"
"Leather clothing shop","Лавка кожаной одежды"
"Bone carver's shop","Лавка резчика по кости"
"Gem cutter's shop","Лавка ювелира"
"Weaponsmith's shop","Лавка оружейника"
"Bowyer's shop","Лавка лукодела"
"Blacksmith's shop","Лавка кузнеца"
"Armorsmith's shop","Лавка бронника"
"Metal craft shop","Лавка металлических изделий"
"Leather goods shop","Лавка кожаных изделий"
"Carpenter's shop","Лавка плотника"
"Stone furniture shop","Лавка каменной мебели"
"Metal furniture shop","Лавка металлической мебели"
"Barrow","Курган"
"Warehouse","Склад"
"Fortress Entrance","Вход в крепость"
"Trenches","Рвы"
"Shrine to ","Святыня "
"Shrine","Святыня"
"Imported food market","Рынок импортной еды"
"Imported clothing market","Рынок импортной одежды"
"Meat market","Рынок мяса"
"Fruit and vegetable market","Фруктовый рынок"
"Cheese market","Сырный рынок"
"Processed goods market","Рынок переработанных продуктов"
"Underground Fortress","Подземная крепость"
"Underground Farms","Подземные фермы"
"Underground Stair","Подземная лестница"
"Hillocks","Пригорки"
"Abandoned hillocks","Заброшенные пригорки"
"Abandoned houses","Брошенные дома"
"Ruined house","Развалины дома"
"Shrine of ","Святыня "
"Strongest Odor: ","Самый сильный запах: "
"You have discovered a ","Вы обнаружили "
"You cannot travel through the ","Вы не можете путешествовать сквозь "
" here.","."
" - Raise the bucket"," - Поднять ведро"
" - Lower the bucket"," - Опустить ведро"
" - Pull it"," - Дёрнуть"
"You pull the lever.","Вы дёргаете рычаг."
"There is a locked ","Здесь запертый "
" - Break it in"," - Выбить"
" - Pick the lock"," - Вскрыть замок"
"You break the hatch in!","Вы вышибли люк!"
"The hatch is operated by a remote mechanism.  You cannot proceed.","Люк управляется механизмом. Не удалось выполнить."
"You pick the lock!","Вы вскрыли замок!"
" - Topple it"," - Опрокинуть"
" - Bash it down"," - Выбить"
"You topple the statue!","Вы опрокинули статую!"
"You bash the door down!","Вы выбили дверь!"
"Dawn is breaking.","Начинается рассвет."
"It is noon.","Полдень."
"Night is falling.","Наступает ночь."
"You struggle for ","Вы боретесь за "
"You roll","Вы откатываетесь"
", divining the will of ",", угадывая волю "
" according to the practice of "," согласно практике "
", testing the will of ",", проверяя волю "
" shows "," показывает "
" comes up "," подходит "
" lands on "," садится "
"a word but you cannot read","слово, но вы не можете читать"
"Your fate is sealed.","Ваша судьба определена."
"Don't you know that ","Разве вы не знаете, что "
" is a jealous deity?  Why consult another?"," жадное божество? Зачем связываться с еще одним?"
"  Let a week pass."," Пусть пройдет неделя."
"  Let some days pass."," Пусть пройдет несколько дней."
"  Let another day pass."," Пусть пройдет еще день."
"You already know the will of ","Вы уже знаете волю "
"Why wasn't ","Почему не было "
", a jealous deity, consulted first?",", жадное божество, у него просите совета?"
".  Do not tempt fate.",".  Не искушайте судьбу."
"Praise ","Хвала "
" for ignoring your hubris.  "," за игнорирование вашего высокомерия. "
" without bound"," без связи"
"You are forgiven.","Вы прощены."
"You are free to do as you choose.","Вы свободны действовать как пожелаете."
"Freedom is allowed even in this.","Свобода разрешена даже в этом."
"Your happiness is still desired.","Вашему счастью многие позавидуют."
"You are loved.","Вы любимы."
"You have been granted mercy.","К вам было проявлено милосердие."
"Peace is cherished.","Мир сохранен."
"Such care for your happiness!","Такая забота о счастье!"
"Such ","Такой "
"Such is the spirit of ","Такой дух "
"Infinite ","Бесконечность "
"Hubris!","Высокомерие!"
"Look out for a chance encounter.","Ищите встречи с вашим шансом."
"Stay the course.","Следуйте курсу."
"Expect a change.","Ждите удобного случая."
"Fulfillment will be yours.","Выполнение будет вашим."
"A reckoning awaits.","Вас ждет расплата."
"You will awaken to a new possibility.","Вы откроетесь новым возможностям."
"Beware doubt.","Избегайте сомнений."
"Joy is on the horizon.","Радость впереди."
"A great sadness is coming.","Грядет великая печаль."
"A sudden upheaval is in store.","Вас ожидает внезапный переворот."
"A coming disaster can be delayed, but not avoided.","Грядущая катастрофа может быть отложена, но ее не избежать."
"Follow your desire.","Следуйте за своими желаниями"
"Rely on willpower to see you through.","Положитесь на силу воли, чтобы увидеть себя со стороны."
"Beware those that lack passion.","Сторонитесь тех, в ком нет стремления."
"All is not as it seems.","Все не то чем кажется."
"Have faith and all shall be rejuvenated.","Вертьте, и все будет востановлено"
"Cling not to material things.","Не привязывайтесь к материальному."
"Hold to hope when all else is lost.","Держитесь за надежду, когда все остальное потеряно."
"Be playful today.","Веселитесь сегодня."
"Do not be stopped by fear.","Не останавливайся от страха."
"You will released.","Вы будете освобождены."
"Do not take any chances.","Не рискуйте."
"Look to another for what you need.","Ищите другое, что вам нужно."
"The partnership is one-sided.","Это партнерство одностороннее."
"There are two sides to every story.","У каждой истории есть две стороны."
"Follow your intuition.","Прислушайтесь к интуиции."
"You will travel far from this place.","Вы отправитесь далеко от этого места."
"An important decision awaits your careful deliberation.","Важное решение требует тщательного размышления."
"Beware of ill-conceived plans.","Избегайте непродуманных планов."
"Focus today.","Фокус сегодня."
"Be compassionate.","Будьте сострадательны."
"Today you will have a moment of weakness.","Сегодня у вас будет момент слабости."
"The burden will be lifted soon.","Бремя скоро будет сброшено."
"You will have a great accomplishment.","Вас ждут большие достижения."
"See to your responsibilities.","Ознакомиться с обязанностями."
"An end and a new beginning.","Конец и новое начало."
"Do not hold on for too long.","Не держись слишком долго."
"Make a change or forever remain.","Внести изменения или навсегда остаться."
"Give up the hopeless cause.","Оставьте безнадежное дело."
"Keep your own counsel today.","Держите свой собственный совет сегодня."
"Do not be reckless.","Не будьте опрометчивым."
"You will make your final stand.","Вы сделаете свой последний стенд."
"Be cautious of fatigue today.","Опасайтесь переутомления сегодня."
"Ask a question.","Задайте вопрос."
"Do not give them too much.","Не отдавайте слишком много другим."
"Do not keep everything for yourself.","Не оставляйте все себе."
"The situation cannot get worse.","Ситуация не может ухудшиться."
"The enterprise will be a failure.","Предприятие закончится неудачей."
"Accept a defeat.","Примите поражение."
"Be mindful of others around you.","Будьте внимательны к окружающим."
"Prepare for disappointment.","Приготовьтесь к разочарованию."
"Consider the consequences carefully.","Тщательно оценивайте последствия."
"Act quickly today.","Действуйте быстро сегодня."
"Be generous today.","Будьте щедры сегодня."
"If you accept the gift, one will be expected in return.","Если вы примете подарок, подарок будет ожидаться взамен."
"Bring comfort to someone today.","Сделайте комфортно кому-то сегодня."
"Now is a time for calm.","Сейчас время для спокойствие."
"Your dreams will come true.","Ваши мечты станут реальностью."
"Beware a rival.","Опасайтесь соперника."
"Avoid conflict today.","Избегайте конфликтов сегодня."
"Do not avoid a necessary conflict today.","Не избегайте необходимого конфликта сегодня."
"Look ahead to the future.","Смотрите в будущее."
"An obstacle will present itself.","Препятствие покажет себя само."
"Begin an adventure.","Начните приключение."
"You have missed your chance.","Вы упустили свой шанс."
"Accept the loss and move on.","Смиритесь с потерей и двигайтесь дальше."
"Make the decision quickly.","Делайте решения быстро."
"Explore today.","Попробуйте сегодня."
"A new friendship will form.","Найдёте нового друга."
"It is not as simple as you think.","Это не так просто, как вы думаете."
"You will learn something you did not want to know.","Вы узнаете что-то, чего не хотели знать."
"Follow your desire to reconcile.","Следуйте своему желанию примирить."
"It is too soon to forgive.","Прощать рано."
"Your ambition is misguided.","Ваши амбиции сбиты с толку."
"The object of your ambition will be realized.","Объект ваших амбиций будет реализован."
"There is no right choice.","Там нет правильного выбора."
"Rethink your priorities.","Переосмыслите свои приоритеты."
"You will received bad advice.","Вы получите плохой совет."
"A clever strategy will be required.","Требуется умная стратегия."
"Take care you are not deceived.","Береги себя, ты не обманут."
"Indulge heartily.","Побалуйся от всей души."
"You will know suffering soon.","Скоро ты узнаешь страдания."
"Rethink your approach.","Переосмыслите свой подход."
"You must reveal the truth.","Вы должны открыть правду."
"Some changes are inevitable.","Некоторые изменения неизбежны."
"Whatever happens, it will be for the best.","Все что ни случается - все к лучшему."
"It is time to leave it behind.","Пора оставить что-то позади."
"Do not fear loss.","Не боится потерь."
"You must face the challenge today.","Вы должны принять вызов сегодня."
"Today, somebody will be cruel.","Сегодня кто-то будет жестоким."
"Master yourself today; discipline will be required.","Держи сегодня себя в руках; требується дисциплина."
"Beware a hidden plan.","Остерегайтесь скрытого плана."
"Be practical.","Будь практичным."
"Think of others today, not yourself.","Думай о других сегодня, а не о себе."
"See to the simple comforts.","Смотрите на простые удобства"
"Think on what came before and what follows.","Подумайте о том, что было до и после."
"It will not be fair.","Это не будет честно."
"Believe no one today.","Не верьте никому сегодня."
"See to your legacy.","Следи за своим наследием."
"Instability.","Неустойчивость."
"The effort will reach a culmination.","Усилия достигнут кульминации."
"Any success will be fleeting.","Любой успех будет мимолетным."
"Make the sacrifice regardless of fear.","Принёс жертву независимо от страха."
"Do not stall.","Не останавливайтесь."
"Make no needless sacrifices.","Не приносите ненужных жертв."
"Be sure to keep to a high standard today.","Держите марку сегодня."
"Be patient.","Будьте терпеливы."
"Take the middle path.","Выбирайте серединный путь."
"You must choose between two extremes.","Вы должны выбрать между двумя противоположностями."
"Beware a lack of balance.","Опасайтесь отсутствия баланса."
"Be diligent and undistracted.","Нужно быть прилежным и сосредоточенным."
"There will be no reward.","Там не будет никакой награды."
"Persevere though it may be for nothing.","Продолжайте, хотя это может ничего не принести."
"Eat not the fruits of your labor.","Ешьте не плоды своего труда."
"It is a false success.","Это фальшивый успех."
"You will be rewarded.","Вы будете вознаграждены."
"You cannot see.","Вы не видите."
"You read ","Вы читаете "
"You cannot read.","Вы не умеете читать."
"You pull out ","Вы вынимаете "
"Fill ","Заполнить "
"salt ","солёной "
"Name the ","Имя "
"Heat ","Греть "
" near magma"," рядом с магмой"
" near lava"," рядом с лавой"
" near burning trunk"," рядом горящий ствол"
" near burning branches"," рядом с горящими ветвями"
" near burning twigs"," рядом с горящими ветками"
" near burning cap"," рядом с горящей шляпкой"
" near fire"," возле огня"
" near campfire"," возле костра"
"You fill your ","Вы наполняете "
"Your ","Ваш "
" is already full."," уже полный."
"It won't fit in your ","Не помещается в вашем "
" is empty."," пустой."
" is hot enough already."," уже достаточно горячий."
"You heat the ","Вы греете "
" to no effect."," безрезультатно."
"Put on ","Надеть "
"Set on","Установлен на"
"Put ","Надеть "
"on","на"
"Put in ","Класть внутрь "
"Suck ","Обсасывать "
"Drink ","Пить "
"Eat ","Есть "
"Ignite ","Поджечь "
"Make Campfire (","Разжечь костёр ("
"Fell ","Рубить "
"You cannot fell trees in the arena.","Вы не можете рубить деревья на арене."
"You cannot fell the trees here.","Вы не можете рубить здесь деревья."
"You need to be holding an axe.","Вам нужен топор."
"You need to be holding an axe with a sharp edge.","Вам нужен топор с острым лезвием."
"You make a campfire.","Вы разжигаете костёр."
"You set a fire.","Вы разжигаете огонь."
"The vegetation is too wet.","Растительность слишком влажная."
"The vegetation is submerged.","Растительность под водой."
"The steam around the vegetation stops you from setting the fire.","Пар вокруг растительности мешает зажечь огонь."
"Combat ","Бой "
"Move to ","Переход к "
"Charge ","Натиск "
"/Air","/Воздух"
"/Water","/Вода"
"Lava","Лава"
"Climb to ","Взобраться на "
" holding "," держит "
" releasing hold"," освобождает захват"
"Hold ","Держаться за "
"Hang from ","Повиснуть на "
"Dismount to ","Сойти с "
"Release hold on ","Отпустить "
"Claim ","Запрос "
") as pet",") как домашнее животное"
"Stop leading ","Хватит вести "
"Climb down","Карабкаться вниз"
"Path to here","Путь сюда"
" (no climbing/jumping)"," (нет карабкания/прыжка)"
" level"," уровень"
" up)"," вверх)"
" down)"," вниз)"
"The cackling fades away.","Хихиканье затихает."
"You are surrounded by incessant cackling.","Вы окружены постоянным хихиканьем."
"Can I help you with something?","Могу я вам чем-нибудь помочь?"
"Moving","Двигаясь"
"downward","вниз"
" (above)"," (выше)"
" (below)"," (ниже)"
"Remote: ","Отдалённый: "
"Distant: ","Далёкий: "
"Starting: ","Начинающийся: "
"Incoming: ","Входящий: "
"Attacking","Атака"
"Recovering from attacking","Восстановление после атаки"
" with wrestling"," с борьбой"
" with grab"," с захватом"
"quick","быстрая"
"wild","дикая"
"precise","точная"
", aiming for ",", с прицелом на "
"Jumping","В прыжке"
"Pushing Object","Толкать предмет"
"Holding terrain","Держится за поверхность"
"Releasing hold on terrain","Отпускает поверхность"
"Dismounting","Спешивается"
"Leading animal","Ведёт животное"
"Stop leading animal","Хватит вести животное"
"Holding item","Держит предмет"
"Releasing hold on item","Отпускает предмет"
"Regaining balance","Восстановление равновесия"
"Working","Работа"
"Talking","Разговор"
"Parrying","Парирование"
"Blocking","Блокирование"
"Recovering from deflection","Восстановление после отражения удара"
"Standing Up","Вставать"
"Lying Down","Ложиться"
"Tell a story","Рассказать историю"
"Give a sermon","Проповедовать"
"Recite a poem","Декламировать стихи"
"Perform music","Играть музыку"
"Give a sermon concerning a deity or object of worship","Произнести проповедь о божестве или объекте поклонения"
"Give a sermon concerning a cosmic principle","Произнести проповедь о космическом принципе"
"Give a sermon promoting a value","Произнести проповедь восхваляющую"
"Give a sermon inveighing against a value","Произнести проповедь уничижающую"
"Tell a story about a person or creature","Рассказать о личности или существе"
"Tell a story about a site","Рассказать о каком-либо месте"
"Tell a story about a civilization or organization","Рассказать о цивилизации или организации"
"Tell a story about a region","Рассказать о регионе"
"Speak","Говорить"
"build a fire","разжигать огонь"
"fell trees","рубить деревья"
"compose","писать"
"write","писать"
"You are still surrounded by cackling.","Вы всё ещё окружены хихиканьем."
"You feel too watched to ","Вы чувствуете себя слишком упорно смотрящим на "
"You don't feel safe enough to ","Вы не чувствуете себя в достаточной безопасности для "
"You can't ","Вы не можете "
" until you've stopped the bleeding."," пока не остановите кровотечение."
" because you can't breathe."," потому что вы не можете дышать."
" because you are dying of thirst."," так как вы умираете от жажды."
" because you are starving to death."," так как вы умираете от голода."
" because you are carrying someone else's goods.  Purchase them or put some distance between yourself and the site."," потому что вы несёте чужие товары.  Купите их или отойдите на некоторое расстояние от этого места."
" because you are drowning."," потому что вы тонете."
" because you are swimming."," потому что вы плывёте."
" until you are on a stable surface."," пока не окажетесь на устойчивой поверхности."
"You must move away from the water before you can ","Вам нужно отойти от воды, прежде чем вы сможете "
"You must come down from the mountains before you can ","Вам нужно спуститься с горы, прежде чем вы сможете "
" until you stop riding this vehicle."," пока вы едете на транспорте."
" until you stop riding this projectile."," пока вы летите на снаряде."
"You cannot ","Вы не можете "
" until you leave this site."," пока не покинете это место."
"You have nothing left to drop.","Больше нечего выбрасывать."
"You have nothing left to wear.","Вам нечего надеть."
"You have nothing left to remove.","Вам нечего снять."
"You have nothing to put inside a container or on a pack animal.","Вам нечего положить в контейнер или навьючить на животное."
"You have nothing left to eat or drink.","У вас нет ничего, что можно есть или пить."
"You have nothing with which to interact.","Вам не с чем взаимодействовать."
"You have nothing left to throw.","Больше нечего бросать."
"You have nothing to examine.","Вам нечего исследовать."
"You cannot climb or mount while prone.","Вы не можете карабкаться или сесть верхом, пока лежите."
"There is nothing to hold here.","Здесь нечего держать."
"There is nothing to pick up here.","Здесь нечего подбирать."
" cannot hold the terrain."," не смог ухватиться."
"You are too injured to hold the terrain.","Вы слишком ранены, чтобы ухватиться."
"You need a free grasp to hold the terrain.","Вам нужна свободная рука, чтобы ухватиться."
"Click a creature to start a new conversation","Кликните на существе, чтобы начать разговор"
"Toward you: ","К вам: "
"Positive attitude","Положительный настрой"
"Negative attitude","Отрицательное отношение"
"Neutral attitude","Нейтральное отношение"
"Animated","Анимационная"
"Agitated","Взволнованный"
"Bold","Смелый"
"Confident","Уверенный"
"Acquiescent","Уступчивый"
"Unassuming","Непритязательный"
"Relationship: ","Отношение: "
"Loves you","Любит вас"
"Likes you","Вы нравитесь"
"Hates you","Ненавидит вас"
"Dislikes you","Не любит вас"
"Terrified of you","В ужасе от вас"
"Scared of you","Напуган вами"
"No fear of you","Не не боится вас"
"Respects you","Уважает вас"
"No respect for you","Нет уважения к вам"
"Low respect for you","Низкое уважение к вам"
"Trusts you","Доверяет вам"
"Distrusts you","Доверяет вам"
"Highly Loyal","Очень лояльный"
"Neutral","Нейтрально"
"General Mood: ","Общее настроение: "
"Annoyed","Раздражённый"
"Satisfied","Доволен"
"Grouchy","Ворчливый"
"Grumpy","Сердитый"
"Fondness","Любовь"
"Suspicious","Подозрительный"
"Alarmed","Встревожен"
"Shocked","В шоке"
"Grimly Satisfied","Мрачно удовлетворённый"
"Triumphant","Торжествующий"
"Enraged","Разъяренный"
"Eexcited","В восторге"
"Sad","Растроенный"
"Joyous","Радостный"
"Blissful","Блаженный"
"Loving","Влюблённый"
"Accepting","Допускающий"
"Admiration","Восхищение"
"Adoration","Обожание"
"Affection","Привязанность"
"Aggravated","Раздражённый"
"In Agony","В Агонии"
"Alienated","Отчуждённый"
"Amazed","Пораженный"
"Ambivalent","Противоречивый"
"Amused","Изумлённый"
"Angry","Злой"
"In Anguish","В страданиях"
"Apathetic","Апатичный"
"Aroused","Возбуждён"
"Astonished","Пораженный"
"Averse","Отвращение"
"In Awe","В страхе"
"Bitter","Ожесточенный"
"Bored","Скучающий"
"Caring","Забота"
"Confused","Смущён"
"Contemptuous","Высокомерный"
"Content","Содержание"
"Dejected","Удручённый"
"Delighted","Обрадованный"
"Despair","Отчаиваться"
"Disappointed","Разочарованный"
"Disgusted","Недовольный"
"Disillusioned","Разочарованный"
