"more presumptious","ngÕo mÕn h½n"
"boiling octopus ink","mñc bÕch tuµc ğang sôi"
"Squirt ink","Phun mñc"
"octopus man","ngß¶i bÕch tuµc"
"octopus men","nhæng ngß¶i bÕch tuµc"
"octopus woman","phø næ bÕch tuµc"
"octopus women","nhæng phø næ bÕch tuµc"
"A person with an octopus in place of a head.","Mµt ngß¶i có ğ¥u bÕch tuµc thay vì ğ¥u thông thß¶ng."
"giant octopus","bÕch tuµc kh±ng l°"
"giant octopuses","nhæng con bÕch tuµc kh±ng l°"
"A dangerous water monster known for attacking ships at sea.","Mµt quái v§t dß¾i nß¾c nguy hi¬m n±i tiªng v¾i vi®c t¤n công tàu thuy«n trên bi¬n."
"A tiny shelled ocean creature with many long legs.  It has two large pincers on its front limbs.","Mµt sinh v§t bi¬n nhö bé có vö v¾i nhi«u chân dài. Nó có hai càng l¾n · chi trß¾c."
"crab","cua"
"crabs","nhæng con cua"
"sideways walk","ği ngang"
"crab man","ngß¶i cua"
"crab men","nhæng ngß¶i cua"
"crab woman","phø næ cua"
"crab women","nhæng phø næ cua"
"A person with the head and pincers of a crab.","Mµt ngß¶i có ğ¥u và càng cüa cua."
"giant crab","cua kh±ng l°"
"giant crabs","nhæng con cua kh±ng l°"
"A large monster in the shape of a crab.","Mµt quái v§t l¾n có hình dÕng cua."
"A large predatory amphibious mammal.  It is difficult to evade once in the water.","Mµt ğµng v§t có vú lßŞng cß sån m°i cŞ l¾n. R¤t khó ğ¬ tr¯n thoát khi nó · dß¾i nß¾c."
"leopard seal","häi c¦u báo"
"leopard seals","nhæng con häi c¦u báo"
"fierce nature","bän tính hung dæ"
"leopard seal man","ngß¶i häi c¦u báo"
"leopard seal men","nhæng ngß¶i häi c¦u báo"
"leopard seal woman","phø næ häi c¦u báo"
"leopard seal women","nhæng phø næ häi c¦u báo"
"A legless person with the head and back flippers of a leopard seal.","Mµt ngß¶i không chân v¾i ğ¥u và các vây b½i sau cüa häi c¦u báo."
"giant leopard seal","häi c¦u báo kh±ng l°"
"giant leopard seals","nhæng con häi c¦u báo kh±ng l°"
"giant leopard seal pup","häi c¦u báo con kh±ng l°"
"giant leopard seal pups","nhæng con häi c¦u báo con kh±ng l°"
"A giant monster in the form of a leopard seal.","Mµt quái v§t kh±ng l° dß¾i dÕng häi c¦u báo."
"A tiny sea mollusk.  It can change color and skin patterns for communication.","Mµt ğµng v§t thân m«m bi¬n nhö bé. Nó có th¬ thay ğ±i màu s¡c và hoa vån trên da ğ¬ giao tiªp."
"cuttlefish","mñc nang"
"ability to change color","khä nång ğ±i màu"
"distinctive pupils","ğ°ng tØ ğ£c trßng"
"frozen cuttlefish ink","mñc nang ğông ğ£c"
"cuttlefish ink","mñc nang"
"boiling cuttlefish ink","mñc nang ğang sôi"
"cuttlefish man","ngß¶i mñc nang"
"cuttlefish men","nhæng ngß¶i mñc nang"
"cuttlefish woman","phø næ mñc nang"
"cuttlefish women","nhæng phø næ mñc nang"
"A person with a cuttlefish in place of a head.","Mµt ngß¶i có ğ¥u mñc nang thay vì ğ¥u thông thß¶ng."
"giant cuttlefish","mñc nang kh±ng l°"
"A huge sea monster in the shape of a cuttlefish.","Mµt quái v§t bi¬n kh±ng l° có hình dÕng mñc nang."
"A huge ocean mammal.  It is a vicious predator and can hunt in groups.","Mµt ğµng v§t có vú ğÕi dß½ng kh±ng l°. Nó là kë sån m°i hung dæ và có th¬ sån theo ğàn."
"orca","cá voi sát thü"
"orcas","nhæng con cá voi sát thü"
"orca calf","cá voi sát thü con"
"orca calves","nhæng con cá voi sát thü con"
"great jumps","nhæng cú nhäy mÕnh m¨"
"orca man","ngß¶i cá voi sát thü"
"orca men","nhæng ngß¶i cá voi sát thü"
"orca woman","phø næ cá voi sát thü"
"orca women","nhæng phø næ cá voi sát thü"
"An aquatic person in the shape of an orca with arms.","Mµt ngß¶i thüy sinh có hình dáng cá voi sát thü v¾i thêm cánh tay."
"giant orca","cá voi sát thü kh±ng l°"
"giant orcas","nhæng con cá voi sát thü kh±ng l°"
"giant orca calf","cá voi sát thü con kh±ng l°"
"giant orca calves","nhæng con cá voi sát thü con kh±ng l°"
"A gigantic monster in the shape of an orca.","Mµt quái v§t kh±ng l° mang hình dáng cá voi sát thü."
"A tiny sea creature which dwells on the ocean floor, devoid of senses or motion.","Mµt sinh v§t bi¬n nhö bé s¯ng dß¾i ğáy ğÕi dß½ng, không có giác quan hay cØ ğµng."
"sponges","b÷t bi¬n"
"squishy texture","kªt c¤u m«m nhão"
"sponge man","ngß¶i b÷t bi¬n"
"sponge men","nhæng ngß¶i b÷t bi¬n"
"A person in the form of a sponge with arms and legs.","Mµt ngß¶i có hình dÕng b÷t bi¬n v¾i cánh tay và chân."
"A huge immobile sponge.","Mµt b÷t bi¬n kh±ng l° b¤t ğµng."
"A tiny sea animal that lives in the sand just offshore.  It has a flat body with legs underneath.","Mµt ğµng v§t bi¬n nhö bé s¯ng trong cát g¥n b¶ bi¬n. Nó có thân d©t v¾i các chân · bên dß¾i."
"horseshoe crab","sam bi¬n"
"horseshoe crabs","nhæng con sam bi¬n"
"ability to hide in sand","khä nång ¦n mình trong cát"
"horseshoe crab man","ngß¶i sam bi¬n"
"horseshoe crab men","Ngß¶i cua móng ngña (nam)"
"horseshoe crab woman","Ngß¶i cua móng ngña (næ)"
"horseshoe crab women","Nhæng ngß¶i cua móng ngña (næ)"
"A person with the head, shell, and tail of a horseshoe crab.","Mµt ngß¶i mang ğ¥u, mai và ğuôi cüa cua móng ngña."
"giant horseshoe crab","Cua móng ngña kh±ng l°"
"giant horseshoe crabs","Nhæng con cua móng ngña kh±ng l°"
"A huge monster in the form of a horseshoe crab.","Mµt quái v§t kh±ng l° dß¾i hình dÕng cua móng ngña."
"A giant marine mammal with a toothy jaw.","Mµt ğµng v§t có vú bi¬n kh±ng l° v¾i hàm rång s¡c nh÷n."
"sperm whale","Cá nhà táng"
"sperm whales","Nhæng con cá nhà táng"
"sperm whale calf","Cá nhà táng con"
"sperm whale calves","Nhæng con cá nhà táng con"
"vengeful nature","Bän tính thù h¢n"
"sperm whale man","Ngß¶i cá nhà táng (nam)"
"sperm whale men","Nhæng ngß¶i cá nhà táng (nam)"
"sperm whale woman","Ngß¶i cá nhà táng (næ)"
"sperm whale women","Nhæng ngß¶i cá nhà táng (næ)"
"A huge person with the head and flippers of a sperm whale.","Mµt ngß¶i to l¾n mang ğ¥u và vây b½i cüa cá nhà táng."
"giant sperm whale","Cá nhà táng kh±ng l°"
"giant sperm whales","Nhæng con cá nhà táng kh±ng l°"
"giant sperm whale calf","Cá nhà táng con kh±ng l°"
"giant sperm whale calves","Nhæng con cá nhà táng con kh±ng l°"
"A gigantic monster in the shape of a sperm whale.","Mµt quái v§t kh±ng l° có hình dÕng cá nhà táng."
"A large, predatory marine mammal.","Mµt ğµng v§t có vú bi¬n to l¾n, ån th¸t."
"elephant seal","Häi c¦u voi"
"elephant seals","Nhæng con häi c¦u voi"
"elephant seal pup","Häi c¦u voi con"
"elephant seal pups","Nhæng con häi c¦u voi con"
"large floppy noses","Nhæng cái mûi to l¾n và m«m rü"
"elephant seal man","Ngß¶i häi c¦u voi (nam)"
"elephant seal men","Nhæng ngß¶i häi c¦u voi (nam)"
"elephant seal woman","Ngß¶i häi c¦u voi (næ)"
"elephant seal women","Nhæng ngß¶i häi c¦u voi (næ)"
"A person with the head and flippers of an elephant seal.","Mµt ngß¶i mang ğ¥u và vây b½i cüa häi c¦u voi."
"giant elephant seal pup","Häi c¦u voi con kh±ng l°"
"giant elephant seal pups","Nhæng con häi c¦u voi con kh±ng l°"
"A huge monster in the shape of an elephant seal.","Mµt quái v§t kh±ng l° có hình dÕng häi c¦u voi."
"A small marine mammal.  Its young are prized for their white fur.","Mµt ğµng v§t có vú bi¬n nhö. Con non cüa chúng ğßşc sån ğón vì bµ lông tr¡ng mu¯t."
"harp seal","Häi c¦u ğàn hÕc"
"harp seals","Nhæng con häi c¦u ğàn hÕc"
"harp seal pup","Häi c¦u ğàn hÕc con"
"harp seal pups","Nhæng con häi c¦u ğàn hÕc con"
"adorable pups","Nhæng con non ğáng yêu"
"harp seal man","Ngß¶i häi c¦u ğàn hÕc (nam)"
"harp seal men","Nhæng ngß¶i häi c¦u ğàn hÕc (nam)"
"harp seal woman","Ngß¶i häi c¦u ğàn hÕc (næ)"
"harp seal women","Nhæng ngß¶i häi c¦u ğàn hÕc (næ)"
"A person with the head and flippers of a harp seal.","Mµt ngß¶i mang ğ¥u và vây b½i cüa häi c¦u ğàn hÕc."
"giant harp seal","Häi c¦u ğàn hÕc kh±ng l°"
"giant harp seals","Nhæng con häi c¦u ğàn hÕc kh±ng l°"
"giant harp seal pup","Häi c¦u ğàn hÕc con kh±ng l°"
"giant harp seal pups","Nhæng con häi c¦u ğàn hÕc con kh±ng l°"
"A huge monster in the shape of a harp seal.","Mµt quái v§t kh±ng l° có hình dÕng häi c¦u ğàn hÕc."
"A tiny, mollusk with a large shell and many tentacles.","Mµt ğµng v§t thân m«m tí hon v¾i vö l¾n và nhi«u xúc tu."
"nautilus","c anh vû"
"nautiluses","Nhæng con ¯c anh vû"
"many tentacles","Nhi«u xúc tu"
"nautilus man","Ngß¶i ¯c anh vû (nam)"
"nautilus men","Nhæng ngß¶i ¯c anh vû (nam)"
"nautilus woman","Ngß¶i ¯c anh vû (næ)"
"nautilus women","Nhæng ngß¶i ¯c anh vû (næ)"
"A person with the shell and tentacles of a nautilus.","Mµt ngß¶i mang vö và xúc tu cüa ¯c anh vû."
"giant nautilus","c anh vû kh±ng l°"
"giant nautiluses","Nhæng con ¯c anh vû kh±ng l°"
"A huge monster in the shape of a nautilus.","Mµt quái v§t kh±ng l° có hình dÕng ¯c anh vû."
"A small mammal noted for its tenacity.  It has long ears and flashing eyes.","Mµt ğµng v§t có vú nhö n±i tiªng vì sñ kiên cß¶ng. Nó có ğôi tai dài và ğôi m¡t tinh anh."
"fox squirrel","Sóc cáo"
"fox squirrels","Nhæng con sóc cáo"
"A small mud-dwelling amphibian.","Mµt ğµng v§t lßŞng cß nhö s¯ng trong bùn."
"round tummies","Nhæng cái bøng tròn"
"frozen mog juice","D¸ch mog ğông lÕnh"
"mog juice","D¸ch mog"
"boiling mog juice","D¸ch mog ğang sôi"
"An insidious form of vermin.  It lives only to steal food from others.","Mµt dÕng sâu b÷ xäo quy®t. Nó s¯ng chï ğ¬ trµm thÑc ån cüa kë khác."
"demon rat","Chuµt quÖ"
"demon rats","Nhæng con chuµt quÖ"
"gnawed","B¸ g£m nh¤m"
"insidious nature","Bän ch¤t xäo quy®t"
"diabolical hunger for the food of others","C½n ğói ma quÖ ğ¯i v¾i thÑc ån cüa kë khác"
"A fluffy, pudge-filled being, known for its warm heart and stumble bumblings.","Mµt sinh v§t bông xù, béo ú, n±i tiªng v¾i trái tim ¤m áp và nhæng bß¾c ği läo ğäo vøng v«."
"fluffy wambler","Wambler bông xù"
"fluffy wamblers","Nhæng con wambler bông xù"
"warm heart","Trái tim ¤m áp"
"stumble bumbling","Sñ läo ğäo vøng v«"
"fluff","L¾p lông m«m"
"pudge","L¾p mŞ dày"
"A tiny reptile, running on two legs.  It has a horn on the end of its nose.","Mµt bò sát tí hon, chÕy b¢ng hai chân. Nó có mµt cái s×ng · chóp mûi."
"two-legged rhino lizard","Th¢n l¢n tê giác hai chân"
"two-legged rhino lizards","Nhæng con th¢n l¢n tê giác hai chân"
"A tiny creature made up of a series of crackling knobs set at strange angles.","Mµt sinh v§t tí hon c¤u tÕo t× mµt chu²i các ğ¯t kêu lách tách ğ£t · nhæng góc ğµ kÏ lÕ."
"knuckle worm","Giun kh¾p n¯i"
"knuckle worms","Nhæng con giun kh¾p n¯i"
"knobs and angles","Các ğ¯t và góc cÕnh"
"crackles and pops","Nhæng tiªng lách tách và b¯p"
"A tiny translucent creature, found in evil forests.","Mµt sinh v§t tí hon trong su¯t, tìm th¤y trong nhæng khu r×ng tà ác."
"phantom spider","Nh®n ma"
"phantom spiders","Nhæng con nh®n ma"
"translucence","Tính trong su¯t"
"creepiness","Sñ rùng rşn"
"frozen phantom spider venom","N÷c ğµc nh®n ma ğông lÕnh"
"phantom spider venom","N÷c ğµc nh®n ma"
"boiling phantom spider venom","N÷c ğµc nh®n ma sôi"
"phantom spider bite","Vªt c¡n cüa nh®n ma"
"An insect many times the size of its peers.  It is known for its deafening buzz.","Mµt loài côn trùng có kích thß¾c l¾n g¤p nhi«u l¥n ğ°ng loÕi. Nó n±i tiªng v¾i tiªng vo ve ğinh tai nhÑc óc."
"acorn fly","Ru°i acorn"
"acorn flies","Ru°i acorn"
"deafening buzz","Tiªng vo ve ğinh tai nhÑc óc"
"A tiny insect with a pulsating, lumpy body.  It is an evil bug that seeks blood.","Mµt loài côn trùng nhö bé v¾i c½ th¬ s¥n sùi, ph§p ph°ng. Nó là mµt loài b÷ hung ác chuyên hút máu."
"blood gnat","Mu²i máu"
"blood gnats","Mu²i máu"
"thirst for blood","Khát máu"
"pulsating lumpy bodies","C½ th¬ s¥n sùi, ph§p ph°ng"
"A small reptile.","Mµt loài bò sát nhö."
"lizard","Th¢n l¢n"
"lizards","Th¢n l¢n"
"lizard man","Ngß¶i th¢n l¢n"
"lizard men","Ngß¶i th¢n l¢n"
"lizard woman","Næ ngß¶i th¢n l¢n"
"lizard women","Næ ngß¶i th¢n l¢n"
"A person with the head and tail of a lizard.","Mµt ngß¶i mang ğ¥u và ğuôi cüa th¢n l¢n."
"giant lizard","Th¢n l¢n kh±ng l°"
"giant lizards","Th¢n l¢n kh±ng l°"
"giant lizard hatchling","Th¢n l¢n kh±ng l° con m¾i n·"
"giant lizard hatchlings","Th¢n l¢n kh±ng l° con m¾i n·"
"A huge monster in the shape of a lizard.","Mµt quái v§t kh±ng l° có hình dÕng th¢n l¢n."
"A relatively large lizard.  It can be found in most climates, foraging for bugs during daylight hours.","Mµt loài th¢n l¢n tß½ng ğ¯i l¾n. Nó có th¬ ğßşc tìm th¤y · h¥u hªt các vùng khí h§u, kiªm ån côn trùng vào ban ngày."
"skink","Th¢n l¢n bóng"
"skinks","Th¢n l¢n bóng"
"colorful tongues","Nhæng chiªc lßŞi s£c sŞ"
"skink man","Ngß¶i th¢n l¢n bóng"
"skink men","Ngß¶i th¢n l¢n bóng"
"skink woman","Næ ngß¶i th¢n l¢n bóng"
"skink women","Næ ngß¶i th¢n l¢n bóng"
"A long-bodied person with the head and tail of a skink.","Mµt ngß¶i có thân hình dài, mang ğ¥u và ğuôi cüa th¢n l¢n bóng."
"giant skink","Th¢n l¢n bóng kh±ng l°"
"giant skinks","Th¢n l¢n bóng kh±ng l°"
"A large monster in the shape of a skink.","Mµt quái v§t l¾n có hình dÕng th¢n l¢n bóng."
"A colorful lizard that spends its life hunting insects with its long tongue.  It moves slowly through the trees, spying the surroundings with its independently roving eyes.","Mµt loài th¢n l¢n s£c sŞ dành cä ğ¶i ğ¬ sån côn trùng b¢ng chiªc lßŞi dài cüa mình. Nó di chuy¬n ch§m rãi qua cây c¯i, dò xét môi trß¶ng xung quanh b¢ng ğôi m¡t có th¬ chuy¬n ğµng ğµc l§p."
"chameleon","T¡c kè hoa"
"chameleons","T¡c kè hoa"
"chameleon man","Ngß¶i t¡c kè hoa"
"chameleon men","Ngß¶i t¡c kè hoa"
"chameleon woman","Næ ngß¶i t¡c kè hoa"
"chameleon women","Næ ngß¶i t¡c kè hoa"
"A colorful person with the head and tail of a chameleon.","Mµt ngß¶i s£c sŞ mang ğ¥u và ğuôi cüa t¡c kè hoa."
"giant chameleon","T¡c kè hoa kh±ng l°"
"giant chameleons","T¡c kè hoa kh±ng l°"
"A large monster in the shape of a chameleon.","Mµt quái v§t l¾n có hình dÕng t¡c kè hoa."
"A small lizard with adhesive feet for climbing.  It can change color from brown to green to fit its surroundings.","Mµt loài th¢n l¢n nhö v¾i bàn chân bám dính ğ¬ leo trèo. Nó có th¬ thay ğ±i màu s¡c t× nâu sang xanh lá ğ¬ phù hşp v¾i môi trß¶ng xung quanh."
"dewlaps","Yªm"
"anole man","Ngß¶i anole"
"anole men","Ngß¶i anole"
"anole woman","Næ ngß¶i anole"
"anole women","Næ ngß¶i anole"
"A person with the head and tail of an anole.","Mµt ngß¶i mang ğ¥u và ğuôi cüa anole."
"giant anole","Anole kh±ng l°"
"giant anoles","Anole kh±ng l°"
"A large monster in the shape of an anole.","Mµt quái v§t l¾n có hình dÕng anole."
"A relatively large arboreal lizard found in the tropical forests.  Though it is a vegetarian, and mainly docile, it may whip with its extremely long tail when angered.","Mµt loài th¢n l¢n s¯ng trên cây tß½ng ğ¯i l¾n ğßşc tìm th¤y trong các khu r×ng nhi®t ğ¾i. Dù là loài ån thñc v§t và chü yªu hi«n lành, nhßng nó có th¬ qu§t b¢ng chiªc ğuôi cñc dài cüa mình khi b¸ ch÷c gi§n."
"iguana","KÏ ğà"
"iguanas","KÏ ğà"
"iguana hatchling","KÏ ğà con m¾i n·"
"iguana hatchlings","KÏ ğà con m¾i n·"
"head bobs","Cái g§t ğ¥u"
"iguana man","Ngß¶i kÏ ğà"
"iguana men","Ngß¶i kÏ ğà"
"iguana woman","Næ ngß¶i kÏ ğà"
"iguana women","Næ ngß¶i kÏ ğà"
"A person with the head and tail of an iguana.","Mµt ngß¶i mang ğ¥u và ğuôi cüa kÏ ğà."
"giant iguana","KÏ ğà kh±ng l°"
"giant iguanas","KÏ ğà kh±ng l°"
"giant iguana hatchling","KÏ ğà kh±ng l° con m¾i n·"
"giant iguana hatchlings","KÏ ğà kh±ng l° con m¾i n·"
"A huge monster in the shape of an iguana.","Mµt quái v§t kh±ng l° có hình dÕng kÏ ğà."
"A small river mammal with a long body.  They enjoy eating shellfish and other small animals.","Mµt loài ğµng v§t có vú nhö s¯ng · sông v¾i thân hình dài. Chúng thích ån ğµng v§t có vö và các loài ğµng v§t nhö khác."
"river otter","Rái cá sông"
"river otters","Rái cá sông"
"river otter pup","Rái cá sông con"
"river otter pups","Rái cá sông con"
"playfulness","Tính thích ch½i ğùa"
"fluffy faces","Nhæng khuôn m£t m«m mÕi"
"A small marine mammal with a long body.  They enjoy eating shellfish and other small animals.","Mµt loài ğµng v§t có vú nhö s¯ng · bi¬n v¾i thân hình dài. Chúng thích ån ğµng v§t có vö và các loài ğµng v§t nhö khác."
"sea otter","Rái cá bi¬n"
"sea otters","Rái cá bi¬n"
"sea otter pup","Rái cá bi¬n con"
"sea otter pups","Rái cá bi¬n con"
"simple tool use","Khä nång sØ døng công cø ğ½n giän"
"otter man","Ngß¶i rái cá"
"otter men","Ngß¶i rái cá"
"otter woman","Næ ngß¶i rái cá"
"otter women","Næ ngß¶i rái cá"
"A person with the long body and head of an otter.","Mµt ngß¶i mang thân hình dài và ğ¥u cüa rái cá."
"giant otter","Rái cá kh±ng l°"
"giant otters","Rái cá kh±ng l°"
"giant otter pup","Rái cá kh±ng l° con"
"giant otter pups","Rái cá kh±ng l° con"
"A large monster in the form of an otter.","Mµt quái v§t l¾n có hình dÕng rái cá."
"big fluffy faces","Nhæng khuôn m£t l¾n m«m mÕi"
"A medium-sized reptile with a thick shell, which it can retreat into when threatened.  This creature can administer a painful bite.","Mµt loài bò sát cŞ trung bình v¾i mai dày, có th¬ rút vào ¦n n¤p khi b¸ ğe d÷a. Sinh v§t này có th¬ gây ra vªt c¡n ğau ğ¾n."
"common snapping turtle","rùa ngoÕm thông thß¶ng"
"common snapping turtles","rùa ngoÕm thông thß¶ng"
"powerful bites","nhæng cú ğ¾p mÕnh m¨"
"A large reptile with a thick ridged shell.  It has been known to consume snakes and smaller turtles, and its bite can amputate fingers.","Mµt loài bò sát l¾n v¾i mai dày có g¶. Nó n±i tiªng là kë sån m°i cüa r¡n và các loài rùa nhö h½n, và cú ğ¾p cüa nó có th¬ c¡t ğÑt ngón tay."
"alligator snapping turtle","rùa cá s¤u"
"alligator snapping turtles","rùa cá s¤u"
"vicious bites","nhæng cú ğ¾p hung tşn"
"snapping turtle man","ngß¶i rùa ngoÕm nam"
"snapping turtle men","nhæng ngß¶i rùa ngoÕm nam"
"snapping turtle woman","ngß¶i rùa ngoÕm næ"
"snapping turtle women","nhæng ngß¶i rùa ngoÕm næ"
"A person with the shell and head of a snapping turtle.","Mµt ngß¶i v¾i mai và ğ¥u cüa mµt con rùa ngoÕm."
"A large monster with an enormous shell and immensely powerful jaw.","Mµt quái v§t l¾n v¾i mai kh±ng l° và hàm cñc kÏ mÕnh m¨."
"A small river mammal with a flat tail, known for building wooden dams.","Mµt loài ğµng v§t có vú s¯ng · sông, cŞ nhö, v¾i ğuôi d©t, n±i tiªng v¾i vi®c xây ğ§p g²."
"beaver","häi ly"
"beavers","häi ly"
"beaver kit","häi ly con"
"beaver kits","nhæng chú häi ly con"
"dams","ğ§p"
"tree-felling habits","t§p tính ğ¯n cây"
"beaver man","ngß¶i häi ly nam"
"beaver men","nhæng ngß¶i häi ly nam"
"beaver woman","ngß¶i häi ly næ"
"beaver women","nhæng ngß¶i häi ly næ"
"A person with the head and flat tail of a beaver.","Mµt ngß¶i v¾i ğ¥u và ğuôi d©t cüa mµt con häi ly."
"giant beaver","häi ly kh±ng l°"
"giant beavers","häi ly kh±ng l°"
"giant beaver kit","häi ly kh±ng l° con"
"giant beaver kits","nhæng chú häi ly kh±ng l° con"
"A large river monster, known for building huge wooden fortresses.","Mµt quái v§t sông l¾n, n±i tiªng v¾i vi®c xây dñng nhæng pháo ğài g² kh±ng l°."
"A tiny, aquatic, worm-like creature that feeds on blood.","Mµt sinh v§t tí hon, s¯ng dß¾i nß¾c, trông gi¯ng giun và hút máu."
"leech","ğïa"
"leeches","ğïa"
"feeding habits","t§p tính kiªm ån"
"leech man","ngß¶i ğïa nam"
"leech men","nhæng ngß¶i ğïa nam"
"A large slug-like creature with the torso of a man.  Its face is a mockery of teeth and slime.","Mµt sinh v§t l¾n trông gi¯ng sên v¾i ph¥n thân trên cüa mµt ngß¶i ğàn ông. Khuôn m£t cüa nó là mµt sñ nhÕo báng cüa rång và ch¤t nh¶n."
"A large monster in the shape of a leech.","Mµt quái v§t l¾n có hình dÕng mµt con ğïa."
"A small salamander found in remote lakes.  It has the mysterious ability to regrow limbs.","Mµt con kÏ nhông nhö ğßşc tìm th¤y · các h° hëo lánh. Nó có khä nång bí ¦n là tái tÕo lÕi tÑ chi."
"gills","mang"
"axolotl man","ngß¶i axolotl nam"
"axolotl men","nhæng ngß¶i axolotl nam"
"A person with the head and tail of an axolotl.","Mµt ngß¶i v¾i ğ¥u và ğuôi cüa mµt con axolotl."
"giant axolotl","axolotl kh±ng l°"
"giant axolotls","axolotl kh±ng l°"
"A large monster in the shape of an axolotl.","Mµt quái v§t l¾n có hình dÕng mµt con axolotl."
"A small, predatory, weasel-like mammal.  It is also semi-aquatic.","Mµt loài ğµng v§t có vú nhö, ån th¸t, gi¯ng ch°n. Nó cûng bán thüy sinh."
"mink","ch°n vizon"
"minks","ch°n vizon"
"mink kit","ch°n vizon con"
"mink kits","nhæng chú ch°n vizon con"
"mink man","ngß¶i ch°n vizon nam"
"mink men","nhæng ngß¶i ch°n vizon nam"
"mink woman","ngß¶i ch°n vizon næ"
"mink women","nhæng ngß¶i ch°n vizon næ"
"A person with the head and tail of a mink.","Mµt ngß¶i v¾i ğ¥u và ğuôi cüa mµt con ch°n vizon."
"giant mink","ch°n vizon kh±ng l°"
"giant minks","ch°n vizon kh±ng l°"
"giant mink kit","ch°n vizon kh±ng l° con"
"giant mink kits","nhæng chú ch°n vizon kh±ng l° con"
"A huge monster in the form of a mink.","Mµt quái v§t kh±ng l° dß¾i hình dÕng mµt con ch°n vizon."
"A tiny reptile with a shell on its back.  It can be found in rivers and ponds.","Mµt loài bò sát nhö xíu v¾i mai trên lßng. Nó có th¬ ğßşc tìm th¤y · sông và ao."
"pond turtle","rùa ao"
"pond turtles","rùa ao"
"pond turtle man","ngß¶i rùa ao nam"
"pond turtle men","nhæng ngß¶i rùa ao nam"
"pond turtle woman","ngß¶i rùa ao næ"
"pond turtle women","nhæng ngß¶i rùa ao næ"
"A person with the head and shell of a pond turtle.","Mµt ngß¶i v¾i ğ¥u và mai cüa mµt con rùa ao."
"giant pond turtle","rùa ao kh±ng l°"
"giant pond turtles","rùa ao kh±ng l°"
"A huge monster shaped like a pond turtle.","Mµt quái v§t kh±ng l° có hình dÕng mµt con rùa ao."
"A tiny rodent that burrows by day and scurries about at night.","Mµt loài g£m nh¤m nhö xíu ğào hang vào ban ngày và chÕy lång xång vào ban ğêm."
"puffy cheeks","má phúng phính"
"hamster man","ngß¶i chuµt hamster nam"
"hamster men","nhæng ngß¶i chuµt hamster nam"
"hamster woman","ngß¶i chuµt hamster næ"
"hamster women","nhæng ngß¶i chuµt hamster næ"
"A person with the head and fur of a hamster.","Mµt ngß¶i v¾i ğ¥u và lông cüa mµt con chuµt hamster."
"A large creature the shape of a hamster.","Mµt sinh v§t l¾n có hình dÕng mµt con chuµt hamster."
"A small round mammal whose back is covered in spines.  It is nocturnal and feeds on insects.  It curls into a ball when startled and is found in temperate regions.","Mµt loài ğµng v§t có vú nhö, tròn v¾i lßng phü ğ¥y gai. Nó hoÕt ğµng v« ğêm và ån côn trùng. Nó cuµn tròn thành quä bóng khi gi§t mình và ğßşc tìm th¤y · các vùng ôn ğ¾i."
"hedgehog","nhím"
"hedgehogs","nhím"
"many spines","nhi«u gai"
"hedgehog man","ngß¶i nhím nam"
"hedgehog men","nhæng ngß¶i nhím nam"
"hedgehog woman","ngß¶i nhím næ"
"hedgehog women","nhæng ngß¶i nhím næ"
"A person with the head and spines of a hedgehog.","Mµt ngß¶i v¾i ğ¥u và gai cüa mµt con nhím."
"A large monster with the shape of a hedgehog.","Mµt quái v§t l¾n v¾i hình dÕng mµt con nhím."
"A tiny grey rodent that is only active at night.  It can sail between trees on wings stretching between its front and hind legs.","Mµt loài g£m nh¤m nhö xíu màu xám chï hoÕt ğµng vào ban ğêm. Nó có th¬ lßşn giæa các cây trên ğôi cánh n¯i li«n giæa chân trß¾c và chân sau cüa nó."
"flying squirrel","sóc bay"
"flying squirrels","sóc bay"
"gliding","lßşn"
"flying squirrel man","ngß¶i sóc bay nam"
"flying squirrel men","nhæng ngß¶i sóc bay nam"
"flying squirrel woman","ngß¶i sóc bay næ"
"flying squirrel women","nhæng ngß¶i sóc bay næ"
"A person with the head and wings of a flying squirrel.","Mµt ngß¶i v¾i ğ¥u và ğôi cánh cüa mµt con sóc bay."
"giant flying squirrel","sóc bay kh±ng l°"
"giant flying squirrels","sóc bay kh±ng l°"
"A large monster taking the shape of a flying squirrel.","Mµt quái v§t kh±ng l° mang hình dÕng mµt con sóc bay."
"A small, intelligent vermin with a long naked tail.","Mµt loài sinh v§t nhö gây hÕi, thông minh, v¾i chiªc ğuôi dài tr¥n trøi."
"friendliness","sñ thân thi®n"
"rat man","ngß¶i chuµt"
"rat men","nhæng ngß¶i chuµt"
"rat woman","næ chuµt"
"rat women","nhæng næ chuµt"
"A person with the head and tail of a rat.","Mµt ngß¶i có ğ¥u và ğuôi cüa mµt con chuµt."
"A small grey rodent found chirping in the trees of temperate woodlands.","Mµt loài g£m nh¤m nhö màu xám, ğßşc tìm th¤y ğang kêu chíu chít trên cây trong các khu r×ng ôn ğ¾i."
"gray squirrel","sóc xám"
"gray squirrels","sóc xám"
"tails","các ğuôi"
"gray squirrel man","ngß¶i sóc xám"
"gray squirrel men","nhæng ngß¶i sóc xám"
"gray squirrel woman","næ sóc xám"
"gray squirrel women","nhæng næ sóc xám"
"A person with the head and tail of a gray squirrel.","Mµt ngß¶i có ğ¥u và ğuôi cüa mµt con sóc xám."
"giant gray squirrel","sóc xám kh±ng l°"
